column,source,meaning,available_at,transform,role,stage,future_risk,justification,evidence,block
min_budget_mxn_rent_monthly,leads,Minimum monthly rent budget,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
max_budget_mxn_rent_monthly,leads,Maximum monthly rent budget,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
min_budget_mxn_sale_total,leads,Minimum sale budget,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
max_budget_mxn_sale_total,leads,Maximum sale budget,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
preferred_state,leads,Preferred state,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
preferred_municipality,leads,Preferred municipality,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
preferred_corridor,leads,Preferred corridor,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
source,leads,Acquisition source,leads.created_at under intake-snapshot contract,Raw intake value,model_feature,T0|T1|T2,LOW,Intake/need information available before later interactions.,P1 temporal ontology + P4,A_LEADQUALITY
prior_searches,leads,Delivered prior-search counter,Unproven aggregate clock at leads.created_at,Raw delivered value,audit_only,T0|T1|T2,MEDIUM_UNPROVEN_AGGREGATE,Retained for audit; blocked until strict pre-score semantics are proven.,P1 temporal ontology,D_AUDIT_POLICY
prior_inquiries,leads,Delivered prior-inquiry counter,Unproven aggregate clock at leads.created_at,Raw delivered value,audit_only,T0|T1|T2,MEDIUM_UNPROVEN_AGGREGATE,Retained for audit; blocked until strict pre-score semantics are proven.,P1 temporal ontology,D_AUDIT_POLICY
has_converted_before,leads,Delivered prior-conversion flag,Unproven aggregate clock at leads.created_at,Raw delivered value,audit_only,T0|T1|T2,MEDIUM_UNPROVEN_AGGREGATE,Retained for audit; blocked until strict pre-score semantics are proven.,P1 temporal ontology,D_AUDIT_POLICY
first_inquiry_id,inquiries,Deterministically selected first inquiry identifier,first inquiry.inquiry_at,Sort by inquiry_at then inquiry_id,identifier,T1,LOW,Tie-break is deterministic; ID is not a predictor.,P4 ABT_CONTRACT,D_AUDIT_POLICY
inquiry_id,inquiries,Current second-or-later inquiry identifier,current inquiry.inquiry_at,Raw key,identifier,T2,LOW,Current-event key only.,P4 ABT_CONTRACT,D_AUDIT_POLICY
inquiry_number,inquiries,Deterministic interaction ordinal,At current inquiry event,Row number by inquiry_at then inquiry_id,policy_guardrail,T2,LOW,Defines second+ challenger membership; same-time rows are not historical.,P4 ABT_CONTRACT,D_AUDIT_POLICY
channel,inquiries,Current inquiry channel,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
message_length,inquiries,Length of current inquiry message,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
requested_area_sqm,inquiries,Area refinement in current inquiry,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
requested_budget_mxn_rent_monthly,inquiries,Current rent-budget refinement,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
requested_budget_mxn_sale_total,inquiries,Current sale-budget refinement,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
urgency_days,inquiries,Current stated urgency,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
asked_visit,inquiries,Current request explicitly asks for visit,current inquiry.inquiry_at,Raw current request payload,model_feature,T1|T2,LOW,Current request/intention payload is known at scoring before broker response.,P1 temporal ontology + P4,A_LEADQUALITY
hist_prior_inquiry_count,inquiries,Count of strictly earlier inquiry events,All contributing inquiry_at < current score_time,Count over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_unique_spots,inquiries,Unique Spot IDs among strictly earlier inquiries,All contributing inquiry_at < current score_time,n_unique spot_id over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_asked_visit_count,inquiries,Asked-visit count in strict prior request history,All contributing inquiry_at < current score_time,Sum asked_visit over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_asked_visit_rate,inquiries,Asked-visit rate in strict prior request history,All contributing inquiry_at < current score_time,Mean asked_visit over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_message_length_mean,inquiries,Mean message length in strict prior request history,All contributing inquiry_at < current score_time,Mean message_length over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_urgency_known_count,inquiries,Count of strict-prior inquiries with known urgency,All contributing inquiry_at < current score_time,Count non-null urgency_days over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_prior_urgency_days_mean,inquiries,Mean urgency among strict-prior inquiries,All contributing inquiry_at < current score_time,Mean urgency_days over request/event fields only,model_feature,T2,LOW,No same-time/future inquiry and no broker-response field contributes.,P4 ABT_CONTRACT,A_LEADQUALITY
hist_max_inquiry_time,inquiries,Latest timestamp contributing to T2 history,Strictly < current score_time,Max prior inquiry_at,audit_only,T2,LOW,Direct QA witness for the temporal history boundary.,P4 ABT_CONTRACT,D_AUDIT_POLICY
stage_eligibility,strict-prior inquiry outcome timing,T2 cohort membership under prior known scheduled-visit gate,At current score_time only when prior response timing proves the outcome occurred; untimed prior success is ambiguous,ELIGIBLE / INELIGIBLE_PRIOR_SCHEDULED_VISIT_KNOWN / AMBIGUOUS_PRIOR_SCHEDULED_VISIT_TIME,policy_guardrail,T2,MEDIUM_OUTCOME_GATE,Not predictive; enforces frozen T2 cohort semantics without treating unobservable timing as known.,P2 secondary T2 + P4,D_AUDIT_POLICY
audit_response_history_feature_used,derived policy flag,Whether response history entered the predictive feature set,At ABT construction,Constant false,policy_guardrail,T2,LOW,Fails validation if response history is ever enabled as a feature.,P4 ABT_CONTRACT,D_AUDIT_POLICY
matching_current_spot_id,inquiries,Spot referenced by the current inquiry,"current inquiry.inquiry_at, conditional on spot.created_at <= score_time",Current inquiry key retained only for audit/candidate override,audit_only,T1|T2,MEDIUM_SPOT_CONTEXT,Never enters principal LeadQuality model-ready.,P4 ABT_CONTRACT,D_AUDIT_POLICY
audit_current_spot_created_at,spots,Creation time of current inquiry Spot,spots.created_at,1:1 audit join,audit_only,T1|T2,LOW,Proves entity existence only; no current-state fields are imported.,P4 ABT_CONTRACT,D_AUDIT_POLICY
audit_current_spot_existed_at_score_time,spots + score_time,Whether current inquiry Spot existed by scoring instant,At score_time,spot.created_at <= score_time,policy_guardrail,T1|T2,LOW,Temporal existence check; not a LeadQuality feature.,P4 ABT_CONTRACT,D_AUDIT_POLICY
source_inquiry_id,derived from stage,Inquiry anchoring the candidate decision; null at T0,At score construction,first_inquiry_id or inquiry_id,identifier,CANDIDATE,LOW,Traceability only.,P4 ABT_CONTRACT,D_AUDIT_POLICY
candidate_spot_id,spots,Candidate Spot identifier,Only when spots.created_at <= score_time,Candidate-policy key,identifier,CANDIDATE,LOW,Candidate key; numeric ID is not a predictive signal.,P4 ABT_CONTRACT,D_AUDIT_POLICY
candidate_source,derived candidate policy,How the candidate entered the universe,At candidate construction,POLICY_UNIVERSE or OBSERVED_CURRENT_OVERRIDE,audit_only,CANDIDATE,LOW,Audit provenance for the candidate set.,P4 ABT_CONTRACT,D_AUDIT_POLICY
spot_created_at,spots,Candidate Spot creation timestamp,spots.created_at,Raw temporal guardrail,policy_guardrail,CANDIDATE,LOW,Candidate allowed only when <= score_time.,P4 ABT_CONTRACT,D_AUDIT_POLICY
matching_fallback_rank,leads|inquiries|spots,Candidate geographic fallback order,Candidate construction,Deterministic matching transform,matching_feature,CANDIDATE,LOW,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_fallback_tier,leads|inquiries|spots,Corridor/municipality/state fallback tier,Candidate construction,Deterministic matching transform,matching_feature,CANDIDATE,LOW,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_is_observed_current_spot,leads|inquiries|spots,Whether candidate equals observed current Spot,Current inquiry event for T1/T2; false at T0,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_SPOT_CONTEXT,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_sector_exact,leads|inquiries|spots,Exact sector compatibility,Candidate construction from intake + structural Spot,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_modality_compatible,leads|inquiries|spots,Modality compatibility,Candidate construction from intake + structural Spot,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_type_name,leads|inquiries|spots,Candidate structural type,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_state,leads|inquiries|spots,Candidate state,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_municipality,leads|inquiries|spots,Candidate municipality,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_settlement,leads|inquiries|spots,Candidate settlement,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_corridor,leads|inquiries|spots,Candidate corridor,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_region,leads|inquiries|spots,Candidate region,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_lat,leads|inquiries|spots,Candidate latitude,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_lon,leads|inquiries|spots,Candidate longitude,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_area_sqm,leads|inquiries|spots,Candidate structural area,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_candidate_modality,leads|inquiries|spots,Candidate modality,spots.created_at under structural-invariance contract,Deterministic matching transform,matching_feature,CANDIDATE,MEDIUM_STRUCTURAL_ASSUMPTION,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_area_reference_sqm,leads|inquiries|spots,"Current inquiry requested area, else lead target area",T1/T2 current inquiry_at; T0 leads.created_at,Deterministic matching transform,matching_feature,CANDIDATE,LOW,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_area_gap_sqm,leads|inquiries|spots,Absolute candidate/reference area gap,At candidate construction from temporally allowed inputs,Deterministic matching transform,matching_feature,CANDIDATE,LOW,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
matching_area_ratio,leads|inquiries|spots,Candidate/reference area ratio,At candidate construction from temporally allowed inputs,Deterministic matching transform,matching_feature,CANDIDATE,LOW,Kept outside principal LeadQuality; candidate Spot must exist by score_time.,P4 ABT_CONTRACT,B_MATCHING
inventory_natural_light,spot_attributes,Natural-light attribute,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_luminaires,spot_attributes,Luminaire count,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_charging_ports,spot_attributes,Charging-port count,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_security_type,spot_attributes,Security type,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_floor_level,spot_attributes,Floor level,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_elevators,spot_attributes,Elevator count,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_vertical_height_m,spot_attributes,Vertical clear height,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_parking_spaces,spot_attributes,Parking spaces,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_building_status,spot_attributes,Building status,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_floor_material,spot_attributes,Floor material,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
inventory_amenities,spot_attributes,Amenities payload,Assumed invariant from spots.created_at; candidate must exist by score_time,1:1 join by candidate_spot_id,inventory_feature,CANDIDATE,MEDIUM_IMMUTABILITY_ASSUMPTION,"Frozen assumption authorizes attributes only in Inventory/Matching, not LeadQuality.",P2 spot_attributes assumption + P4,C_INVENTORY
snapshot_id,availability_snapshot,Selected backward-as-of snapshot identifier,snapshot_date <= score_time,Latest backward snapshot; snapshot_id tie-break,audit_only,CANDIDATE,LOW,Audit provenance only.,P4 ABT_CONTRACT,D_AUDIT_POLICY
snapshot_date_asof,availability_snapshot,Business date of selected Availability snapshot,latest snapshot_date <= score_time,Backward as-of join,policy_guardrail,CANDIDATE,MEDIUM_BUSINESS_DATE_ASSUMPTION,Never nearest or forward.,P1 availability semantics + P4,D_AUDIT_POLICY
availability_known,availability_snapshot,Whether a backward snapshot exists,At score_time from latest backward snapshot,snapshot_id is not null,inventory_feature,CANDIDATE,LOW,Missing snapshot remains explicit UNKNOWN.,P4 ABT_CONTRACT,C_INVENTORY
is_available_asof,availability_snapshot,Availability state in latest known backward snapshot,latest snapshot_date <= score_time,Null when no snapshot; else is_available,inventory_feature,CANDIDATE,MEDIUM_BUSINESS_DATE_ASSUMPTION,Missing snapshot is never coerced to unavailable.,P4 ABT_CONTRACT,C_INVENTORY
days_until_available_asof,availability_snapshot,Days until availability in latest known backward snapshot,latest snapshot_date <= score_time,Null when no snapshot; else days_until_available,inventory_feature,CANDIDATE,MEDIUM_BUSINESS_DATE_ASSUMPTION,Preserves unknown coverage.,P4 ABT_CONTRACT,C_INVENTORY
snapshot_age_days,availability_snapshot + score_time,Age of selected snapshot at decision time,At score_time,score_date - snapshot_date_asof,inventory_feature,CANDIDATE,LOW,Freshness is separate from knownness.,P4 ABT_CONTRACT,C_INVENTORY
freshness_bucket,snapshot_age_days,Categorical snapshot freshness,At score_time,UNKNOWN/SAME_DAY/1_7D/8_30D/31_90D/GT_90D,inventory_feature,CANDIDATE,LOW,Stale snapshot remains known; age is explicit.,P4 ABT_CONTRACT,C_INVENTORY
availability_state,availability_snapshot,Explicit tri-state availability,At score_time from backward snapshot,AVAILABLE/UNAVAILABLE/UNKNOWN,inventory_feature,CANDIDATE,LOW,UNKNOWN is preserved when no backward snapshot exists.,P4 ABT_CONTRACT,C_INVENTORY
lead_score_internal,leads,Internal score provenance/inputs unknown,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Internal score provenance/inputs unknown.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
broker_response,inquiries,Outcome known after scoring; label/cohort-gate only,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Outcome known after scoring; label/cohort-gate only.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
broker_response_hours,inquiries,Outcome timing field; never a predictive feature,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Outcome timing field; never a predictive feature.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
days_on_market,spots,Current/extract state without historical versioning,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Current/extract state without historical versioning.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
total_views,spots,Current/extract cumulative state without historical clock,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Current/extract cumulative state without historical clock.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
total_inquiries,spots,Current/extract cumulative state without historical clock,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Current/extract cumulative state without historical clock.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
is_active,spots,Current/extract state without historical versioning,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Current/extract state without historical versioning.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
competing_inquiries_30d,availability_snapshot,Direction of 30-day window is unproven,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Direction of 30-day window is unproven.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
broker_id,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
title,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
description,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
price_sqm_mxn_rent,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
price_sqm_mxn_sale,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
price_total_mxn_rent,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
price_total_mxn_sale,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
maintenance_cost_mxn,spots,Potentially mutable and unversioned,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,Potentially mutable and unversioned.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
similar_available_spots,market_context,No publication/effective timestamp,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,No publication/effective timestamp.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
avg_price_sqm_mxn,market_context,No publication/effective timestamp,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,No publication/effective timestamp.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
recent_occupancy_rate,market_context,No publication/effective timestamp,UNKNOWN / not defensible at historical score_time,Not emitted into P4 model-ready objects,forbidden,T0|T1|T2|CANDIDATE,CRITICAL,No publication/effective timestamp.,P1 temporal ontology + P4 gate,D_AUDIT_POLICY
