feature,ap_drop_mean,ap_drop_std,auc_drop_mean,auc_drop_std,family
same_preferred_municipality,-0.0006751674479039238,0.000650018500307723,-0.0003615041674744024,0.00043913390316530554,lead_spot_match
same_preferred_corridor,-0.0007858948715421699,0.00034960997596860825,-0.00026313238999811086,0.00019474702326084683,lead_spot_match
spot_floor_level,-0.0008175506748296036,0.0007385991591080972,1.211475092064429e-05,0.0005087820392498532,spot_static
hist_prior_median_response_hours,-0.0008767979541846715,0.0026643464356409046,0.00033727466563282515,0.0015623270340992374,interaction_history
score_hour,-0.0008853554507098904,0.0002610263797826407,-0.0012289203333980536,0.0004295816197114015,current_inquiry
same_sector,-0.0009916494371130958,0.00016879040583589748,-0.0006508044194611928,0.0002149103546014406,lead_spot_match
spot_lon,-0.0011021005510048587,0.001670269811696765,9.304128707108284e-05,0.0010663783354696657,spot_static
hist_prior_urgency_mean,-0.0011119286114910309,0.0009655339362726887,-0.0011509013374685795,0.0009194098303227273,interaction_history
message_length,-0.001113575047862536,0.0008194935807008901,0.00033242876526458077,0.000484027585975223,current_inquiry
source,-0.0011226496954763298,0.0014784860791380514,-0.000899399108354415,0.0009555788078349744,lead_intake
spot_amenities_count,-0.0012371561745673442,0.00033531789131984797,-0.0005839309943787896,0.0006629104916292047,spot_static
spot_vertical_height_m,-0.0013071052508082603,0.0014644048216159043,-0.0019989339019190087,0.0008480844832222787,spot_static
spot_corridor,-0.0013354039186418642,0.0007919299476027365,-0.0007782515991471506,0.0005378059828753797,spot_static
spot_floor_material,-0.0013605017535853303,0.000602228165841856,-0.0006018608257414737,0.00045250046165223304,spot_static
spot_security_type,-0.0015892688032072,0.000925324856653356,-0.0009032758286490195,0.00039132108218368735,spot_static
max_budget_mxn_rent_monthly,-0.0018191587959908828,0.0013520563641734181,-0.0011785229695677746,0.00035516929140439634,lead_intake
requested_area_sqm,-0.0020222957138567033,0.0010813489393915663,-0.0027607094398139687,0.000862591704314391,current_inquiry
search_modality,-0.0021052316204405396,0.0011391971133726162,-0.00030771467338635005,0.00048061524055166744,lead_intake
prior_searches,-0.0021195383446396044,0.0010448315429817832,-0.0020154099631712217,0.0014518763510235515,lead_intake
asked_visit,-0.002230935046423843,0.0015880916891270623,-0.0010302384182982126,0.001287333977355827,current_inquiry
min_budget_mxn_rent_monthly,-0.002536373278809534,0.002175753922954911,-0.000795696840473048,0.0015989016872162472,lead_intake
hist_prior_asked_visit_rate,-0.002841718255296044,0.0006433094494773409,0.00016088389222710387,0.00032622034767628485,interaction_history
requested_budget_mxn_sale_total,-0.0029760747594656856,0.0021583445620254513,-0.0013694514440783622,0.0014330243852715037,current_inquiry
availability_snapshot_age_days,-0.003090167488258233,0.0011802259019971474,-0.0013675130839310378,0.0026983994910982937,availability_asof
max_budget_mxn_sale_total,-0.0037413931009029565,0.002189376298953384,-0.0001909284745106099,0.0009257578689826139,lead_intake
preferred_corridor,-0.004378125186123438,0.0013636630318825244,-0.0022552820314014842,0.0007555359336778726,lead_intake
preferred_municipality,-0.0044313722902625365,0.0007216874272530931,-0.0031222136072883043,0.0009764408075938373,lead_intake
preferred_state,-0.00491920085600277,0.0005146623087462281,-0.001959682108935912,0.0004926978494376753,lead_intake
