lead_id,lead_profile,persona_profile,need_profile
164,L1,P1,N2
165,L2,P6,N2
166,L3,P3,N2
167,L1,P7,N1
168,L4,P4,N1
169,L5,P3,N2
170,L5,P1,N1
171,L4,P4,N2
172,L1,P5,N3
173,L5,P3,N2
174,L3,P3,N1
175,L4,P1,N2
176,L3,P2,N3
177,L1,P2,N2
178,L1,P1,N3
179,L4,P4,N1
180,L4,P4,N2
181,L3,P3,N1
182,L1,P1,N2
183,L2,P1,N3
184,L1,P1,N3
185,L2,P7,N1
186,L3,P7,N3
187,L1,P1,N1
188,L3,P2,N1
189,L5,P6,N2
190,L1,P1,N1
191,L6,P1,N1
192,L1,P1,N2
193,L1,P1,N2
194,L4,P4,N2
195,L2,P7,N2
196,L1,P2,N2
197,L5,P3,N1
198,L4,P5,N1
199,L1,P1,N2
200,L2,P1,N2
201,L6,P4,N1
202,L1,P6,N1
203,L1,P2,N3
204,L2,P2,N3
205,L3,P2,N2
206,L6,P1,N2
207,L4,P4,N3
208,L1,P7,N2
209,L5,P6,N1
210,L6,P2,N2
211,L4,P4,N3
212,L3,P4,N2
213,L2,P5,N1
214,L1,P3,N3
215,L6,P1,N2
216,L4,P4,N1
217,L1,P2,N3
218,L1,P2,N2
219,L2,P1,N3
220,L3,P1,N3
221,L2,P2,N1
222,L4,P4,N2
223,L1,P3,N1
224,L2,P1,N3
225,L4,P4,N3
226,L4,P4,N3
227,L1,P3,N2
228,L4,P4,N2
229,L1,P5,N1
230,L1,P1,N3
231,L1,P6,N1
232,L2,P4,N3
233,L4,P4,N2
234,L1,P2,N2
235,L1,P1,N1
236,L1,P7,N2
237,L1,P4,N1
238,L1,P1,N3
239,L2,P2,N3
240,L3,P3,N2
241,L1,P6,N3
242,L1,P5,N1
243,L3,P1,N1
244,L6,P3,N2
245,L1,P1,N2
246,L2,P7,N3
247,L1,P7,N1
248,L1,P6,N2
249,L3,P1,N1
250,L1,P5,N1
251,L1,P3,N1
252,L1,P2,N3
253,L2,P6,N1
254,L5,P3,N1
255,L1,P3,N1
256,L1,P4,N1
257,L1,P1,N2
258,L1,P1,N1
259,L1,P5,N1
260,L6,P3,N3
261,L1,P1,N2
262,L1,P1,N1
263,L4,P4,N1
264,L2,P6,N3
265,L1,P3,N2
266,L4,P4,N3
267,L3,P3,N1
268,L4,P4,N2
269,L5,P2,N1
270,L4,P4,N1
271,L1,P3,N2
272,L1,P1,N2
273,L3,P7,N1
274,L1,P3,N1
275,L2,P1,N2
276,L4,P4,N1
277,L2,P7,N1
278,L4,P4,N1
279,L1,P6,N1
280,L1,P2,N3
281,L5,P2,N1
282,L1,P6,N2
283,L1,P1,N2
284,L1,P1,N1
285,L1,P3,N2
286,L2,P2,N1
287,L1,P2,N3
288,L1,P7,N2
289,L2,P1,N2
290,L1,P5,N1
291,L3,P2,N3
292,L1,P3,N2
293,L5,P3,N1
294,L1,P2,N1
295,L1,P7,N1
296,L2,P2,N1
297,L1,P1,N1
298,L2,P1,N3
299,L1,P1,N3
300,L2,P3,N1
301,L4,P5,N3
302,L5,P4,N2
303,L1,P2,N1
304,L1,P1,N3
305,L3,P1,N2
306,L1,P7,N2
307,L1,P7,N1
308,L6,P2,N1
309,L2,P2,N3
310,L1,P3,N1
311,L4,P4,N1
312,L6,P4,N1
313,L1,P3,N1
314,L5,P1,N1
315,L1,P4,N3
316,L1,P3,N3
317,L2,P1,N3
318,L3,P5,N2
319,L1,P6,N2
320,L6,P1,N1
321,L1,P7,N1
322,L1,P6,N3
323,L1,P2,N2
324,L1,P1,N1
325,L2,P7,N3
326,L2,P2,N3
327,L5,P1,N1
328,L4,P4,N2
329,L2,P1,N2
330,L6,P2,N3
331,L4,P4,N1
332,L1,P2,N3
333,L3,P3,N1
334,L6,P5,N1
335,L1,P6,N1
336,L1,P5,N2
337,L4,P4,N2
338,L6,P6,N1
339,L6,P6,N2
340,L2,P3,N1
341,L1,P7,N1
342,L2,P1,N2
343,L3,P1,N3
344,L2,P1,N1
345,L1,P3,N3
346,L3,P1,N3
347,L6,P1,N2
348,L1,P3,N3
349,L3,P3,N1
350,L3,P7,N1
351,L2,P1,N3
352,L1,P1,N1
353,L4,P4,N1
354,L3,P3,N3
355,L1,P3,N1
356,L1,P3,N1
357,L3,P3,N1
358,L1,P3,N3
359,L2,P2,N1
360,L1,P1,N3
361,L3,P2,N1
362,L1,P3,N1
363,L1,P1,N3
364,L5,P3,N1
365,L6,P3,N1
366,L1,P2,N3
367,L2,P6,N3
368,L6,P7,N1
369,L4,P4,N3
370,L2,P3,N1
371,L5,P7,N2
372,L1,P1,N1
373,L1,P1,N1
374,L4,P4,N1
375,L2,P1,N2
376,L4,P4,N1
377,L5,P5,N3
378,L1,P3,N2
379,L1,P3,N2
380,L1,P1,N1
381,L2,P3,N2
382,L1,P2,N2
383,L1,P1,N1
384,L6,P5,N3
385,L1,P5,N1
386,L1,P3,N3
387,L1,P2,N3
388,L1,P7,N1
389,L1,P2,N1
390,L1,P6,N2
391,L4,P4,N2
392,L5,P2,N3
393,L1,P1,N1
394,L1,P3,N2
395,L2,P5,N3
396,L1,P2,N3
397,L2,P5,N1
398,L1,P2,N3
399,L2,P3,N1
400,L4,P4,N2
401,L3,P3,N3
402,L1,P6,N2
403,L1,P3,N1
404,L4,P4,N1
405,L5,P2,N1
406,L2,P3,N3
407,L4,P4,N2
408,L1,P6,N2
409,L5,P7,N2
410,L2,P6,N1
411,L5,P3,N1
412,L3,P6,N1
413,L1,P6,N1
414,L2,P7,N3
415,L6,P7,N1
416,L3,P2,N2
417,L4,P5,N3
418,L2,P2,N3
419,L1,P3,N1
420,L2,P2,N3
421,L1,P4,N2
422,L1,P2,N2
423,L6,P2,N2
424,L2,P3,N1
425,L1,P1,N3
426,L2,P1,N2
427,L1,P2,N2
428,L4,P4,N3
429,L1,P1,N2
430,L3,P3,N1
431,L4,P4,N1
432,L2,P1,N3
433,L2,P1,N2
434,L1,P2,N3
435,L2,P2,N1
436,L4,P4,N2
437,L1,P1,N3
438,L3,P3,N2
439,L6,P1,N1
440,L1,P2,N1
441,L4,P4,N3
442,L1,P5,N2
443,L1,P2,N1
444,L6,P3,N2
445,L1,P2,N1
446,L1,P2,N1
447,L2,P7,N1
448,L1,P3,N3
449,L3,P1,N3
450,L2,P2,N1
451,L2,P1,N3
452,L4,P4,N1
453,L2,P3,N1
454,L1,P1,N1
455,L1,P1,N1
456,L2,P2,N2
457,L1,P7,N3
458,L1,P1,N2
459,L2,P2,N2
460,L2,P5,N3
461,L6,P1,N3
462,L1,P2,N2
463,L1,P1,N2
464,L1,P6,N1
465,L1,P1,N1
466,L2,P1,N2
467,L5,P3,N2
468,L1,P2,N1
469,L3,P4,N3
470,L1,P7,N1
471,L2,P6,N2
472,L1,P3,N3
473,L4,P4,N1
474,L2,P1,N3
475,L4,P4,N3
476,L2,P1,N2
477,L3,P3,N3
478,L1,P1,N2
479,L6,P1,N1
480,L5,P2,N2
481,L2,P3,N1
482,L2,P1,N1
483,L3,P1,N1
484,L5,P4,N1
485,L3,P1,N3
486,L3,P1,N3
487,L3,P2,N3
488,L1,P1,N1
489,L1,P3,N2
490,L3,P2,N2
491,L4,P4,N1
492,L5,P2,N2
493,L1,P3,N1
494,L1,P1,N3
495,L1,P1,N1
496,L1,P1,N3
497,L3,P1,N3
498,L6,P3,N2
499,L5,P2,N1
500,L3,P7,N1
501,L1,P3,N3
502,L2,P7,N1
503,L5,P3,N1
504,L2,P6,N3
505,L3,P4,N2
506,L1,P1,N2
507,L2,P2,N1
508,L2,P6,N1
509,L6,P7,N3
510,L5,P3,N1
511,L1,P5,N1
512,L3,P3,N1
513,L1,P2,N2
514,L2,P5,N1
515,L4,P4,N3
516,L5,P3,N1
517,L6,P6,N1
518,L6,P3,N3
519,L2,P1,N3
520,L1,P1,N2
521,L2,P1,N3
522,L1,P7,N1
523,L5,P2,N1
524,L1,P2,N1
525,L2,P1,N1
526,L1,P1,N2
527,L6,P6,N3
528,L1,P2,N1
529,L1,P1,N1
530,L2,P1,N3
531,L1,P1,N2
532,L1,P1,N1
533,L1,P5,N1
534,L2,P2,N1
535,L1,P1,N1
536,L1,P3,N1
537,L2,P2,N2
538,L1,P3,N1
539,L1,P5,N2
540,L1,P6,N1
541,L5,P1,N3
542,L4,P4,N1
543,L6,P1,N3
544,L1,P1,N2
545,L4,P4,N3
546,L2,P2,N1
547,L1,P3,N2
548,L5,P7,N1
549,L1,P1,N2
550,L1,P2,N3
551,L1,P1,N1
552,L1,P1,N2
553,L1,P2,N2
554,L1,P1,N2
555,L1,P3,N1
556,L2,P2,N2
557,L1,P2,N1
558,L4,P4,N2
559,L2,P1,N2
560,L2,P5,N1
561,L2,P3,N3
562,L5,P1,N3
563,L2,P3,N2
564,L1,P3,N3
565,L1,P3,N3
566,L3,P2,N1
567,L1,P1,N2
568,L1,P1,N2
569,L6,P1,N2
570,L3,P4,N3
571,L4,P4,N3
572,L1,P1,N1
573,L1,P1,N3
574,L3,P6,N2
575,L3,P4,N3
576,L6,P1,N1
577,L1,P7,N1
578,L3,P2,N2
579,L2,P6,N1
580,L1,P6,N1
581,L5,P2,N1
582,L1,P1,N1
583,L2,P3,N3
584,L2,P1,N1
585,L1,P2,N2
586,L4,P4,N1
587,L1,P1,N1
588,L3,P6,N2
589,L2,P2,N1
590,L1,P1,N3
591,L1,P5,N1
592,L3,P4,N1
593,L3,P5,N2
594,L1,P3,N3
595,L2,P1,N1
596,L1,P1,N2
597,L1,P2,N3
598,L2,P6,N1
599,L5,P2,N2
600,L1,P7,N2
601,L1,P5,N2
602,L6,P1,N3
603,L1,P7,N1
604,L2,P7,N3
605,L1,P5,N1
606,L2,P3,N2
607,L4,P4,N1
608,L5,P3,N3
609,L3,P3,N1
610,L1,P3,N3
611,L1,P7,N2
612,L6,P5,N3
613,L1,P6,N3
614,L1,P2,N1
615,L4,P4,N1
616,L1,P3,N1
617,L1,P3,N1
618,L2,P3,N3
619,L2,P2,N3
620,L4,P4,N1
621,L1,P1,N1
622,L2,P2,N2
623,L1,P1,N2
624,L3,P1,N2
625,L1,P2,N2
626,L1,P1,N1
627,L1,P3,N1
628,L2,P7,N3
629,L3,P1,N2
630,L5,P4,N3
631,L6,P1,N1
632,L1,P6,N3
633,L2,P3,N1
634,L3,P7,N3
635,L1,P2,N1
636,L1,P6,N2
637,L1,P5,N1
638,L1,P3,N1
639,L2,P1,N1
640,L4,P4,N3
641,L1,P2,N3
642,L1,P2,N3
643,L1,P1,N2
644,L6,P2,N2
645,L4,P4,N2
646,L1,P5,N1
647,L1,P2,N3
648,L2,P3,N2
649,L6,P2,N2
650,L3,P3,N1
651,L2,P7,N1
652,L6,P7,N1
653,L2,P1,N3
654,L3,P1,N2
655,L5,P5,N2
656,L1,P7,N1
657,L1,P1,N2
658,L1,P3,N1
659,L4,P5,N1
660,L1,P7,N2
661,L2,P1,N1
662,L2,P7,N1
663,L1,P2,N1
664,L2,P7,N1
665,L1,P3,N3
666,L6,P3,N3
667,L2,P2,N3
668,L1,P2,N3
669,L1,P7,N1
670,L2,P2,N1
671,L1,P1,N2
672,L2,P5,N1
673,L6,P1,N3
674,L1,P3,N1
675,L3,P1,N2
676,L5,P3,N2
677,L1,P3,N3
678,L4,P4,N2
679,L4,P4,N2
680,L1,P3,N1
681,L4,P4,N2
682,L3,P1,N2
683,L1,P2,N2
684,L2,P5,N2
685,L3,P1,N1
686,L2,P3,N1
687,L1,P6,N3
688,L6,P7,N3
689,L1,P3,N2
690,L1,P4,N2
691,L1,P3,N3
692,L4,P4,N3
693,L1,P3,N1
694,L2,P5,N3
695,L3,P1,N2
696,L2,P1,N2
697,L1,P3,N1
698,L1,P2,N1
699,L3,P7,N3
700,L1,P2,N2
701,L1,P2,N3
702,L2,P1,N3
703,L1,P7,N2
704,L3,P5,N2
705,L1,P1,N2
706,L1,P3,N3
707,L1,P1,N2
708,L6,P1,N1
709,L1,P3,N3
710,L3,P7,N2
711,L1,P5,N3
712,L3,P1,N1
713,L5,P3,N1
714,L1,P2,N2
715,L1,P2,N2
716,L1,P1,N1
717,L5,P3,N3
718,L6,P5,N2
719,L1,P1,N3
720,L6,P7,N1
721,L3,P1,N1
722,L1,P7,N3
723,L3,P5,N1
724,L6,P2,N1
725,L5,P7,N2
726,L1,P1,N2
727,L3,P1,N1
728,L1,P2,N1
729,L3,P7,N3
730,L3,P7,N1
731,L1,P3,N2
732,L4,P5,N1
733,L1,P1,N3
734,L3,P1,N3
735,L1,P1,N1
736,L2,P6,N2
737,L1,P2,N2
738,L5,P3,N1
739,L1,P2,N2
740,L3,P1,N1
741,L4,P4,N1
742,L4,P4,N3
743,L6,P1,N1
744,L1,P3,N1
745,L4,P4,N1
746,L3,P7,N3
747,L3,P7,N1
748,L1,P6,N1
749,L1,P1,N2
750,L4,P4,N2
751,L2,P1,N2
752,L1,P1,N3
753,L1,P2,N1
754,L1,P3,N2
755,L1,P2,N2
756,L1,P5,N1
757,L2,P1,N3
758,L3,P5,N2
759,L2,P1,N1
760,L4,P4,N3
761,L4,P4,N1
762,L6,P1,N3
763,L2,P3,N1
764,L4,P4,N3
765,L5,P7,N1
766,L4,P4,N3
767,L1,P7,N3
768,L1,P4,N1
769,L1,P3,N1
770,L2,P1,N3
771,L2,P2,N1
772,L1,P7,N1
773,L1,P1,N3
774,L6,P1,N3
775,L3,P5,N2
776,L2,P2,N3
777,L2,P7,N2
778,L1,P5,N2
779,L5,P6,N1
780,L1,P6,N2
781,L2,P7,N2
782,L1,P1,N2
783,L1,P1,N3
784,L1,P3,N1
785,L3,P2,N2
786,L1,P2,N2
787,L2,P6,N1
788,L1,P1,N1
789,L4,P4,N3
790,L2,P2,N1
791,L1,P7,N2
792,L4,P4,N2
793,L4,P4,N3
794,L4,P4,N2
795,L3,P5,N1
796,L2,P5,N1
797,L1,P5,N2
798,L4,P4,N1
799,L2,P3,N2
800,L1,P3,N1
801,L6,P3,N3
802,L6,P2,N3
803,L1,P6,N3
804,L1,P6,N2
805,L1,P2,N1
806,L6,P1,N3
807,L2,P7,N2
808,L1,P2,N3
809,L1,P2,N1
810,L1,P2,N1
811,L6,P1,N2
812,L2,P5,N3
813,L2,P2,N1
814,L1,P7,N1
815,L1,P3,N2
816,L1,P1,N3
817,L6,P3,N2
818,L3,P7,N3
819,L1,P1,N2
820,L1,P2,N3
821,L1,P2,N2
822,L4,P4,N3
823,L6,P2,N2
824,L6,P5,N2
825,L1,P1,N1
826,L6,P1,N1
827,L3,P1,N2
828,L4,P2,N3
829,L1,P6,N1
830,L1,P2,N3
831,L1,P3,N1
832,L4,P4,N1
833,L2,P5,N1
834,L5,P1,N3
835,L6,P2,N1
836,L5,P2,N2
837,L1,P2,N2
838,L1,P2,N2
839,L1,P3,N3
840,L1,P3,N3
841,L6,P2,N1
842,L1,P2,N1
843,L6,P7,N1
844,L3,P3,N2
845,L1,P6,N1
846,L1,P3,N2
847,L1,P3,N2
848,L2,P7,N2
849,L6,P3,N1
850,L5,P6,N1
851,L6,P1,N1
852,L3,P1,N3
853,L1,P7,N2
854,L1,P7,N2
855,L2,P2,N2
856,L6,P1,N2
857,L1,P2,N1
858,L2,P1,N1
859,L3,P1,N1
860,L5,P2,N1
861,L4,P4,N1
862,L1,P2,N2
863,L1,P2,N1
864,L6,P3,N1
865,L2,P3,N1
866,L2,P6,N1
867,L3,P5,N1
868,L1,P6,N1
869,L2,P5,N1
870,L5,P2,N3
871,L3,P3,N1
872,L4,P4,N1
873,L1,P1,N1
874,L3,P6,N1
875,L5,P3,N2
876,L5,P1,N3
877,L4,P4,N3
878,L1,P1,N3
879,L3,P2,N2
880,L2,P7,N1
881,L1,P7,N1
882,L1,P3,N1
883,L1,P1,N2
884,L2,P7,N1
885,L5,P7,N2
886,L4,P4,N1
887,L1,P3,N1
888,L1,P2,N1
889,L4,P4,N1
890,L6,P7,N2
891,L6,P6,N2
892,L3,P3,N1
893,L3,P6,N1
894,L1,P7,N3
895,L6,P2,N1
896,L2,P3,N2
897,L2,P3,N1
898,L3,P6,N2
899,L1,P1,N2
900,L3,P5,N1
901,L1,P2,N2
902,L6,P1,N2
903,L1,P2,N1
904,L6,P5,N2
905,L1,P3,N1
906,L1,P2,N1
907,L2,P1,N3
908,L4,P4,N3
909,L1,P1,N1
910,L3,P3,N2
911,L1,P7,N1
912,L1,P2,N2
913,L4,P4,N1
914,L1,P2,N2
915,L1,P1,N1
916,L1,P1,N1
917,L3,P2,N3
918,L3,P5,N1
919,L4,P4,N1
920,L1,P1,N1
921,L3,P2,N2
922,L1,P3,N1
923,L1,P2,N2
924,L5,P3,N1
925,L5,P3,N2
926,L4,P4,N3
927,L4,P2,N1
928,L1,P1,N2
929,L1,P1,N1
930,L6,P2,N1
931,L4,P4,N2
932,L1,P1,N3
933,L5,P5,N3
934,L2,P3,N3
935,L1,P6,N1
936,L2,P1,N2
937,L3,P3,N1
938,L3,P2,N3
939,L1,P7,N2
940,L1,P3,N1
941,L4,P5,N3
942,L3,P2,N2
943,L3,P3,N3
944,L2,P1,N2
945,L1,P2,N3
946,L1,P1,N2
947,L2,P3,N2
948,L3,P2,N2
949,L4,P4,N1
950,L1,P1,N1
951,L6,P3,N3
952,L2,P6,N3
953,L1,P5,N3
954,L1,P3,N1
955,L4,P4,N1
956,L3,P3,N3
957,L5,P2,N1
958,L4,P4,N1
959,L2,P1,N1
960,L5,P1,N3
961,L1,P1,N2
962,L2,P7,N1
963,L2,P6,N2
964,L2,P1,N1
965,L1,P2,N2
966,L5,P6,N2
967,L2,P6,N2
968,L1,P3,N1
969,L4,P4,N1
970,L3,P3,N1
971,L6,P1,N3
972,L5,P1,N1
973,L1,P1,N1
974,L1,P2,N1
975,L3,P1,N3
976,L1,P2,N2
977,L2,P6,N3
978,L1,P2,N2
979,L1,P3,N1
980,L1,P6,N2
981,L1,P7,N3
982,L6,P2,N2
983,L5,P6,N3
984,L1,P2,N2
985,L4,P4,N1
986,L1,P6,N2
987,L1,P2,N2
988,L2,P6,N1
989,L1,P3,N2
990,L6,P3,N1
991,L3,P5,N1
992,L2,P2,N3
993,L1,P3,N1
994,L3,P6,N3
995,L2,P2,N1
996,L4,P4,N2
997,L2,P2,N3
998,L1,P1,N2
999,L2,P3,N3
1000,L6,P1,N1
1001,L1,P1,N1
1002,L5,P3,N2
1003,L1,P1,N2
1004,L1,P7,N2
1005,L5,P5,N2
1006,L6,P1,N1
1007,L1,P5,N1
1008,L6,P1,N3
1009,L2,P2,N2
1010,L4,P4,N2
1011,L1,P7,N2
1012,L1,P3,N3
1013,L1,P7,N3
1014,L2,P4,N1
1015,L1,P3,N1
1016,L1,P5,N1
1017,L2,P3,N1
1018,L3,P3,N3
1019,L2,P3,N1
1020,L4,P4,N1
1021,L2,P2,N2
1022,L5,P1,N3
1023,L6,P4,N1
1024,L5,P3,N2
1025,L2,P1,N2
1026,L1,P2,N1
1027,L1,P2,N2
1028,L3,P1,N2
1029,L1,P1,N2
1030,L1,P1,N2
1031,L1,P2,N3
1032,L1,P1,N3
1033,L1,P2,N3
1034,L1,P2,N2
1035,L5,P5,N2
1036,L2,P1,N1
1037,L1,P5,N2
1038,L4,P4,N2
1039,L2,P3,N1
1040,L1,P3,N1
1041,L1,P1,N2
1042,L6,P1,N1
1043,L1,P7,N3
1044,L1,P6,N1
1045,L1,P3,N2
1046,L2,P2,N2
1047,L1,P1,N1
1048,L1,P7,N2
1049,L1,P2,N1
1050,L6,P3,N1
1051,L1,P3,N2
1052,L5,P3,N1
1053,L1,P2,N3
1054,L3,P1,N2
1055,L5,P2,N1
1056,L1,P1,N1
1057,L2,P7,N3
1058,L1,P1,N1
1059,L2,P6,N2
1060,L1,P3,N1
1061,L5,P3,N3
1062,L2,P3,N1
1063,L5,P2,N3
1064,L1,P3,N2
1065,L2,P3,N1
1066,L3,P5,N2
1067,L1,P3,N1
1068,L1,P7,N1
1069,L3,P1,N1
1070,L1,P5,N2
1071,L1,P6,N3
1072,L5,P2,N1
1073,L4,P4,N3
1074,L3,P2,N3
1075,L1,P5,N1
1076,L3,P3,N1
1077,L1,P1,N1
1078,L6,P5,N1
1079,L5,P5,N2
1080,L3,P4,N2
1081,L6,P1,N1
1082,L1,P2,N2
1083,L6,P3,N1
1084,L1,P1,N3
1085,L1,P6,N2
1086,L3,P1,N1
1087,L3,P1,N2
1088,L5,P1,N1
1089,L1,P5,N3
1090,L3,P2,N1
1091,L1,P5,N3
1092,L5,P6,N3
1093,L5,P6,N2
1094,L6,P3,N2
1095,L1,P7,N2
1096,L6,P2,N1
1097,L2,P7,N3
1098,L1,P1,N1
1099,L3,P2,N3
1100,L5,P1,N2
1101,L1,P1,N1
1102,L3,P6,N1
1103,L4,P4,N1
1104,L2,P3,N3
1105,L1,P1,N2
1106,L4,P4,N1
1107,L6,P3,N3
1108,L1,P1,N1
1109,L2,P2,N1
1110,L1,P1,N1
1111,L1,P1,N3
1112,L4,P4,N2
1113,L1,P3,N1
1114,L5,P7,N2
1115,L4,P4,N2
1116,L1,P5,N1
1117,L1,P7,N1
1118,L1,P1,N1
1119,L1,P2,N1
1120,L4,P5,N2
1121,L1,P6,N1
1122,L1,P3,N1
1123,L1,P6,N2
1124,L3,P3,N1
1125,L2,P2,N3
1126,L1,P1,N3
1127,L2,P2,N2
1128,L1,P3,N2
1129,L2,P1,N1
1130,L2,P3,N1
1131,L1,P1,N3
1132,L1,P3,N1
1133,L1,P7,N1
1134,L1,P2,N2
1135,L1,P3,N2
1136,L3,P4,N2
1137,L1,P3,N1
1138,L4,P4,N3
1139,L2,P5,N1
1140,L4,P4,N3
1141,L1,P1,N1
1142,L1,P1,N3
1143,L2,P1,N3
1144,L1,P3,N1
1145,L4,P4,N3
1146,L3,P3,N1
1147,L1,P1,N1
1148,L1,P1,N1
1149,L1,P2,N2
1150,L1,P3,N1
1151,L2,P1,N2
1152,L1,P1,N3
1153,L1,P1,N1
1154,L1,P7,N1
1155,L3,P5,N2
1156,L1,P2,N1
1157,L3,P2,N1
1158,L1,P6,N3
1159,L1,P1,N3
1160,L2,P1,N1
1161,L1,P3,N1
1162,L3,P3,N1
1163,L1,P1,N1
1164,L1,P6,N1
1165,L1,P5,N1
1166,L1,P6,N1
1167,L2,P6,N1
1168,L2,P2,N3
1169,L1,P6,N2
1170,L1,P2,N2
1171,L2,P3,N1
1172,L1,P2,N3
1173,L2,P5,N1
1174,L2,P7,N3
1175,L6,P2,N1
1176,L3,P1,N3
1177,L2,P7,N1
1178,L1,P3,N3
1179,L4,P4,N3
1180,L1,P2,N3
1181,L1,P2,N2
1182,L5,P1,N1
1183,L6,P2,N2
1184,L1,P1,N1
1185,L4,P4,N2
1186,L5,P1,N1
1187,L1,P2,N2
1188,L1,P1,N3
1189,L2,P3,N1
1190,L5,P6,N2
1191,L4,P4,N3
1192,L1,P6,N2
1193,L1,P3,N1
1194,L1,P1,N1
1195,L3,P7,N1
1196,L6,P4,N1
1197,L2,P3,N1
1198,L1,P1,N3
1199,L1,P7,N2
1200,L1,P3,N2
1201,L6,P7,N1
1202,L1,P1,N1
1203,L1,P2,N2
1204,L6,P1,N2
1205,L3,P7,N3
1206,L1,P1,N2
1207,L1,P3,N1
1208,L2,P2,N2
1209,L1,P3,N2
1210,L1,P5,N1
1211,L1,P2,N2
1212,L5,P1,N1
1213,L1,P7,N1
1214,L2,P4,N3
1215,L4,P4,N2
1216,L1,P1,N2
1217,L2,P3,N1
1218,L5,P7,N2
1219,L1,P6,N2
1220,L1,P6,N1
1221,L1,P2,N3
1222,L1,P1,N1
1223,L1,P3,N1
1224,L2,P5,N3
1225,L2,P2,N3
1226,L1,P1,N1
1227,L2,P3,N3
1228,L4,P4,N1
1229,L1,P1,N1
1230,L1,P7,N1
1231,L1,P1,N1
1232,L1,P1,N1
1233,L1,P2,N1
1234,L1,P3,N1
1235,L1,P1,N1
1236,L1,P3,N3
1237,L1,P1,N1
1238,L2,P2,N1
1239,L2,P3,N1
1240,L1,P2,N3
1241,L4,P4,N1
1242,L2,P5,N2
1243,L1,P5,N1
1244,L3,P2,N1
1245,L2,P3,N2
1246,L1,P3,N2
