persona_profile,broker_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
P1,B3,226,0.17256637168141592,0.1778505164594391,0.6283185840707964,0.8562611218878753,0.17043109003265097,0.007419426426788139,0.1288810871596181,0.22719718587711668
P4,B1,121,0.15702479338842976,0.16961638123112302,0.5702479338842975,0.8166178866095432,0.16679325608895415,0.0028231251421688697,0.10289037053228536,0.23226714106641247
P6,B5,41,0.12195121951219512,0.16429922689149143,0.6829268292682927,0.7910184527099949,0.17032763136798384,-0.006028404476492416,0.053232579973408245,0.25544507648844866
P5,B2,49,0.20408163265306123,0.20571053233944725,0.6122448979591837,0.9903931386406649,0.21243537209649435,-0.006724839757047102,0.11481727042813811,0.33637270110943834
P2,B4,173,0.2023121387283237,0.20332505811366575,0.6589595375722543,0.9789082755237895,0.21087380908694933,-0.007548750973283586,0.1492173396987142,0.26834051999040875
P3,B6,112,0.1875,0.1928173511724395,0.6428571428571429,0.9283189316575019,0.20064965289256723,-0.007832301720127721,0.12603362094830625,0.2696929574138711
P3,B1,198,0.18181818181818182,0.1861690646143311,0.6717171717171717,0.8963107631112145,0.19494067569095216,-0.008771611076621055,0.1343204258911728,0.24142768549914514
P4,B4,79,0.17721518987341772,0.1874641796488303,0.620253164556962,0.9025460930640913,0.19630585625989153,-0.008841676611061222,0.10860327950089017,0.2757639949119652
P2,B6,100,0.18,0.18791598127293432,0.65,0.9047212915016752,0.20327036065741827,-0.015354379384483946,0.11700131654251038,0.26667536024213084
P4,B3,81,0.18518518518518517,0.1926300609769488,0.691358024691358,0.9274172232109815,0.2104156473524521,-0.017785586375503315,0.11556188621286034,0.28331790860477624
P6,B1,91,0.24175824175824176,0.23136059067336492,0.7142857142857143,1.1138853171438337,0.2518361884433515,-0.02047559776998656,0.16541685277480106,0.33902001880897653
P3,B2,140,0.2,0.2017124298789489,0.6928571428571428,0.9711442786069651,0.23244018031819594,-0.030727750439247026,0.1421536666143311,0.27387062677506396
P6,B2,39,0.15384615384615385,0.18111692883811148,0.6153846153846154,0.8719872608026774,0.21305032804625157,-0.03193339920814009,0.07247373845051469,0.2972976986573431
P6,B4,64,0.15625,0.17604074402125774,0.5625,0.8475479744136459,0.21325803186523584,-0.0372172878439781,0.08714748876961673,0.26428290202305327
P5,B4,65,0.2153846153846154,0.21245940360200766,0.6461538461538462,1.0228855721393033,0.25107712298720736,-0.0386177193851997,0.13286637631048948,0.32966790528668427
P5,B6,36,0.16666666666666666,0.18826628129224746,0.7222222222222222,0.9064078105712041,0.23780181910116274,-0.049535537808915286,0.07870340628564097,0.3189111473467432
P7,B4,54,0.18518518518518517,0.19476848274692346,0.6851851851851852,0.9377126525427573,0.2489522396099941,-0.05418375686307064,0.10382574505942957,0.3083620229137938
P1,B4,164,0.1402439024390244,0.15347175185397455,0.5914634146341463,0.7388895856850203,0.20866350765358965,-0.055191755799615105,0.09530323762421833,0.20165294010525997
P7,B1,93,0.12903225806451613,0.15269351412188575,0.6236559139784946,0.7351427609535566,0.215540764353359,-0.06284725023147325,0.07537662016293771,0.21211966242636277
P5,B5,37,0.2972972972972973,0.2507563295871533,0.5675675675675675,1.207266081466508,0.319775927581321,-0.06901959799416768,0.17489302346408198,0.45783439172043583
