intent_profile,spot_profile,n,scheduled_visit_rate,smoothed_visit_rate,positive_response_rate,lift_vs_global,expected_model_probability,residual_synergy,wilson_low,wilson_high
I1,S4,165,0.20606060606060606,0.20638164574736978,0.6242424242424243,0.9936242134276353,0.21242819302874263,-0.006046547281372855,0.15137214272779614,0.27412489117853966
I2,S7,40,0.125,0.1663529672276351,0.825,0.80090618336887,0.17300675022430526,-0.00665378299667016,0.05459419773541284,0.26112420670238146
I1,S1,295,0.19322033898305085,0.19494996232301734,0.6406779661016949,0.9385863857683862,0.201625528522604,-0.006675566199586647,0.15222552059524885,0.24210244445379386
I1,S6,118,0.211864406779661,0.21081162897601774,0.559322033898305,1.0149523629591641,0.21873331174790223,-0.007921682771884486,0.14782423635341962,0.29407409722066336
I3,S2,84,0.21428571428571427,0.21216320466299035,0.6666666666666666,1.0214595226631815,0.2214916643603743,-0.00932845969738394,0.14006654921749656,0.3134953166865853
I6,S6,61,0.16393442622950818,0.18126967701198818,0.7213114754098361,0.8727226667229622,0.19118405433638536,-0.009914377324397178,0.0915591348574295,0.27613074324551673
I4,S4,107,0.18691588785046728,0.19257304338918915,0.6355140186915887,0.9271427120954991,0.2084983959826773,-0.01592535259348815,0.12438379319362988,0.2711500136081485
I7,S3,43,0.23255813953488372,0.22058117323145549,0.6744186046511628,1.0619878233616769,0.24066246755938098,-0.020081294327925492,0.1315353846924483,0.37744808299439414
I5,S7,66,0.10606060606060606,0.14441733375670573,0.6363636363636364,0.6952970994086173,0.16718219721077116,-0.02276486345406542,0.05233280771918243,0.20312525738814619
I1,S3,162,0.16666666666666666,0.17479325434757825,0.6419753086419753,0.8415419367096624,0.1989660338251566,-0.024172779477578343,0.11714404789856393,0.23163213371087543
I4,S2,61,0.18032786885245902,0.19117066711099806,0.6721311475409836,0.9203909729992188,0.22015853066613944,-0.02898786355514138,0.10379034061426573,0.2947439336787807
I6,S2,88,0.18181818181818182,0.18990810451727191,0.6136363636363636,0.9143123667377397,0.22100472545966712,-0.03109662094239521,0.11513001885470898,0.2751245063277792
I3,S6,42,0.2619047619047619,0.23546630949037567,0.5952380952380952,1.133652296011233,0.2702256237642571,-0.0347593142738814,0.15302485372603591,0.41069019984975563
I2,S1,143,0.1888111888111888,0.19294118785907544,0.6993006993006993,0.9289151432532885,0.23296260353991122,-0.04002141568083578,0.13313059841931657,0.26077412612740586
I4,S3,103,0.17475728155339806,0.18397368795951613,0.6213592233009708,0.8857411245470946,0.22746287664042367,-0.04348918868090754,0.1134980543398106,0.2594053840212773
I5,S5,53,0.11320754716981132,0.15385201481947103,0.5283018867924528,0.7407203613270055,0.1985723111495374,-0.044720296330066384,0.052929589110686695,0.22576770301339144
I3,S7,51,0.19607843137254902,0.2011894217385803,0.6666666666666666,0.9686262564727383,0.24671478629460436,-0.04552536455602407,0.11015224836299273,0.32458342674495444
I5,S2,108,0.18518518518518517,0.19127187417710004,0.6666666666666666,0.9208782343110701,0.25278855014430474,-0.0615166759672047,0.12319860172367544,0.2687986515345039
