prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L916:T2:I4115,916,T2,2025-07-05T10:26:35.000Z,20,17,14,3,3,0.7,128.43512731481482
L917:T0,917,T0,2025-04-04T00:00:00.000Z,31,17,17,14,0,0.5483870967741935,74
L917:T1:I4118,917,T1,2025-04-05T07:55:28.000Z,32,18,18,14,0,0.5625,75.33018518518519
L917:T2:I4117,917,T2,2025-04-12T16:10:18.000Z,33,20,20,13,0,0.6060606060606061,82.67381944444445
L918:T0,918,T0,2025-11-19T00:00:00.000Z,44,44,43,0,1,0.9772727272727273,155
L918:T1:I4119,918,T1,2025-11-19T10:01:37.000Z,45,45,44,0,1,0.9777777777777777,155.41778935185187
L918:T2:I4121,918,T2,2025-11-19T17:45:28.000Z,45,45,44,0,1,0.9777777777777777,155.7399074074074
L918:T2:I4122,918,T2,2025-11-23T17:27:22.000Z,46,46,44,0,2,0.9565217391304348,159.72733796296296
L918:T2:I4120,918,T2,2025-11-26T09:31:59.000Z,47,47,45,0,2,0.9574468085106383,162.39721064814816
L918:T2:I4124,918,T2,2025-12-02T11:45:59.000Z,47,47,43,0,4,0.9148936170212766,168.4902662037037
L918:T2:I4125,918,T2,2026-04-16T14:28:00.000Z,68,68,65,0,3,0.9558823529411765,113.60277777777777
L918:T2:I4123,918,T2,2026-05-18T12:21:00.000Z,74,74,73,0,1,0.9864864864864865,110.51458333333333
L919:T0,919,T0,2026-05-05T00:00:00.000Z,39,39,38,0,1,0.9743589743589743,121
L919:T1:I4133,919,T1,2026-05-05T14:00:03.000Z,40,40,39,0,1,0.975,121.58336805555555
L919:T2:I4129,919,T2,2026-05-13T09:03:17.000Z,40,40,40,0,0,1,84.3772800925926
L919:T2:I4128,919,T2,2026-05-13T17:43:27.000Z,40,40,40,0,0,1,84.73850694444444
L919:T2:I4132,919,T2,2026-05-14T16:15:31.000Z,40,40,40,0,0,1,85.67744212962963
L919:T2:I4126,919,T2,2026-05-18T09:57:22.000Z,40,40,40,0,0,1,89.41483796296296
L919:T2:I4127,919,T2,2026-05-18T10:28:17.000Z,40,40,40,0,0,1,89.43630787037037
L919:T2:I4130,919,T2,2026-05-21T11:40:00.000Z,40,40,39,0,1,0.975,92.48611111111111
L919:T2:I4131,919,T2,2026-06-12T14:12:00.000Z,42,42,42,0,0,1,71.59166666666667
L920:T0,920,T0,2025-09-22T00:00:00.000Z,14,14,12,0,2,0.8571428571428571,231
L920:T1:I4135,920,T1,2025-09-25T20:15:51.000Z,15,15,13,0,2,0.8666666666666667,234.84434027777777
L920:T2:I4134,920,T2,2025-10-02T09:19:12.000Z,15,15,14,0,1,0.9333333333333333,241.38833333333332
L920:T2:I4138,920,T2,2025-10-04T07:22:37.000Z,15,15,14,0,1,0.9333333333333333,243.3073726851852
L920:T2:I4136,920,T2,2025-11-27T16:15:00.000Z,17,17,16,0,1,0.9411764705882353,125.67708333333333
L920:T2:I4137,920,T2,2026-01-19T13:22:00.000Z,17,17,14,0,3,0.8235294117647058,178.55694444444444
L920:T2:I4139,920,T2,2026-06-07T09:25:00.000Z,19,19,19,0,0,1,69.39236111111111
L921:T0,921,T0,2026-02-10T00:00:00.000Z,45,45,45,0,0,1,86
L921:T1:I4143,921,T1,2026-02-12T20:08:45.000Z,46,46,45,0,1,0.9782608695652174,123.83940972222223
L921:T2:I4141,921,T2,2026-02-14T08:59:06.000Z,46,46,45,0,1,0.9782608695652174,90.374375
L921:T2:I4140,921,T2,2026-02-23T14:46:28.000Z,47,47,46,0,1,0.9787234042553191,99.61560185185185
L921:T2:I4142,921,T2,2026-02-23T16:13:56.000Z,47,47,46,0,1,0.9787234042553191,99.67634259259259
L921:T2:I4144,921,T2,2026-05-04T16:37:00.000Z,57,57,55,0,2,0.9649122807017544,127.69236111111111
L922:T0,922,T0,2026-06-06T00:00:00.000Z,98,98,95,0,3,0.9693877551020408,127
L922:T1:I4147,922,T1,2026-06-08T07:26:47.000Z,99,99,96,0,3,0.9696969696969697,129.3102662037037
L922:T2:I4145,922,T2,2026-06-09T11:35:36.000Z,99,99,95,0,4,0.9595959595959596,130.48305555555555
L922:T2:I4148,922,T2,2026-06-11T17:04:25.000Z,99,99,96,0,3,0.9696969696969697,132.71140046296296
L922:T2:I4146,922,T2,2026-06-12T16:40:22.000Z,99,99,96,0,3,0.9696969696969697,133.69469907407407
L922:T2:I4149,922,T2,2026-06-15T17:50:13.000Z,100,100,98,0,2,0.98,113.74320601851852
L922:T2:I4150,922,T2,2026-06-16T08:07:24.000Z,100,100,98,0,2,0.98,114.33847222222222
L923:T0,923,T0,2025-06-07T00:00:00.000Z,17,14,11,3,3,0.6470588235294118,112
L923:T1:I4151,923,T1,2025-07-03T14:19:00.000Z,19,18,13,1,5,0.6842105263157895,138.59652777777777
L924:T0,924,T0,2025-01-20T00:00:00.000Z,5,0,0,5,0,0,
L924:T1:I4152,924,T1,2025-02-01T20:07:52.000Z,6,0,0,6,0,0,
L924:T2:I4157,924,T2,2025-03-05T09:53:00.000Z,6,1,1,5,0,0.16666666666666666,17.411805555555556
L924:T2:I4156,924,T2,2025-03-17T16:36:00.000Z,6,3,3,3,0,0.5,29.691666666666666
L924:T2:I4153,924,T2,2025-06-03T10:25:00.000Z,11,7,7,4,0,0.6363636363636364,87.43402777777777
L924:T2:I4155,924,T2,2026-01-07T07:09:00.000Z,23,23,22,0,1,0.9565217391304348,94.29791666666667
L924:T2:I4158,924,T2,2026-01-16T07:17:00.000Z,23,23,21,0,2,0.9130434782608695,103.30347222222223
L924:T2:I4154,924,T2,2026-01-18T09:22:00.000Z,24,24,22,0,2,0.9166666666666666,105.39027777777778
L925:T0,925,T0,2026-06-01T00:00:00.000Z,22,22,21,0,1,0.9545454545454546,112
L925:T1:I4160,925,T1,2026-06-05T08:36:45.000Z,24,24,23,0,1,0.9583333333333334,116.35885416666666
L925:T2:I4159,925,T2,2026-06-10T17:10:52.000Z,24,24,23,0,1,0.9583333333333334,121.71587962962963
L926:T0,926,T0,2026-01-08T00:00:00.000Z,42,42,37,0,5,0.8809523809523809,124
L926:T1:I4166,926,T1,2026-01-13T13:16:34.000Z,44,44,38,0,6,0.8636363636363636,129.55317129629628
L926:T2:I4164,926,T2,2026-01-14T12:44:11.000Z,44,44,38,0,6,0.8636363636363636,130.53068287037038
L926:T2:I4162,926,T2,2026-01-14T17:38:28.000Z,44,44,38,0,6,0.8636363636363636,130.7350462962963
L926:T2:I4163,926,T2,2026-01-15T11:46:05.000Z,44,44,39,0,5,0.8863636363636364,131.49033564814815
L926:T2:I4161,926,T2,2026-01-15T18:40:12.000Z,44,44,39,0,5,0.8863636363636364,131.77791666666667
L926:T2:I4167,926,T2,2026-02-28T18:32:00.000Z,47,47,46,0,1,0.9787234042553191,175.7722222222222
L926:T2:I4168,926,T2,2026-04-06T10:43:00.000Z,52,52,51,0,1,0.9807692307692307,93.44652777777777
L926:T2:I4165,926,T2,2026-05-08T11:42:00.000Z,54,54,51,0,3,0.9444444444444444,108.4875
L927:T0,927,T0,2025-08-21T00:00:00.000Z,16,16,15,0,1,0.9375,102
L927:T1:I4169,927,T1,2025-08-21T11:22:12.000Z,17,17,15,0,2,0.8823529411764706,120.47375
L927:T2:I4172,927,T2,2025-08-26T19:10:56.000Z,17,17,14,0,3,0.8235294117647058,176.79925925925926
L927:T2:I4174,927,T2,2025-08-27T08:06:12.000Z,16,16,13,0,3,0.8125,108.33763888888889
L927:T2:I4171,927,T2,2025-08-31T12:32:37.000Z,17,17,14,0,3,0.8235294117647058,112.52265046296296
L927:T2:I4173,927,T2,2025-10-27T19:36:00.000Z,21,20,17,1,3,0.8095238095238095,151.81666666666666
L927:T2:I4170,927,T2,2026-05-22T07:33:00.000Z,29,29,28,0,1,0.9655172413793104,120.31458333333333
L927:T2:I4175,927,T2,2026-06-07T17:33:00.000Z,30,30,30,0,0,1,51.73125
L928:T0,928,T0,2026-03-31T00:00:00.000Z,52,52,52,0,0,1,73
L928:T1:I4181,928,T1,2026-04-05T13:37:46.000Z,53,53,53,0,0,1,77.56789351851852
L928:T2:I4182,928,T2,2026-04-06T17:13:18.000Z,54,54,54,0,0,1,78.71756944444445
L928:T2:I4176,928,T2,2026-04-08T11:43:22.000Z,54,54,54,0,0,1,80.48844907407407
L928:T2:I4177,928,T2,2026-04-09T08:13:55.000Z,54,54,54,0,0,1,81.34299768518518
L928:T2:I4178,928,T2,2026-04-09T14:47:19.000Z,54,54,54,0,0,1,81.61619212962962
L928:T2:I4179,928,T2,2026-04-12T10:55:34.000Z,54,54,54,0,0,1,84.45525462962964
L928:T2:I4180,928,T2,2026-04-20T09:39:00.000Z,55,55,54,0,1,0.9818181818181818,92.40208333333334
L929:T0,929,T0,2025-09-15T00:00:00.000Z,45,44,37,1,7,0.8222222222222222,233
L929:T1:I4183,929,T1,2025-09-22T20:46:45.000Z,46,45,40,1,5,0.8695652173913043,240.8657986111111
L930:T0,930,T0,2026-05-13T00:00:00.000Z,36,36,35,0,1,0.9722222222222222,99
L930:T1:I4185,930,T1,2026-05-14T16:11:12.000Z,37,37,36,0,1,0.972972972972973,100.67444444444445
L930:T2:I4184,930,T2,2026-05-16T19:57:43.000Z,37,37,36,0,1,0.972972972972973,102.83174768518519
L930:T2:I4187,930,T2,2026-05-22T18:51:50.000Z,37,37,34,0,3,0.918918918918919,108.78599537037037
L930:T2:I4188,930,T2,2026-05-25T10:10:27.000Z,37,37,33,0,4,0.8918918918918919,111.4239236111111
L930:T2:I4186,930,T2,2026-06-22T18:22:00.000Z,39,39,35,0,4,0.8974358974358975,124.76527777777778
L931:T0,931,T0,2025-09-21T00:00:00.000Z,28,28,26,0,2,0.9285714285714286,139
L931:T1:I4190,931,T1,2025-09-21T12:13:24.000Z,28,28,26,0,2,0.9285714285714286,139.50930555555556
L931:T2:I4191,931,T2,2025-09-23T14:28:29.000Z,29,29,26,0,3,0.896551724137931,141.60311342592593
L931:T2:I4192,931,T2,2025-10-01T18:44:24.000Z,29,29,26,0,3,0.896551724137931,149.78083333333333
L931:T2:I4189,931,T2,2025-10-21T16:08:00.000Z,31,31,27,0,4,0.8709677419354839,169.67222222222222
L932:T0,932,T0,2025-06-01T00:00:00.000Z,51,39,35,12,4,0.6862745098039216,131
L932:T1:I4199,932,T1,2025-06-02T14:47:02.000Z,52,40,36,12,4,0.6923076923076923,132.61599537037037
L932:T2:I4196,932,T2,2025-06-17T15:35:00.000Z,53,45,38,8,7,0.7169811320754716,143.64930555555554
L932:T2:I4195,932,T2,2025-06-19T17:30:00.000Z,53,46,39,7,7,0.7358490566037735,145.72916666666666
L932:T2:I4194,932,T2,2025-09-02T16:30:00.000Z,63,62,54,1,8,0.8571428571428571,220.6875
L932:T2:I4198,932,T2,2026-02-18T07:52:00.000Z,89,89,86,0,3,0.9662921348314607,185.32777777777778
L932:T2:I4197,932,T2,2026-03-27T17:13:00.000Z,94,94,90,0,4,0.9574468085106383,99.71736111111112
L932:T2:I4193,932,T2,2026-06-07T14:16:00.000Z,106,106,104,0,2,0.9811320754716981,106.59444444444445
L933:T0,933,T0,2025-04-17T00:00:00.000Z,10,4,4,6,0,0.4,46
L933:T1:I4204,933,T1,2025-04-20T20:41:55.000Z,12,6,6,6,0,0.5,89.86244212962963
L933:T2:I4203,933,T2,2025-04-26T12:46:03.000Z,12,6,6,6,0,0.5,55.531979166666666
L933:T2:I4201,933,T2,2025-06-30T07:05:00.000Z,15,11,11,4,0,0.7333333333333333,49.295138888888886
L933:T2:I4200,933,T2,2025-08-10T14:19:00.000Z,17,14,13,3,1,0.7647058823529411,90.59652777777778
L933:T2:I4202,933,T2,2026-01-02T19:36:00.000Z,23,23,21,0,2,0.9130434782608695,168.81666666666666
L934:T0,934,T0,2025-05-16T00:00:00.000Z,12,11,11,1,0,0.9166666666666666,81
L934:T1:I4207,934,T1,2025-05-22T07:45:35.000Z,13,12,12,1,0,0.9230769230769231,87.32332175925926
L934:T2:I4208,934,T2,2025-05-23T20:40:20.000Z,14,12,12,2,0,0.8571428571428571,88.86134259259259
L934:T2:I4212,934,T2,2025-05-27T08:45:37.000Z,15,13,12,2,1,0.8,92.36501157407407
L934:T2:I4206,934,T2,2025-06-19T09:33:00.000Z,16,15,13,1,2,0.8125,115.39791666666666
L934:T2:I4211,934,T2,2026-05-13T20:56:00.000Z,32,32,31,0,1,0.96875,93.87222222222222
L934:T2:I4210,934,T2,2026-06-10T18:37:00.000Z,33,33,32,0,1,0.9696969696969697,93.77569444444444
L934:T2:I4205,934,T2,2026-06-13T07:50:00.000Z,33,33,32,0,1,0.9696969696969697,96.32638888888889
L934:T2:I4209,934,T2,2026-06-27T19:13:00.000Z,33,33,32,0,1,0.9696969696969697,110.80069444444445
L935:T0,935,T0,2025-12-15T00:00:00.000Z,29,29,27,0,2,0.9310344827586207,127
L935:T1:I4217,935,T1,2025-12-21T10:19:07.000Z,30,30,29,0,1,0.9666666666666667,133.42994212962964
L935:T2:I4215,935,T2,2025-12-21T11:23:08.000Z,30,30,29,0,1,0.9666666666666667,133.47439814814814
L935:T2:I4216,935,T2,2025-12-24T10:02:08.000Z,30,30,29,0,1,0.9666666666666667,136.41814814814813
L935:T2:I4213,935,T2,2025-12-26T08:17:36.000Z,29,29,29,0,0,1,75.34555555555555
L935:T2:I4214,935,T2,2025-12-28T12:03:57.000Z,30,30,30,0,0,1,77.50274305555556
L936:T0,936,T0,2025-03-24T00:00:00.000Z,7,3,3,4,0,0.42857142857142855,23
L936:T1:I4218,936,T1,2026-01-18T12:18:00.000Z,22,22,21,0,1,0.9545454545454546,122.5125
L937:T0,937,T0,2025-10-13T00:00:00.000Z,31,30,28,1,2,0.9032258064516129,185
L937:T1:I4223,937,T1,2025-10-20T07:18:13.000Z,32,31,29,1,2,0.90625,192.30431712962962
L937:T2:I4224,937,T2,2025-10-24T18:31:07.000Z,33,32,29,1,3,0.8787878787878788,196.7716087962963
L937:T2:I4225,937,T2,2025-10-25T10:08:10.000Z,33,32,29,1,3,0.8787878787878788,197.42233796296296
L937:T2:I4226,937,T2,2025-10-25T16:37:45.000Z,33,32,29,1,3,0.8787878787878788,197.69288194444445
L937:T2:I4221,937,T2,2025-10-26T07:21:25.000Z,32,31,28,1,3,0.875,198.30653935185185
L937:T2:I4222,937,T2,2025-10-26T15:00:53.000Z,33,32,29,1,3,0.8787878787878788,198.62561342592593
L937:T2:I4220,937,T2,2025-12-09T12:38:00.000Z,33,33,31,0,2,0.9393939393939394,96.52638888888889
L937:T2:I4219,937,T2,2026-03-10T15:19:00.000Z,37,37,36,0,1,0.972972972972973,185.63819444444445
L938:T0,938,T0,2025-02-27T00:00:00.000Z,26,7,7,19,0,0.2692307692307692,44
L938:T1:I4231,938,T1,2025-02-28T09:42:12.000Z,27,8,8,19,0,0.2962962962962963,45.40430555555555
L938:T2:I4227,938,T2,2025-03-04T15:55:45.000Z,30,8,8,22,0,0.26666666666666666,49.663715277777776
L938:T2:I4229,938,T2,2025-03-11T14:35:55.000Z,30,10,10,20,0,0.3333333333333333,56.608275462962965
L938:T2:I4230,938,T2,2025-12-09T10:37:00.000Z,62,62,54,0,8,0.8709677419354839,218.4423611111111
L938:T2:I4228,938,T2,2026-03-28T15:37:00.000Z,75,75,72,0,3,0.96,152.65069444444444
L939:T0,939,T0,2026-06-22T00:00:00.000Z,57,57,56,0,1,0.9824561403508771,126
L939:T1:I4232,939,T1,2026-06-24T07:22:19.000Z,57,57,56,0,1,0.9824561403508771,128.30716435185184
L939:T2:I4234,939,T2,2026-06-26T14:18:43.000Z,58,58,57,0,1,0.9827586206896551,130.59633101851853
L939:T2:I4233,939,T2,2026-07-03T07:51:15.000Z,58,58,57,0,1,0.9827586206896551,137.32725694444446
L940:T0,940,T0,2025-03-07T00:00:00.000Z,41,16,16,25,0,0.3902439024390244,39
L940:T1:I4235,940,T1,2026-05-26T13:04:00.000Z,112,112,110,0,2,0.9821428571428571,95.54444444444445
L941:T0,941,T0,2026-02-27T00:00:00.000Z,35,35,32,0,3,0.9142857142857143,227
L941:T1:I4237,941,T1,2026-03-03T08:24:27.000Z,37,37,34,0,3,0.918918918918919,231.3503125
L941:T2:I4236,941,T2,2026-03-04T20:17:40.000Z,37,37,34,0,3,0.918918918918919,232.84560185185185
L942:T0,942,T0,2025-08-02T00:00:00.000Z,26,26,25,0,1,0.9615384615384616,178
L942:T1:I4238,942,T1,2025-08-02T17:07:43.000Z,27,27,26,0,1,0.9629629629629629,178.71369212962964
L942:T2:I4240,942,T2,2025-08-10T20:30:42.000Z,27,27,25,0,2,0.9259259259259259,97.85465277777777
L942:T2:I4242,942,T2,2025-08-10T20:53:27.000Z,26,26,24,0,2,0.9230769230769231,97.8704513888889
L942:T2:I4241,942,T2,2025-08-11T10:30:58.000Z,26,26,24,0,2,0.9230769230769231,98.43817129629629
L942:T2:I4243,942,T2,2025-08-26T15:12:00.000Z,28,28,25,0,3,0.8928571428571429,113.63333333333334
L942:T2:I4239,942,T2,2026-03-18T16:33:00.000Z,44,44,41,0,3,0.9318181818181818,142.68958333333333
L943:T0,943,T0,2025-08-28T00:00:00.000Z,59,58,49,1,9,0.8305084745762712,204
L943:T1:I4245,943,T1,2025-09-05T16:17:07.000Z,61,60,52,1,8,0.8524590163934426,212.67855324074074
L943:T2:I4246,943,T2,2025-09-08T07:13:01.000Z,60,59,52,1,7,0.8666666666666667,215.30070601851853
L943:T2:I4244,943,T2,2026-01-17T08:09:00.000Z,77,77,71,0,6,0.922077922077922,159.33958333333334
L944:T0,944,T0,2025-02-19T00:00:00.000Z,23,4,4,19,0,0.17391304347826086,43
L944:T1:I4252,944,T1,2025-02-19T08:59:12.000Z,24,4,4,20,0,0.16666666666666666,43.37444444444444
L944:T2:I4253,944,T2,2025-02-28T12:20:49.000Z,24,4,4,20,0,0.16666666666666666,22.51445601851852
L944:T2:I4251,944,T2,2025-03-02T18:15:16.000Z,24,4,4,20,0,0.16666666666666666,24.760601851851852
L944:T2:I4250,944,T2,2025-04-18T12:17:00.000Z,28,10,10,18,0,0.35714285714285715,55.511805555555554
L944:T2:I4249,944,T2,2025-09-28T17:48:00.000Z,40,38,36,2,2,0.9,143.74166666666667
L944:T2:I4248,944,T2,2026-02-26T09:24:00.000Z,46,46,45,0,1,0.9782608695652174,113.39166666666667
L944:T2:I4247,944,T2,2026-04-28T08:23:00.000Z,50,50,47,0,3,0.94,97.34930555555556
L944:T2:I4254,944,T2,2026-06-18T16:35:00.000Z,54,54,52,0,2,0.9629629629629629,147.69097222222223
L945:T0,945,T0,2026-05-01T00:00:00.000Z,89,89,86,0,3,0.9662921348314607,128
L945:T1:I4257,945,T1,2026-05-03T11:46:32.000Z,89,89,85,0,4,0.9550561797752809,130.49064814814815
L945:T2:I4259,945,T2,2026-05-09T15:14:15.000Z,89,89,86,0,3,0.9662921348314607,116.63489583333333
L945:T2:I4258,945,T2,2026-05-10T07:46:51.000Z,90,90,88,0,2,0.9777777777777777,114.3242013888889
L945:T2:I4260,945,T2,2026-05-10T10:45:50.000Z,90,90,88,0,2,0.9777777777777777,114.44849537037037
L945:T2:I4255,945,T2,2026-05-11T11:55:21.000Z,89,89,87,0,2,0.9775280898876404,115.49677083333333
L945:T2:I4256,945,T2,2026-05-12T07:10:00.000Z,91,91,89,0,2,0.978021978021978,116.29861111111111
L946:T0,946,T0,2026-06-12T00:00:00.000Z,85,85,83,0,2,0.9764705882352941,112
L946:T1:I4265,946,T1,2026-06-13T16:15:19.000Z,86,86,85,0,1,0.9883720930232558,101.67730324074074
L946:T2:I4261,946,T2,2026-06-17T09:09:44.000Z,87,87,86,0,1,0.9885057471264368,91.38175925925925
L946:T2:I4264,946,T2,2026-06-20T08:56:40.000Z,87,87,87,0,0,1,89.37268518518519
L946:T2:I4266,946,T2,2026-06-22T12:50:38.000Z,87,87,86,0,1,0.9885057471264368,91.53516203703704
L946:T2:I4262,946,T2,2026-06-22T17:46:35.000Z,87,87,86,0,1,0.9885057471264368,91.74068287037036
L946:T2:I4267,946,T2,2026-06-24T07:31:33.000Z,88,88,87,0,1,0.9886363636363636,93.31357638888889
L946:T2:I4263,946,T2,2026-06-24T15:37:51.000Z,88,88,87,0,1,0.9886363636363636,93.65128472222223
L947:T0,947,T0,2026-05-20T00:00:00.000Z,26,26,26,0,0,1,54
L947:T1:I4268,947,T1,2026-05-25T16:22:58.000Z,27,27,27,0,0,1,59.682615740740744
L948:T0,948,T0,2026-05-26T00:00:00.000Z,55,55,52,0,3,0.9454545454545454,113
L948:T1:I4270,948,T1,2026-05-30T20:35:36.000Z,56,56,52,0,4,0.9285714285714286,117.85805555555555
L948:T2:I4272,948,T2,2026-05-31T14:30:38.000Z,56,56,52,0,4,0.9285714285714286,118.60460648148148
L948:T2:I4271,948,T2,2026-06-03T07:34:01.000Z,56,56,52,0,4,0.9285714285714286,121.31528935185185
L948:T2:I4269,948,T2,2026-06-03T16:52:36.000Z,56,56,52,0,4,0.9285714285714286,121.70319444444445
L949:T0,949,T0,2025-11-09T00:00:00.000Z,17,17,17,0,0,1,63
L949:T1:I4276,949,T1,2025-11-10T11:11:57.000Z,18,18,18,0,0,1,64.46663194444444
L949:T2:I4275,949,T2,2026-03-09T07:03:00.000Z,28,28,28,0,0,1,80.29375
L949:T2:I4273,949,T2,2026-04-07T15:01:00.000Z,29,29,28,0,1,0.9655172413793104,91.62569444444445
L949:T2:I4277,949,T2,2026-05-19T11:33:00.000Z,34,34,32,0,2,0.9411764705882353,118.48125
L949:T2:I4274,949,T2,2026-06-05T15:01:00.000Z,36,36,36,0,0,1,79.62569444444445
L950:T0,950,T0,2026-06-22T00:00:00.000Z,55,55,53,0,2,0.9636363636363636,179
L950:T1:I4282,950,T1,2026-06-23T07:08:10.000Z,56,56,54,0,2,0.9642857142857143,180.29733796296296
L950:T2:I4281,950,T2,2026-06-26T10:32:50.000Z,56,56,54,0,2,0.9642857142857143,183.4394675925926
L950:T2:I4280,950,T2,2026-06-29T19:11:55.000Z,56,56,54,0,2,0.9642857142857143,186.79994212962964
L950:T2:I4278,950,T2,2026-06-30T14:55:05.000Z,56,56,54,0,2,0.9642857142857143,187.62158564814814
L950:T2:I4279,950,T2,2026-07-01T13:39:30.000Z,56,56,54,0,2,0.9642857142857143,188.5690972222222
L951:T0,951,T0,2026-06-09T00:00:00.000Z,42,42,40,0,2,0.9523809523809523,132
L951:T1:I4284,951,T1,2026-06-14T08:15:34.000Z,43,43,41,0,2,0.9534883720930233,127.34414351851852
L951:T2:I4283,951,T2,2026-06-22T20:17:35.000Z,43,43,42,0,1,0.9767441860465116,101.84554398148148
L952:T0,952,T0,2026-02-13T00:00:00.000Z,35,35,35,0,0,1,84
L952:T1:I4285,952,T1,2026-02-20T16:34:36.000Z,35,35,34,0,1,0.9714285714285714,91.69069444444445
L953:T0,953,T0,2025-10-11T00:00:00.000Z,26,26,23,0,3,0.8846153846153846,145
L953:T1:I4286,953,T1,2025-10-13T13:32:56.000Z,27,27,24,0,3,0.8888888888888888,147.56453703703704
L953:T2:I4287,953,T2,2025-10-22T14:36:53.000Z,28,28,26,0,2,0.9285714285714286,156.60894675925925
L953:T2:I4290,953,T2,2025-10-24T18:27:17.000Z,28,28,26,0,2,0.9285714285714286,158.76894675925925
L953:T2:I4289,953,T2,2025-12-30T09:54:00.000Z,29,29,29,0,0,1,88.4125
L953:T2:I4291,953,T2,2026-01-19T16:21:00.000Z,29,29,28,0,1,0.9655172413793104,105.68125
L953:T2:I4288,953,T2,2026-05-08T10:57:00.000Z,34,34,33,0,1,0.9705882352941176,154.45625
L954:T0,954,T0,2025-04-22T00:00:00.000Z,12,8,7,4,1,0.5833333333333334,101
L954:T1:I4293,954,T1,2025-05-01T09:45:55.000Z,15,10,9,5,1,0.6,110.40688657407408
L954:T2:I4292,954,T2,2025-05-07T07:11:00.000Z,16,11,10,5,1,0.625,116.29930555555555
L955:T0,955,T0,2025-04-30T00:00:00.000Z,30,23,21,7,2,0.7,103
L955:T1:I4296,955,T1,2025-05-03T15:51:21.000Z,31,25,24,6,1,0.7741935483870968,106.66065972222222
