prediction_key,lead_id,stage,score_time,n_candidates,n_snapshot_found,n_availability_known,n_no_snapshot,n_stale_gt_90d,availability_known_rate,max_snapshot_age_days
L4542:T2:I20581,4542,T2,2026-04-12T14:56:31.000Z,50,50,49,0,1,0.98,108.62258101851852
L4542:T2:I20580,4542,T2,2026-04-16T15:38:15.000Z,50,50,49,0,1,0.98,112.6515625
L4542:T2:I20578,4542,T2,2026-04-22T20:11:21.000Z,51,51,50,0,1,0.9803921568627451,118.84121527777778
L4543:T0,4543,T0,2025-11-10T00:00:00.000Z,15,15,13,0,2,0.8666666666666667,127
L4543:T1:I20584,4543,T1,2025-11-10T13:14:34.000Z,15,15,13,0,2,0.8666666666666667,127.5517824074074
L4543:T2:I20582,4543,T2,2025-11-20T09:50:22.000Z,16,16,14,0,2,0.875,137.40997685185187
L4543:T2:I20585,4543,T2,2026-01-06T12:53:00.000Z,17,17,15,0,2,0.8823529411764706,126.53680555555556
L4543:T2:I20583,4543,T2,2026-04-22T19:19:00.000Z,20,20,18,0,2,0.9,113.80486111111111
L4543:T2:I20586,4543,T2,2026-05-22T18:50:00.000Z,22,22,21,0,1,0.9545454545454546,143.78472222222223
L4544:T0,4544,T0,2026-06-16T00:00:00.000Z,65,65,64,0,1,0.9846153846153847,111
L4544:T1:I20590,4544,T1,2026-06-16T14:41:15.000Z,66,66,65,0,1,0.9848484848484849,111.61197916666667
L4544:T2:I20587,4544,T2,2026-06-16T20:05:10.000Z,66,66,65,0,1,0.9848484848484849,111.8369212962963
L4544:T2:I20589,4544,T2,2026-06-19T10:50:10.000Z,66,66,65,0,1,0.9848484848484849,114.45150462962962
L4544:T2:I20588,4544,T2,2026-06-27T10:48:43.000Z,66,66,65,0,1,0.9848484848484849,122.45049768518518
L4545:T0,4545,T0,2025-09-01T00:00:00.000Z,31,29,26,2,3,0.8387096774193549,124
L4545:T1:I20593,4545,T1,2025-09-05T16:03:55.000Z,32,30,28,2,2,0.875,128.66938657407408
L4545:T2:I20594,4545,T2,2025-09-07T20:21:48.000Z,31,29,27,2,2,0.8709677419354839,130.84847222222223
L4545:T2:I20591,4545,T2,2025-09-11T20:10:39.000Z,33,31,27,2,4,0.8181818181818182,134.84072916666668
L4545:T2:I20592,4545,T2,2025-10-11T08:39:00.000Z,36,35,27,1,8,0.75,164.36041666666668
L4546:T0,4546,T0,2026-05-08T00:00:00.000Z,18,18,17,0,1,0.9444444444444444,151
L4546:T1:I20595,4546,T1,2026-05-08T15:29:12.000Z,19,19,18,0,1,0.9473684210526315,151.64527777777778
L4547:T0,4547,T0,2025-08-23T00:00:00.000Z,16,16,15,0,1,0.9375,104
L4547:T1:I20597,4547,T1,2025-08-29T17:37:15.000Z,17,17,14,0,3,0.8235294117647058,110.73420138888889
L4547:T2:I20596,4547,T2,2025-08-30T15:09:43.000Z,16,16,13,0,3,0.8125,111.63174768518519
L4548:T0,4548,T0,2025-12-04T00:00:00.000Z,31,31,27,0,4,0.8709677419354839,162
L4548:T1:I20600,4548,T1,2025-12-05T13:09:59.000Z,32,32,28,0,4,0.875,163.54859953703703
L4548:T2:I20602,4548,T2,2025-12-09T13:50:29.000Z,32,32,28,0,4,0.875,167.57672453703702
L4548:T2:I20601,4548,T2,2025-12-10T17:51:28.000Z,33,33,28,0,5,0.8484848484848485,168.74407407407406
L4548:T2:I20598,4548,T2,2025-12-14T14:42:26.000Z,33,33,29,0,4,0.8787878787878788,172.61280092592594
L4548:T2:I20599,4548,T2,2025-12-19T18:04:00.000Z,33,33,28,0,5,0.8484848484848485,177.75277777777777
L4549:T0,4549,T0,2026-01-27T00:00:00.000Z,18,18,17,0,1,0.9444444444444444,116
L4549:T1:I20607,4549,T1,2026-01-30T10:10:45.000Z,19,19,17,0,2,0.8947368421052632,143.42413194444444
L4549:T2:I20606,4549,T2,2026-01-30T12:40:25.000Z,19,19,18,0,1,0.9473684210526315,119.52806712962963
L4549:T2:I20608,4549,T2,2026-01-31T07:52:00.000Z,19,19,19,0,0,1,84.32777777777778
L4549:T2:I20605,4549,T2,2026-01-31T11:04:37.000Z,18,18,18,0,0,1,84.46153935185185
L4549:T2:I20603,4549,T2,2026-02-02T10:24:52.000Z,19,19,19,0,0,1,86.43393518518519
L4549:T2:I20604,4549,T2,2026-02-13T19:36:00.000Z,19,19,19,0,0,1,55.81666666666667
L4550:T0,4550,T0,2026-06-16T00:00:00.000Z,46,46,46,0,0,1,81
L4550:T1:I20609,4550,T1,2026-06-16T10:14:03.000Z,47,47,47,0,0,1,81.4264236111111
L4550:T2:I20612,4550,T2,2026-06-16T10:27:27.000Z,47,47,47,0,0,1,81.43572916666666
L4550:T2:I20611,4550,T2,2026-06-16T10:41:34.000Z,47,47,46,0,1,0.9787234042553191,103.44553240740741
L4550:T2:I20610,4550,T2,2026-06-16T13:11:52.000Z,47,47,47,0,0,1,81.5499074074074
L4551:T0,4551,T0,2025-03-25T00:00:00.000Z,10,8,8,2,0,0.8,60
L4551:T1:I20613,4551,T1,2026-03-27T10:51:00.000Z,20,20,20,0,0,1,87.45208333333333
L4552:T0,4552,T0,2026-06-27T00:00:00.000Z,32,32,31,0,1,0.96875,92
L4552:T1:I20615,4552,T1,2026-06-29T08:34:55.000Z,33,33,32,0,1,0.9696969696969697,94.35758101851852
L4552:T2:I20614,4552,T2,2026-06-29T17:14:49.000Z,33,33,32,0,1,0.9696969696969697,94.71862268518518
L4553:T0,4553,T0,2025-05-28T00:00:00.000Z,19,14,11,5,3,0.5789473684210527,113
L4553:T1:I20622,4553,T1,2025-05-28T17:37:51.000Z,20,15,12,5,3,0.6,113.73461805555556
L4553:T2:I20620,4553,T2,2025-06-07T12:54:43.000Z,23,20,17,3,3,0.7391304347826086,123.53799768518519
L4553:T2:I20621,4553,T2,2025-07-10T14:38:00.000Z,26,25,22,1,3,0.8461538461538461,147.60972222222222
L4553:T2:I20616,4553,T2,2025-12-29T15:04:00.000Z,36,36,34,0,2,0.9444444444444444,140.62777777777777
L4553:T2:I20618,4553,T2,2026-02-05T12:40:00.000Z,38,38,37,0,1,0.9736842105263158,116.52777777777777
L4553:T2:I20617,4553,T2,2026-04-01T19:17:00.000Z,43,43,40,0,3,0.9302325581395349,135.8034722222222
L4553:T2:I20619,4553,T2,2026-06-18T08:53:00.000Z,49,49,46,0,3,0.9387755102040817,213.3701388888889
L4554:T0,4554,T0,2025-11-12T00:00:00.000Z,88,87,81,1,6,0.9204545454545454,164
L4554:T1:I20626,4554,T1,2025-11-14T15:16:09.000Z,89,88,80,1,8,0.898876404494382,166.63621527777778
L4554:T2:I20623,4554,T2,2025-11-18T07:48:48.000Z,89,88,79,1,9,0.8876404494382022,170.32555555555555
L4554:T2:I20627,4554,T2,2025-11-19T07:24:10.000Z,89,88,79,1,9,0.8876404494382022,171.30844907407408
L4554:T2:I20624,4554,T2,2025-11-19T09:24:53.000Z,89,88,79,1,9,0.8876404494382022,171.39228009259259
L4554:T2:I20625,4554,T2,2025-11-20T20:35:12.000Z,89,88,79,1,9,0.8876404494382022,172.85777777777778
L4555:T0,4555,T0,2025-08-26T00:00:00.000Z,52,48,40,4,8,0.7692307692307693,216
L4555:T1:I20628,4555,T1,2025-12-06T18:29:00.000Z,72,72,67,0,5,0.9305555555555556,282.7701388888889
L4556:T0,4556,T0,2025-01-08T00:00:00.000Z,37,0,0,37,0,0,
L4556:T1:I20630,4556,T1,2025-02-23T10:37:00.000Z,46,15,15,31,0,0.32608695652173914,30.44236111111111
L4556:T2:I20629,4556,T2,2025-07-23T09:05:00.000Z,81,69,60,12,9,0.7407407407407407,172.37847222222223
L4556:T2:I20633,4556,T2,2025-09-26T17:29:00.000Z,96,94,82,2,12,0.8541666666666666,237.72847222222222
L4556:T2:I20632,4556,T2,2025-11-25T16:37:00.000Z,116,115,105,1,10,0.9051724137931034,177.6923611111111
L4556:T2:I20631,4556,T2,2026-01-16T17:40:00.000Z,130,129,115,1,14,0.8846153846153846,153.73611111111111
L4557:T0,4557,T0,2026-04-08T00:00:00.000Z,24,24,20,0,4,0.8333333333333334,127
L4557:T1:I20634,4557,T1,2026-04-08T17:40:51.000Z,25,25,21,0,4,0.84,127.73670138888889
L4557:T2:I20636,4557,T2,2026-04-08T20:23:42.000Z,25,25,21,0,4,0.84,127.84979166666666
L4557:T2:I20638,4557,T2,2026-04-14T07:03:41.000Z,28,28,24,0,4,0.8571428571428571,133.29422453703702
L4557:T2:I20637,4557,T2,2026-04-14T09:53:57.000Z,28,28,24,0,4,0.8571428571428571,133.41246527777778
L4557:T2:I20635,4557,T2,2026-04-18T08:49:35.000Z,28,28,25,0,3,0.8928571428571429,137.3677662037037
L4558:T0,4558,T0,2025-04-25T00:00:00.000Z,23,17,17,6,0,0.7391304347826086,80
L4558:T1:I20646,4558,T1,2025-04-25T10:18:22.000Z,24,17,17,7,0,0.7083333333333334,80.4294212962963
L4558:T2:I20644,4558,T2,2025-04-26T10:45:26.000Z,24,18,18,6,0,0.75,81.4482175925926
L4558:T2:I20645,4558,T2,2025-04-26T13:32:10.000Z,24,18,18,6,0,0.75,81.56400462962964
L4558:T2:I20643,4558,T2,2025-05-04T15:53:41.000Z,24,19,19,5,0,0.7916666666666666,89.6622800925926
L4558:T2:I20639,4558,T2,2025-07-07T12:40:00.000Z,28,26,24,2,2,0.8571428571428571,140.52777777777777
L4558:T2:I20641,4558,T2,2025-09-24T19:47:00.000Z,42,42,37,0,5,0.8809523809523809,219.82430555555555
L4558:T2:I20640,4558,T2,2026-04-05T19:46:00.000Z,54,54,53,0,1,0.9814814814814815,99.8236111111111
L4558:T2:I20642,4558,T2,2026-05-08T10:36:00.000Z,59,59,55,0,4,0.9322033898305084,111.44166666666666
L4559:T0,4559,T0,2025-01-11T00:00:00.000Z,18,0,0,18,0,0,
L4559:T1:I20649,4559,T1,2025-01-17T10:46:21.000Z,19,1,1,18,0,0.05263157894736842,3.4488541666666666
L4559:T2:I20651,4559,T2,2025-01-18T09:40:04.000Z,19,2,2,17,0,0.10526315789473684,4.402824074074074
L4559:T2:I20650,4559,T2,2025-01-19T07:09:08.000Z,19,1,1,18,0,0.05263157894736842,5.298009259259259
L4559:T2:I20652,4559,T2,2025-01-19T10:28:48.000Z,19,1,1,18,0,0.05263157894736842,5.4366666666666665
L4559:T2:I20653,4559,T2,2025-01-23T16:11:50.000Z,21,3,3,18,0,0.14285714285714285,9.67488425925926
L4559:T2:I20647,4559,T2,2025-09-17T18:04:00.000Z,50,50,41,0,9,0.82,135.75277777777777
L4559:T2:I20648,4559,T2,2025-12-15T17:41:00.000Z,63,63,55,0,8,0.873015873015873,224.73680555555555
L4560:T0,4560,T0,2025-05-16T00:00:00.000Z,19,15,15,4,0,0.7894736842105263,90
L4560:T1:I20655,4560,T1,2025-05-22T15:44:21.000Z,20,16,14,4,2,0.7,96.65579861111111
L4560:T2:I20656,4560,T2,2025-06-19T12:08:00.000Z,20,18,15,2,3,0.75,124.50555555555556
L4560:T2:I20654,4560,T2,2025-10-11T11:05:00.000Z,26,26,22,0,4,0.8461538461538461,202.46180555555554
L4561:T0,4561,T0,2025-04-04T00:00:00.000Z,14,7,7,7,0,0.5,47
L4561:T1:I20657,4561,T1,2025-05-18T16:00:00.000Z,16,13,12,3,1,0.75,91.66666666666667
L4562:T0,4562,T0,2025-10-22T00:00:00.000Z,19,19,19,0,0,1,80
L4562:T1:I20658,4562,T1,2025-10-28T16:26:53.000Z,21,21,21,0,0,1,86.68533564814815
L4562:T2:I20659,4562,T2,2025-11-01T17:09:57.000Z,21,21,20,0,1,0.9523809523809523,90.71524305555556
L4562:T2:I20660,4562,T2,2026-04-15T13:55:00.000Z,26,26,26,0,0,1,77.57986111111111
L4563:T0,4563,T0,2026-04-13T00:00:00.000Z,15,15,12,0,3,0.8,148
L4563:T1:I20662,4563,T1,2026-04-21T15:00:18.000Z,16,16,14,0,2,0.875,156.62520833333335
L4563:T2:I20663,4563,T2,2026-04-23T16:24:48.000Z,16,16,14,0,2,0.875,158.6838888888889
L4563:T2:I20664,4563,T2,2026-04-25T08:44:51.000Z,16,16,14,0,2,0.875,160.36447916666665
L4563:T2:I20661,4563,T2,2026-05-02T11:52:00.000Z,16,16,14,0,2,0.875,167.49444444444444
L4564:T0,4564,T0,2025-06-05T00:00:00.000Z,64,49,44,15,5,0.6875,131
L4564:T1:I20665,4564,T1,2025-06-08T15:19:35.000Z,66,51,46,15,5,0.696969696969697,134.63859953703704
L4564:T2:I20667,4564,T2,2025-06-16T16:22:32.000Z,69,57,53,12,4,0.7681159420289855,142.68231481481482
L4564:T2:I20671,4564,T2,2025-06-18T08:51:53.000Z,70,58,54,12,4,0.7714285714285715,144.36936342592594
L4564:T2:I20669,4564,T2,2025-07-04T15:07:00.000Z,73,65,59,8,6,0.8082191780821918,160.6298611111111
L4564:T2:I20668,4564,T2,2025-07-19T08:23:00.000Z,77,75,69,2,6,0.8961038961038961,175.34930555555556
L4564:T2:I20666,4564,T2,2025-07-26T16:26:00.000Z,79,77,70,2,7,0.8860759493670886,182.68472222222223
L4564:T2:I20672,4564,T2,2026-04-08T16:52:00.000Z,135,135,130,0,5,0.9629629629629629,195.70277777777778
L4564:T2:I20670,4564,T2,2026-04-23T08:49:00.000Z,139,139,138,0,1,0.9928057553956835,210.3673611111111
L4565:T0,4565,T0,2025-10-06T00:00:00.000Z,33,32,24,1,8,0.7272727272727273,159
L4565:T1:I20673,4565,T1,2025-10-07T13:31:26.000Z,34,33,25,1,8,0.7352941176470589,160.56349537037036
L4566:T0,4566,T0,2025-06-26T00:00:00.000Z,10,8,8,2,0,0.8,57
L4566:T1:I20674,4566,T1,2025-07-05T18:23:15.000Z,11,9,9,2,0,0.8181818181818182,81.76614583333334
L4566:T2:I20675,4566,T2,2025-08-26T18:42:00.000Z,15,14,14,1,0,0.9333333333333333,74.77916666666667
L4567:T0,4567,T0,2025-08-09T00:00:00.000Z,6,6,4,0,2,0.6666666666666666,124
L4567:T1:I20681,4567,T1,2025-08-09T19:52:15.000Z,7,7,5,0,2,0.7142857142857143,124.82795138888889
