spot_id,broker_id,physical_profile,location_profile
197,122,PH2,LOC1
198,256,PH1,LOC1
199,182,PH3,LOC3
200,148,PH1,LOC2
201,93,PH2,LOC5
202,2,PH2,LOC7
203,22,PH2,LOC4
204,94,PH2,LOC5
205,11,PH1,LOC1
206,215,PH1,LOC1
207,126,PH1,LOC2
208,95,PH1,LOC4
209,203,PH1,LOC1
210,177,PH2,LOC5
211,209,PH4,LOC2
212,23,PH1,LOC3
213,185,PH1,LOC7
214,88,PH2,LOC1
215,78,PH1,LOC1
216,274,PH1,LOC4
217,66,PH2,LOC2
218,48,PH1,LOC6
219,190,PH3,LOC2
220,46,PH3,LOC2
221,111,PH1,LOC2
222,227,PH2,LOC2
223,282,PH4,LOC1
224,295,PH1,LOC4
225,56,PH3,LOC1
226,115,PH4,LOC1
227,9,PH3,LOC2
228,69,PH1,LOC1
229,170,PH1,LOC5
230,200,PH1,LOC3
231,222,PH1,LOC3
232,297,PH3,LOC2
233,206,PH1,LOC1
234,85,PH1,LOC2
235,297,PH1,LOC1
236,35,PH1,LOC1
237,42,PH3,LOC1
238,285,PH1,LOC2
239,125,PH3,LOC2
240,4,PH3,LOC3
241,127,PH2,LOC5
242,195,PH2,LOC2
243,114,PH3,LOC1
244,202,PH1,LOC5
245,100,PH1,LOC1
246,132,PH1,LOC2
247,279,PH2,LOC5
248,217,PH3,LOC7
249,154,PH2,LOC2
250,227,PH1,LOC7
251,78,PH1,LOC4
252,67,PH1,LOC2
253,162,PH1,LOC4
254,210,PH2,LOC2
255,162,PH1,LOC3
256,71,PH2,LOC1
257,262,PH2,LOC7
258,224,PH3,LOC7
259,34,PH2,LOC4
260,73,PH1,LOC5
261,120,PH3,LOC7
262,150,PH4,LOC2
263,172,PH1,LOC2
264,211,PH1,LOC3
265,266,PH1,LOC1
266,177,PH2,LOC4
267,10,PH1,LOC2
268,160,PH3,LOC1
269,179,PH4,LOC2
270,48,PH1,LOC1
271,160,PH2,LOC1
272,129,PH3,LOC2
273,15,PH3,LOC1
274,138,PH4,LOC1
275,37,PH1,LOC5
276,158,PH3,LOC3
277,28,PH1,LOC6
278,10,PH2,LOC3
279,59,PH3,LOC3
280,216,PH3,LOC2
281,171,PH2,LOC5
282,180,PH2,LOC4
283,13,PH3,LOC1
284,255,PH1,LOC1
285,124,PH1,LOC6
286,67,PH2,LOC6
287,295,PH1,LOC2
288,137,PH3,LOC4
289,226,PH2,LOC5
290,158,PH1,LOC2
291,227,PH1,LOC3
292,108,PH1,LOC1
293,64,PH2,LOC5
294,298,PH3,LOC3
295,258,PH2,LOC2
296,119,PH1,LOC1
297,146,PH1,LOC1
298,65,PH2,LOC1
299,17,PH1,LOC4
300,271,PH2,LOC2
301,77,PH2,LOC2
302,83,PH1,LOC4
303,210,PH1,LOC3
304,163,PH1,LOC4
305,135,PH3,LOC5
306,37,PH3,LOC1
307,163,PH3,LOC1
308,283,PH3,LOC1
309,67,PH1,LOC2
310,181,PH2,LOC4
311,265,PH1,LOC3
312,3,PH4,LOC5
313,6,PH1,LOC3
314,176,PH2,LOC4
315,139,PH3,LOC1
316,50,PH1,LOC3
317,38,PH1,LOC3
318,73,PH2,LOC4
319,204,PH2,LOC7
320,28,PH1,LOC3
321,147,PH3,LOC3
322,224,PH2,LOC7
323,171,PH1,LOC7
324,75,PH1,LOC1
325,225,PH2,LOC4
326,175,PH1,LOC1
327,119,PH1,LOC1
328,14,PH2,LOC2
329,176,PH1,LOC1
330,194,PH1,LOC1
331,229,PH1,LOC4
332,139,PH1,LOC1
333,228,PH1,LOC1
334,134,PH3,LOC1
335,168,PH2,LOC7
336,194,PH3,LOC1
337,244,PH2,LOC2
338,81,PH3,LOC1
339,297,PH4,LOC7
340,76,PH1,LOC2
341,298,PH3,LOC4
342,273,PH1,LOC4
343,278,PH4,LOC3
344,274,PH3,LOC2
345,25,PH2,LOC1
346,81,PH1,LOC7
347,154,PH1,LOC5
348,277,PH2,LOC2
349,79,PH1,LOC2
350,62,PH2,LOC7
351,162,PH2,LOC2
352,64,PH4,LOC5
353,159,PH2,LOC3
354,279,PH3,LOC2
355,129,PH2,LOC3
356,272,PH1,LOC3
357,158,PH2,LOC1
358,120,PH1,LOC3
359,45,PH2,LOC1
360,70,PH1,LOC5
361,6,PH1,LOC1
362,158,PH1,LOC2
363,37,PH2,LOC4
364,181,PH2,LOC1
365,164,PH3,LOC3
366,241,PH2,LOC7
367,111,PH3,LOC3
368,147,PH3,LOC6
369,243,PH2,LOC2
370,183,PH3,LOC1
371,55,PH2,LOC1
372,203,PH1,LOC4
373,209,PH1,LOC7
374,286,PH1,LOC3
375,190,PH2,LOC1
376,159,PH1,LOC4
377,266,PH3,LOC3
378,58,PH1,LOC4
379,157,PH4,LOC4
380,145,PH3,LOC4
381,57,PH1,LOC2
382,15,PH1,LOC2
383,240,PH3,LOC1
384,134,PH3,LOC5
385,94,PH2,LOC2
386,297,PH3,LOC2
387,171,PH4,LOC1
388,58,PH1,LOC2
389,259,PH2,LOC1
390,52,PH3,LOC4
391,202,PH1,LOC2
392,172,PH1,LOC1
393,24,PH1,LOC5
394,31,PH1,LOC6
395,98,PH1,LOC5
396,248,PH2,LOC2
397,147,PH2,LOC1
398,165,PH2,LOC1
399,203,PH3,LOC2
400,282,PH1,LOC2
401,151,PH1,LOC5
402,190,PH2,LOC1
403,236,PH1,LOC2
404,133,PH1,LOC2
405,116,PH4,LOC3
406,160,PH1,LOC1
407,70,PH1,LOC1
408,293,PH3,LOC4
409,232,PH1,LOC3
410,179,PH1,LOC2
411,64,PH2,LOC4
412,145,PH1,LOC3
413,186,PH1,LOC2
414,52,PH1,LOC1
415,71,PH2,LOC4
416,62,PH1,LOC1
417,119,PH4,LOC5
418,242,PH1,LOC1
419,202,PH1,LOC5
420,81,PH1,LOC3
421,265,PH2,LOC2
422,79,PH3,LOC1
423,46,PH4,LOC3
424,67,PH2,LOC1
425,145,PH2,LOC7
426,134,PH1,LOC6
427,45,PH1,LOC1
428,96,PH1,LOC6
429,36,PH1,LOC1
430,122,PH4,LOC5
431,209,PH1,LOC3
432,199,PH2,LOC3
433,239,PH2,LOC5
434,109,PH2,LOC4
435,148,PH2,LOC1
436,103,PH1,LOC7
437,291,PH2,LOC1
438,49,PH1,LOC4
439,120,PH2,LOC3
440,88,PH1,LOC2
441,148,PH1,LOC3
442,294,PH1,LOC1
443,42,PH4,LOC1
444,81,PH1,LOC7
445,156,PH1,LOC6
446,49,PH1,LOC1
447,173,PH3,LOC1
448,73,PH1,LOC1
449,53,PH2,LOC4
450,163,PH2,LOC1
451,106,PH2,LOC2
452,194,PH1,LOC2
453,280,PH2,LOC1
454,9,PH1,LOC6
455,113,PH1,LOC3
456,254,PH2,LOC3
457,291,PH1,LOC7
458,117,PH1,LOC3
459,270,PH2,LOC2
460,17,PH1,LOC3
461,206,PH1,LOC4
462,64,PH1,LOC1
463,288,PH2,LOC3
464,263,PH1,LOC1
465,150,PH1,LOC1
466,219,PH3,LOC1
467,225,PH2,LOC1
468,110,PH3,LOC5
469,287,PH1,LOC2
470,243,PH2,LOC2
471,111,PH3,LOC2
472,267,PH4,LOC7
473,51,PH1,LOC1
474,8,PH3,LOC7
475,196,PH1,LOC1
476,36,PH3,LOC5
477,180,PH4,LOC4
478,287,PH3,LOC2
479,83,PH1,LOC2
480,198,PH1,LOC4
481,82,PH1,LOC1
482,132,PH1,LOC1
483,165,PH2,LOC2
484,220,PH4,LOC1
485,8,PH1,LOC4
486,120,PH1,LOC7
487,85,PH1,LOC1
488,32,PH1,LOC2
489,233,PH1,LOC3
490,109,PH2,LOC1
491,150,PH4,LOC5
492,174,PH1,LOC2
493,293,PH4,LOC3
494,15,PH3,LOC4
495,221,PH3,LOC2
496,116,PH2,LOC1
497,77,PH2,LOC1
498,138,PH1,LOC5
499,28,PH1,LOC3
500,98,PH2,LOC4
501,255,PH1,LOC1
502,291,PH2,LOC1
503,201,PH1,LOC4
504,17,PH2,LOC5
505,43,PH1,LOC2
506,177,PH1,LOC1
507,75,PH2,LOC2
508,173,PH3,LOC5
509,79,PH2,LOC3
510,235,PH2,LOC6
511,44,PH1,LOC1
512,177,PH1,LOC3
513,231,PH2,LOC1
514,91,PH2,LOC3
515,124,PH1,LOC5
516,70,PH1,LOC2
517,273,PH2,LOC3
518,107,PH1,LOC2
519,225,PH1,LOC1
520,115,PH1,LOC3
521,53,PH1,LOC5
522,18,PH2,LOC4
523,253,PH1,LOC6
524,172,PH3,LOC2
525,186,PH2,LOC5
526,168,PH3,LOC2
527,276,PH1,LOC2
528,254,PH2,LOC1
529,18,PH1,LOC4
530,200,PH1,LOC2
531,197,PH1,LOC5
532,218,PH4,LOC5
533,176,PH1,LOC2
534,44,PH1,LOC7
535,97,PH1,LOC5
536,182,PH3,LOC5
537,187,PH1,LOC1
538,2,PH1,LOC1
539,212,PH1,LOC7
540,196,PH1,LOC1
541,281,PH3,LOC5
542,279,PH4,LOC5
543,31,PH4,LOC1
544,70,PH1,LOC1
545,297,PH2,LOC1
546,233,PH1,LOC1
547,98,PH3,LOC6
548,52,PH1,LOC2
549,186,PH3,LOC4
550,205,PH1,LOC1
551,173,PH2,LOC4
552,28,PH1,LOC1
553,204,PH2,LOC1
554,247,PH1,LOC2
555,194,PH1,LOC1
556,300,PH4,LOC1
557,240,PH2,LOC3
558,9,PH2,LOC2
559,181,PH2,LOC2
560,10,PH2,LOC1
561,179,PH1,LOC5
562,120,PH4,LOC2
563,138,PH3,LOC2
564,28,PH1,LOC3
565,197,PH2,LOC2
566,165,PH1,LOC5
567,297,PH3,LOC2
568,213,PH1,LOC5
569,205,PH1,LOC2
570,281,PH1,LOC1
571,184,PH2,LOC4
572,69,PH1,LOC2
573,162,PH2,LOC4
574,251,PH1,LOC2
575,106,PH1,LOC3
576,196,PH2,LOC6
577,194,PH1,LOC1
578,205,PH2,LOC4
579,39,PH2,LOC1
580,88,PH1,LOC1
581,98,PH3,LOC2
582,282,PH1,LOC5
583,122,PH1,LOC1
584,265,PH1,LOC1
585,77,PH3,LOC3
586,101,PH2,LOC7
587,87,PH2,LOC4
588,225,PH1,LOC1
589,290,PH1,LOC1
590,269,PH3,LOC2
591,88,PH2,LOC1
592,10,PH2,LOC2
593,298,PH1,LOC2
594,107,PH2,LOC2
595,93,PH1,LOC1
596,274,PH1,LOC1
597,97,PH1,LOC1
598,275,PH4,LOC1
599,45,PH1,LOC2
600,79,PH1,LOC1
601,190,PH1,LOC5
602,76,PH3,LOC1
603,230,PH2,LOC3
604,200,PH1,LOC2
605,192,PH2,LOC3
606,44,PH2,LOC1
607,117,PH1,LOC7
608,110,PH2,LOC4
609,136,PH2,LOC2
610,281,PH1,LOC3
611,33,PH1,LOC5
612,210,PH1,LOC4
613,122,PH1,LOC4
614,186,PH1,LOC3
615,150,PH1,LOC2
616,56,PH3,LOC2
617,154,PH3,LOC2
618,197,PH3,LOC5
619,20,PH1,LOC3
620,212,PH1,LOC2
621,257,PH3,LOC3
622,245,PH2,LOC1
623,108,PH1,LOC2
624,245,PH3,LOC7
625,157,PH2,LOC1
626,289,PH2,LOC6
627,179,PH1,LOC3
628,288,PH4,LOC2
629,156,PH4,LOC2
630,180,PH4,LOC2
631,90,PH1,LOC1
632,290,PH2,LOC4
633,248,PH2,LOC1
634,175,PH2,LOC2
635,240,PH1,LOC1
636,264,PH2,LOC2
637,174,PH1,LOC4
638,207,PH1,LOC4
639,47,PH2,LOC1
640,261,PH3,LOC1
641,42,PH1,LOC2
642,39,PH4,LOC2
643,81,PH1,LOC6
644,288,PH3,LOC4
645,48,PH1,LOC1
646,182,PH1,LOC4
647,11,PH1,LOC5
648,190,PH3,LOC4
649,75,PH2,LOC4
650,115,PH1,LOC4
651,124,PH2,LOC3
652,109,PH1,LOC7
653,215,PH1,LOC2
654,120,PH2,LOC2
655,269,PH2,LOC1
656,285,PH1,LOC2
657,246,PH2,LOC1
658,293,PH2,LOC7
659,109,PH1,LOC2
660,142,PH3,LOC2
661,161,PH1,LOC1
662,169,PH3,LOC4
663,216,PH2,LOC2
664,49,PH1,LOC2
665,59,PH3,LOC1
666,243,PH3,LOC1
667,79,PH1,LOC1
668,282,PH2,LOC5
669,198,PH1,LOC2
670,174,PH3,LOC3
671,210,PH1,LOC1
672,231,PH1,LOC2
673,73,PH1,LOC6
674,71,PH2,LOC7
675,212,PH2,LOC6
676,139,PH1,LOC4
677,218,PH1,LOC5
678,40,PH1,LOC5
679,156,PH1,LOC4
680,233,PH1,LOC2
681,75,PH1,LOC5
682,14,PH2,LOC2
683,250,PH1,LOC1
684,12,PH1,LOC6
685,146,PH1,LOC2
686,48,PH3,LOC5
687,266,PH3,LOC4
688,179,PH1,LOC7
689,219,PH1,LOC6
690,144,PH1,LOC1
691,158,PH3,LOC2
692,200,PH2,LOC1
693,233,PH2,LOC2
694,114,PH2,LOC6
695,248,PH3,LOC4
696,75,PH1,LOC7
697,87,PH3,LOC5
698,70,PH4,LOC4
699,67,PH1,LOC1
700,189,PH1,LOC1
701,299,PH2,LOC1
702,181,PH2,LOC1
703,251,PH2,LOC6
704,237,PH2,LOC1
705,11,PH1,LOC5
706,114,PH4,LOC3
707,274,PH1,LOC3
708,248,PH2,LOC1
709,243,PH4,LOC7
710,283,PH2,LOC1
711,197,PH2,LOC2
712,263,PH2,LOC2
713,2,PH1,LOC1
714,205,PH1,LOC4
715,37,PH1,LOC5
716,227,PH1,LOC5
717,28,PH1,LOC5
718,92,PH1,LOC7
719,135,PH1,LOC1
720,245,PH1,LOC3
721,181,PH1,LOC2
722,130,PH1,LOC1
723,51,PH2,LOC1
724,219,PH1,LOC1
725,173,PH4,LOC6
726,267,PH1,LOC4
727,124,PH2,LOC2
728,211,PH3,LOC2
729,105,PH3,LOC1
730,115,PH2,LOC2
731,201,PH1,LOC1
732,230,PH1,LOC1
733,279,PH1,LOC1
734,177,PH2,LOC2
735,98,PH1,LOC1
736,230,PH3,LOC1
737,218,PH2,LOC1
738,90,PH3,LOC1
739,189,PH1,LOC2
740,274,PH1,LOC1
741,182,PH3,LOC1
742,90,PH1,LOC4
743,109,PH1,LOC3
744,14,PH2,LOC6
745,4,PH3,LOC1
746,162,PH3,LOC1
747,124,PH1,LOC1
748,6,PH1,LOC5
749,284,PH1,LOC4
750,9,PH1,LOC3
751,210,PH1,LOC1
752,155,PH1,LOC5
753,24,PH2,LOC4
754,299,PH4,LOC2
755,244,PH2,LOC2
756,105,PH2,LOC3
757,275,PH1,LOC1
758,160,PH1,LOC4
759,4,PH1,LOC1
760,1,PH3,LOC4
761,116,PH3,LOC2
762,170,PH2,LOC1
763,194,PH1,LOC4
764,213,PH2,LOC2
765,126,PH3,LOC1
766,266,PH1,LOC1
767,61,PH1,LOC2
768,141,PH1,LOC4
769,274,PH4,LOC5
770,79,PH1,LOC2
771,143,PH2,LOC7
772,284,PH1,LOC1
773,22,PH1,LOC2
774,149,PH1,LOC1
775,262,PH2,LOC1
776,26,PH1,LOC1
777,39,PH1,LOC5
778,163,PH1,LOC4
779,48,PH1,LOC1
780,73,PH1,LOC2
781,167,PH2,LOC2
782,51,PH2,LOC6
783,297,PH2,LOC4
784,58,PH1,LOC6
785,142,PH3,LOC2
786,228,PH1,LOC1
787,208,PH1,LOC1
788,64,PH2,LOC1
789,25,PH2,LOC2
790,288,PH1,LOC3
791,300,PH1,LOC3
792,181,PH2,LOC4
793,223,PH1,LOC6
794,118,PH1,LOC5
795,68,PH1,LOC2
796,190,PH1,LOC2
797,189,PH3,LOC2
798,242,PH4,LOC1
799,99,PH3,LOC7
800,150,PH1,LOC7
801,241,PH2,LOC3
802,226,PH3,LOC5
803,139,PH1,LOC3
804,281,PH2,LOC5
805,56,PH2,LOC1
806,51,PH2,LOC1
807,13,PH1,LOC2
808,148,PH3,LOC2
809,184,PH1,LOC3
810,269,PH1,LOC1
811,115,PH1,LOC3
812,90,PH2,LOC2
813,285,PH2,LOC1
814,263,PH1,LOC1
815,235,PH1,LOC1
816,200,PH2,LOC5
817,38,PH1,LOC2
818,121,PH1,LOC3
819,123,PH1,LOC7
820,64,PH1,LOC1
821,8,PH3,LOC1
822,33,PH3,LOC6
823,156,PH2,LOC1
824,270,PH1,LOC2
825,179,PH1,LOC7
826,16,PH1,LOC6
827,281,PH3,LOC1
828,90,PH1,LOC2
829,133,PH1,LOC7
830,72,PH2,LOC5
831,102,PH3,LOC3
832,176,PH2,LOC2
833,227,PH1,LOC2
834,34,PH1,LOC2
835,194,PH3,LOC3
836,90,PH1,LOC4
837,83,PH3,LOC1
838,204,PH2,LOC3
839,159,PH1,LOC2
840,294,PH1,LOC3
841,225,PH1,LOC1
842,94,PH1,LOC7
843,62,PH1,LOC1
844,22,PH1,LOC1
845,129,PH2,LOC1
846,170,PH3,LOC2
847,27,PH2,LOC1
848,173,PH2,LOC2
849,135,PH1,LOC3
850,259,PH2,LOC4
851,112,PH1,LOC2
852,287,PH4,LOC3
853,58,PH1,LOC4
854,153,PH1,LOC4
855,80,PH1,LOC5
856,43,PH1,LOC2
857,121,PH1,LOC2
858,82,PH2,LOC2
859,226,PH2,LOC1
860,151,PH1,LOC2
861,294,PH3,LOC4
862,239,PH2,LOC1
863,52,PH1,LOC2
864,231,PH2,LOC5
865,236,PH2,LOC1
866,47,PH3,LOC2
867,239,PH1,LOC4
868,153,PH1,LOC4
869,120,PH4,LOC1
870,77,PH2,LOC2
871,151,PH1,LOC1
872,33,PH1,LOC1
873,286,PH3,LOC1
874,218,PH1,LOC5
875,106,PH2,LOC1
876,259,PH3,LOC4
877,52,PH3,LOC2
878,95,PH1,LOC1
879,124,PH4,LOC4
880,71,PH2,LOC5
881,157,PH1,LOC3
882,148,PH1,LOC1
883,63,PH1,LOC1
884,61,PH2,LOC1
885,153,PH3,LOC1
886,269,PH3,LOC6
887,234,PH1,LOC2
888,142,PH1,LOC1
889,91,PH3,LOC3
890,62,PH1,LOC3
891,3,PH2,LOC5
892,299,PH4,LOC4
893,174,PH4,LOC1
894,256,PH1,LOC3
895,33,PH2,LOC2
896,64,PH1,LOC5
897,128,PH1,LOC2
898,183,PH1,LOC3
899,298,PH2,LOC4
900,275,PH1,LOC4
901,218,PH2,LOC1
902,85,PH3,LOC2
903,238,PH2,LOC3
904,19,PH2,LOC2
905,67,PH1,LOC6
906,212,PH1,LOC1
907,265,PH1,LOC1
908,99,PH1,LOC1
909,278,PH3,LOC1
910,75,PH1,LOC1
911,28,PH3,LOC1
912,219,PH1,LOC1
913,25,PH3,LOC2
914,38,PH2,LOC2
915,21,PH1,LOC1
916,293,PH1,LOC1
917,251,PH4,LOC4
918,56,PH3,LOC6
919,128,PH4,LOC1
920,245,PH2,LOC1
921,3,PH1,LOC6
922,283,PH1,LOC6
923,20,PH1,LOC1
924,96,PH1,LOC3
925,244,PH1,LOC1
926,19,PH4,LOC6
927,173,PH1,LOC1
928,163,PH3,LOC3
929,101,PH1,LOC5
930,38,PH1,LOC1
931,228,PH2,LOC2
932,119,PH1,LOC6
933,234,PH3,LOC5
934,175,PH3,LOC1
935,252,PH4,LOC1
936,234,PH2,LOC1
937,261,PH1,LOC3
938,64,PH2,LOC4
939,255,PH1,LOC1
940,131,PH1,LOC1
941,250,PH4,LOC5
942,54,PH2,LOC1
943,67,PH4,LOC3
944,122,PH2,LOC5
945,123,PH1,LOC1
946,113,PH3,LOC5
947,65,PH1,LOC2
948,276,PH1,LOC1
949,123,PH3,LOC4
950,253,PH1,LOC2
951,146,PH1,LOC1
952,176,PH1,LOC1
953,275,PH2,LOC6
954,151,PH2,LOC5
955,117,PH4,LOC3
956,35,PH1,LOC7
957,133,PH2,LOC5
958,23,PH3,LOC1
959,229,PH3,LOC4
960,296,PH1,LOC6
961,33,PH2,LOC1
962,43,PH1,LOC1
963,250,PH3,LOC4
964,144,PH1,LOC4
965,277,PH2,LOC2
966,136,PH1,LOC1
967,237,PH1,LOC3
968,181,PH2,LOC1
969,133,PH2,LOC7
970,297,PH1,LOC1
971,251,PH1,LOC2
972,8,PH3,LOC7
973,83,PH1,LOC1
974,277,PH3,LOC5
975,293,PH4,LOC4
976,74,PH1,LOC6
977,72,PH1,LOC3
978,249,PH2,LOC6
979,171,PH1,LOC5
980,265,PH1,LOC1
981,50,PH2,LOC3
982,265,PH1,LOC1
983,73,PH2,LOC6
984,241,PH1,LOC2
985,150,PH1,LOC6
986,142,PH2,LOC5
987,111,PH1,LOC1
988,57,PH1,LOC7
989,295,PH1,LOC7
990,42,PH2,LOC2
991,85,PH2,LOC3
992,292,PH1,LOC1
993,67,PH2,LOC3
994,242,PH1,LOC2
995,68,PH1,LOC5
996,180,PH3,LOC3
997,254,PH1,LOC2
998,72,PH2,LOC6
999,91,PH1,LOC1
1000,69,PH3,LOC2
1001,140,PH1,LOC4
1002,169,PH2,LOC1
1003,224,PH1,LOC5
1004,27,PH2,LOC1
1005,112,PH2,LOC5
1006,268,PH2,LOC2
1007,227,PH4,LOC3
1008,266,PH1,LOC5
1009,70,PH3,LOC3
1010,23,PH1,LOC1
1011,109,PH1,LOC2
1012,177,PH1,LOC1
1013,258,PH1,LOC2
1014,278,PH4,LOC1
1015,69,PH1,LOC2
1016,174,PH2,LOC1
1017,79,PH4,LOC3
1018,64,PH1,LOC2
1019,46,PH1,LOC5
1020,282,PH4,LOC3
1021,52,PH3,LOC2
1022,227,PH4,LOC2
1023,20,PH2,LOC2
1024,187,PH2,LOC1
1025,258,PH1,LOC5
1026,14,PH2,LOC1
1027,16,PH1,LOC3
1028,81,PH3,LOC2
1029,296,PH1,LOC3
1030,126,PH1,LOC1
1031,45,PH1,LOC1
1032,233,PH2,LOC1
1033,51,PH1,LOC3
1034,146,PH2,LOC1
1035,294,PH1,LOC1
1036,174,PH1,LOC2
1037,267,PH2,LOC5
1038,45,PH2,LOC7
1039,226,PH1,LOC7
1040,60,PH1,LOC2
1041,177,PH2,LOC2
1042,137,PH2,LOC2
1043,130,PH4,LOC1
1044,28,PH1,LOC1
1045,239,PH2,LOC3
1046,108,PH1,LOC5
1047,10,PH3,LOC1
1048,39,PH3,LOC2
1049,229,PH1,LOC3
1050,23,PH1,LOC5
1051,212,PH2,LOC1
1052,171,PH2,LOC2
1053,239,PH2,LOC6
1054,147,PH1,LOC1
1055,158,PH3,LOC4
1056,61,PH2,LOC2
1057,24,PH2,LOC1
1058,258,PH1,LOC1
1059,171,PH1,LOC5
1060,11,PH1,LOC5
1061,161,PH1,LOC1
1062,51,PH2,LOC6
1063,41,PH2,LOC2
1064,3,PH1,LOC2
1065,294,PH2,LOC3
1066,13,PH1,LOC5
1067,137,PH1,LOC1
1068,146,PH1,LOC5
