model_variant,fold,window_start,window_end,n,n_leads,positive_rate,roc_auc,average_precision,pr_auc,log_loss,brier,calibration_intercept,calibration_slope,lift_at_5pct,lift_at_10pct,lift_at_20pct,precision_at_10pct,recall_at_10pct,recall_at_20pct
LOGISTIC_C,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.472895,0.220362,0.217272,0.529189,0.169336,-1.470788,-0.084359,1.004926,0.921182,0.87931,0.189655,0.092437,0.176471
LOGISTIC_C,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.44972,0.204962,0.201467,0.553917,0.179589,-1.923919,-0.452218,0.877516,1.040552,0.899273,0.229508,0.105263,0.180451
LOGISTIC_D_WITH_ASKED_VISIT,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.515641,0.216653,0.211877,0.539778,0.174487,-1.193535,0.084039,0.611895,1.01063,1.049501,0.213115,0.101562,0.210938
LOGISTIC_D_WITH_ASKED_VISIT,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.538643,0.212309,0.208738,0.501153,0.160135,-0.984244,0.301145,0.822854,1.003612,1.011906,0.196721,0.101695,0.20339
LOGISTIC_D_WITH_ASKED_VISIT,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.472895,0.220362,0.217272,0.529189,0.169336,-1.470788,-0.084359,1.004926,0.921182,0.87931,0.189655,0.092437,0.176471
LOGISTIC_D_WITH_ASKED_VISIT,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.44972,0.204962,0.201467,0.553917,0.179589,-1.923919,-0.452218,0.877516,1.040552,0.899273,0.229508,0.105263,0.180451
LOGISTIC_D_WITHOUT_ASKED_VISIT,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.519311,0.220257,0.215329,0.537935,0.173821,-1.15891,0.107403,0.764869,1.243852,0.97176,0.262295,0.125,0.195312
LOGISTIC_D_WITHOUT_ASKED_VISIT,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.54204,0.211937,0.208612,0.500771,0.160038,-0.970014,0.312343,1.151996,1.087246,1.054069,0.213115,0.110169,0.211864
LOGISTIC_D_WITHOUT_ASKED_VISIT,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.468721,0.216202,0.213201,0.530226,0.169665,-1.521073,-0.119323,1.004926,0.921182,0.87931,0.189655,0.092437,0.176471
LOGISTIC_D_WITHOUT_ASKED_VISIT,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.454759,0.206598,0.203137,0.552966,0.179337,-1.887908,-0.42942,1.170022,1.040552,0.861803,0.229508,0.105263,0.172932
LOGISTIC_E,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.514516,0.210834,0.207386,0.543836,0.176102,-1.223988,0.062346,0.611895,0.855149,0.97176,0.180328,0.085938,0.195312
LOGISTIC_E,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.539221,0.221497,0.217467,0.500142,0.159482,-0.916413,0.34282,1.316566,1.087246,1.096232,0.213115,0.110169,0.220339
LOGISTIC_E,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.466048,0.238266,0.235544,0.531843,0.169514,-1.498115,-0.099894,1.674877,1.004926,1.08867,0.206897,0.10084,0.218487
LOGISTIC_E,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.454951,0.207114,0.20376,0.555118,0.179754,-1.814586,-0.369842,0.877516,1.114877,0.899273,0.245902,0.112782,0.180451
CATBOOST_A,F1,2025-09-01 08:32:31+00:00,2025-10-31 20:25:02+00:00,607,607,0.210873,0.476041,0.194203,0.191333,0.536775,0.173548,-1.672802,-0.236906,0.611895,0.544185,0.816278,0.114754,0.054688,0.164062
CATBOOST_A,F2,2025-11-01 07:20:27+00:00,2025-12-31 17:16:12+00:00,602,602,0.196013,0.514743,0.20017,0.196051,0.503467,0.160455,-1.277263,0.092339,1.151996,0.919978,0.927581,0.180328,0.09322,0.186441
CATBOOST_A,F3,2026-01-01 07:12:40+00:00,2026-02-28 20:11:00+00:00,578,578,0.205882,0.511836,0.222623,0.217657,0.513643,0.165203,-1.066889,0.204834,0.837438,1.004926,1.256158,0.206897,0.10084,0.252101
CATBOOST_A,F4,2026-03-01 10:00:19+00:00,2026-04-30 20:23:09+00:00,603,603,0.220564,0.486962,0.22167,0.21917,0.542293,0.176352,-1.437232,-0.114252,0.585011,0.743252,0.749394,0.163934,0.075188,0.150376
