lead_id,source,behavioral_profile
229,email,BP3
230,organic,BP1
231,email,BP3
232,referral,BP3
233,paid,BP2
234,paid,BP1
235,organic,BP3
236,social,BP1
237,paid,BP1
238,organic,BP1
239,paid,BP1
240,event,BP1
241,email,BP1
242,paid,BP3
243,organic,BP3
244,referral,BP1
245,organic,BP1
246,social,BP1
247,social,BP1
248,email,BP3
249,organic,BP3
250,event,BP2
251,event,BP1
252,paid,BP3
253,email,BP1
254,referral,BP3
255,referral,BP2
256,organic,BP1
257,organic,BP1
258,organic,BP1
259,paid,BP2
260,referral,BP1
261,organic,BP3
262,organic,BP1
263,paid,BP1
264,email,BP1
265,referral,BP1
266,social,BP3
267,event,BP2
268,paid,BP1
269,paid,BP3
270,paid,BP1
271,event,BP2
272,organic,BP3
273,social,BP2
274,referral,BP1
275,organic,BP1
276,paid,BP1
277,social,BP1
278,email,BP2
279,email,BP1
280,paid,BP1
281,paid,BP2
282,email,BP1
283,organic,BP1
284,organic,BP1
285,referral,BP1
286,paid,BP1
287,paid,BP1
288,social,BP1
289,organic,BP2
290,social,BP3
291,paid,BP1
292,event,BP1
293,referral,BP1
294,paid,BP1
295,social,BP1
296,paid,BP2
297,organic,BP3
298,organic,BP1
299,organic,BP3
300,referral,BP1
301,paid,BP3
302,paid,BP2
303,paid,BP2
304,organic,BP2
305,organic,BP1
306,social,BP2
307,social,BP2
308,paid,BP1
309,paid,BP1
310,event,BP1
311,email,BP1
312,paid,BP2
313,referral,BP3
314,organic,BP1
315,paid,BP1
316,referral,BP1
317,organic,BP1
318,organic,BP3
319,email,BP1
320,organic,BP1
321,social,BP1
322,email,BP2
323,paid,BP1
324,organic,BP2
325,social,BP3
326,paid,BP1
327,organic,BP1
328,paid,BP1
329,organic,BP3
330,paid,BP1
331,email,BP1
332,paid,BP1
333,event,BP2
334,referral,BP3
335,email,BP1
336,social,BP2
337,organic,BP2
338,email,BP1
339,email,BP1
340,referral,BP1
341,social,BP1
342,organic,BP2
343,organic,BP1
344,organic,BP1
345,referral,BP2
346,organic,BP1
347,organic,BP2
348,event,BP2
349,referral,BP1
350,social,BP1
351,organic,BP1
352,organic,BP2
353,social,BP2
354,referral,BP1
355,referral,BP2
356,event,BP2
357,referral,BP2
358,referral,BP2
359,paid,BP2
360,organic,BP1
361,paid,BP1
362,referral,BP3
363,organic,BP1
364,referral,BP2
365,referral,BP1
366,paid,BP1
367,email,BP1
368,social,BP1
369,referral,BP2
370,event,BP1
371,social,BP1
372,organic,BP1
373,organic,BP1
374,organic,BP1
375,organic,BP1
376,referral,BP1
377,referral,BP3
378,event,BP1
379,referral,BP2
380,organic,BP1
381,event,BP2
382,paid,BP2
383,organic,BP1
384,organic,BP3
385,paid,BP3
386,referral,BP2
387,paid,BP2
388,social,BP2
389,paid,BP1
390,email,BP1
391,paid,BP2
392,paid,BP3
393,organic,BP2
394,referral,BP2
395,referral,BP2
396,paid,BP1
397,referral,BP3
398,paid,BP1
399,referral,BP1
400,paid,BP1
401,referral,BP1
402,email,BP1
403,referral,BP2
404,paid,BP2
405,paid,BP3
406,referral,BP1
407,social,BP1
408,email,BP2
409,social,BP2
410,email,BP2
411,referral,BP1
412,email,BP1
413,email,BP3
414,social,BP2
415,social,BP1
416,paid,BP1
417,paid,BP2
418,paid,BP1
419,referral,BP1
420,paid,BP1
421,referral,BP1
422,paid,BP1
423,paid,BP1
424,referral,BP1
425,organic,BP2
426,organic,BP2
427,paid,BP1
428,referral,BP1
429,organic,BP1
430,referral,BP2
431,referral,BP1
432,organic,BP2
433,organic,BP1
434,paid,BP2
435,paid,BP1
436,event,BP1
437,organic,BP1
438,referral,BP1
439,organic,BP1
440,paid,BP1
441,organic,BP1
442,organic,BP3
443,paid,BP1
444,referral,BP2
445,paid,BP2
446,paid,BP1
447,social,BP2
448,referral,BP1
449,organic,BP1
450,paid,BP1
451,organic,BP2
452,organic,BP1
453,referral,BP3
454,organic,BP1
455,organic,BP1
456,paid,BP1
457,social,BP2
458,organic,BP1
459,paid,BP1
460,event,BP2
461,organic,BP1
462,paid,BP2
463,organic,BP1
464,email,BP1
465,organic,BP1
466,organic,BP1
467,event,BP1
468,paid,BP1
469,organic,BP2
470,social,BP1
471,email,BP1
472,referral,BP2
473,organic,BP1
474,organic,BP1
475,email,BP3
476,organic,BP1
477,referral,BP2
478,organic,BP1
479,organic,BP1
480,paid,BP1
481,referral,BP1
482,organic,BP1
483,organic,BP1
484,organic,BP2
485,organic,BP1
486,organic,BP1
487,paid,BP1
488,organic,BP1
489,referral,BP1
490,paid,BP2
491,paid,BP2
492,paid,BP2
493,event,BP1
494,organic,BP1
495,organic,BP1
496,organic,BP1
497,organic,BP1
498,event,BP2
499,paid,BP2
500,social,BP1
501,event,BP1
502,social,BP1
503,referral,BP1
504,email,BP2
505,referral,BP1
506,organic,BP1
507,paid,BP2
508,email,BP1
509,social,BP1
510,referral,BP1
511,email,BP2
512,referral,BP1
513,paid,BP3
514,referral,BP3
515,organic,BP1
516,referral,BP1
517,email,BP1
518,event,BP2
519,organic,BP2
520,organic,BP1
521,organic,BP1
522,social,BP1
523,paid,BP1
524,paid,BP2
525,organic,BP1
526,organic,BP1
527,email,BP2
528,paid,BP2
529,organic,BP1
530,organic,BP2
531,organic,BP2
532,organic,BP1
533,organic,BP2
534,paid,BP1
535,organic,BP1
536,referral,BP1
537,paid,BP2
538,referral,BP1
539,referral,BP2
540,email,BP1
541,organic,BP2
542,social,BP2
543,organic,BP1
544,organic,BP3
545,organic,BP1
546,paid,BP3
547,referral,BP2
548,social,BP1
549,organic,BP2
550,paid,BP2
551,organic,BP1
552,organic,BP3
553,paid,BP1
554,organic,BP1
555,referral,BP1
556,paid,BP1
557,paid,BP1
558,paid,BP1
559,organic,BP1
560,organic,BP3
561,referral,BP1
562,organic,BP2
563,referral,BP1
564,referral,BP1
565,referral,BP2
566,paid,BP1
567,organic,BP1
568,organic,BP1
569,organic,BP1
570,organic,BP1
571,social,BP3
572,organic,BP3
573,organic,BP1
574,email,BP1
575,referral,BP1
576,organic,BP2
577,social,BP1
578,paid,BP1
579,email,BP1
580,email,BP1
581,paid,BP1
582,organic,BP1
583,referral,BP2
584,organic,BP2
585,paid,BP1
586,email,BP2
587,organic,BP2
588,email,BP1
589,paid,BP1
590,organic,BP2
591,email,BP3
592,paid,BP1
593,referral,BP3
594,referral,BP1
595,organic,BP1
596,organic,BP2
597,paid,BP1
598,email,BP2
599,paid,BP3
600,social,BP1
601,social,BP3
602,organic,BP3
603,social,BP1
604,social,BP1
605,referral,BP3
606,referral,BP1
607,paid,BP1
608,event,BP1
609,event,BP1
610,referral,BP1
611,social,BP1
612,referral,BP3
613,email,BP2
614,paid,BP3
615,email,BP2
616,event,BP1
617,referral,BP1
618,event,BP2
619,paid,BP1
620,organic,BP1
621,organic,BP2
622,paid,BP1
623,organic,BP2
624,organic,BP2
625,paid,BP2
626,organic,BP2
627,referral,BP1
628,social,BP1
629,organic,BP1
630,paid,BP2
631,organic,BP1
632,email,BP3
633,referral,BP1
634,social,BP2
635,paid,BP2
636,email,BP1
637,paid,BP3
638,referral,BP1
639,organic,BP3
640,paid,BP1
641,paid,BP2
642,paid,BP3
643,organic,BP1
644,paid,BP2
645,referral,BP2
646,paid,BP2
647,paid,BP2
648,referral,BP1
649,paid,BP1
650,referral,BP3
651,social,BP1
652,social,BP1
653,organic,BP1
654,organic,BP1
655,paid,BP2
656,social,BP1
657,organic,BP2
658,referral,BP1
659,referral,BP3
660,social,BP2
661,organic,BP1
662,social,BP1
663,paid,BP1
664,social,BP3
665,event,BP1
666,referral,BP3
667,paid,BP1
668,paid,BP3
669,social,BP3
670,paid,BP1
671,organic,BP3
672,event,BP3
673,organic,BP2
674,event,BP1
675,organic,BP1
676,referral,BP2
677,event,BP2
678,paid,BP1
679,paid,BP1
680,referral,BP1
681,organic,BP2
682,organic,BP1
683,paid,BP1
684,referral,BP2
685,organic,BP2
686,referral,BP2
687,email,BP1
688,social,BP2
689,referral,BP1
690,event,BP3
691,referral,BP1
692,referral,BP2
693,referral,BP1
694,email,BP3
695,organic,BP1
696,organic,BP3
697,event,BP2
698,paid,BP2
699,social,BP1
700,paid,BP2
701,paid,BP1
702,organic,BP1
703,social,BP1
704,organic,BP3
705,organic,BP1
706,event,BP2
707,organic,BP1
708,organic,BP2
709,referral,BP2
710,social,BP2
711,event,BP2
712,organic,BP1
713,referral,BP2
714,paid,BP1
715,paid,BP2
716,organic,BP1
717,referral,BP2
718,paid,BP3
719,organic,BP1
720,social,BP2
721,organic,BP1
722,social,BP1
723,paid,BP3
724,paid,BP3
725,social,BP1
726,organic,BP1
727,organic,BP1
728,paid,BP2
729,social,BP1
730,social,BP1
731,referral,BP2
732,social,BP3
733,organic,BP1
734,organic,BP1
735,organic,BP1
736,email,BP3
737,paid,BP1
738,referral,BP1
739,paid,BP1
740,organic,BP1
741,organic,BP1
742,organic,BP1
743,organic,BP1
744,referral,BP1
745,organic,BP1
746,social,BP2
747,social,BP2
748,email,BP1
749,organic,BP1
750,paid,BP1
751,organic,BP1
752,organic,BP1
753,paid,BP2
754,referral,BP1
755,paid,BP2
756,social,BP3
757,organic,BP1
758,email,BP3
759,organic,BP1
760,event,BP1
761,paid,BP1
762,organic,BP2
763,referral,BP1
764,organic,BP1
765,social,BP2
766,organic,BP1
767,social,BP1
768,referral,BP1
769,event,BP1
770,organic,BP1
771,paid,BP1
772,social,BP1
773,organic,BP1
774,organic,BP2
775,paid,BP3
776,paid,BP1
777,social,BP3
778,organic,BP2
779,email,BP1
780,email,BP2
781,social,BP2
782,organic,BP2
783,organic,BP1
784,event,BP1
785,paid,BP2
786,paid,BP1
787,email,BP1
788,organic,BP1
789,social,BP1
790,paid,BP1
791,social,BP3
792,social,BP1
793,referral,BP2
794,organic,BP1
795,email,BP3
796,social,BP3
797,referral,BP3
798,event,BP1
799,referral,BP3
800,referral,BP1
801,event,BP1
802,paid,BP1
803,email,BP2
804,email,BP1
805,paid,BP2
806,organic,BP2
807,social,BP1
808,paid,BP1
809,paid,BP1
810,paid,BP2
811,organic,BP1
812,organic,BP3
813,paid,BP3
814,social,BP1
815,referral,BP1
816,organic,BP1
817,referral,BP1
818,social,BP1
819,organic,BP1
820,paid,BP1
821,paid,BP1
822,referral,BP1
823,paid,BP1
824,email,BP3
825,organic,BP1
826,organic,BP2
827,organic,BP2
828,paid,BP2
829,email,BP2
830,paid,BP1
831,event,BP1
832,paid,BP1
833,organic,BP2
834,organic,BP2
835,paid,BP1
836,paid,BP1
837,paid,BP1
838,paid,BP3
839,referral,BP1
840,referral,BP1
841,paid,BP1
842,paid,BP3
843,social,BP3
844,referral,BP3
845,email,BP1
846,referral,BP1
847,referral,BP3
848,social,BP1
849,event,BP1
850,email,BP2
851,organic,BP2
852,organic,BP1
853,social,BP2
854,social,BP1
855,paid,BP1
856,organic,BP1
857,paid,BP2
858,organic,BP2
859,organic,BP2
860,paid,BP2
861,organic,BP1
862,paid,BP1
863,paid,BP1
864,referral,BP1
865,referral,BP3
866,email,BP1
867,paid,BP3
868,email,BP1
869,referral,BP2
870,paid,BP1
871,event,BP2
872,organic,BP1
873,organic,BP2
874,email,BP1
875,referral,BP1
876,organic,BP2
877,event,BP1
878,organic,BP2
879,paid,BP3
880,social,BP1
881,social,BP3
882,referral,BP1
883,organic,BP1
884,social,BP1
885,social,BP1
886,organic,BP1
887,referral,BP2
888,paid,BP3
889,organic,BP3
890,social,BP1
891,email,BP1
892,referral,BP2
893,email,BP1
894,social,BP2
895,paid,BP2
896,event,BP1
897,referral,BP1
898,email,BP3
899,organic,BP1
900,referral,BP3
901,paid,BP1
902,organic,BP1
903,paid,BP1
904,referral,BP3
905,referral,BP2
906,paid,BP1
907,organic,BP2
908,organic,BP3
909,organic,BP1
910,event,BP1
911,social,BP1
912,paid,BP2
913,paid,BP2
914,paid,BP2
915,organic,BP2
916,organic,BP2
917,paid,BP1
918,organic,BP2
919,email,BP1
920,organic,BP1
921,paid,BP2
922,referral,BP2
923,paid,BP1
924,event,BP2
925,referral,BP1
926,organic,BP1
927,paid,BP2
928,organic,BP1
929,organic,BP1
930,paid,BP1
931,organic,BP2
932,organic,BP1
933,referral,BP3
934,referral,BP2
935,email,BP1
936,organic,BP1
937,referral,BP1
938,paid,BP2
939,social,BP1
940,referral,BP1
941,paid,BP3
942,paid,BP1
943,referral,BP2
944,organic,BP2
945,paid,BP1
946,organic,BP1
947,referral,BP1
948,paid,BP1
949,organic,BP2
950,organic,BP3
951,referral,BP3
952,email,BP1
953,social,BP3
954,referral,BP1
955,referral,BP1
956,event,BP1
957,paid,BP1
958,paid,BP2
959,organic,BP2
960,organic,BP1
961,organic,BP1
962,social,BP1
963,email,BP1
964,organic,BP2
965,paid,BP2
966,email,BP1
967,email,BP2
968,referral,BP1
969,organic,BP2
970,event,BP1
971,organic,BP2
972,organic,BP1
973,organic,BP3
974,paid,BP1
975,organic,BP2
976,paid,BP1
977,email,BP1
978,paid,BP2
979,event,BP2
980,email,BP2
981,social,BP2
982,paid,BP1
983,email,BP1
984,paid,BP1
985,organic,BP1
986,email,BP1
987,paid,BP1
988,email,BP1
989,referral,BP1
990,referral,BP1
991,social,BP2
992,paid,BP1
993,referral,BP2
994,email,BP1
995,paid,BP3
996,organic,BP1
997,paid,BP1
998,organic,BP1
999,referral,BP2
1000,organic,BP1
1001,organic,BP1
1002,event,BP1
1003,organic,BP1
1004,social,BP1
1005,paid,BP3
1006,organic,BP1
1007,email,BP2
1008,organic,BP2
1009,paid,BP3
1010,social,BP1
1011,social,BP2
1012,referral,BP1
1013,social,BP2
1014,event,BP2
1015,referral,BP1
1016,paid,BP3
1017,referral,BP2
1018,referral,BP1
1019,referral,BP1
1020,organic,BP2
1021,paid,BP1
1022,organic,BP1
1023,organic,BP2
1024,referral,BP1
1025,organic,BP1
1026,paid,BP1
1027,paid,BP1
1028,organic,BP1
1029,organic,BP2
1030,organic,BP1
1031,paid,BP1
1032,organic,BP3
1033,paid,BP1
1034,paid,BP2
1035,referral,BP2
1036,organic,BP1
1037,referral,BP2
1038,referral,BP2
1039,referral,BP2
1040,event,BP1
1041,organic,BP1
1042,organic,BP1
1043,social,BP1
1044,email,BP3
1045,referral,BP2
1046,paid,BP1
1047,organic,BP1
1048,social,BP1
1049,paid,BP2
1050,referral,BP1
1051,referral,BP1
1052,referral,BP1
1053,paid,BP1
1054,organic,BP1
1055,paid,BP1
1056,organic,BP1
1057,social,BP1
1058,organic,BP3
1059,email,BP1
1060,referral,BP1
1061,referral,BP2
1062,referral,BP2
1063,paid,BP3
1064,referral,BP1
1065,referral,BP1
1066,organic,BP3
1067,referral,BP1
1068,social,BP1
1069,organic,BP1
1070,social,BP3
1071,email,BP1
1072,paid,BP1
1073,organic,BP1
1074,paid,BP1
1075,social,BP3
1076,referral,BP1
1077,organic,BP1
1078,referral,BP2
1079,referral,BP3
1080,organic,BP1
1081,organic,BP2
1082,paid,BP2
1083,referral,BP1
1084,organic,BP3
1085,email,BP2
1086,organic,BP1
1087,organic,BP1
1088,organic,BP2
1089,organic,BP3
1090,paid,BP2
1091,organic,BP3
1092,email,BP1
1093,email,BP2
1094,referral,BP1
1095,social,BP1
1096,paid,BP1
1097,social,BP1
1098,organic,BP2
1099,paid,BP1
1100,organic,BP3
1101,organic,BP1
1102,email,BP1
1103,organic,BP2
1104,referral,BP2
1105,organic,BP1
1106,email,BP1
1107,referral,BP1
1108,organic,BP2
1109,paid,BP2
1110,organic,BP1
1111,organic,BP1
1112,paid,BP3
1113,event,BP1
1114,social,BP1
1115,organic,BP2
1116,referral,BP2
1117,social,BP3
1118,organic,BP1
1119,paid,BP1
1120,referral,BP2
1121,email,BP1
1122,referral,BP2
1123,email,BP2
1124,referral,BP3
1125,paid,BP1
1126,organic,BP2
1127,paid,BP1
1128,referral,BP1
1129,organic,BP1
1130,referral,BP3
1131,organic,BP2
1132,event,BP1
1133,social,BP1
1134,paid,BP2
1135,referral,BP3
1136,organic,BP1
1137,referral,BP1
1138,organic,BP3
1139,paid,BP2
1140,social,BP1
1141,organic,BP1
1142,organic,BP1
1143,organic,BP1
1144,referral,BP1
1145,organic,BP1
1146,referral,BP2
1147,organic,BP1
1148,organic,BP3
1149,paid,BP1
1150,event,BP2
1151,organic,BP1
1152,organic,BP1
1153,organic,BP1
1154,social,BP1
1155,paid,BP3
1156,paid,BP1
1157,paid,BP1
1158,email,BP1
1159,organic,BP1
1160,organic,BP1
1161,referral,BP1
1162,referral,BP1
1163,organic,BP1
1164,email,BP3
1165,paid,BP3
1166,email,BP2
1167,email,BP1
1168,paid,BP1
1169,email,BP3
1170,paid,BP1
1171,referral,BP3
1172,paid,BP1
1173,event,BP3
1174,social,BP1
1175,paid,BP2
1176,organic,BP2
1177,social,BP1
1178,referral,BP1
1179,paid,BP1
1180,paid,BP2
1181,paid,BP1
1182,organic,BP1
1183,paid,BP3
1184,organic,BP2
1185,organic,BP3
1186,organic,BP1
1187,paid,BP1
1188,organic,BP2
1189,referral,BP1
1190,email,BP1
1191,referral,BP1
1192,email,BP1
1193,referral,BP3
1194,organic,BP2
1195,social,BP1
1196,referral,BP2
1197,event,BP1
1198,organic,BP1
1199,social,BP1
1200,referral,BP1
1201,social,BP1
1202,organic,BP1
1203,paid,BP2
1204,organic,BP1
1205,social,BP1
1206,organic,BP1
1207,referral,BP2
1208,paid,BP3
1209,referral,BP1
1210,social,BP3
1211,paid,BP3
1212,organic,BP1
1213,social,BP1
1214,referral,BP1
1215,paid,BP1
1216,organic,BP1
1217,referral,BP1
1218,social,BP1
1219,email,BP2
1220,email,BP1
1221,paid,BP1
1222,organic,BP2
1223,referral,BP1
1224,organic,BP2
1225,paid,BP1
1226,organic,BP1
1227,event,BP3
1228,organic,BP1
1229,organic,BP2
1230,social,BP1
1231,organic,BP1
1232,organic,BP1
1233,paid,BP1
1234,event,BP1
1235,organic,BP1
1236,referral,BP2
1237,organic,BP1
1238,paid,BP3
1239,referral,BP1
1240,paid,BP1
1241,referral,BP1
1242,email,BP3
1243,paid,BP3
1244,paid,BP2
1245,referral,BP3
1246,referral,BP2
1247,referral,BP1
1248,paid,BP2
1249,organic,BP1
1250,organic,BP2
1251,referral,BP2
1252,organic,BP1
1253,organic,BP1
1254,paid,BP1
1255,social,BP2
1256,organic,BP1
1257,social,BP1
1258,organic,BP1
1259,event,BP2
1260,paid,BP2
1261,referral,BP2
1262,paid,BP1
1263,referral,BP2
1264,referral,BP1
1265,referral,BP1
1266,event,BP1
1267,email,BP2
1268,paid,BP2
1269,social,BP3
1270,organic,BP1
1271,paid,BP3
1272,referral,BP1
1273,referral,BP1
1274,email,BP1
1275,social,BP3
1276,email,BP1
1277,paid,BP1
1278,referral,BP1
1279,social,BP1
1280,organic,BP3
1281,email,BP1
1282,organic,BP2
1283,social,BP3
1284,paid,BP3
1285,organic,BP1
1286,organic,BP1
1287,referral,BP1
1288,organic,BP3
1289,email,BP1
1290,organic,BP1
1291,referral,BP1
1292,organic,BP1
1293,organic,BP1
1294,organic,BP2
1295,email,BP2
1296,paid,BP3
1297,email,BP1
1298,referral,BP1
1299,organic,BP1
1300,organic,BP2
1301,referral,BP2
1302,organic,BP1
1303,organic,BP1
1304,paid,BP3
1305,organic,BP1
1306,paid,BP3
1307,paid,BP1
1308,paid,BP1
1309,referral,BP1
1310,paid,BP1
1311,referral,BP1
1312,organic,BP2
1313,referral,BP2
1314,organic,BP3
1315,referral,BP1
1316,paid,BP1
1317,social,BP1
1318,organic,BP1
1319,organic,BP2
1320,organic,BP2
1321,event,BP1
1322,referral,BP1
1323,referral,BP2
1324,organic,BP1
1325,social,BP3
1326,referral,BP1
1327,organic,BP3
1328,referral,BP1
1329,paid,BP1
1330,referral,BP3
1331,event,BP2
1332,email,BP1
1333,paid,BP1
1334,email,BP2
1335,social,BP3
1336,referral,BP3
1337,social,BP1
1338,paid,BP2
1339,paid,BP2
1340,paid,BP1
1341,social,BP2
1342,email,BP1
1343,referral,BP3
1344,paid,BP3
1345,paid,BP2
1346,email,BP2
1347,referral,BP2
1348,organic,BP1
1349,organic,BP1
1350,organic,BP2
1351,organic,BP3
1352,referral,BP1
1353,organic,BP3
1354,email,BP1
1355,referral,BP2
1356,referral,BP1
1357,social,BP2
1358,referral,BP1
1359,paid,BP3
1360,social,BP3
1361,referral,BP1
1362,referral,BP2
1363,referral,BP3
1364,referral,BP1
1365,paid,BP2
1366,referral,BP1
1367,referral,BP1
1368,referral,BP1
1369,organic,BP2
1370,organic,BP1
1371,paid,BP1
1372,organic,BP1
1373,paid,BP1
1374,email,BP1
1375,social,BP3
1376,referral,BP1
1377,referral,BP1
1378,paid,BP1
1379,paid,BP1
1380,event,BP1
1381,referral,BP3
1382,organic,BP1
1383,referral,BP2
1384,email,BP2
1385,paid,BP3
1386,email,BP1
1387,paid,BP1
1388,event,BP3
1389,paid,BP1
1390,email,BP3
1391,email,BP3
1392,social,BP3
1393,email,BP1
1394,paid,BP2
1395,paid,BP1
1396,paid,BP2
1397,social,BP1
1398,social,BP1
1399,social,BP1
1400,referral,BP3
1401,social,BP3
1402,email,BP2
1403,paid,BP3
1404,referral,BP3
1405,email,BP2
1406,social,BP2
1407,referral,BP2
1408,paid,BP1
1409,paid,BP2
1410,paid,BP1
1411,referral,BP1
1412,organic,BP3
1413,email,BP3
1414,email,BP2
1415,referral,BP1
1416,email,BP1
1417,referral,BP1
1418,organic,BP2
1419,paid,BP1
1420,organic,BP2
1421,organic,BP1
1422,email,BP1
1423,paid,BP2
1424,organic,BP1
1425,referral,BP3
1426,paid,BP2
1427,paid,BP1
1428,referral,BP1
1429,referral,BP1
1430,paid,BP1
1431,paid,BP1
1432,email,BP1
1433,referral,BP1
1434,email,BP1
1435,event,BP2
1436,referral,BP2
1437,organic,BP1
1438,paid,BP1
1439,email,BP1
1440,organic,BP2
1441,organic,BP1
1442,paid,BP1
1443,social,BP1
1444,organic,BP1
1445,referral,BP3
1446,organic,BP1
1447,event,BP1
1448,paid,BP1
1449,referral,BP2
1450,email,BP2
1451,paid,BP2
1452,email,BP1
1453,organic,BP1
1454,organic,BP3
1455,referral,BP1
1456,organic,BP1
1457,social,BP1
1458,paid,BP3
1459,organic,BP2
1460,social,BP3
1461,paid,BP2
1462,paid,BP1
1463,organic,BP2
1464,event,BP1
1465,paid,BP1
1466,email,BP1
1467,social,BP1
1468,paid,BP3
1469,organic,BP3
1470,paid,BP1
1471,organic,BP1
1472,event,BP1
1473,organic,BP1
1474,referral,BP1
1475,paid,BP1
1476,paid,BP1
1477,paid,BP1
1478,social,BP2
1479,social,BP3
1480,email,BP1
1481,referral,BP2
1482,paid,BP3
1483,email,BP1
1484,organic,BP2
1485,organic,BP1
1486,organic,BP2
1487,paid,BP2
1488,paid,BP1
1489,organic,BP1
1490,organic,BP3
1491,organic,BP1
1492,referral,BP3
1493,organic,BP1
1494,social,BP1
1495,event,BP2
1496,social,BP1
1497,email,BP1
1498,event,BP1
1499,paid,BP3
1500,paid,BP3
1501,social,BP2
1502,paid,BP3
1503,referral,BP3
1504,organic,BP2
1505,paid,BP2
1506,email,BP1
1507,paid,BP2
1508,referral,BP1
1509,paid,BP1
1510,social,BP1
1511,social,BP1
1512,referral,BP1
1513,referral,BP2
1514,referral,BP1
1515,email,BP1
1516,organic,BP1
1517,email,BP1
1518,organic,BP2
1519,event,BP1
1520,referral,BP2
1521,paid,BP1
1522,paid,BP1
1523,social,BP1
1524,social,BP1
1525,organic,BP1
1526,organic,BP1
1527,organic,BP3
1528,paid,BP1
1529,paid,BP1
1530,organic,BP2
1531,social,BP2
1532,referral,BP1
1533,referral,BP3
1534,referral,BP1
1535,paid,BP1
1536,organic,BP2
1537,email,BP3
1538,paid,BP1
