broker_id,n_spots,median_area,median_rent,median_sale,share_industrial,share_office,share_retail,share_land,share_rent,share_sale,share_both,top_sector,top_region,top_modality,n_inquiries,visit_n,positive_n,responded_n,median_response_hours,fast_rate,visit_rate,positive_rate,response_rate,log_spots,log_inquiries,broker_profile
11,9,444.3,225.09,33886.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,Retail,noroeste,rent,63,12,39,50,9.05,0.2692307692307692,0.19205059440419484,0.6265994209395722,0.7956743919198389,2.302585092994046,4.1588830833596715,B1
12,2,396.4,407.435,,0.0,0.5,0.5,0.0,1.0,0.0,0.0,Retail,norte,rent,16,3,7,10,5.5,0.5384615384615384,0.19278331487633815,0.5557708871662359,0.7233604035929617,1.0986122886681096,2.833213344056216,B1
13,7,3361.0,177.66,39943.65,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,Office,centro,sale,37,6,23,30,4.5,0.6296296296296297,0.1743894620271609,0.6317149462804297,0.8077363952516952,2.0794415416798357,3.6375861597263857,B2
14,11,980.4,286.385,39896.81,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,Industrial,centro,sale,65,10,40,50,9.0,0.3508771929824561,0.16400234512409614,0.6236206110351117,0.776952641521725,2.4849066497880004,4.189654742026425,B2
15,9,2620.0,193.47,24938.5,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,Industrial,centro,sale,34,12,25,30,6.95,0.5,0.29518887658422543,0.7038472581108239,0.8526106394323449,2.302585092994046,3.5553480614894135,B2
16,12,560.05,156.11,44722.18,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.4166666666666667,0.25,Office,noreste,sale,80,13,55,68,7.95,0.40625,0.16940199335548173,0.680077519379845,0.8404097452934662,2.5649493574615367,4.394449154672439,B2
17,8,417.04999999999995,289.58,51985.04,0.25,0.25,0.25,0.25,0.25,0.375,0.375,Retail,noreste,sale,64,7,40,52,6.75,0.4827586206896552,0.1302404682803354,0.6310446659283868,0.8100116015398408,2.1972245773362196,4.174387269895637,B1
18,5,221.9,304.45,42958.805,0.0,0.2,0.8,0.0,0.2,0.4,0.4,Retail,occidente,sale,28,3,19,23,8.1,0.391304347826087,0.14458748615725361,0.6668281653746769,0.8133536360280548,1.791759469228055,3.367295829986474,B1
19,8,1950.15,240.35,27979.49,0.625,0.125,0.125,0.125,0.25,0.5,0.25,Industrial,centro,sale,39,10,29,33,10.399999999999999,0.3125,0.23627456500929106,0.7119957955590592,0.831202958124519,2.1972245773362196,3.6888794541139363,B2
20,8,250.2,187.695,41805.770000000004,0.5,0.0,0.5,0.0,0.25,0.25,0.5,Industrial,centro,both,69,11,41,51,7.1,0.39622641509433965,0.1678674082645862,0.6068286734605,0.7532693767342318,2.1972245773362196,4.248495242049359,B2
21,9,175.2,165.34,49639.86,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,Office,bajío,sale,62,12,41,51,7.65,0.48148148148148145,0.1943926748237582,0.6586311211949328,0.8175728601139832,2.302585092994046,4.143134726391533,B1
22,7,376.8,401.85,41477.62,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,Office,bajío,both,43,9,34,38,12.7,0.36585365853658536,0.20539998945314558,0.7461547926664206,0.8577932464975655,2.0794415416798357,3.784189633918261,B1
23,9,200.3,194.96,35123.975000000006,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444,Office,centro-oriente,both,75,12,48,59,7.2,0.46153846153846156,0.16779157195313865,0.6421868625050999,0.789904995045754,2.302585092994046,4.330733340286331,B1
24,7,303.3,174.28,52442.18,0.5714285714285714,0.42857142857142855,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,Industrial,centro,both,47,3,25,38,7.2,0.43243243243243246,0.10358506470967423,0.5672798796714104,0.8065817093932333,2.0794415416798357,3.8712010109078907,B2
25,12,616.9,112.98,40042.4,0.3333333333333333,0.4166666666666667,0.0,0.25,0.4166666666666667,0.08333333333333333,0.5,Office,centro,both,81,17,45,63,6.9,0.42028985507246375,0.20732870629255615,0.5743341776038069,0.7825839062311547,2.5649493574615367,4.406719247264253,B2
26,4,432.3,194.15,36912.065,0.25,0.5,0.25,0.0,0.5,0.0,0.5,Office,centro,rent,38,8,22,27,11.2,0.25806451612903225,0.20586550578531332,0.60358192996525,0.7420857677473557,1.6094379124341003,3.6635616461296463,B1
27,12,1710.4499999999998,230.64,35197.115,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5833333333333334,0.08333333333333333,Office,centro,sale,76,11,49,57,6.8,0.4411764705882353,0.15562707641196014,0.6459140826873385,0.7608434846806941,2.5649493574615367,4.343805421853684,B2
28,10,319.8,237.59,45301.27,0.1,0.3,0.5,0.1,0.5,0.1,0.4,Retail,centro,rent,66,9,38,46,9.6,0.35,0.15046743413428107,0.5931133946277267,0.721406680573798,2.3978952727983707,4.204692619390966,B1
29,9,614.2,253.96,25997.504999999997,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.3333333333333333,Office,centro,rent,54,8,38,44,8.95,0.34782608695652173,0.1613540450749753,0.6892939451078985,0.8113645206668463,2.302585092994046,4.007333185232471,B1
30,7,342.5,108.29,28502.55,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,Land,occidente,both,47,6,33,39,9.2,0.34146341463414637,0.14836118411265928,0.6866828647460372,0.8215070825275615,2.0794415416798357,3.8712010109078907,B2
31,10,1328.5,221.66000000000003,41636.380000000005,0.3,0.2,0.2,0.3,0.2,0.6,0.2,Land,norte,sale,57,8,37,45,8.600000000000001,0.3181818181818182,0.15506752383828795,0.6494513238699285,0.7927399289525536,2.3978952727983707,4.060443010546419,B2
32,10,1433.95,287.98,54005.3,0.3,0.2,0.3,0.2,0.5,0.3,0.2,Retail,centro,rent,67,17,45,52,6.3,0.4915254237288136,0.24069194638561117,0.6667557694021207,0.7820801670039842,2.3978952727983707,4.219507705176107,B2
33,12,3534.7,111.025,20051.965,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,Industrial,centro,both,92,23,68,80,8.5,0.379746835443038,0.2405374940673944,0.7232834994462901,0.8575087011548806,2.5649493574615367,4.532599493153256,B2
34,9,346.1,109.62,39689.37,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.3333333333333333,Retail,centro,sale,56,9,39,44,9.4,0.26666666666666666,0.17026578073089702,0.6843125254997959,0.7900128227545609,2.302585092994046,4.04305126783455,B1
35,7,352.7,281.04499999999996,55614.235,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,Office,centro,both,52,7,38,47,8.35,0.38636363636363635,0.1519472129937246,0.7084409991386735,0.8755690906853698,2.0794415416798357,3.970291913552122,B1
36,11,794.8,204.66,27242.84,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.5454545454545454,Land,bajío,both,99,23,73,81,8.65,0.3977272727272727,0.22638822971048883,0.7227542179662563,0.8154703741961902,2.4849066497880004,4.605170185988092,B2
37,11,3739.4,161.985,34707.26,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.2727272727272727,0.2727272727272727,Industrial,centro,rent,67,12,46,56,11.35,0.3064516129032258,0.1832206820177951,0.6782500222756839,0.8280571784982371,2.4849066497880004,4.219507705176107,B2
38,15,338.0,178.89,34161.17,0.4666666666666667,0.2,0.3333333333333333,0.0,0.5333333333333333,0.13333333333333333,0.3333333333333333,Industrial,centro,rent,102,19,66,86,10.9,0.3103448275862069,0.18803442078318175,0.6476045240818401,0.836401430568415,2.772588722239781,4.634728988229636,B2
39,13,1248.4,225.16500000000002,43549.29,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.0,0.46153846153846156,0.23076923076923078,0.3076923076923077,Industrial,centro,rent,84,16,52,63,8.6,0.3150684931506849,0.19173268591873244,0.6250745378652355,0.7600093704744868,2.639057329615259,4.442651256490317,B2
40,10,99.2,271.145,52809.78,0.3,0.2,0.5,0.0,0.5,0.2,0.3,Retail,bajío,rent,69,18,45,57,9.3,0.27419354838709675,0.24651909365784463,0.6517724936852191,0.8206851070713104,2.3978952727983707,4.248495242049359,B1
41,12,3821.95,202.86,26434.495000000003,0.3333333333333333,0.16666666666666666,0.25,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,Industrial,centro,sale,79,19,53,66,6.4,0.4925373134328358,0.2317191852075573,0.6667449690705505,0.8286967124176426,2.5649493574615367,4.382026634673881,B2
42,10,877.55,178.6,16985.355,0.3,0.1,0.3,0.3,0.6,0.2,0.2,Land,centro,rent,54,12,35,45,6.550000000000001,0.43478260869565216,0.21540809912902936,0.6487534045673581,0.8248780341803599,2.3978952727983707,4.007333185232471,B2
43,10,80.4,256.96,39041.53,0.2,0.4,0.4,0.0,0.3,0.1,0.6,Office,centro,both,76,16,52,62,9.35,0.35294117647058826,0.20771040974529345,0.6771640826873385,0.8129268180140273,2.3978952727983707,4.343805421853684,B1
44,5,174.8,223.945,23930.91,0.4,0.0,0.6,0.0,0.4,0.2,0.4,Retail,centro,both,43,10,27,32,8.55,0.3611111111111111,0.22127300532616145,0.6350436815553094,0.7625551512594703,1.791759469228055,3.784189633918261,B1
45,9,437.6,384.1,64923.435,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,Office,bajío,both,69,13,51,57,7.7,0.42857142857142855,0.19033931837694576,0.7191882240222977,0.8206851070713104,2.302585092994046,4.248495242049359,B1
46,11,268.7,314.25,5976.1,0.0,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.2727272727272727,0.0,Office,bajío,rent,57,15,37,47,9.7,0.35294117647058826,0.24597661474737886,0.6494513238699285,0.8187139549265796,2.4849066497880004,4.060443010546419,B1
47,10,3028.7999999999997,240.44,31336.63,0.3,0.3,0.1,0.3,0.3,0.3,0.4,Industrial,centro,both,61,16,42,51,8.35,0.39285714285714285,0.24617530043886632,0.6791080486170925,0.8276663522141559,2.3978952727983707,4.127134385045092,B2
48,9,748.9,231.93,32951.77,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5555555555555556,Office,bajío,both,62,17,44,55,6.8,0.43137254901960786,0.2553682845798558,0.6952164870485914,0.8663533479188613,2.302585092994046,4.143134726391533,B1
49,12,1783.05,237.32999999999998,50349.16,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,0.16666666666666666,0.4166666666666667,Office,centro,both,79,16,47,58,9.6,0.3380281690140845,0.201416154904527,0.6061389084644898,0.7478886316095619,2.5649493574615367,4.382026634673881,B1
50,4,355.15,195.1,48289.56,0.5,0.5,0.0,0.0,0.25,0.75,0.0,Office,noreste,sale,20,3,12,15,8.15,0.3333333333333333,0.17350498338870432,0.6251937984496123,0.7760243632336656,1.6094379124341003,3.044522437723423,B1
51,12,1112.45,194.075,27284.06,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.5833333333333334,Industrial,centro,both,94,24,65,79,6.85,0.45121951219512196,0.24508946785568572,0.6842785257717938,0.8336927590293564,2.5649493574615367,4.553876891600541,B2
52,13,252.5,214.93,34151.595,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.6153846153846154,Retail,bajío,both,106,16,62,79,6.8,0.4588235294117647,0.15825555028212834,0.5952996185554325,0.7542934486456081,2.639057329615259,4.672828834461906,B1
53,11,958.0,198.815,46806.485,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.45454545454545453,Retail,noroeste,rent,80,14,53,67,6.85,0.47297297297297297,0.1794019933554817,0.6600775193798449,0.8304097452934662,2.4849066497880004,4.394449154672439,B2
54,10,797.75,254.96499999999997,37967.56,0.2,0.5,0.1,0.2,0.5,0.2,0.3,Office,centro,rent,59,10,41,46,6.4,0.48936170212765956,0.17645821943731863,0.6836424295947404,0.7853287915107168,2.3978952727983707,4.0943445622221,B1
55,6,1521.0500000000002,109.305,16004.255000000001,0.8333333333333334,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,Industrial,centro-norte,rent,46,8,32,35,8.6,0.3902439024390244,0.18091211114466926,0.6819356354240075,0.7733480989294943,1.9459101490553132,3.8501476017100584,B2
56,10,3489.7,146.38,22313.34,0.5,0.1,0.0,0.4,0.5,0.3,0.2,Industrial,centro,rent,64,14,43,51,8.8,0.3673469387755102,0.2135738016136687,0.6667589516426725,0.7981068396350789,2.3978952727983707,4.174387269895637,B2
57,9,366.8,233.765,41649.32,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.6666666666666666,Office,sureste,both,75,11,47,53,8.15,0.4090909090909091,0.15726525616366496,0.6316605467156262,0.7267471003089119,2.302585092994046,4.330733340286331,B1
58,4,127.5,319.36,43555.145,0.0,0.5,0.5,0.0,0.5,0.25,0.25,Retail,occidente,rent,30,7,19,23,10.45,0.34615384615384615,0.21880398671096343,0.6401550387596899,0.7808194905869326,1.6094379124341003,3.4339872044851463,B1
59,12,883.6500000000001,182.79,86747.91,0.25,0.5,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666666,Office,centro,rent,69,14,38,53,10.350000000000001,0.3620689655172414,0.20157527343312553,0.5731208082919607,0.7757412868465913,2.5649493574615367,4.248495242049359,B1
60,6,1882.7,202.475,41881.38,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.5,0.3333333333333333,0.16666666666666666,Industrial,centro,rent,38,8,23,28,6.7,0.4411764705882353,0.20586550578531332,0.6208233092755947,0.7593271470577004,1.9459101490553132,3.6635616461296463,B2
61,8,347.5,296.29,54661.56,0.25,0.375,0.25,0.125,0.375,0.375,0.25,Office,bajío,rent,45,12,28,36,7.7,0.47368421052631576,0.24523383593151035,0.6308884913536076,0.8006303773745636,2.1972245773362196,3.828641396489095,B1
62,11,1090.4,279.96500000000003,42986.66499999999,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.0,0.6363636363636364,0.09090909090909091,0.2727272727272727,Industrial,centro,rent,66,16,48,54,6.5,0.4727272727272727,0.23186278297149038,0.7093924643951686,0.8144299363877515,2.4849066497880004,4.204692619390966,B2
63,8,2664.75,125.91,45575.96,0.625,0.125,0.125,0.125,0.5,0.375,0.125,Industrial,centro,rent,36,8,24,29,5.4,0.5,0.21321784527764592,0.6608527131782945,0.8043031165954755,2.1972245773362196,3.6109179126442243,B2
64,14,1380.3999999999999,167.025,28453.11,0.5,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.2857142857142857,0.2857142857142857,Industrial,centro,rent,90,21,65,72,10.2,0.37333333333333335,0.22672908486861976,0.7091613812544045,0.800372495721333,2.70805020110221,4.51085950651685,B2
65,10,1354.85,229.86,32165.28,0.4,0.1,0.3,0.2,0.4,0.4,0.2,Industrial,centro,sale,54,9,41,48,7.95,0.45652173913043476,0.17486755858848882,0.7298344856484391,0.8654185747209003,2.3978952727983707,4.007333185232471,B2
66,7,3573.2,119.44,26068.769999999997,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,Industrial,centro-norte,both,67,10,47,56,12.55,0.3392857142857143,0.16023217627066866,0.6897442751492471,0.8280571784982371,2.0794415416798357,4.219507705176107,B2
67,10,528.2,214.2,82321.67,0.4,0.0,0.5,0.1,0.7,0.1,0.2,Retail,norte,rent,56,13,40,48,8.5,0.3695652173913043,0.22289735967826543,0.6974704202366381,0.8426444017019293,2.3978952727983707,4.04305126783455,B1
68,7,400.9,236.915,31320.59,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.0,Retail,noreste,rent,29,5,18,25,7.2,0.38461538461538464,0.1824530476642484,0.6328112640404999,0.8375709087621761,2.0794415416798357,3.4011973816621555,B1
69,7,82.4,249.3,44390.425,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,Retail,centro,sale,50,12,37,43,7.2,0.40540540540540543,0.2277171333649739,0.7143964562569214,0.8434424932763804,2.0794415416798357,3.9318256327243257,B1
70,13,221.7,351.18,54346.0,0.15384615384615385,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.46153846153846156,Office,centro-oriente,both,85,14,56,64,9.0,0.38461538461538464,0.17085904129093496,0.6572166851236618,0.762294995517587,2.639057329615259,4.454347296253507,B1
71,8,534.45,189.79,31978.32,0.375,0.375,0.125,0.125,0.125,0.125,0.75,Industrial,noroeste,both,65,15,42,53,8.05,0.42592592592592593,0.22282587453586084,0.6471500227998176,0.8122467591687839,2.1972245773362196,4.189654742026425,B2
72,7,4433.6,162.315,19899.62,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,Industrial,noroeste,rent,53,5,29,37,7.2,0.37209302325581395,0.1224684840486051,0.5754486566847191,0.7265886921828305,2.0794415416798357,3.9889840465642745,B2
73,16,688.8,234.24,45186.485,0.4375,0.375,0.0625,0.125,0.375,0.1875,0.4375,Industrial,occidente,both,114,18,73,90,8.5,0.42424242424242425,0.16373283086229978,0.6418488950595858,0.791350556189154,2.833213344056216,4.74493212836325,B2
74,7,1503.2,163.38,44099.52,0.42857142857142855,0.5714285714285714,0.0,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,Office,noroeste,sale,54,12,35,44,8.2,0.4146341463414634,0.21540809912902936,0.6487534045673581,0.8113645206668463,2.0794415416798357,4.007333185232471,B2
75,10,317.45000000000005,281.95000000000005,55996.55,0.3,0.2,0.5,0.0,0.3,0.4,0.3,Retail,centro,sale,66,14,44,52,7.1,0.4,0.208606969018002,0.6628808364881918,0.7911741224342631,2.3978952727983707,4.204692619390966,B1
76,10,3107.05,171.79000000000002,32084.464999999997,0.3,0.3,0.2,0.2,0.4,0.4,0.2,Office,centro,sale,47,11,32,37,11.0,0.2972972972972973,0.2229880497843011,0.6717574916117088,0.7916563362589049,2.3978952727983707,3.8712010109078907,B2
77,10,531.55,211.14,36213.380000000005,0.4,0.3,0.2,0.1,0.2,0.5,0.3,Industrial,centro,sale,71,9,39,51,7.3,0.43333333333333335,0.14219999269833156,0.5715137575602691,0.7367140058169959,2.3978952727983707,4.276666119016055,B2
78,9,136.8,357.115,47023.115,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,Retail,centro,sale,53,10,32,43,4.8,0.5641025641025641,0.1909616347335366,0.616544547095678,0.8087804730047483,2.302585092994046,3.9889840465642745,B1
79,11,471.8,200.02499999999998,50270.25,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.36363636363636365,Office,centro,rent,74,20,48,58,7.8,0.39344262295081966,0.2546829716547678,0.649018637638133,0.7876699418015599,2.4849066497880004,4.31748811353631,B1
80,6,422.5,319.97,44941.215,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,Office,centro,rent,28,4,16,22,12.7,0.21739130434782608,0.16542081949058693,0.6043281653746769,0.7925203026947214,1.9459101490553132,3.367295829986474,B1
81,12,433.3,370.56,32695.01,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.25,0.5,Office,centro,both,88,16,52,72,10.4,0.29333333333333333,0.18463147532914975,0.601923629055412,0.8151942086050613,2.5649493574615367,4.48863636973214,B1
82,11,619.0,259.115,42996.25,0.5454545454545454,0.09090909090909091,0.36363636363636365,0.0,0.5454545454545454,0.2727272727272727,0.18181818181818182,Industrial,centro,rent,53,13,36,44,6.85,0.4090909090909091,0.2320575251444955,0.6713390676436232,0.8224791031417347,2.4849066497880004,3.9889840465642745,B2
83,8,254.6,351.92,20954.33,0.125,0.5,0.125,0.25,0.625,0.375,0.0,Office,centro,rent,43,8,28,36,8.149999999999999,0.3055555555555556,0.1895269735801297,0.6509166974283253,0.8260472147515338,2.1972245773362196,3.784189633918261,B1
84,5,65.5,220.75,32652.1,0.2,0.6,0.2,0.0,0.8,0.0,0.2,Office,noroeste,rent,33,5,23,29,8.6,0.28,0.1686830063310976,0.6793915459997074,0.8498297081008798,1.791759469228055,3.5263605246161616,B1
85,9,617.2,326.745,68586.42,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.2222222222222222,Office,bajío,rent,52,15,34,40,7.6,0.4222222222222222,0.2630583241048357,0.652885443583118,0.7783468684631476,2.302585092994046,3.970291913552122,B1
86,10,739.2,179.445,41731.354999999996,0.2,0.2,0.4,0.2,0.2,0.4,0.4,Retail,centro,sale,74,17,44,55,9.55,0.34375,0.2227680780377465,0.6064654461487712,0.7557550481845385,2.3978952727983707,4.31748811353631,B1
87,8,5914.05,147.34,14913.835,0.25,0.125,0.25,0.375,0.5,0.375,0.125,Land,noroeste,rent,42,8,27,32,8.0,0.38461538461538464,0.19258386025077698,0.6452863215803951,0.7748544278926875,2.1972245773362196,3.7612001156935624,B3
88,11,272.2,215.11,47647.869999999995,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.18181818181818182,Retail,centro,rent,69,12,46,56,10.350000000000001,0.3103448275862069,0.17910336332076598,0.6630084487413989,0.8094491520151307,2.4849066497880004,4.248495242049359,B1
89,4,402.45000000000005,220.445,66511.9,0.25,0.25,0.25,0.25,0.5,0.0,0.5,Land,bajío,rent,22,7,20,21,12.0,0.15789473684210525,0.2604809365606708,0.7858988556662975,0.8819279649844435,1.6094379124341003,3.1354942159291497,B1
90,9,142.6,446.48,51889.62,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,Office,occidente,rent,79,13,41,57,9.2,0.37142857142857144,0.1711131246014967,0.5455328478584293,0.7377876215085518,2.302585092994046,4.382026634673881,B1
91,10,2408.6,237.0,33691.445,0.4,0.1,0.3,0.2,0.4,0.1,0.5,Industrial,centro,both,76,20,52,66,8.6,0.4153846153846154,0.24937707641196014,0.6771640826873385,0.8545934846806941,2.3978952727983707,4.343805421853684,B2
92,7,114.3,311.895,48372.729999999996,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,Retail,bajío,both,52,11,36,42,8.649999999999999,0.375,0.20750276854928018,0.6806632213608957,0.8061246462409254,2.0794415416798357,3.970291913552122,B1
93,8,1387.5,367.47,40171.93,0.25,0.375,0.375,0.0,0.625,0.25,0.125,Office,centro,rent,53,18,37,47,8.2,0.4,0.300550675829427,0.6850376977806095,0.8635749935526935,2.1972245773362196,3.9889840465642745,B1
94,7,1269.2,260.23,27277.45,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,Industrial,bajío,rent,47,15,35,38,8.6,0.4358974358974359,0.28268954232161453,0.7165336110146939,0.8065817093932333,2.0794415416798357,3.8712010109078907,B2
95,8,1124.8,123.025,58558.96000000001,0.25,0.25,0.25,0.25,0.25,0.25,0.5,Land,noroeste,both,55,9,32,46,4.8,0.5918367346938775,0.1725359911406423,0.6001033591731266,0.8272129937246216,2.1972245773362196,4.02535169073515,B2
96,9,301.5,199.98,39197.435,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.2222222222222222,Retail,centro,rent,59,13,43,47,13.3,0.2857142857142857,0.21443290298162243,0.708958885290943,0.7979870193588181,2.302585092994046,4.0943445622221,B1
97,10,405.5,277.1,31124.33,0.1,0.4,0.4,0.1,0.7,0.1,0.2,Retail,noroeste,rent,56,9,37,49,12.1,0.32,0.17026578073089702,0.6579967360261118,0.8558022964387714,2.3978952727983707,4.04305126783455,B1
