lead_id,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,prior_searches,prior_inquiries,has_converted_before,lead_score_internal,created_at,entity,anomaly_group,anomaly_score,isolation_forest_flag,anomaly_percentile_within_group,robust_deviation_explanation
812,broker,small,manufacturing,Retail,both,71.4,15994.16,21100.47,2878948.63,3639262.27,Guanajuato,León,centro-leon,organic,4,73,True,0.5211,2025-01-01,lead,search_sector=Retail | search_modality=both,0.07666487518785692,True,0.9933554817275747,prior_inquiries=3.5 MAD; min_budget_mxn_sale_total=2.5 MAD; target_area_sqm=2.5 MAD
1359,tenant_direct,medium,retail,Office,rent,1228.7,,461735.41,,,Estado de México,Naucalpan de Juárez,,paid,8,0,True,0.6803,2025-11-29,lead,search_sector=Office | search_modality=rent,0.07435521211545348,True,0.9986449864498645,target_area_sqm=1.6 MAD; max_budget_mxn_rent_monthly=1.6 MAD; prior_searches=0.7 MAD
2175,tenant_direct,medium,other,Office,rent,7088.2,49825.92,64778.84,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,34,3,True,0.0606,2026-01-16,lead,search_sector=Office | search_modality=rent,0.06978160822283175,True,0.997289972899729,target_area_sqm=4.1 MAD; prior_searches=1.5 MAD; min_budget_mxn_rent_monthly=1.0 MAD
2764,broker,,financial,Office,rent,71.1,17715.74,20757.75,,,CDMX,Miguel Hidalgo,polanco,social,1,50,True,0.8054,2026-04-06,lead,search_sector=Office | search_modality=rent,0.06637166204229838,True,0.9959349593495935,min_budget_mxn_rent_monthly=2.6 MAD; max_budget_mxn_rent_monthly=2.5 MAD; target_area_sqm=2.3 MAD
1528,tenant_direct,small,financial,Industrial,both,1108.6,,167386.47,,27412693.8,Yucatán,Mérida,paseo-montejo,paid,1,4,False,0.8975,2025-11-09,lead,search_sector=Industrial | search_modality=both,0.06443077179337531,True,0.9961538461538462,target_area_sqm=1.4 MAD; max_budget_mxn_rent_monthly=1.4 MAD; max_budget_mxn_sale_total=1.2 MAD
4323,tenant_direct,small,healthcare,Retail,sale,74.7,,,,4827128.49,Jalisco,Zapopan,andares-puerta-hierro,organic,9,1,False,0.263,2026-04-04,lead,search_sector=Retail | search_modality=sale,0.06392513305883096,True,0.997867803837953,target_area_sqm=2.5 MAD; max_budget_mxn_sale_total=2.3 MAD; prior_searches=0.4 MAD
2221,tenant_direct,small,financial,Retail,rent,198.5,,51193.99,,,Baja California,Tijuana,zona-rio-aguacaliente,organic,0,181,False,0.7301,2026-01-03,lead,search_sector=Retail | search_modality=rent,0.06338704681374041,True,0.9973614775725593,prior_inquiries=3.2 MAD; max_budget_mxn_rent_monthly=1.2 MAD; target_area_sqm=0.9 MAD
1236,broker,small,manufacturing,Industrial,sale,6370.0,,,,8877175.21,Nuevo León,San Pedro Garza García,vasconcelos-calzada,referral,5,5,False,0.8618,2025-06-17,lead,search_sector=Industrial | search_modality=sale,0.0632093478298833,True,1.0,target_area_sqm=4.1 MAD; prior_inquiries=0.4 MAD; max_budget_mxn_sale_total=0.4 MAD
2169,broker,medium,retail,Retail,both,2004.0,539579.87,770538.49,97124375.88,143824099.46,Puebla,Puebla,angelopolis-lomas,paid,2,69,True,0.7185,2025-10-17,lead,search_sector=Retail | search_modality=both,0.06062322968883482,True,0.9900332225913622,prior_inquiries=3.5 MAD; min_budget_mxn_sale_total=2.6 MAD; min_budget_mxn_rent_monthly=2.5 MAD
2239,tenant_direct,medium,other,Office,sale,129.2,,,,10208601.58,CDMX,Miguel Hidalgo,polanco,paid,0,90,True,0.8267,2026-03-06,lead,search_sector=Office | search_modality=sale,0.0604894123862183,True,0.9953488372093023,prior_inquiries=2.1 MAD; target_area_sqm=1.4 MAD; max_budget_mxn_sale_total=1.2 MAD
3225,broker,medium,manufacturing,Office,rent,311.1,,551207.54,,,Puebla,Puebla,angelopolis-lomas,organic,0,74,True,0.8326,2026-04-04,lead,search_sector=Office | search_modality=rent,0.0601794313157773,True,0.994579945799458,prior_inquiries=2.0 MAD; max_budget_mxn_rent_monthly=1.8 MAD; prior_searches=0.7 MAD
1623,investor,small,manufacturing,Retail,rent,179.1,,55152.72,,,Jalisco,Zapopan,andares-puerta-hierro,email,2,78,True,0.0,2025-01-20,lead,search_sector=Retail | search_modality=rent,0.058931294028906844,True,0.996042216358839,prior_inquiries=2.6 MAD; max_budget_mxn_rent_monthly=1.1 MAD; target_area_sqm=1.1 MAD
560,tenant_direct,small,healthcare,Land,rent,57.2,2476.59,2777.45,,,Estado de México,Toluca,metepec-toluca,organic,1,49,True,0.2267,2025-12-28,lead,search_sector=Land | search_modality=rent,0.05836797038800812,True,1.0,prior_inquiries=3.1 MAD; max_budget_mxn_rent_monthly=2.7 MAD; min_budget_mxn_rent_monthly=2.6 MAD
4181,tenant_direct,medium,manufacturing,Retail,both,1459.5,,441535.29,66224389.24,78228547.16,Querétaro,Querétaro,juriquilla-juncos,organic,0,5,True,0.6325,2025-09-15,lead,search_sector=Retail | search_modality=both,0.05697688640242082,True,0.9867109634551495,min_budget_mxn_sale_total=2.0 MAD; target_area_sqm=1.9 MAD; max_budget_mxn_sale_total=1.7 MAD
3123,broker,large,retail,Office,rent,2035.3,577686.6,834724.67,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,6,91,True,0.306,2025-07-14,lead,search_sector=Office | search_modality=rent,0.056029128561511765,True,0.9932249322493225,min_budget_mxn_rent_monthly=2.6 MAD; max_budget_mxn_rent_monthly=2.4 MAD; target_area_sqm=2.3 MAD
286,tenant_direct,small,technology,Industrial,rent,52.1,,8804.31,,,Estado de México,Toluca,metepec-toluca,paid,0,0,False,0.495,2025-04-11,lead,search_sector=Industrial | search_modality=rent,0.054085392244968666,True,1.0,target_area_sqm=2.8 MAD; max_budget_mxn_rent_monthly=2.6 MAD; prior_inquiries=0.7 MAD
3536,investor,small,manufacturing,Industrial,sale,266.0,,,,7898542.71,Estado de México,Toluca,metepec-toluca,referral,0,80,True,0.1199,2025-09-26,lead,search_sector=Industrial | search_modality=sale,0.0532794288234425,True,0.9973544973544973,prior_inquiries=2.0 MAD; prior_searches=0.7 MAD; target_area_sqm=0.7 MAD
2990,tenant_direct,enterprise,retail,Land,rent,99.1,3518.02,3910.62,,,Querétaro,Querétaro,juriquilla-juncos,paid,34,87,True,0.6349,2026-06-16,lead,search_sector=Land | search_modality=rent,0.05251320080827049,True,0.9974747474747475,prior_inquiries=3.7 MAD; max_budget_mxn_rent_monthly=2.2 MAD; min_budget_mxn_rent_monthly=2.1 MAD
2121,broker,medium,retail,Office,sale,39.1,,,1964655.67,2477620.5,Estado de México,Toluca,metepec-toluca,referral,0,15,False,0.7196,2026-06-05,lead,search_sector=Office | search_modality=sale,0.05201302110113071,True,0.9930232558139535,min_budget_mxn_sale_total=3.2 MAD; max_budget_mxn_sale_total=3.0 MAD; target_area_sqm=3.0 MAD
2295,broker,large,logistics,Industrial,rent,60.8,,8217.1,,,CDMX,Benito Juárez,del-valle-narvarte,paid,7,0,False,0.8129,2025-01-17,lead,search_sector=Industrial | search_modality=rent,0.04994511941844759,True,0.9983633387888707,max_budget_mxn_rent_monthly=2.7 MAD; target_area_sqm=2.5 MAD; prior_inquiries=0.7 MAD
1663,investor,small,retail,Industrial,sale,301.5,,,,31377773.98,CDMX,Benito Juárez,,referral,57,0,False,1.0,2025-12-02,lead,search_sector=Industrial | search_modality=sale,0.04993151805213769,True,0.9947089947089947,max_budget_mxn_sale_total=1.4 MAD; prior_searches=1.4 MAD; prior_inquiries=0.7 MAD
3222,investor,large,logistics,Retail,both,167.8,38971.44,45996.41,,8569067.16,San Luis Potosí,San Luis Potosí,lomas-carranza,organic,2,62,True,0.756,2026-06-19,lead,search_sector=Retail | search_modality=both,0.04928514148554186,True,0.9833887043189369,prior_inquiries=3.4 MAD; max_budget_mxn_sale_total=1.3 MAD; target_area_sqm=1.2 MAD
301,investor,medium,retail,Industrial,both,456.6,56602.21,78252.62,,11901823.81,Chihuahua,Chihuahua,centro-chihuahua,paid,37,97,True,0.7658,2026-03-03,lead,search_sector=Industrial | search_modality=both,0.0481714038312272,True,0.9923076923076923,prior_inquiries=3.8 MAD; prior_searches=1.6 MAD; max_budget_mxn_rent_monthly=0.4 MAD
4513,investor,medium,logistics,Office,both,753.7,225836.76,1372971.49,,44834507.17,Jalisco,Zapopan,andares-puerta-hierro,organic,4,159,False,0.6068,2025-04-18,lead,search_sector=Office | search_modality=both,0.04811738582449798,True,1.0,max_budget_mxn_rent_monthly=3.0 MAD; prior_inquiries=2.4 MAD; min_budget_mxn_rent_monthly=1.1 MAD
311,tenant_direct,medium,technology,Retail,rent,47.7,12093.85,17817.01,,,Jalisco,Zapopan,andares-puerta-hierro,email,46,0,False,0.6321,2026-01-23,lead,search_sector=Retail | search_modality=rent,0.04723086796300302,True,0.9947229551451188,min_budget_mxn_rent_monthly=3.1 MAD; target_area_sqm=2.9 MAD; max_budget_mxn_rent_monthly=2.7 MAD
4141,tenant_direct,medium,manufacturing,Retail,sale,708.6,,,,44696018.44,Estado de México,Toluca,metepec-toluca,event,2,0,True,0.0576,2025-04-02,lead,search_sector=Retail | search_modality=sale,0.04646136330611461,True,0.9957356076759062,max_budget_mxn_sale_total=0.9 MAD; target_area_sqm=0.8 MAD; prior_inquiries=0.7 MAD
1493,tenant_direct,large,technology,Office,both,110.8,,49175.84,,6770766.89,Chihuahua,Chihuahua,centro-chihuahua,organic,2,0,False,0.6158,2026-05-11,lead,search_sector=Office | search_modality=both,0.0455422731691526,True,0.9964539007092199,max_budget_mxn_sale_total=1.6 MAD; target_area_sqm=1.6 MAD; max_budget_mxn_rent_monthly=1.4 MAD
3841,tenant_direct,small,technology,Retail,sale,642.7,,,,31282800.38,Chihuahua,Chihuahua,centro-chihuahua,event,0,59,True,0.3613,2025-02-10,lead,search_sector=Retail | search_modality=sale,0.04505285379901913,True,0.9936034115138592,prior_inquiries=3.3 MAD; prior_searches=0.7 MAD; target_area_sqm=0.6 MAD
2447,broker,large,logistics,Office,rent,8439.7,39635.36,53850.07,,,CDMX,Benito Juárez,del-valle-narvarte,referral,0,67,True,0.4584,2026-01-26,lead,search_sector=Office | search_modality=rent,0.044970421599632604,True,0.991869918699187,target_area_sqm=4.3 MAD; prior_inquiries=1.9 MAD; min_budget_mxn_rent_monthly=1.4 MAD
593,broker,medium,logistics,Office,sale,295.7,,,,18614346.14,Jalisco,Zapopan,andares-puerta-hierro,referral,6,98,True,1.0,2025-03-03,lead,search_sector=Office | search_modality=sale,0.0444683052223761,True,0.9906976744186047,prior_inquiries=2.1 MAD; prior_searches=0.5 MAD; max_budget_mxn_sale_total=0.4 MAD
3208,broker,medium,healthcare,Land,both,92.0,,5485.89,679841.77,765088.47,CDMX,Miguel Hidalgo,polanco,event,0,0,False,1.0,2026-04-17,lead,search_sector=Land | search_modality=both,0.04382582287007408,True,0.9939024390243902,max_budget_mxn_sale_total=2.3 MAD; target_area_sqm=2.2 MAD; min_budget_mxn_sale_total=2.1 MAD
2297,tenant_direct,,other,Office,both,1790.1,506616.18,735753.84,91190913.08,117987201.84,Querétaro,Querétaro,centro-queretaro,paid,3,13,True,0.4505,2025-01-06,lead,search_sector=Office | search_modality=both,0.04157909302841989,True,0.9929078014184397,min_budget_mxn_rent_monthly=2.3 MAD; min_budget_mxn_sale_total=2.3 MAD; target_area_sqm=2.2 MAD
2995,tenant_direct,small,healthcare,Industrial,sale,565.9,,,,19411913.43,Nuevo León,San Pedro Garza García,vasconcelos-calzada,social,0,27,True,0.5972,2026-04-30,lead,search_sector=Industrial | search_modality=sale,0.040836487329093285,True,0.9920634920634921,prior_inquiries=1.4 MAD; max_budget_mxn_sale_total=0.7 MAD; prior_searches=0.7 MAD
2497,tenant_direct,medium,manufacturing,Land,rent,3951.1,158882.88,225186.39,,,Yucatán,Mérida,paseo-montejo,organic,47,0,False,0.2563,2025-03-25,lead,search_sector=Land | search_modality=rent,0.03973319186807478,True,0.9949494949494949,min_budget_mxn_rent_monthly=3.4 MAD; max_budget_mxn_rent_monthly=3.1 MAD; target_area_sqm=3.0 MAD
4042,investor,small,healthcare,Office,rent,571.3,,193352.22,,,Sonora,Hermosillo,centenario-colosio,paid,0,165,False,0.1788,2025-03-17,lead,search_sector=Office | search_modality=rent,0.03898223074959617,True,0.9905149051490515,prior_inquiries=2.5 MAD; prior_searches=0.7 MAD; target_area_sqm=0.6 MAD
514,broker,medium,retail,Office,rent,89.1,26142.56,30497.5,,,Sonora,Hermosillo,,referral,6,64,True,0.2425,2025-01-19,lead,search_sector=Office | search_modality=rent,0.038040526354791715,True,0.989159891598916,target_area_sqm=2.0 MAD; max_budget_mxn_rent_monthly=2.0 MAD; min_budget_mxn_rent_monthly=2.0 MAD
232,tenant_direct,enterprise,financial,Land,both,1077.2,,58905.92,7983549.58,10428775.03,Guanajuato,León,centro-leon,referral,23,0,True,0.7538,2025-06-26,lead,search_sector=Land | search_modality=both,0.03768786898490084,True,0.9878048780487805,max_budget_mxn_rent_monthly=1.7 MAD; min_budget_mxn_sale_total=1.6 MAD; target_area_sqm=1.5 MAD
4033,tenant_direct,medium,retail,Retail,sale,309.2,,,,19883411.55,Jalisco,Guadalajara,,social,0,68,True,0.2881,2025-02-22,lead,search_sector=Retail | search_modality=sale,0.03763506319746501,True,0.9914712153518124,prior_inquiries=3.4 MAD; prior_searches=0.7 MAD; target_area_sqm=0.4 MAD
2874,broker,small,financial,Retail,both,887.7,187645.51,266293.15,33776191.98,195768432.82,CDMX,Benito Juárez,del-valle-narvarte,referral,26,99,True,0.2438,2025-01-29,lead,search_sector=Retail | search_modality=both,0.037225419493575496,True,0.9800664451827242,prior_inquiries=3.8 MAD; max_budget_mxn_sale_total=2.9 MAD; prior_searches=1.3 MAD
2557,broker,medium,technology,Land,sale,78.9,,,543541.35,654065.79,Jalisco,Guadalajara,americana-chapultepec,organic,3,0,True,0.0483,2025-05-20,lead,search_sector=Land | search_modality=sale,0.036567284605133143,True,1.0,min_budget_mxn_sale_total=2.3 MAD; max_budget_mxn_sale_total=2.2 MAD; target_area_sqm=2.1 MAD
2715,investor,,technology,Retail,sale,2619.0,,,107048747.49,124955227.23,Puebla,Puebla,angelopolis-lomas,organic,10,50,False,0.7803,2025-02-17,lead,search_sector=Retail | search_modality=sale,0.03653126602796386,True,0.9893390191897654,prior_inquiries=3.2 MAD; min_budget_mxn_sale_total=2.9 MAD; target_area_sqm=2.7 MAD
4699,tenant_direct,small,manufacturing,Industrial,rent,76.1,8723.66,10037.74,,,Sonora,Hermosillo,centenario-colosio,paid,3,51,True,0.9219,2026-06-04,lead,search_sector=Industrial | search_modality=rent,0.035452441028500314,True,0.9967266775777414,prior_inquiries=3.2 MAD; min_budget_mxn_rent_monthly=2.6 MAD; max_budget_mxn_rent_monthly=2.4 MAD
3906,tenant_direct,small,other,Retail,rent,1325.8,,433845.82,,,Puebla,Puebla,angelopolis-lomas,social,3,6,False,0.9213,2025-02-02,lead,search_sector=Retail | search_modality=rent,0.03538691249697934,True,0.9934036939313984,max_budget_mxn_rent_monthly=1.8 MAD; target_area_sqm=1.7 MAD; prior_inquiries=0.8 MAD
1445,broker,small,retail,Industrial,sale,2095.4,,,40176463.36,52718951.89,CDMX,Miguel Hidalgo,polanco,referral,3,75,True,0.8522,2025-11-08,lead,search_sector=Industrial | search_modality=sale,0.0351039818765283,True,0.9894179894179894,target_area_sqm=2.4 MAD; min_budget_mxn_sale_total=2.4 MAD; max_budget_mxn_sale_total=2.2 MAD
1807,broker,medium,logistics,Retail,rent,2221.5,590033.7,681288.44,,,San Luis Potosí,San Luis Potosí,lomas-carranza,referral,6,9,True,0.8044,2025-09-19,lead,search_sector=Retail | search_modality=rent,0.0349663881329233,True,0.9920844327176781,min_budget_mxn_rent_monthly=2.9 MAD; max_budget_mxn_rent_monthly=2.5 MAD; target_area_sqm=2.4 MAD
793,broker,small,manufacturing,Land,both,1549.7,66795.4,87173.55,,15553479.78,Puebla,Puebla,angelopolis-lomas,referral,51,0,False,0.2971,2026-01-09,lead,search_sector=Land | search_modality=both,0.03462861462879985,True,0.9817073170731707,max_budget_mxn_rent_monthly=2.3 MAD; min_budget_mxn_rent_monthly=2.1 MAD; target_area_sqm=2.1 MAD
3404,investor,large,logistics,Industrial,both,1514.7,181793.68,208931.33,32722861.58,40411221.44,Yucatán,Mérida,paseo-montejo,referral,0,98,True,0.561,2025-10-20,lead,search_sector=Industrial | search_modality=both,0.03387378896466586,True,0.9884615384615385,prior_inquiries=3.8 MAD; min_budget_mxn_rent_monthly=2.0 MAD; min_budget_mxn_sale_total=1.9 MAD
1396,broker,large,logistics,Office,rent,2612.2,712193.33,953010.89,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,paid,0,55,False,0.6129,2025-10-03,lead,search_sector=Office | search_modality=rent,0.033145455928016654,True,0.9878048780487805,min_budget_mxn_rent_monthly=2.9 MAD; target_area_sqm=2.7 MAD; max_budget_mxn_rent_monthly=2.6 MAD
4030,investor,small,financial,Retail,rent,136.0,,35082.87,,,Nuevo León,Monterrey,macroplaza,referral,25,0,False,0.9113,2025-01-03,lead,search_sector=Retail | search_modality=rent,0.03269994541007859,True,0.9907651715039578,max_budget_mxn_rent_monthly=1.8 MAD; target_area_sqm=1.5 MAD; prior_searches=1.3 MAD
8,investor,large,other,Land,sale,976.3,,,,9376746.76,Puebla,Puebla,,email,0,82,True,0.3672,2025-05-05,lead,search_sector=Land | search_modality=sale,0.03233491967311408,True,0.9953051643192489,prior_inquiries=3.6 MAD; target_area_sqm=1.2 MAD; max_budget_mxn_sale_total=1.2 MAD
4533,tenant_direct,enterprise,manufacturing,Retail,rent,903.3,,303332.11,,,CDMX,Cuauhtémoc,roma-condesa,referral,0,38,False,0.5018,2025-12-13,lead,search_sector=Retail | search_modality=rent,0.03157795028299004,True,0.9894459102902374,prior_inquiries=2.1 MAD; max_budget_mxn_rent_monthly=1.3 MAD; target_area_sqm=1.2 MAD
2071,investor,large,financial,Land,rent,884.5,,44777.75,,,Nuevo León,Monterrey,macroplaza,referral,6,119,False,0.3079,2025-01-23,lead,search_sector=Land | search_modality=rent,0.030824058672290322,True,0.9924242424242424,prior_inquiries=4.0 MAD; target_area_sqm=1.1 MAD; max_budget_mxn_rent_monthly=1.0 MAD
1739,tenant_direct,large,retail,Retail,rent,31.1,7914.46,10196.11,,,Chihuahua,Chihuahua,centro-chihuahua,event,0,0,False,0.8878,2025-04-18,lead,search_sector=Retail | search_modality=rent,0.030438715556810103,True,0.9881266490765171,min_budget_mxn_rent_monthly=3.7 MAD; max_budget_mxn_rent_monthly=3.5 MAD; target_area_sqm=3.5 MAD
405,developer,medium,retail,Retail,rent,510.4,,173326.08,,,Puebla,Puebla,angelopolis-lomas,paid,3,4,True,0.2573,2026-03-20,lead,search_sector=Retail | search_modality=rent,0.029449845116887308,True,0.9868073878627969,prior_inquiries=0.5 MAD; max_budget_mxn_rent_monthly=0.5 MAD; target_area_sqm=0.4 MAD
1852,investor,medium,retail,Office,sale,78.5,,,4007413.58,4769920.93,Estado de México,Toluca,metepec-toluca,organic,5,100,True,0.6468,2026-04-16,lead,search_sector=Office | search_modality=sale,0.02891707854147696,True,0.9883720930232558,max_budget_mxn_sale_total=2.2 MAD; min_budget_mxn_sale_total=2.2 MAD; prior_inquiries=2.2 MAD
3433,developer,enterprise,retail,Office,both,76.3,,22786.07,3631155.1,5344717.81,Puebla,Puebla,angelopolis-lomas,paid,2,0,False,0.0306,2025-12-17,lead,search_sector=Office | search_modality=both,0.027001868065147372,True,0.9893617021276596,max_budget_mxn_rent_monthly=2.4 MAD; min_budget_mxn_sale_total=2.2 MAD; target_area_sqm=2.1 MAD
1955,investor,large,healthcare,Retail,rent,1700.1,447120.93,528151.19,,,Chihuahua,Chihuahua,centro-chihuahua,referral,8,66,True,0.1103,2025-01-17,lead,search_sector=Retail | search_modality=rent,0.02664308794811765,True,0.9854881266490765,prior_inquiries=2.5 MAD; min_budget_mxn_rent_monthly=2.5 MAD; max_budget_mxn_rent_monthly=2.1 MAD
1255,broker,,manufacturing,Industrial,sale,36.3,,,863256.49,1284756.97,Baja California,Tijuana,zona-rio-aguacaliente,social,3,5,False,0.4374,2026-02-24,lead,search_sector=Industrial | search_modality=sale,0.0261562937887041,True,0.9867724867724867,target_area_sqm=3.7 MAD; min_budget_mxn_sale_total=3.6 MAD; max_budget_mxn_sale_total=3.2 MAD
3869,tenant_direct,medium,technology,Industrial,rent,408.8,,54771.48,,,Yucatán,Mérida,paseo-montejo,organic,7,5,True,0.4912,2025-07-28,lead,search_sector=Industrial | search_modality=rent,0.026152348671434456,True,0.9950900163666121,prior_inquiries=1.1 MAD; prior_searches=0.6 MAD; max_budget_mxn_rent_monthly=0.2 MAD
1985,tenant_direct,medium,technology,Retail,rent,9597.3,41340.69,55699.61,,,Jalisco,Zapopan,andares-puerta-hierro,email,5,75,True,1.0,2026-06-26,lead,search_sector=Retail | search_modality=rent,0.025406502361717043,True,0.9841688654353562,target_area_sqm=4.5 MAD; prior_inquiries=2.6 MAD; min_budget_mxn_rent_monthly=1.2 MAD
2628,broker,enterprise,retail,Land,rent,1949.7,72336.69,407732.51,,,Guanajuato,León,centro-leon,social,8,13,True,0.2048,2026-04-21,lead,search_sector=Land | search_modality=rent,0.025087651043076975,True,0.98989898989899,max_budget_mxn_rent_monthly=3.9 MAD; min_budget_mxn_rent_monthly=2.3 MAD; target_area_sqm=2.1 MAD
3469,broker,medium,technology,Land,sale,274.5,,,,2692853.92,Sonora,Hermosillo,,referral,0,3,True,0.3537,2025-12-23,lead,search_sector=Land | search_modality=sale,0.02499113284879917,True,0.9906103286384976,prior_inquiries=0.7 MAD; prior_searches=0.7 MAD; target_area_sqm=0.4 MAD
1221,broker,medium,retail,Industrial,rent,7215.9,,73008.74,,,Nuevo León,Monterrey,macroplaza,paid,1,5,False,0.0,2025-02-11,lead,search_sector=Industrial | search_modality=rent,0.024961175713435257,True,0.9934533551554828,target_area_sqm=3.9 MAD; prior_inquiries=1.1 MAD; prior_searches=0.2 MAD
2422,broker,small,retail,Retail,rent,1027.9,250779.11,1198073.96,,,Jalisco,Zapopan,andares-puerta-hierro,referral,2,87,True,0.3569,2025-01-03,lead,search_sector=Retail | search_modality=rent,0.023996087963656265,True,0.9828496042216359,max_budget_mxn_rent_monthly=3.3 MAD; prior_inquiries=2.7 MAD; min_budget_mxn_rent_monthly=1.6 MAD
138,tenant_direct,small,logistics,Industrial,rent,72.6,8576.23,10203.38,,,Nuevo León,Monterrey,macroplaza,paid,53,5,False,0.6821,2025-02-10,lead,search_sector=Industrial | search_modality=rent,0.02397814732486947,True,0.9918166939443536,min_budget_mxn_rent_monthly=2.6 MAD; max_budget_mxn_rent_monthly=2.4 MAD; target_area_sqm=2.3 MAD
4540,tenant_direct,small,financial,Retail,sale,143.8,,,,6661131.55,CDMX,Benito Juárez,del-valle-narvarte,referral,1,6,False,0.6361,2025-03-26,lead,search_sector=Retail | search_modality=sale,0.023837180716115514,True,0.9872068230277186,max_budget_mxn_sale_total=1.8 MAD; target_area_sqm=1.5 MAD; prior_inquiries=1.2 MAD
3950,broker,small,retail,Retail,sale,99.2,,,4359728.98,4936400.84,Sonora,Hermosillo,centenario-colosio,social,10,89,True,0.1202,2025-08-23,lead,search_sector=Retail | search_modality=sale,0.02378786300786251,True,0.9850746268656716,prior_inquiries=3.7 MAD; min_budget_mxn_sale_total=2.3 MAD; max_budget_mxn_sale_total=2.2 MAD
