state,municipality,corridor,sector,rows,first_month,last_month,observed_months
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,5,2024-09-01,2025-08-01,5
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,7,2024-07-01,2025-09-01,7
Sonora,Hermosillo,centenario-colosio,Industrial,11,2024-01-01,2026-05-01,11
Sonora,Hermosillo,centenario-colosio,Land,7,2024-03-01,2025-10-01,7
Sonora,Hermosillo,centenario-colosio,Office,5,2024-03-01,2026-03-01,5
Sonora,Hermosillo,centenario-colosio,Retail,8,2024-02-01,2026-04-01,8
Yucatán,Mérida,paseo-montejo,Industrial,9,2024-01-01,2026-02-01,9
Yucatán,Mérida,paseo-montejo,Land,4,2025-01-01,2026-02-01,4
Yucatán,Mérida,paseo-montejo,Office,5,2024-03-01,2024-11-01,5
Yucatán,Mérida,paseo-montejo,Retail,6,2024-11-01,2026-05-01,6
