table,column,n,missing_rate,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,raw_tukey_outlier_rate,log_tukey_outlier_rate
spots,spot_id,3000,0.0,1500.5,866.1697293256098,1.0,30.990000000000002,150.95000000000002,750.75,1500.5,2250.25,2850.0499999999997,2970.0099999999998,3000.0,0.0,0.048
spots,broker_id,3000,0.0,151.175,85.77881465343167,1.0,4.0,17.0,77.0,151.0,225.0,285.0,297.0,300.0,0.0,0.04033333333333333
spots,lat,3000,0.0,22.464054156,3.867666490957812,19.013025,19.02600326,19.2483603,19.43754875,20.711683999999998,25.656761499999998,29.0900798,32.521965609999995,32.534772,0.0,0.0
spots,lon,3000,0.0,-101.51937946533332,5.391263804514013,-117.062907,-117.04584507,-110.9763556,-103.37509275000001,-100.376022,-99.1907095,-89.62707350000001,-89.60665579,-89.594228,0.16366666666666665,
spots,area_sqm,3000,0.0,3451.7437000000004,8292.95766486787,20.0,20.0,27.89,125.275,617.2,3075.025,15562.244999999983,42220.652999999926,136403.0,0.11833333333333333,0.0
spots,price_sqm_mxn_rent,2239,0.25366666666666665,232.20088432335865,144.58159683192923,15.0,18.261799999999997,30.53,112.755,216.62,329.56,484.313,632.6999999999996,833.0,0.007146047342563644,0.02009825815096025
spots,price_sqm_mxn_sale,1808,0.3973333333333333,41764.688296460175,26071.499781818537,2261.14,3426.9464000000003,5568.2095,20444.7725,39260.765,58492.4325,88319.382,112826.68860000002,152747.85,0.007743362831858407,0.02765486725663717
spots,price_total_mxn_rent,2239,0.25366666666666665,403166.78570343903,922791.9595158845,2000.0,4415.0026,7903.782,33463.205,107931.21,382734.255,1742690.8509999986,4103742.4179999614,18172971.69,0.11210361768646718,0.0008932559178204555
spots,price_total_mxn_sale,1808,0.3973333333333333,65422534.326720126,138540335.94874385,464628.2,730580.9562,1314007.635,5594708.68,19780450.439999998,66002864.475,267365395.2704995,677599451.7344,1879730204.72,0.10398230088495575,0.0
spots,maintenance_cost_mxn,2239,0.25366666666666665,39345.239584636,88852.79743938973,135.13,358.135,713.15,3102.355,10449.09,35682.265,169454.64799999993,378972.9867999999,1665495.14,0.12594908441268424,0.0008932559178204555
spots,days_on_market,3000,0.0,105.88633333333334,113.30952488368021,1.0,1.0,5.0,27.0,69.0,145.0,330.24999999999864,542.0299999999993,730.0,0.05433333333333333,0.019333333333333334
spots,total_inquiries,3000,0.0,5.905666666666667,4.516071248559184,0.0,0.0,1.0,3.0,5.0,7.0,14.0,22.009999999999764,39.0,0.056666666666666664,0.010803511141120865
spots,total_views,3000,0.0,117.80333333333333,100.60806122216641,0.0,0.0,22.0,53.0,90.0,149.25,297.0499999999997,527.0599999999986,904.0,0.05333333333333334,0.00911546252532073
spots,is_active,3000,0.0,0.8863333333333333,0.31745889330515703,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11366666666666667,0.0
spot_attributes,spot_id,3000,0.0,1500.5,866.1697293256098,1.0,30.990000000000002,150.95000000000002,750.75,1500.5,2250.25,2850.0499999999997,2970.0099999999998,3000.0,0.0,0.048
spot_attributes,natural_light,3000,0.0,0.6883333333333334,0.46325164822741577,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
spot_attributes,luminaires,3000,0.0,5.872333333333334,8.867858489715548,0.0,0.0,0.0,0.0,2.0,8.0,28.0,39.0,40.0,0.07633333333333334,0.0
spot_attributes,charging_ports,2394,0.202,1.1934001670843777,3.327220341933738,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,20.0,0.20802005012531327,0.0
spot_attributes,floor_level,3000,0.0,3.489,6.282332494160832,0.0,0.0,0.0,0.0,1.0,3.0,20.0,28.0,30.0,0.154,0.0
spot_attributes,elevators,3000,0.0,8.628666666666666,16.795440070386412,0.0,0.0,0.0,1.0,3.0,9.0,33.0,88.0,273.0,0.088,0.01528140141632501
spot_attributes,vertical_height_m,2543,0.15233333333333332,4.226936688950059,2.8963231823665625,0.0,0.0,0.0,2.6,3.6,6.5,9.3,10.7,12.8,0.00039323633503735744,0.0
spot_attributes,parking_spaces,3000,0.0,41.585,92.54358367796216,0.0,0.0,1.0,3.0,10.0,38.0,182.04999999999973,490.0,1171.0,0.118,0.001034126163391934
market_context,similar_available_spots,500,0.0,16.062,5.5399945016359275,6.0,7.0,8.0,11.0,16.0,21.0,25.0,26.0,27.0,0.0,0.0
market_context,avg_price_sqm_mxn,500,0.0,210.68848,124.21465251849389,34.13,35.0791,40.5655,119.44749999999999,214.685,325.24,394.03349999999995,408.18699999999995,427.31,0.0,0.0
market_context,recent_occupancy_rate,500,0.0,0.769886,0.11560712356094703,0.503,0.507,0.53795,0.70475,0.804,0.856,0.922,0.9440099999999999,0.948,0.0,0.0
market_context,absorption_velocity_days,500,0.0,153.9444,71.33789216367914,45.1,50.788,63.095,101.05,139.85,187.525,307.38499999999993,348.802,363.2,0.046,0.0
market_context,recent_inquiry_volume,500,0.0,269.002,132.46091417307647,50.0,52.0,71.85000000000001,155.75,262.0,387.0,479.04999999999995,497.0,500.0,0.0,0.0
availability_snapshot,snapshot_id,30000,0.0,15000.5,8660.398374208891,1.0,300.99,1500.95,7500.75,15000.5,22500.25,28500.05,29700.01,30000.0,0.0,0.0481
availability_snapshot,spot_id,30000,0.0,1496.6164333333334,862.962889743768,1.0,31.0,148.0,750.0,1499.0,2245.0,2846.0,2970.0,3000.0,0.0,0.048666666666666664
availability_snapshot,is_available,30000,0.0,0.6,0.4899061137265748,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
availability_snapshot,days_until_available,30000,0.0,23.685,47.68773614888808,0.0,0.0,0.0,0.0,0.0,27.0,124.0,214.0,671.0,0.12896666666666667,0.0
availability_snapshot,competing_inquiries_30d,30000,0.0,5.5216,2.2754426737037443,0.0,1.0,2.0,4.0,5.0,7.0,10.0,11.0,17.0,0.0098,0.01575328749749683
