state,municipality,corridor,sector,months,mean_occupancy,mean_absorption_days,mean_similar_available,mean_recent_inquiries,mean_price_sqm_mxn
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,8,0.8691249999999999,169.54999999999998,18.375,284.125,149.67624999999998
Querétaro,Querétaro,centro-queretaro,Land,6,0.599,171.35000000000002,13.666666666666666,220,49.54
Jalisco,Zapopan,andares-puerta-hierro,Land,5,0.5955999999999999,173.2,16.2,282.2,36.736000000000004
Yucatán,Mérida,paseo-montejo,Industrial,9,0.8576666666666667,174.43333333333334,15.222222222222221,238.44444444444446,131.10999999999999
Estado de México,Toluca,metepec-toluca,Industrial,4,0.88775,176.52500000000003,13,188.25,155.15
Jalisco,Zapopan,andares-puerta-hierro,Industrial,11,0.8810000000000001,178.53636363636363,17.181818181818183,189.0909090909091,141.4509090909091
CDMX,Miguel Hidalgo,polanco,Industrial,7,0.8668571428571428,180.8,15.857142857142858,221.71428571428572,151.43142857142857
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,6,0.8783333333333333,185.04999999999998,19.5,299.1666666666667,179.24166666666667
Puebla,Puebla,angelopolis-lomas,Industrial,6,0.8994999999999999,185.44999999999996,11,185.16666666666666,134.0366666666667
CDMX,Miguel Hidalgo,polanco,Land,5,0.5824,196.84,17.4,110.4,61.49400000000001
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,6,0.5768333333333334,198.78333333333333,12.833333333333334,274,48.20499999999999
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,5,0.8724000000000001,208.38000000000002,17,210.6,157.242
Querétaro,Querétaro,juriquilla-juncos,Land,8,0.5810000000000001,209.4125,15.25,240.5,48.58625000000001
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,7,0.5917142857142857,212.31428571428572,17,273.2857142857143,43.135714285714286
CDMX,Benito Juárez,del-valle-narvarte,Land,6,0.5713333333333334,215.0666666666667,21.5,238.66666666666666,53.80833333333334
Nuevo León,Monterrey,macroplaza,Land,7,0.5885714285714286,225.62857142857143,16.285714285714285,234.85714285714286,37.33714285714286
Baja California,Tijuana,zona-rio-aguacaliente,Land,9,0.6153333333333334,237.67777777777778,15.333333333333334,243.77777777777777,48.88444444444444
Estado de México,Toluca,metepec-toluca,Land,10,0.6094,243.8,15,258,42.898
Jalisco,Guadalajara,americana-chapultepec,Land,6,0.6118333333333333,253.16666666666663,16.333333333333332,306,41.300000000000004
Sonora,Hermosillo,centenario-colosio,Land,7,0.6055714285714285,255.22857142857143,18.142857142857142,326.14285714285717,41.785714285714285
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,8,0.613125,268.66249999999997,12.125,274.125,47.79750000000001
Puebla,Puebla,angelopolis-lomas,Land,7,0.593,270.9857142857143,13,314,59.75428571428571
CDMX,Cuauhtémoc,roma-condesa,Land,5,0.5664,274.23999999999995,19,271.4,38.636
Guanajuato,León,centro-leon,Land,9,0.5787777777777777,285.1333333333333,18.77777777777778,279.1111111111111,43.90222222222222
Yucatán,Mérida,paseo-montejo,Land,4,0.61975,291.225,15,263.5,45.6375
Chihuahua,Chihuahua,centro-chihuahua,Land,6,0.6110000000000001,299.71666666666664,19,207.16666666666666,39.818333333333335
