prediction_key,lead_id,stage,score_time,n_candidates,n_corridor,n_municipality,n_state,n_observed_override
L3619:T2:I16402,3619,T2,2026-02-02T16:28:00.000Z,22,21,0,0,1
L3620:T0,3620,T0,2025-07-21T00:00:00.000Z,33,20,0,13,0
L3620:T1:I16408,3620,T1,2025-07-21T13:35:02.000Z,34,20,0,13,1
L3620:T2:I16410,3620,T2,2025-07-30T19:03:53.000Z,35,20,0,15,0
L3620:T2:I16411,3620,T2,2025-07-31T11:22:36.000Z,36,20,0,15,1
L3620:T2:I16413,3620,T2,2025-10-30T07:09:00.000Z,42,23,0,18,1
L3620:T2:I16407,3620,T2,2026-01-16T07:50:00.000Z,47,26,0,20,1
L3620:T2:I16412,3620,T2,2026-02-10T17:57:00.000Z,50,28,0,21,1
L3620:T2:I16409,3620,T2,2026-03-27T08:37:00.000Z,54,28,0,25,1
L3620:T2:I16414,3620,T2,2026-04-20T14:24:00.000Z,55,28,0,26,1
L3621:T0,3621,T0,2025-08-05T00:00:00.000Z,66,23,0,43,0
L3621:T1:I16415,3621,T1,2025-08-17T20:42:26.000Z,73,24,0,48,1
L3622:T0,3622,T0,2025-12-21T00:00:00.000Z,20,20,0,0,0
L3622:T1:I16418,3622,T1,2025-12-21T17:30:19.000Z,21,20,0,0,1
L3622:T2:I16417,3622,T2,2025-12-28T16:00:20.000Z,21,20,0,0,1
L3622:T2:I16419,3622,T2,2025-12-28T17:17:29.000Z,21,20,0,0,1
L3622:T2:I16416,3622,T2,2026-04-23T19:27:00.000Z,26,25,0,0,1
L3623:T0,3623,T0,2025-02-21T00:00:00.000Z,7,7,0,0,0
L3623:T1:I16420,3623,T1,2025-04-22T20:20:00.000Z,10,9,0,0,1
L3623:T2:I16421,3623,T2,2025-08-21T19:36:00.000Z,15,14,0,0,1
L3624:T0,3624,T0,2026-04-09T00:00:00.000Z,76,25,0,51,0
L3624:T1:I16424,3624,T1,2026-04-12T20:06:27.000Z,76,25,0,51,0
L3624:T2:I16425,3624,T2,2026-04-15T07:29:13.000Z,77,25,0,51,1
L3624:T2:I16422,3624,T2,2026-04-16T19:24:11.000Z,76,25,0,51,0
L3624:T2:I16423,3624,T2,2026-04-22T09:17:02.000Z,81,25,0,55,1
L3625:T0,3625,T0,2025-08-15T00:00:00.000Z,62,20,0,42,0
L3625:T1:I16433,3625,T1,2025-08-16T12:36:50.000Z,62,20,0,42,0
L3625:T2:I16429,3625,T2,2025-08-17T14:49:00.000Z,63,20,0,42,1
L3625:T2:I16432,3625,T2,2025-08-19T15:41:59.000Z,63,20,0,42,1
L3625:T2:I16431,3625,T2,2025-08-25T08:19:43.000Z,63,20,0,42,1
L3625:T2:I16430,3625,T2,2025-08-25T16:44:00.000Z,63,20,0,42,1
L3625:T2:I16426,3625,T2,2026-03-20T10:00:00.000Z,99,32,0,67,0
L3625:T2:I16428,3625,T2,2026-04-13T19:44:00.000Z,104,34,0,69,1
L3625:T2:I16427,3625,T2,2026-06-14T16:51:00.000Z,108,35,0,72,1
L3626:T0,3626,T0,2025-12-22T00:00:00.000Z,74,35,0,39,0
L3626:T1:I16438,3626,T1,2025-12-25T15:28:03.000Z,75,35,0,39,1
L3626:T2:I16435,3626,T2,2025-12-29T16:47:34.000Z,75,35,0,39,1
L3626:T2:I16437,3626,T2,2025-12-30T16:02:26.000Z,76,36,0,39,1
L3626:T2:I16434,3626,T2,2025-12-31T10:34:06.000Z,76,36,0,39,1
L3626:T2:I16436,3626,T2,2026-01-04T09:31:20.000Z,76,36,0,39,1
L3627:T0,3627,T0,2025-03-24T00:00:00.000Z,15,15,0,0,0
L3627:T1:I16443,3627,T1,2025-03-29T14:31:34.000Z,16,15,0,0,1
L3627:T2:I16440,3627,T2,2025-04-03T17:20:18.000Z,16,15,0,0,1
L3627:T2:I16439,3627,T2,2025-07-18T17:20:00.000Z,19,18,0,0,1
L3627:T2:I16441,3627,T2,2025-11-25T17:33:00.000Z,23,22,0,0,1
L3627:T2:I16442,3627,T2,2025-12-08T13:41:00.000Z,24,23,0,0,1
L3628:T0,3628,T0,2026-05-28T00:00:00.000Z,29,29,0,0,0
L3628:T1:I16444,3628,T1,2026-05-31T15:31:51.000Z,29,29,0,0,0
L3628:T2:I16445,3628,T2,2026-06-03T09:36:09.000Z,30,29,0,0,1
L3628:T2:I16446,3628,T2,2026-06-05T08:22:12.000Z,30,29,0,0,1
L3628:T2:I16447,3628,T2,2026-06-06T07:24:26.000Z,30,29,0,0,1
L3629:T0,3629,T0,2025-12-08T00:00:00.000Z,54,30,0,24,0
L3629:T1:I16451,3629,T1,2025-12-08T10:40:19.000Z,55,30,0,24,1
L3629:T2:I16450,3629,T2,2025-12-10T19:36:59.000Z,54,30,0,24,0
L3629:T2:I16448,3629,T2,2026-02-24T07:04:00.000Z,64,35,0,28,1
L3629:T2:I16449,3629,T2,2026-06-14T18:37:00.000Z,78,43,0,34,1
L3630:T0,3630,T0,2025-04-11T00:00:00.000Z,42,18,0,24,0
L3630:T1:I16452,3630,T1,2025-04-11T20:49:29.000Z,43,18,0,24,1
L3630:T2:I16454,3630,T2,2025-04-16T17:25:47.000Z,43,18,0,24,1
L3630:T2:I16453,3630,T2,2026-04-09T20:05:00.000Z,87,32,0,54,1
L3631:T0,3631,T0,2026-05-10T00:00:00.000Z,30,30,0,0,0
L3631:T1:I16461,3631,T1,2026-05-10T17:22:20.000Z,31,30,0,0,1
L3631:T2:I16456,3631,T2,2026-05-12T18:23:35.000Z,31,30,0,0,1
L3631:T2:I16462,3631,T2,2026-05-14T10:20:58.000Z,31,30,0,0,1
L3631:T2:I16459,3631,T2,2026-05-14T19:44:00.000Z,31,30,0,0,1
L3631:T2:I16457,3631,T2,2026-05-15T11:33:39.000Z,31,30,0,0,1
L3631:T2:I16460,3631,T2,2026-05-16T09:24:12.000Z,31,30,0,0,1
L3631:T2:I16455,3631,T2,2026-05-17T15:52:23.000Z,30,30,0,0,0
L3631:T2:I16458,3631,T2,2026-05-23T10:34:07.000Z,31,30,0,0,1
L3632:T0,3632,T0,2025-11-05T00:00:00.000Z,54,17,0,37,0
L3632:T1:I16468,3632,T1,2025-11-08T09:22:31.000Z,55,17,0,37,1
L3632:T2:I16466,3632,T2,2025-11-08T12:25:17.000Z,55,17,0,37,1
L3632:T2:I16469,3632,T2,2025-11-10T20:36:59.000Z,55,17,0,37,1
L3632:T2:I16463,3632,T2,2025-11-17T14:50:56.000Z,56,17,0,38,1
L3632:T2:I16464,3632,T2,2026-01-19T08:30:00.000Z,67,22,0,44,1
L3632:T2:I16470,3632,T2,2026-02-25T14:24:00.000Z,72,24,0,47,1
L3632:T2:I16465,3632,T2,2026-04-19T15:32:00.000Z,78,25,0,52,1
L3632:T2:I16467,3632,T2,2026-06-02T18:15:00.000Z,85,28,0,56,1
L3633:T0,3633,T0,2026-02-10T00:00:00.000Z,38,38,0,0,0
L3633:T1:I16471,3633,T1,2026-02-14T15:34:01.000Z,39,38,0,0,1
L3634:T0,3634,T0,2026-03-02T00:00:00.000Z,64,29,0,35,0
L3634:T1:I16472,3634,T1,2026-03-06T15:01:54.000Z,65,29,0,36,0
L3634:T2:I16474,3634,T2,2026-03-08T19:29:14.000Z,66,29,0,36,1
L3634:T2:I16473,3634,T2,2026-03-11T12:23:00.000Z,66,29,0,36,1
L3635:T0,3635,T0,2025-08-30T00:00:00.000Z,13,13,0,0,0
L3635:T1:I16481,3635,T1,2025-09-05T16:02:49.000Z,14,13,0,0,1
L3635:T2:I16479,3635,T2,2025-09-06T07:58:44.000Z,14,13,0,0,1
L3635:T2:I16475,3635,T2,2025-09-09T19:04:38.000Z,14,13,0,0,1
L3635:T2:I16480,3635,T2,2025-09-11T18:29:04.000Z,14,13,0,0,1
L3635:T2:I16478,3635,T2,2025-12-26T18:42:00.000Z,17,16,0,0,1
L3635:T2:I16482,3635,T2,2026-04-09T15:44:00.000Z,18,17,0,0,1
L3635:T2:I16477,3635,T2,2026-04-21T09:57:00.000Z,18,17,0,0,1
L3635:T2:I16476,3635,T2,2026-06-29T11:32:00.000Z,20,19,0,0,1
L3636:T0,3636,T0,2025-06-30T00:00:00.000Z,10,10,0,0,0
L3636:T1:I16483,3636,T1,2025-06-30T19:19:02.000Z,11,10,0,0,1
L3636:T2:I16486,3636,T2,2025-07-01T19:26:07.000Z,10,10,0,0,0
L3636:T2:I16487,3636,T2,2025-07-02T15:20:36.000Z,11,10,0,0,1
L3636:T2:I16488,3636,T2,2025-07-10T12:42:02.000Z,10,10,0,0,0
L3636:T2:I16489,3636,T2,2025-08-12T20:55:00.000Z,12,11,0,0,1
L3636:T2:I16485,3636,T2,2026-01-02T17:20:00.000Z,18,17,0,0,1
L3636:T2:I16484,3636,T2,2026-02-02T17:12:00.000Z,19,18,0,0,1
L3637:T0,3637,T0,2025-09-16T00:00:00.000Z,58,24,0,34,0
L3637:T1:I16492,3637,T1,2025-09-26T18:15:44.000Z,59,24,0,34,1
L3637:T2:I16490,3637,T2,2026-03-18T13:56:00.000Z,85,31,0,53,1
L3637:T2:I16491,3637,T2,2026-04-11T10:14:00.000Z,87,32,0,54,1
L3638:T0,3638,T0,2026-04-09T00:00:00.000Z,43,20,0,23,0
L3638:T1:I16500,3638,T1,2026-04-11T12:52:05.000Z,44,20,0,23,1
L3638:T2:I16497,3638,T2,2026-04-11T14:59:50.000Z,44,20,0,23,1
L3638:T2:I16494,3638,T2,2026-04-14T08:46:37.000Z,44,20,0,23,1
L3638:T2:I16498,3638,T2,2026-04-16T19:15:57.000Z,44,20,0,23,1
L3638:T2:I16496,3638,T2,2026-04-17T18:14:09.000Z,43,20,0,23,0
L3638:T2:I16499,3638,T2,2026-04-20T18:49:46.000Z,44,20,0,23,1
L3638:T2:I16493,3638,T2,2026-04-21T20:01:44.000Z,44,20,0,23,1
L3638:T2:I16495,3638,T2,2026-04-22T09:25:51.000Z,44,20,0,23,1
L3639:T0,3639,T0,2025-11-28T00:00:00.000Z,40,23,0,17,0
L3639:T1:I16501,3639,T1,2025-12-09T12:35:23.000Z,40,23,0,17,0
L3639:T2:I16502,3639,T2,2026-06-25T11:51:00.000Z,54,27,0,26,1
L3640:T0,3640,T0,2025-01-28T00:00:00.000Z,20,12,0,8,0
L3640:T1:I16508,3640,T1,2025-01-31T20:39:02.000Z,21,12,0,8,1
L3640:T2:I16506,3640,T2,2025-02-03T11:57:01.000Z,21,12,0,8,1
L3640:T2:I16507,3640,T2,2025-02-06T12:55:20.000Z,21,12,0,8,1
L3640:T2:I16505,3640,T2,2025-03-09T13:04:00.000Z,21,12,0,8,1
L3640:T2:I16503,3640,T2,2025-05-09T08:50:00.000Z,26,16,0,10,0
L3640:T2:I16504,3640,T2,2025-08-19T18:39:00.000Z,33,19,0,13,1
L3640:T2:I16509,3640,T2,2025-12-11T20:27:00.000Z,39,23,0,16,0
L3640:T2:I16510,3640,T2,2026-02-28T17:41:00.000Z,47,26,0,20,1
L3641:T0,3641,T0,2026-06-02T00:00:00.000Z,74,38,0,36,0
L3641:T1:I16514,3641,T1,2026-06-02T15:28:24.000Z,74,38,0,36,0
L3641:T2:I16513,3641,T2,2026-06-10T12:41:29.000Z,77,40,0,36,1
L3641:T2:I16511,3641,T2,2026-06-10T14:32:11.000Z,77,40,0,36,1
L3641:T2:I16512,3641,T2,2026-06-14T08:42:28.000Z,78,41,0,36,1
L3642:T0,3642,T0,2025-08-26T00:00:00.000Z,54,30,24,0,0
L3642:T1:I16515,3642,T1,2025-09-03T17:00:36.000Z,54,30,24,0,0
L3643:T0,3643,T0,2026-06-05T00:00:00.000Z,42,42,0,0,0
L3643:T1:I16519,3643,T1,2026-06-07T07:38:11.000Z,43,42,0,0,1
L3643:T2:I16517,3643,T2,2026-06-15T11:45:58.000Z,43,42,0,0,1
L3643:T2:I16516,3643,T2,2026-06-15T16:34:07.000Z,43,42,0,0,1
L3643:T2:I16518,3643,T2,2026-06-15T20:52:15.000Z,43,42,0,0,1
L3644:T0,3644,T0,2025-01-26T00:00:00.000Z,31,11,0,20,0
L3644:T1:I16524,3644,T1,2025-02-02T15:13:40.000Z,33,11,0,21,1
L3644:T2:I16520,3644,T2,2025-02-05T18:29:27.000Z,33,11,0,21,1
L3644:T2:I16521,3644,T2,2025-05-15T14:19:00.000Z,46,13,0,32,1
L3644:T2:I16523,3644,T2,2025-06-21T08:21:00.000Z,53,15,0,37,1
L3644:T2:I16522,3644,T2,2026-04-05T19:59:00.000Z,101,29,0,71,1
L3645:T0,3645,T0,2026-01-22T00:00:00.000Z,58,26,0,32,0
L3645:T1:I16529,3645,T1,2026-01-26T07:57:24.000Z,59,26,0,32,1
L3645:T2:I16526,3645,T2,2026-01-26T18:09:58.000Z,59,26,0,32,1
L3645:T2:I16527,3645,T2,2026-01-29T17:46:13.000Z,60,27,0,32,1
L3645:T2:I16530,3645,T2,2026-01-29T18:29:32.000Z,60,27,0,32,1
L3645:T2:I16528,3645,T2,2026-01-31T14:38:01.000Z,60,27,0,32,1
L3645:T2:I16531,3645,T2,2026-02-01T10:25:34.000Z,61,27,0,33,1
L3645:T2:I16525,3645,T2,2026-02-01T11:42:14.000Z,61,27,0,33,1
L3646:T0,3646,T0,2025-01-16T00:00:00.000Z,9,9,0,0,0
L3646:T1:I16532,3646,T1,2025-01-18T16:10:04.000Z,10,9,0,0,1
L3646:T2:I16535,3646,T2,2025-01-25T14:35:21.000Z,11,10,0,0,1
L3646:T2:I16536,3646,T2,2025-01-27T09:37:47.000Z,11,10,0,0,1
L3646:T2:I16533,3646,T2,2025-02-11T20:34:00.000Z,12,11,0,0,1
L3646:T2:I16538,3646,T2,2025-06-30T18:08:00.000Z,21,20,0,0,1
L3646:T2:I16537,3646,T2,2025-10-04T14:44:00.000Z,26,25,0,0,1
L3646:T2:I16534,3646,T2,2026-02-09T13:27:00.000Z,29,28,0,0,1
L3647:T0,3647,T0,2025-08-28T00:00:00.000Z,42,20,0,22,0
L3647:T1:I16543,3647,T1,2025-08-28T18:28:23.000Z,43,20,0,22,1
L3647:T2:I16541,3647,T2,2025-08-31T07:17:47.000Z,43,20,0,22,1
L3647:T2:I16542,3647,T2,2025-09-09T12:10:58.000Z,44,20,0,23,1
L3647:T2:I16544,3647,T2,2025-11-01T07:59:00.000Z,51,23,0,27,1
L3647:T2:I16545,3647,T2,2025-12-08T07:52:00.000Z,52,24,0,27,1
L3647:T2:I16539,3647,T2,2025-12-15T19:34:00.000Z,52,24,0,27,1
L3647:T2:I16540,3647,T2,2026-03-09T10:15:00.000Z,58,29,0,29,0
L3648:T0,3648,T0,2026-02-25T00:00:00.000Z,43,20,23,0,0
L3648:T1:I16550,3648,T1,2026-02-25T07:19:57.000Z,44,20,23,0,1
L3648:T2:I16546,3648,T2,2026-02-26T12:21:49.000Z,44,20,23,0,1
L3648:T2:I16551,3648,T2,2026-02-28T07:13:32.000Z,44,20,23,0,1
L3648:T2:I16549,3648,T2,2026-02-28T07:34:29.000Z,44,20,23,0,1
L3648:T2:I16547,3648,T2,2026-02-28T14:58:44.000Z,44,20,23,0,1
L3648:T2:I16553,3648,T2,2026-03-01T18:44:23.000Z,44,20,23,0,1
L3648:T2:I16548,3648,T2,2026-03-02T15:00:07.000Z,44,20,23,0,1
L3648:T2:I16552,3648,T2,2026-03-05T09:47:35.000Z,44,20,23,0,1
L3649:T0,3649,T0,2025-05-01T00:00:00.000Z,18,18,0,0,0
L3649:T1:I16554,3649,T1,2026-04-12T10:32:00.000Z,34,33,0,0,1
L3650:T0,3650,T0,2025-02-08T00:00:00.000Z,6,0,6,0,0
L3650:T1:I16555,3650,T1,2025-03-08T09:32:00.000Z,9,0,8,0,1
L3650:T2:I16556,3650,T2,2025-11-08T09:08:00.000Z,18,0,17,0,1
L3650:T2:I16557,3650,T2,2025-11-14T07:49:00.000Z,18,0,17,0,1
L3651:T0,3651,T0,2025-04-03T00:00:00.000Z,18,6,12,0,0
L3651:T1:I16558,3651,T1,2025-05-11T08:57:00.000Z,21,7,13,0,1
L3651:T2:I16560,3651,T2,2025-07-06T11:41:00.000Z,25,9,15,0,1
L3651:T2:I16559,3651,T2,2026-05-02T15:14:00.000Z,51,23,27,0,1
L3651:T2:I16561,3651,T2,2026-05-12T07:38:00.000Z,51,23,27,0,1
L3652:T0,3652,T0,2025-04-30T00:00:00.000Z,14,14,0,0,0
L3652:T1:I16562,3652,T1,2025-10-14T19:16:00.000Z,17,16,0,0,1
L3653:T0,3653,T0,2025-01-06T00:00:00.000Z,30,8,0,22,0
L3653:T1:I16563,3653,T1,2025-01-15T11:26:11.000Z,33,10,0,22,1
L3653:T2:I16564,3653,T2,2026-06-13T11:51:00.000Z,137,50,0,86,1
L3654:T0,3654,T0,2026-06-07T00:00:00.000Z,82,29,0,53,0
L3654:T1:I16565,3654,T1,2026-06-12T07:03:47.000Z,85,29,0,56,0
L3655:T0,3655,T0,2025-07-18T00:00:00.000Z,14,8,0,6,0
L3655:T1:I16573,3655,T1,2025-07-20T10:46:24.000Z,16,8,0,7,1
L3655:T2:I16571,3655,T2,2025-07-21T17:51:50.000Z,16,8,0,7,1
L3655:T2:I16570,3655,T2,2025-07-25T20:00:31.000Z,16,8,0,7,1
L3655:T2:I16572,3655,T2,2025-07-28T13:41:05.000Z,17,9,0,7,1
L3655:T2:I16568,3655,T2,2025-07-31T12:34:40.000Z,17,9,0,7,1
L3655:T2:I16566,3655,T2,2025-11-28T10:58:00.000Z,26,12,0,13,1
L3655:T2:I16569,3655,T2,2026-05-11T10:49:00.000Z,35,15,0,19,1
L3655:T2:I16567,3655,T2,2026-06-12T15:12:00.000Z,36,15,0,20,1
L3656:T0,3656,T0,2025-11-28T00:00:00.000Z,40,24,0,16,0
L3656:T1:I16575,3656,T1,2025-12-04T12:52:17.000Z,41,24,0,16,1
L3656:T2:I16574,3656,T2,2025-12-05T17:08:31.000Z,41,24,0,16,1
L3657:T0,3657,T0,2025-02-03T00:00:00.000Z,23,8,0,15,0
L3657:T1:I16577,3657,T1,2025-12-05T16:51:00.000Z,41,17,0,23,1
L3657:T2:I16576,3657,T2,2026-02-15T14:34:00.000Z,45,21,0,24,0
L3658:T0,3658,T0,2026-04-10T00:00:00.000Z,57,32,0,25,0
L3658:T1:I16579,3658,T1,2026-04-12T10:31:41.000Z,59,33,0,25,1
L3658:T2:I16578,3658,T2,2026-04-21T08:04:43.000Z,59,33,0,25,1
L3659:T0,3659,T0,2026-01-14T00:00:00.000Z,30,30,0,0,0
L3659:T1:I16586,3659,T1,2026-01-14T11:18:12.000Z,31,30,0,0,1
L3659:T2:I16584,3659,T2,2026-01-17T12:42:43.000Z,31,30,0,0,1
L3659:T2:I16585,3659,T2,2026-01-18T17:39:53.000Z,31,30,0,0,1
L3659:T2:I16580,3659,T2,2026-01-20T20:57:27.000Z,31,30,0,0,1
L3659:T2:I16581,3659,T2,2026-01-22T17:07:29.000Z,31,30,0,0,1
L3659:T2:I16587,3659,T2,2026-01-22T19:20:36.000Z,31,30,0,0,1
L3659:T2:I16583,3659,T2,2026-03-30T16:56:00.000Z,32,31,0,0,1
L3659:T2:I16582,3659,T2,2026-04-11T10:19:00.000Z,35,34,0,0,1
L3660:T0,3660,T0,2025-10-17T00:00:00.000Z,43,20,0,23,0
L3660:T1:I16589,3660,T1,2025-10-17T20:59:15.000Z,44,20,0,23,1
L3660:T2:I16591,3660,T2,2025-10-18T18:21:57.000Z,44,20,0,23,1
L3660:T2:I16590,3660,T2,2025-10-20T09:51:46.000Z,44,20,0,23,1
L3660:T2:I16594,3660,T2,2025-10-26T07:59:06.000Z,44,20,0,23,1
L3660:T2:I16595,3660,T2,2025-10-27T20:07:38.000Z,44,20,0,23,1
L3660:T2:I16588,3660,T2,2025-11-07T19:08:00.000Z,44,20,0,23,1
L3660:T2:I16593,3660,T2,2026-02-15T18:27:00.000Z,54,26,0,27,1
L3660:T2:I16592,3660,T2,2026-05-18T16:20:00.000Z,62,32,0,29,1
L3661:T0,3661,T0,2025-03-21T00:00:00.000Z,15,15,0,0,0
L3661:T1:I16596,3661,T1,2026-04-09T15:03:00.000Z,36,35,0,0,1
L3662:T0,3662,T0,2025-08-29T00:00:00.000Z,37,23,0,14,0
L3662:T1:I16599,3662,T1,2025-08-30T14:15:43.000Z,39,23,0,15,1
L3662:T2:I16598,3662,T2,2025-08-31T18:51:42.000Z,39,23,0,15,1
L3662:T2:I16601,3662,T2,2025-09-06T11:13:41.000Z,39,23,0,15,1
L3662:T2:I16600,3662,T2,2025-09-11T19:37:09.000Z,39,23,0,15,1
L3662:T2:I16597,3662,T2,2025-09-18T14:32:00.000Z,39,23,0,15,1
L3663:T0,3663,T0,2026-03-19T00:00:00.000Z,21,21,0,0,0
L3663:T1:I16603,3663,T1,2026-03-23T17:40:22.000Z,22,21,0,0,1
L3663:T2:I16605,3663,T2,2026-03-23T18:26:44.000Z,22,21,0,0,1
L3663:T2:I16609,3663,T2,2026-03-24T17:25:15.000Z,22,21,0,0,1
L3663:T2:I16608,3663,T2,2026-03-26T20:07:23.000Z,22,21,0,0,1
L3663:T2:I16607,3663,T2,2026-03-28T08:58:18.000Z,23,22,0,0,1
L3663:T2:I16604,3663,T2,2026-03-28T17:49:53.000Z,22,22,0,0,0
L3663:T2:I16602,3663,T2,2026-03-31T08:33:06.000Z,23,22,0,0,1
L3663:T2:I16606,3663,T2,2026-05-22T07:05:00.000Z,27,27,0,0,0
L3664:T0,3664,T0,2025-12-15T00:00:00.000Z,40,16,0,24,0
L3664:T1:I16613,3664,T1,2025-12-20T10:56:41.000Z,40,16,0,24,0
L3664:T2:I16612,3664,T2,2025-12-21T20:56:57.000Z,41,16,0,24,1
L3664:T2:I16615,3664,T2,2025-12-25T15:07:33.000Z,42,17,0,24,1
L3664:T2:I16611,3664,T2,2025-12-26T10:49:54.000Z,42,17,0,24,1
L3664:T2:I16614,3664,T2,2025-12-27T13:38:30.000Z,42,17,0,24,1
L3664:T2:I16610,3664,T2,2025-12-28T07:28:30.000Z,42,17,0,24,1
L3664:T2:I16616,3664,T2,2025-12-28T14:08:30.000Z,41,17,0,24,0
L3665:T0,3665,T0,2025-06-14T00:00:00.000Z,51,21,0,30,0
L3665:T1:I16618,3665,T1,2025-06-15T17:04:31.000Z,52,21,0,30,1
L3665:T2:I16619,3665,T2,2025-06-23T20:48:17.000Z,52,21,0,31,0
L3665:T2:I16620,3665,T2,2026-01-01T16:05:00.000Z,87,36,0,50,1
L3665:T2:I16617,3665,T2,2026-01-12T11:47:00.000Z,87,36,0,50,1
L3666:T0,3666,T0,2025-03-15T00:00:00.000Z,10,10,0,0,0
L3666:T1:I16621,3666,T1,2026-02-12T10:17:00.000Z,18,17,0,0,1
L3667:T0,3667,T0,2026-04-14T00:00:00.000Z,48,21,0,27,0
L3667:T1:I16622,3667,T1,2026-04-19T17:26:36.000Z,49,21,0,27,1
L3667:T2:I16623,3667,T2,2026-04-19T18:40:50.000Z,49,21,0,27,1
L3668:T0,3668,T0,2026-05-16T00:00:00.000Z,10,10,0,0,0
L3668:T1:I16626,3668,T1,2026-05-18T20:27:12.000Z,12,11,0,0,1
L3668:T2:I16625,3668,T2,2026-05-26T09:09:32.000Z,12,11,0,0,1
L3668:T2:I16624,3668,T2,2026-05-29T20:33:56.000Z,12,11,0,0,1
L3669:T0,3669,T0,2025-01-09T00:00:00.000Z,4,4,0,0,0
L3669:T1:I16631,3669,T1,2025-01-15T11:32:42.000Z,5,4,0,0,1
L3669:T2:I16629,3669,T2,2025-07-08T07:10:00.000Z,11,10,0,0,1
L3669:T2:I16630,3669,T2,2025-08-16T12:05:00.000Z,12,11,0,0,1
L3669:T2:I16627,3669,T2,2026-02-14T18:31:00.000Z,20,19,0,0,1
L3669:T2:I16628,3669,T2,2026-04-11T20:13:00.000Z,21,20,0,0,1
L3670:T0,3670,T0,2025-04-05T00:00:00.000Z,7,7,0,0,0
L3670:T1:I16634,3670,T1,2025-04-08T17:08:24.000Z,8,7,0,0,1
L3670:T2:I16632,3670,T2,2025-04-09T19:21:21.000Z,8,7,0,0,1
L3670:T2:I16633,3670,T2,2025-11-23T20:00:00.000Z,20,19,0,0,1
L3671:T0,3671,T0,2025-02-26T00:00:00.000Z,5,5,0,0,0
L3671:T1:I16638,3671,T1,2025-02-26T16:50:36.000Z,6,5,0,0,1
L3671:T2:I16637,3671,T2,2025-03-01T08:41:07.000Z,6,5,0,0,1
L3671:T2:I16636,3671,T2,2025-08-04T20:51:00.000Z,12,11,0,0,1
L3671:T2:I16639,3671,T2,2025-08-17T13:28:00.000Z,12,11,0,0,1
L3671:T2:I16635,3671,T2,2025-09-12T14:24:00.000Z,13,12,0,0,1
L3672:T0,3672,T0,2026-06-01T00:00:00.000Z,27,27,0,0,0
L3672:T1:I16643,3672,T1,2026-06-02T19:36:39.000Z,27,27,0,0,0
L3672:T2:I16640,3672,T2,2026-06-05T09:49:09.000Z,29,28,0,0,1
L3672:T2:I16644,3672,T2,2026-06-08T11:25:19.000Z,30,29,0,0,1
L3672:T2:I16642,3672,T2,2026-06-09T09:38:22.000Z,30,29,0,0,1
L3672:T2:I16641,3672,T2,2026-06-11T14:30:00.000Z,30,29,0,0,1
L3673:T0,3673,T0,2026-03-05T00:00:00.000Z,82,24,0,58,0
L3673:T1:I16648,3673,T1,2026-03-06T13:04:39.000Z,83,24,0,58,1
L3673:T2:I16646,3673,T2,2026-03-11T18:02:43.000Z,84,25,0,58,1
L3673:T2:I16651,3673,T2,2026-03-11T20:26:28.000Z,84,25,0,58,1
L3673:T2:I16647,3673,T2,2026-03-12T18:12:10.000Z,83,25,0,58,0
