broker_id,spots,inquiries,scheduled_visits,scheduled_visit_share
180,11,93,17,0.1827956989247312
53,11,92,16,0.17391304347826086
119,12,92,14,0.15217391304347827
126,13,92,24,0.2608695652173913
134,13,92,13,0.14130434782608695
261,9,92,20,0.21739130434782608
263,12,92,23,0.25
27,12,91,17,0.18681318681318682
172,15,91,19,0.2087912087912088
247,11,91,17,0.18681318681318682
254,14,91,15,0.16483516483516483
123,12,90,16,0.17777777777777778
16,12,89,15,0.16853932584269662
109,11,89,18,0.20224719101123595
285,13,89,14,0.15730337078651685
150,12,88,20,0.22727272727272727
162,10,88,24,0.2727272727272727
260,10,88,23,0.26136363636363635
287,13,88,21,0.23863636363636365
23,9,87,14,0.16091954022988506
105,10,87,17,0.19540229885057472
104,9,86,19,0.22093023255813954
170,14,86,12,0.13953488372093023
232,11,86,9,0.10465116279069768
241,10,86,14,0.16279069767441862
266,10,86,20,0.23255813953488372
283,9,86,14,0.16279069767441862
6,11,85,21,0.24705882352941178
91,10,85,21,0.24705882352941178
189,12,85,20,0.23529411764705882
213,13,85,17,0.2
293,10,85,12,0.1411764705882353
62,12,84,20,0.23809523809523808
75,11,84,18,0.21428571428571427
300,9,84,21,0.25
71,9,83,20,0.24096385542168675
77,10,83,14,0.1686746987951807
83,11,83,15,0.18072289156626506
181,13,83,14,0.1686746987951807
196,10,83,14,0.1686746987951807
240,10,83,18,0.21686746987951808
32,11,82,23,0.2804878048780488
167,10,82,13,0.15853658536585366
273,12,82,10,0.12195121951219512
290,10,82,23,0.2804878048780488
7,11,81,24,0.2962962962962963
48,10,81,19,0.2345679012345679
88,12,81,12,0.14814814814814814
243,11,81,12,0.14814814814814814
40,10,80,20,0.25
108,12,80,16,0.2
129,10,80,16,0.2
139,14,80,14,0.175
226,8,80,15,0.1875
242,11,80,19,0.2375
276,11,80,14,0.175
277,10,80,14,0.175
86,10,79,18,0.22784810126582278
168,12,79,14,0.17721518987341772
198,9,79,14,0.17721518987341772
124,11,78,12,0.15384615384615385
146,11,78,14,0.1794871794871795
66,7,77,12,0.15584415584415584
67,11,77,19,0.24675324675324675
99,11,77,14,0.18181818181818182
102,11,77,10,0.12987012987012986
211,11,77,14,0.18181818181818182
45,9,76,14,0.18421052631578946
56,10,76,18,0.23684210526315788
59,12,76,15,0.19736842105263158
82,12,76,18,0.23684210526315788
117,7,76,16,0.21052631578947367
137,10,76,10,0.13157894736842105
223,9,76,12,0.15789473684210525
14,11,75,11,0.14666666666666667
116,11,75,18,0.24
125,11,75,14,0.18666666666666668
128,9,75,16,0.21333333333333335
144,8,75,13,0.17333333333333334
156,11,75,14,0.18666666666666668
20,8,74,13,0.17567567567567569
153,10,74,9,0.12162162162162163
228,11,74,17,0.22972972972972974
248,10,74,17,0.22972972972972974
2,11,73,15,0.2054794520547945
47,11,73,19,0.2602739726027397
265,8,73,19,0.2602739726027397
275,9,73,15,0.2054794520547945
11,9,72,15,0.20833333333333334
72,8,72,11,0.1527777777777778
92,8,72,14,0.19444444444444445
197,10,72,14,0.19444444444444445
205,9,72,16,0.2222222222222222
224,11,72,16,0.2222222222222222
249,9,72,14,0.19444444444444445
270,9,72,15,0.20833333333333334
291,9,72,11,0.1527777777777778
236,8,71,18,0.2535211267605634
262,11,71,7,0.09859154929577464
269,11,71,17,0.23943661971830985
55,8,70,14,0.2
95,9,70,13,0.18571428571428572
107,11,70,8,0.11428571428571428
135,8,70,14,0.2
245,11,70,14,0.2
253,10,70,14,0.2
279,10,70,15,0.21428571428571427
96,9,69,15,0.21739130434782608
141,9,69,16,0.2318840579710145
250,8,69,21,0.30434782608695654
19,11,68,15,0.22058823529411764
21,9,68,13,0.19117647058823528
29,9,68,12,0.17647058823529413
34,10,68,12,0.17647058823529413
185,11,68,18,0.2647058823529412
229,9,68,14,0.20588235294117646
255,5,68,16,0.23529411764705882
286,7,68,15,0.22058823529411764
42,11,67,14,0.208955223880597
46,11,67,16,0.23880597014925373
97,10,67,12,0.1791044776119403
163,10,67,15,0.22388059701492538
258,10,67,12,0.1791044776119403
17,8,66,8,0.12121212121212122
165,10,66,14,0.21212121212121213
227,11,66,19,0.2878787878787879
54,10,65,10,0.15384615384615385
98,10,65,10,0.15384615384615385
78,9,64,11,0.171875
187,9,64,15,0.234375
274,10,64,14,0.21875
296,8,64,13,0.203125
87,10,63,12,0.19047619047619047
103,8,63,9,0.14285714285714285
175,9,63,16,0.25396825396825395
202,8,63,13,0.20634920634920634
209,11,63,8,0.12698412698412698
85,9,62,17,0.27419354838709675
157,9,62,14,0.22580645161290322
169,9,62,15,0.24193548387096775
176,11,62,9,0.14516129032258066
192,7,62,8,0.12903225806451613
195,9,62,14,0.22580645161290322
219,10,62,14,0.22580645161290322
31,10,61,9,0.14754098360655737
84,7,61,14,0.22950819672131148
93,8,61,20,0.32786885245901637
186,9,60,13,0.21666666666666667
289,8,60,9,0.15
69,7,59,13,0.22033898305084745
143,10,59,10,0.1694915254237288
284,9,59,10,0.1694915254237288
299,7,59,9,0.15254237288135594
76,11,58,11,0.1896551724137931
127,8,58,10,0.1724137931034483
292,6,58,10,0.1724137931034483
35,7,57,8,0.14035087719298245
65,10,57,10,0.17543859649122806
74,7,57,13,0.22807017543859648
101,9,57,11,0.19298245614035087
220,7,57,9,0.15789473684210525
149,10,56,10,0.17857142857142858
188,8,56,6,0.10714285714285714
207,7,56,6,0.10714285714285714
4,8,55,11,0.2
30,7,55,7,0.12727272727272726
111,7,55,10,0.18181818181818182
204,8,55,13,0.23636363636363636
61,9,54,15,0.2777777777777778
131,6,54,11,0.2037037037037037
267,6,54,13,0.24074074074074073
22,7,53,11,0.20754716981132076
24,7,53,7,0.1320754716981132
94,7,53,16,0.3018867924528302
155,6,53,14,0.2641509433962264
26,5,52,14,0.2692307692307692
182,6,52,11,0.21153846153846154
136,7,51,7,0.13725490196078433
222,6,51,9,0.17647058823529413
193,6,50,8,0.16
138,6,49,9,0.1836734693877551
166,7,49,12,0.24489795918367346
272,9,49,10,0.20408163265306123
298,7,49,7,0.14285714285714285
8,6,48,12,0.25
271,6,48,11,0.22916666666666666
217,7,47,10,0.2127659574468085
239,10,47,9,0.19148936170212766
44,5,46,11,0.2391304347826087
118,6,46,10,0.21739130434782608
121,5,46,9,0.1956521739130435
183,7,46,13,0.2826086956521739
246,7,46,8,0.17391304347826086
288,7,46,10,0.21739130434782608
15,10,45,15,0.3333333333333333
89,6,44,11,0.25
208,8,44,12,0.2727272727272727
13,7,43,8,0.18604651162790697
112,6,43,9,0.20930232558139536
252,6,43,6,0.13953488372093023
60,6,42,8,0.19047619047619047
191,7,42,10,0.23809523809523808
63,8,41,9,0.21951219512195122
130,7,41,7,0.17073170731707318
159,8,41,11,0.2682926829268293
164,4,41,7,0.17073170731707318
238,6,41,9,0.21951219512195122
68,8,40,9,0.225
80,7,40,10,0.25
214,5,40,7,0.175
268,8,40,10,0.25
18,6,38,4,0.10526315789473684
58,5,38,8,0.21052631578947367
158,8,38,9,0.23684210526315788
264,7,38,10,0.2631578947368421
231,5,37,4,0.10810810810810811
110,5,36,9,0.25
215,5,36,6,0.16666666666666666
206,4,35,9,0.2571428571428571
147,6,32,4,0.125
235,7,32,11,0.34375
221,4,31,12,0.3870967741935484
201,4,30,9,0.3
281,7,29,6,0.20689655172413793
1,4,28,5,0.17857142857142858
12,3,26,5,0.19230769230769232
50,4,25,4,0.16
114,4,25,5,0.2
199,4,24,2,0.08333333333333333
152,3,21,3,0.14285714285714285
5,1,14,2,0.14285714285714285
