table,column,n,missing_rate,mean,std,min,p01,p05,p25,median,p75,p95,p99,max
spots,price_sqm_mxn_sale,1808,0.3973333333333333,41764.688296460175,26071.499781818533,2261.14,3426.9464000000003,5568.2095,20444.7725,39260.765,58492.4325,88319.382,112826.68860000002,152747.85
spots,price_total_mxn_rent,2239,0.25366666666666665,403166.7857034392,922791.9595158837,2000,4415.0026,7903.782,33463.205,107931.21,382734.255,1742690.8509999986,4103742.4179999614,18172971.69
spots,price_total_mxn_sale,1808,0.3973333333333333,65422534.32672003,138540335.94874385,464628.2,730580.9562,1314007.635,5594708.68,19780450.439999998,66002864.475,267365395.2704995,677599451.7344,1879730204.72
spots,maintenance_cost_mxn,2239,0.25366666666666665,39345.23958463599,88852.79743938967,135.13,358.135,713.15,3102.355,10449.09,35682.265,169454.64799999993,378972.9867999999,1665495.14
spots,days_on_market,3000,0,105.88633333333334,113.30952488368015,1,1,5,27,69,145,330.24999999999864,542.0299999999993,730
spots,total_inquiries,3000,0,5.905666666666667,4.5160712485591965,0,0,1,3,5,7,14,22.009999999999764,39
spots,total_views,3000,0,117.80333333333333,100.60806122216633,0,0,22,53,90,149.25,297.0499999999997,527.0599999999986,904
spots,is_active,3000,0,0.8863333333333333,0.3174588933051502,0,0,0,1,1,1,1,1,1
spot_attributes,spot_id,3000,0,1500.5,866.1697293256098,1,30.990000000000002,150.95000000000002,750.75,1500.5,2250.25,2850.0499999999997,2970.0099999999998,3000
spot_attributes,natural_light,3000,0,0.6883333333333334,0.4632516482274251,0,0,0,0,1,1,1,1,1
spot_attributes,luminaires,3000,0,5.872333333333334,8.867858489715399,0,0,0,0,2,8,28,39,40
spot_attributes,charging_ports,2394,0.202,1.1934001670843777,3.3272203419336592,0,0,0,0,0,0,7,18,20
spot_attributes,floor_level,3000,0,3.489,6.28233249416082,0,0,0,0,1,3,20,28,30
spot_attributes,elevators,3000,0,8.628666666666666,16.79544007038632,0,0,0,1,3,9,33,88,273
spot_attributes,vertical_height_m,2543,0.15233333333333332,4.226936688950062,2.896323182366561,0,0,0,2.6,3.6,6.5,9.3,10.7,12.8
spot_attributes,parking_spaces,3000,0,41.585,92.54358367796185,0,0,1,3,10,38,182.04999999999973,490,1171
market_context,similar_available_spots,500,0,16.062,5.5399945016359275,6,7,8,11,16,21,25,26,27
market_context,avg_price_sqm_mxn,500,0,210.68848000000017,124.21465251849392,34.13,35.0791,40.5655,119.44749999999999,214.685,325.24,394.03349999999995,408.18699999999995,427.31
market_context,recent_occupancy_rate,500,0,0.769886,0.11560712356094698,0.503,0.507,0.53795,0.70475,0.804,0.856,0.922,0.9440099999999999,0.948
market_context,absorption_velocity_days,500,0,153.94440000000003,71.33789216367919,45.1,50.788,63.095,101.05,139.85,187.525,307.38499999999993,348.802,363.2
market_context,recent_inquiry_volume,500,0,269.002,132.46091417307653,50,52,71.85000000000001,155.75,262,387,479.04999999999995,497,500
availability_snapshot,snapshot_id,30000,0,15000.5,8660.398374208891,1,300.99,1500.95,7500.75,15000.5,22500.25,28500.05,29700.01,30000
availability_snapshot,spot_id,30000,0,1496.6164333333334,862.9628897437669,1,31,148,750,1499,2245,2846,2970,3000
availability_snapshot,is_available,30000,0,0.6,0.4899061137264697,0,0,0,0,1,1,1,1,1
availability_snapshot,days_until_available,30000,0,23.685,47.68773614889263,0,0,0,0,0,27,124,214,671
availability_snapshot,competing_inquiries_30d,30000,0,5.5216,2.2754426737042346,0,1,2,4,5,7,10,11,17
