source,column,canonical_dtype,parquet_physical_type,row_count,non_null_count,missing_count,missing_rate,distinct_count,is_pk,fk
spot_attributes,parking_spaces,INT64,INT64,3000,3000,0,0,302,false,
spot_attributes,building_status,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,3000,0,0,4,false,
spot_attributes,floor_material,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,3000,2764,236,0.07866666666666666,5,false,
spot_attributes,amenities,JSON_STRING,STRING/BYTE_ARRAY,3000,3000,0,0,986,false,
availability_snapshot,snapshot_id,INT64,INT64,30000,30000,0,0,30000,true,
availability_snapshot,spot_id,INT64,INT64,30000,30000,0,0,3000,false,spots.spot_id
availability_snapshot,snapshot_date,DATE,STRING/BYTE_ARRAY,30000,30000,0,0,545,false,
availability_snapshot,is_available,BOOLEAN,BOOLEAN,30000,30000,0,0,2,false,
availability_snapshot,days_until_available,INT64,INT64,30000,30000,0,0,354,false,
availability_snapshot,competing_inquiries_30d,INT64,INT64,30000,30000,0,0,18,false,
market_context,state,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,500,500,0,0,12,true,
market_context,municipality,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,500,500,0,0,17,true,
market_context,corridor,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,500,500,0,0,18,true,
market_context,sector,STRING/BYTE_ARRAY,STRING/BYTE_ARRAY,500,500,0,0,4,true,
market_context,month,DATE,STRING/BYTE_ARRAY,500,500,0,0,30,true,
market_context,similar_available_spots,INT64,INT64,500,500,0,0,22,false,
market_context,avg_price_sqm_mxn,FLOAT64,FLOAT64,500,500,0,0,495,false,
market_context,recent_occupancy_rate,FLOAT64,FLOAT64,500,500,0,0,283,false,
market_context,absorption_velocity_days,FLOAT64,FLOAT64,500,500,0,0,447,false,
market_context,recent_inquiry_volume,INT64,INT64,500,500,0,0,311,false,
