prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number
L13:T1:I48,13,T1,2025-07-19T13:48:56.000Z,48,1621,1
L13:T2:I49,13,T2,2025-07-28T08:04:00.000Z,49,1597,2
L13:T2:I50,13,T2,2025-07-30T07:15:36.000Z,50,2974,3
L13:T2:I51,13,T2,2025-10-26T20:08:00.000Z,51,2686,4
L14:T0,14,T0,2025-02-18T00:00:00.000Z,,,0
L14:T1:I57,14,T1,2025-03-02T19:56:40.000Z,57,2619,1
L14:T2:I52,14,T2,2025-03-15T14:07:00.000Z,52,1226,2
L14:T2:I56,14,T2,2025-05-09T18:13:00.000Z,56,1948,3
L14:T2:I53,14,T2,2025-05-18T18:31:00.000Z,53,2625,4
L14:T2:I55,14,T2,2026-02-23T08:12:00.000Z,55,2312,5
L14:T2:I54,14,T2,2026-04-25T18:01:00.000Z,54,553,6
L15:T0,15,T0,2025-07-28T00:00:00.000Z,,,0
L15:T1:I59,15,T1,2025-07-29T11:12:20.000Z,59,1183,1
L15:T2:I64,15,T2,2025-07-29T19:26:07.000Z,64,2401,2
L15:T2:I61,15,T2,2025-07-31T11:18:07.000Z,61,1993,3
L15:T2:I65,15,T2,2025-08-03T15:34:38.000Z,65,1639,4
L15:T2:I58,15,T2,2025-08-04T13:42:18.000Z,58,857,5
L15:T2:I60,15,T2,2025-08-05T10:04:16.000Z,60,2809,6
L15:T2:I63,15,T2,2025-08-09T10:52:32.000Z,63,124,7
L15:T2:I62,15,T2,2025-08-09T12:41:32.000Z,62,1926,8
L16:T0,16,T0,2025-10-15T00:00:00.000Z,,,0
L16:T1:I69,16,T1,2025-10-17T09:37:11.000Z,69,913,1
L16:T2:I67,16,T2,2025-10-19T20:10:58.000Z,67,2177,2
L16:T2:I73,16,T2,2025-10-24T15:16:55.000Z,73,2578,3
L16:T2:I68,16,T2,2025-10-25T11:01:34.000Z,68,2065,4
L16:T2:I72,16,T2,2025-10-28T12:43:22.000Z,72,2078,5
L16:T2:I70,16,T2,2025-10-28T13:03:58.000Z,70,2920,6
L16:T2:I66,16,T2,2026-04-20T12:08:00.000Z,66,2674,7
L16:T2:I71,16,T2,2026-06-29T15:01:00.000Z,71,541,8
L17:T0,17,T0,2026-04-10T00:00:00.000Z,,,0
L17:T1:I74,17,T1,2026-04-14T15:06:47.000Z,74,2391,1
L18:T0,18,T0,2025-02-11T00:00:00.000Z,,,0
L18:T1:I79,18,T1,2025-02-12T08:44:20.000Z,79,2955,1
L18:T2:I80,18,T2,2025-02-20T18:36:20.000Z,80,493,2
L18:T2:I75,18,T2,2025-02-24T20:48:35.000Z,75,465,3
L18:T2:I76,18,T2,2025-03-10T09:32:00.000Z,76,752,4
L18:T2:I77,18,T2,2025-04-16T08:48:00.000Z,77,1012,5
L18:T2:I78,18,T2,2025-05-10T10:25:00.000Z,78,785,6
L19:T0,19,T0,2025-07-30T00:00:00.000Z,,,0
L19:T1:I83,19,T1,2025-08-29T10:18:00.000Z,83,388,1
L19:T2:I82,19,T2,2026-01-01T11:49:00.000Z,82,2964,2
L19:T2:I81,19,T2,2026-02-25T11:34:00.000Z,81,2294,3
L20:T0,20,T0,2026-02-25T00:00:00.000Z,,,0
L20:T1:I89,20,T1,2026-02-27T13:22:53.000Z,89,172,1
L20:T2:I90,20,T2,2026-03-07T07:22:29.000Z,90,1881,2
L20:T2:I86,20,T2,2026-03-08T08:14:49.000Z,86,2595,3
L20:T2:I88,20,T2,2026-03-08T19:37:36.000Z,88,316,4
L20:T2:I91,20,T2,2026-03-10T09:18:11.000Z,91,2037,5
L20:T2:I87,20,T2,2026-03-11T20:49:00.000Z,87,1036,6
L20:T2:I84,20,T2,2026-05-10T11:45:00.000Z,84,382,7
L20:T2:I85,20,T2,2026-06-07T15:06:00.000Z,85,1917,8
L21:T0,21,T0,2026-04-27T00:00:00.000Z,,,0
L21:T1:I94,21,T1,2026-04-29T19:08:22.000Z,94,662,1
L21:T2:I92,21,T2,2026-05-05T15:06:48.000Z,92,2164,2
L21:T2:I93,21,T2,2026-05-08T17:02:00.000Z,93,2475,3
L22:T0,22,T0,2025-12-30T00:00:00.000Z,,,0
L22:T1:I96,22,T1,2026-01-01T19:33:17.000Z,96,125,1
L22:T2:I97,22,T2,2026-01-09T19:14:22.000Z,97,881,2
L22:T2:I95,22,T2,2026-01-29T13:01:00.000Z,95,1762,3
L23:T0,23,T0,2025-04-03T00:00:00.000Z,,,0
L23:T1:I104,23,T1,2025-04-04T07:42:07.000Z,104,2913,1
L23:T2:I101,23,T2,2025-04-04T17:12:20.000Z,101,1544,2
L23:T2:I100,23,T2,2025-04-08T20:31:23.000Z,100,629,3
L23:T2:I103,23,T2,2025-10-05T14:10:00.000Z,103,645,4
L23:T2:I99,23,T2,2025-11-22T09:47:00.000Z,99,1448,5
L23:T2:I98,23,T2,2025-12-10T19:31:00.000Z,98,1353,6
L23:T2:I102,23,T2,2026-01-29T08:21:00.000Z,102,745,7
L24:T0,24,T0,2025-11-04T00:00:00.000Z,,,0
L24:T1:I106,24,T1,2025-11-05T13:18:06.000Z,106,1064,1
L24:T2:I105,24,T2,2025-11-10T14:01:40.000Z,105,1754,2
L24:T2:I107,24,T2,2025-11-12T09:25:25.000Z,107,1134,3
L25:T0,25,T0,2026-05-14T00:00:00.000Z,,,0
L25:T1:I108,25,T1,2026-05-14T20:48:46.000Z,108,1856,1
L25:T2:I110,25,T2,2026-05-18T09:32:24.000Z,110,1821,2
L25:T2:I112,25,T2,2026-05-24T10:59:56.000Z,112,2243,3
L25:T2:I109,25,T2,2026-05-24T11:32:24.000Z,109,1702,4
L25:T2:I111,25,T2,2026-05-26T12:25:47.000Z,111,971,5
L26:T0,26,T0,2026-02-12T00:00:00.000Z,,,0
L26:T1:I114,26,T1,2026-02-13T17:17:05.000Z,114,1080,1
L26:T2:I113,26,T2,2026-02-18T20:42:16.000Z,113,20,2
L26:T2:I115,26,T2,2026-02-19T16:01:43.000Z,115,2797,3
L27:T0,27,T0,2025-03-16T00:00:00.000Z,,,0
L27:T1:I117,27,T1,2025-08-21T14:05:00.000Z,117,208,1
L27:T2:I116,27,T2,2026-06-16T10:21:00.000Z,116,2025,2
L28:T0,28,T0,2025-06-27T00:00:00.000Z,,,0
L28:T1:I123,28,T1,2025-07-02T14:16:48.000Z,123,902,1
L28:T2:I118,28,T2,2025-07-02T16:53:07.000Z,118,2522,2
L28:T2:I121,28,T2,2025-07-04T15:17:11.000Z,121,246,3
L28:T2:I120,28,T2,2025-07-04T20:14:23.000Z,120,530,4
L28:T2:I122,28,T2,2025-10-01T11:40:00.000Z,122,2599,5
L28:T2:I119,28,T2,2025-11-22T18:16:00.000Z,119,1072,6
L29:T0,29,T0,2026-02-06T00:00:00.000Z,,,0
L29:T1:I124,29,T1,2026-02-06T08:59:16.000Z,124,1463,1
L30:T0,30,T0,2026-01-29T00:00:00.000Z,,,0
L30:T1:I125,30,T1,2026-01-30T18:11:33.000Z,125,1134,1
L30:T2:I126,30,T2,2026-01-31T20:46:26.000Z,126,1418,2
L30:T2:I131,30,T2,2026-02-04T15:18:48.000Z,131,1492,3
L30:T2:I132,30,T2,2026-02-04T16:15:26.000Z,132,1463,4
L30:T2:I129,30,T2,2026-02-05T18:04:45.000Z,129,940,5
L30:T2:I130,30,T2,2026-02-09T11:07:51.000Z,130,303,6
L30:T2:I127,30,T2,2026-02-10T13:14:46.000Z,127,979,7
L30:T2:I128,30,T2,2026-02-11T15:31:34.000Z,128,160,8
L31:T0,31,T0,2025-06-23T00:00:00.000Z,,,0
L31:T1:I134,31,T1,2025-06-28T09:54:26.000Z,134,308,1
L31:T2:I136,31,T2,2025-07-01T14:32:39.000Z,136,2765,2
L31:T2:I138,31,T2,2025-07-03T16:24:32.000Z,138,2165,3
L31:T2:I133,31,T2,2025-07-05T20:10:34.000Z,133,1910,4
L31:T2:I137,31,T2,2025-07-06T10:34:37.000Z,137,2541,5
L31:T2:I135,31,T2,2025-08-04T07:14:00.000Z,135,170,6
L32:T0,32,T0,2026-05-19T00:00:00.000Z,,,0
L32:T1:I144,32,T1,2026-05-19T18:39:43.000Z,144,1380,1
L32:T2:I139,32,T2,2026-05-26T20:54:53.000Z,139,1615,2
L32:T2:I145,32,T2,2026-05-27T20:34:42.000Z,145,1468,3
L32:T2:I141,32,T2,2026-05-30T12:30:49.000Z,141,90,4
L32:T2:I142,32,T2,2026-05-30T14:11:01.000Z,142,713,5
L32:T2:I143,32,T2,2026-05-30T18:36:13.000Z,143,474,6
L32:T2:I140,32,T2,2026-06-01T19:12:23.000Z,140,2563,7
L33:T0,33,T0,2026-03-19T00:00:00.000Z,,,0
L33:T1:I146,33,T1,2026-03-20T14:22:36.000Z,146,1788,1
L33:T2:I153,33,T2,2026-03-21T08:35:48.000Z,153,980,2
L33:T2:I151,33,T2,2026-03-23T12:15:23.000Z,151,1953,3
L33:T2:I150,33,T2,2026-03-23T20:08:45.000Z,150,923,4
L33:T2:I149,33,T2,2026-03-24T15:54:33.000Z,149,875,5
L33:T2:I147,33,T2,2026-03-27T17:35:49.000Z,147,2212,6
L33:T2:I152,33,T2,2026-03-28T14:32:07.000Z,152,1190,7
L33:T2:I148,33,T2,2026-03-31T20:15:47.000Z,148,2565,8
L34:T0,34,T0,2025-07-28T00:00:00.000Z,,,0
L34:T1:I154,34,T1,2026-02-27T07:43:00.000Z,154,2076,1
L35:T0,35,T0,2025-04-03T00:00:00.000Z,,,0
L35:T1:I155,35,T1,2025-04-04T10:30:43.000Z,155,171,1
L35:T2:I158,35,T2,2025-04-05T08:44:48.000Z,158,1915,2
L35:T2:I162,35,T2,2025-04-09T14:24:46.000Z,162,15,3
L35:T2:I156,35,T2,2025-04-12T11:41:40.000Z,156,1867,4
L35:T2:I159,35,T2,2025-04-12T15:12:00.000Z,159,303,5
L35:T2:I161,35,T2,2025-06-30T14:32:00.000Z,161,2301,6
L35:T2:I160,35,T2,2025-09-16T11:24:00.000Z,160,358,7
L35:T2:I157,35,T2,2026-01-24T19:18:00.000Z,157,1803,8
L36:T0,36,T0,2025-11-13T00:00:00.000Z,,,0
L36:T1:I165,36,T1,2025-11-15T17:40:22.000Z,165,18,1
L36:T2:I167,36,T2,2025-11-19T12:46:57.000Z,167,111,2
L36:T2:I164,36,T2,2025-11-26T09:28:24.000Z,164,1624,3
L36:T2:I163,36,T2,2026-04-19T14:14:00.000Z,163,624,4
L36:T2:I166,36,T2,2026-06-04T15:06:00.000Z,166,1729,5
L37:T0,37,T0,2025-12-12T00:00:00.000Z,,,0
L37:T1:I168,37,T1,2025-12-24T17:40:04.000Z,168,2970,1
L38:T0,38,T0,2025-01-12T00:00:00.000Z,,,0
L38:T1:I171,38,T1,2025-01-15T16:44:54.000Z,171,659,1
L38:T2:I174,38,T2,2025-01-15T20:07:20.000Z,174,1056,2
L38:T2:I169,38,T2,2025-01-17T20:07:00.000Z,169,1022,3
L38:T2:I172,38,T2,2025-03-05T20:11:00.000Z,172,168,4
L38:T2:I170,38,T2,2025-07-17T10:11:00.000Z,170,1916,5
L38:T2:I175,38,T2,2025-09-02T20:29:00.000Z,175,2847,6
L38:T2:I173,38,T2,2026-01-20T18:32:00.000Z,173,702,7
L39:T0,39,T0,2025-10-04T00:00:00.000Z,,,0
L39:T1:I176,39,T1,2025-10-09T12:46:34.000Z,176,2607,1
L40:T0,40,T0,2026-06-10T00:00:00.000Z,,,0
L40:T1:I178,40,T1,2026-06-10T07:12:49.000Z,178,2540,1
L40:T2:I177,40,T2,2026-06-21T14:51:59.000Z,177,1829,2
L41:T0,41,T0,2025-06-06T00:00:00.000Z,,,0
L41:T1:I183,41,T1,2025-06-09T07:42:23.000Z,183,602,1
L41:T2:I182,41,T2,2025-06-10T13:08:42.000Z,182,2437,2
L41:T2:I181,41,T2,2025-06-10T14:09:37.000Z,181,2240,3
L41:T2:I184,41,T2,2025-10-20T19:15:00.000Z,184,2614,4
L41:T2:I179,41,T2,2025-11-08T07:22:00.000Z,179,1991,5
L41:T2:I185,41,T2,2026-03-10T15:38:00.000Z,185,261,6
L41:T2:I180,41,T2,2026-03-20T12:26:00.000Z,180,1648,7
L42:T0,42,T0,2026-06-01T00:00:00.000Z,,,0
L42:T1:I186,42,T1,2026-06-02T07:32:32.000Z,186,1230,1
L42:T2:I187,42,T2,2026-06-03T20:08:24.000Z,187,2965,2
L42:T2:I189,42,T2,2026-06-06T14:02:22.000Z,189,581,3
L42:T2:I188,42,T2,2026-06-06T15:52:28.000Z,188,569,4
L43:T0,43,T0,2025-09-23T00:00:00.000Z,,,0
L43:T1:I191,43,T1,2025-10-01T07:13:54.000Z,191,210,1
L43:T2:I190,43,T2,2025-10-01T12:36:49.000Z,190,2267,2
L43:T2:I192,43,T2,2025-10-04T07:12:37.000Z,192,1027,3
L43:T2:I193,43,T2,2026-03-19T13:16:00.000Z,193,2274,4
L43:T2:I194,43,T2,2026-04-05T14:13:00.000Z,194,1912,5
L44:T0,44,T0,2026-03-25T00:00:00.000Z,,,0
L44:T1:I195,44,T1,2026-03-30T09:04:12.000Z,195,698,1
L44:T2:I197,44,T2,2026-04-06T08:19:43.000Z,197,1646,2
L44:T2:I196,44,T2,2026-05-06T15:58:00.000Z,196,537,3
L45:T0,45,T0,2026-06-09T00:00:00.000Z,,,0
L45:T1:I198,45,T1,2026-06-13T08:44:32.000Z,198,2033,1
L45:T2:I199,45,T2,2026-06-14T12:21:57.000Z,199,2481,2
L46:T0,46,T0,2026-04-06T00:00:00.000Z,,,0
L46:T1:I202,46,T1,2026-04-10T18:16:10.000Z,202,68,1
L46:T2:I203,46,T2,2026-04-14T15:20:36.000Z,203,1372,2
L46:T2:I200,46,T2,2026-04-19T10:26:59.000Z,200,723,3
L46:T2:I201,46,T2,2026-06-12T13:36:00.000Z,201,2110,4
L47:T0,47,T0,2026-02-18T00:00:00.000Z,,,0
L47:T1:I207,47,T1,2026-02-21T14:54:51.000Z,207,1434,1
L47:T2:I206,47,T2,2026-02-24T19:53:31.000Z,206,353,2
L47:T2:I204,47,T2,2026-02-26T09:46:51.000Z,204,2001,3
L47:T2:I208,47,T2,2026-02-26T10:20:33.000Z,208,1225,4
L47:T2:I205,47,T2,2026-03-03T10:24:11.000Z,205,2424,5
L48:T0,48,T0,2026-05-16T00:00:00.000Z,,,0
L48:T1:I214,48,T1,2026-05-16T17:07:23.000Z,214,2596,1
L48:T2:I209,48,T2,2026-05-19T15:56:47.000Z,209,1794,2
L48:T2:I211,48,T2,2026-05-20T17:10:34.000Z,211,2378,3
L48:T2:I210,48,T2,2026-05-21T15:30:48.000Z,210,2927,4
L48:T2:I213,48,T2,2026-05-26T11:44:11.000Z,213,855,5
L48:T2:I212,48,T2,2026-05-28T08:57:44.000Z,212,2833,6
L49:T0,49,T0,2025-02-01T00:00:00.000Z,,,0
L49:T1:I218,49,T1,2025-02-11T19:47:46.000Z,218,684,1
L49:T2:I221,49,T2,2025-02-13T15:51:13.000Z,221,145,2
L49:T2:I217,49,T2,2025-07-30T14:59:00.000Z,217,2922,3
L49:T2:I215,49,T2,2025-11-04T14:09:00.000Z,215,2465,4
L49:T2:I222,49,T2,2025-11-08T17:31:00.000Z,222,814,5
L49:T2:I216,49,T2,2025-12-15T11:20:00.000Z,216,1336,6
L49:T2:I220,49,T2,2025-12-15T13:41:00.000Z,220,1336,7
L49:T2:I219,49,T2,2026-05-11T07:52:00.000Z,219,95,8
L50:T0,50,T0,2025-06-06T00:00:00.000Z,,,0
L50:T1:I226,50,T1,2025-06-11T17:31:37.000Z,226,2508,1
L50:T2:I224,50,T2,2025-06-17T11:19:07.000Z,224,2247,2
L50:T2:I223,50,T2,2025-10-08T11:31:00.000Z,223,769,3
L50:T2:I225,50,T2,2026-01-28T07:57:00.000Z,225,2148,4
L51:T0,51,T0,2026-06-18T00:00:00.000Z,,,0
L51:T1:I231,51,T1,2026-06-18T17:31:26.000Z,231,360,1
L51:T2:I229,51,T2,2026-06-24T09:06:35.000Z,229,2993,2
L51:T2:I230,51,T2,2026-06-24T16:02:40.000Z,230,267,3
L51:T2:I228,51,T2,2026-06-29T19:05:32.000Z,228,352,4
L51:T2:I227,51,T2,2026-06-30T18:10:34.000Z,227,1355,5
L52:T0,52,T0,2025-07-25T00:00:00.000Z,,,0
L52:T1:I234,52,T1,2025-08-05T08:27:08.000Z,234,1384,1
L52:T2:I232,52,T2,2025-12-31T20:28:00.000Z,232,584,2
L52:T2:I233,52,T2,2026-03-02T20:39:00.000Z,233,820,3
L53:T0,53,T0,2026-01-29T00:00:00.000Z,,,0
L53:T1:I235,53,T1,2026-02-11T18:45:21.000Z,235,1671,1
L54:T0,54,T0,2025-06-26T00:00:00.000Z,,,0
L54:T1:I238,54,T1,2025-06-27T20:02:49.000Z,238,1843,1
L54:T2:I237,54,T2,2025-07-04T18:54:11.000Z,237,2120,2
L54:T2:I236,54,T2,2025-07-08T13:51:12.000Z,236,1061,3
L55:T0,55,T0,2025-05-18T00:00:00.000Z,,,0
L55:T1:I239,55,T1,2025-05-22T07:32:53.000Z,239,1498,1
L56:T0,56,T0,2025-02-13T00:00:00.000Z,,,0
L56:T1:I240,56,T1,2025-02-17T13:28:29.000Z,240,158,1
L56:T2:I241,56,T2,2025-09-12T15:06:00.000Z,241,1427,2
L56:T2:I243,56,T2,2025-12-01T11:19:00.000Z,243,468,3
L56:T2:I242,56,T2,2026-06-06T20:34:00.000Z,242,1048,4
L57:T0,57,T0,2026-06-09T00:00:00.000Z,,,0
L57:T1:I245,57,T1,2026-06-09T13:50:31.000Z,245,1015,1
L57:T2:I247,57,T2,2026-06-11T09:26:35.000Z,247,950,2
L57:T2:I244,57,T2,2026-06-11T12:25:05.000Z,244,1576,3
L57:T2:I246,57,T2,2026-06-14T14:35:31.000Z,246,672,4
L57:T2:I248,57,T2,2026-06-16T14:02:57.000Z,248,2258,5
L57:T2:I249,57,T2,2026-06-17T13:27:39.000Z,249,2764,6
L58:T0,58,T0,2025-02-07T00:00:00.000Z,,,0
L58:T1:I251,58,T1,2025-05-19T13:07:00.000Z,251,392,1
L58:T2:I250,58,T2,2026-02-27T15:43:00.000Z,250,2732,2
L59:T0,59,T0,2025-09-29T00:00:00.000Z,,,0
L59:T1:I252,59,T1,2025-10-09T07:48:30.000Z,252,644,1
L60:T0,60,T0,2025-05-02T00:00:00.000Z,,,0
L60:T1:I254,60,T1,2025-05-04T17:05:46.000Z,254,870,1
L60:T2:I255,60,T2,2025-05-05T18:42:06.000Z,255,2317,2
L60:T2:I253,60,T2,2025-05-13T11:36:26.000Z,253,2798,3
L60:T2:I256,60,T2,2025-06-12T10:16:00.000Z,256,1456,4
L61:T0,61,T0,2025-10-24T00:00:00.000Z,,,0
L61:T1:I257,61,T1,2025-10-25T15:06:53.000Z,257,1638,1
L61:T2:I258,61,T2,2025-10-28T09:58:43.000Z,258,2597,2
L61:T2:I259,61,T2,2026-03-08T09:54:00.000Z,259,1042,3
L61:T2:I260,61,T2,2026-05-22T19:31:00.000Z,260,28,4
L62:T0,62,T0,2025-12-01T00:00:00.000Z,,,0
L62:T1:I261,62,T1,2025-12-02T11:31:56.000Z,261,1014,1
L63:T0,63,T0,2025-05-16T00:00:00.000Z,,,0
L63:T1:I263,63,T1,2025-05-18T14:46:07.000Z,263,2830,1
L63:T2:I264,63,T2,2025-05-20T07:24:42.000Z,264,1933,2
L63:T2:I262,63,T2,2026-03-02T10:27:00.000Z,262,1152,3
L64:T0,64,T0,2025-05-22T00:00:00.000Z,,,0
L64:T1:I266,64,T1,2025-08-12T11:15:00.000Z,266,655,1
L64:T2:I265,64,T2,2026-06-18T16:32:00.000Z,265,424,2
L65:T0,65,T0,2026-06-28T00:00:00.000Z,,,0
L65:T1:I267,65,T1,2026-06-29T11:04:39.000Z,267,1103,1
L65:T2:I268,65,T2,2026-07-10T13:36:46.000Z,268,1124,2
L66:T0,66,T0,2025-09-25T00:00:00.000Z,,,0
L66:T1:I273,66,T1,2025-09-25T09:02:04.000Z,273,198,1
L66:T2:I269,66,T2,2025-10-02T11:22:52.000Z,269,2411,2
L66:T2:I270,66,T2,2025-10-07T20:22:45.000Z,270,260,3
L66:T2:I271,66,T2,2026-01-11T20:54:00.000Z,271,959,4
L66:T2:I272,66,T2,2026-06-11T16:05:00.000Z,272,2844,5
L67:T0,67,T0,2025-06-16T00:00:00.000Z,,,0
L67:T1:I274,67,T1,2025-12-26T15:05:00.000Z,274,480,1
L67:T2:I275,67,T2,2025-12-29T18:39:00.000Z,275,2158,2
L67:T2:I276,67,T2,2026-04-09T13:45:00.000Z,276,2441,3
L68:T0,68,T0,2025-10-04T00:00:00.000Z,,,0
L68:T1:I281,68,T1,2025-10-04T18:55:09.000Z,281,533,1
L68:T2:I277,68,T2,2025-10-07T18:45:14.000Z,277,630,2
L68:T2:I280,68,T2,2025-10-09T13:36:33.000Z,280,2627,3
L68:T2:I279,68,T2,2025-10-15T15:44:30.000Z,279,2190,4
L68:T2:I278,68,T2,2025-10-16T07:54:30.000Z,278,2704,5
L69:T0,69,T0,2025-12-17T00:00:00.000Z,,,0
L69:T1:I284,69,T1,2025-12-20T13:49:59.000Z,284,1082,1
L69:T2:I282,69,T2,2025-12-21T20:22:13.000Z,282,1617,2
L69:T2:I283,69,T2,2025-12-22T13:16:38.000Z,283,1389,3
L69:T2:I285,69,T2,2025-12-23T14:24:35.000Z,285,1297,4
L70:T0,70,T0,2025-02-13T00:00:00.000Z,,,0
L70:T1:I286,70,T1,2026-05-18T15:35:00.000Z,286,854,1
L70:T2:I287,70,T2,2026-05-22T07:27:00.000Z,287,2977,2
L71:T0,71,T0,2025-11-14T00:00:00.000Z,,,0
L71:T1:I289,71,T1,2025-11-17T17:28:07.000Z,289,2693,1
L71:T2:I290,71,T2,2025-11-21T16:55:25.000Z,290,2708,2
L71:T2:I288,71,T2,2025-11-22T10:33:56.000Z,288,205,3
L71:T2:I291,71,T2,2026-04-17T07:58:00.000Z,291,2591,4
L72:T0,72,T0,2025-10-04T00:00:00.000Z,,,0
L72:T1:I294,72,T1,2025-10-06T17:53:13.000Z,294,377,1
L72:T2:I295,72,T2,2025-10-10T12:38:38.000Z,295,1073,2
L72:T2:I297,72,T2,2025-10-16T08:32:30.000Z,297,1687,3
L72:T2:I296,72,T2,2025-10-16T17:28:45.000Z,296,1581,4
L72:T2:I292,72,T2,2025-12-31T13:09:00.000Z,292,2338,5
L72:T2:I293,72,T2,2026-05-25T17:52:00.000Z,293,738,6
L73:T0,73,T0,2026-01-25T00:00:00.000Z,,,0
L73:T1:I299,73,T1,2026-01-27T14:42:52.000Z,299,1765,1
L73:T2:I300,73,T2,2026-01-29T12:08:32.000Z,300,1373,2
L73:T2:I302,73,T2,2026-01-30T12:35:34.000Z,302,333,3
L73:T2:I298,73,T2,2026-02-01T19:40:44.000Z,298,352,4
L73:T2:I301,73,T2,2026-03-18T11:21:00.000Z,301,1275,5
L74:T0,74,T0,2026-03-31T00:00:00.000Z,,,0
L74:T1:I303,74,T1,2026-04-10T17:15:37.000Z,303,2325,1
L75:T0,75,T0,2025-02-10T00:00:00.000Z,,,0
L75:T1:I308,75,T1,2025-02-13T11:32:07.000Z,308,188,1
L75:T2:I304,75,T2,2025-02-19T20:18:22.000Z,304,1591,2
