inventory_state_key,prediction_key,candidate_spot_id,score_time,snapshot_id,snapshot_time,snapshot_found,availability_known,is_available_asof,days_until_available_asof,competing_inquiries_30d_asof,snapshot_age_days,stale_gt_30d,stale_gt_60d,stale_gt_90d,coverage_status,competing_inquiries_30d_model_allowed
L1:T2:I1:S1225,L1:T2:I1,1225,2025-05-16T20:03:15.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I1:S679,L1:T2:I1,679,2025-05-16T20:03:15.000Z,28391,2025-04-28T00:00:00.000Z,true,true,true,0,4,18.83559027777778,false,false,false,COVERED,false
L1:T2:I1:S376,L1:T2:I1,376,2025-05-16T20:03:15.000Z,11446,2025-03-17T00:00:00.000Z,true,true,false,180,5,60.835590277777776,true,true,false,COVERED,false
L1:T2:I1:S1544,L1:T2:I1,1544,2025-05-16T20:03:15.000Z,24588,2025-05-11T00:00:00.000Z,true,true,true,0,6,5.8355902777777775,false,false,false,COVERED,false
L1:T2:I1:S1395,L1:T2:I1,1395,2025-05-16T20:03:15.000Z,21168,2025-05-13T00:00:00.000Z,true,true,true,0,5,3.835590277777778,false,false,false,COVERED,false
L1:T2:I1:S2651,L1:T2:I1,2651,2025-05-16T20:03:15.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I1:S879,L1:T2:I1,879,2025-05-16T20:03:15.000Z,24948,2025-04-14T00:00:00.000Z,true,true,true,0,6,32.835590277777776,true,false,false,COVERED,false
L1:T2:I1:S1639,L1:T2:I1,1639,2025-05-16T20:03:15.000Z,21465,2025-04-29T00:00:00.000Z,true,true,false,160,8,17.83559027777778,false,false,false,COVERED,false
L1:T2:I1:S2915,L1:T2:I1,2915,2025-05-16T20:03:15.000Z,28299,2025-05-08T00:00:00.000Z,true,true,false,30,7,8.835590277777778,false,false,false,COVERED,false
L1:T2:I1:S153,L1:T2:I1,153,2025-05-16T20:03:15.000Z,11390,2025-04-02T00:00:00.000Z,true,true,true,0,2,44.835590277777776,true,false,false,COVERED,false
L1:T2:I1:S1610,L1:T2:I1,1610,2025-05-16T20:03:15.000Z,6557,2025-04-09T00:00:00.000Z,true,true,true,0,12,37.835590277777776,true,false,false,COVERED,false
L1:T2:I1:S1592,L1:T2:I1,1592,2025-05-16T20:03:15.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I1:S1337,L1:T2:I1,1337,2025-05-16T20:03:15.000Z,850,2025-05-12T00:00:00.000Z,true,true,true,0,6,4.8355902777777775,false,false,false,COVERED,false
L1:T2:I1:S1483,L1:T2:I1,1483,2025-05-16T20:03:15.000Z,10234,2025-04-05T00:00:00.000Z,true,true,true,0,6,41.835590277777776,true,false,false,COVERED,false
L1:T2:I2:S2032,L1:T2:I2,2032,2025-05-21T18:34:55.000Z,7168,2025-02-14T00:00:00.000Z,true,false,,,3,96.77424768518519,true,true,true,STALE_GT_90D,false
L1:T2:I2:S2363,L1:T2:I2,2363,2025-05-21T18:34:55.000Z,6072,2025-05-07T00:00:00.000Z,true,true,false,19,6,14.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S868,L1:T2:I2,868,2025-05-21T18:34:55.000Z,20489,2025-04-01T00:00:00.000Z,true,true,false,32,9,50.77424768518519,true,false,false,COVERED,false
L1:T2:I2:S698,L1:T2:I2,698,2025-05-21T18:34:55.000Z,10312,2025-02-14T00:00:00.000Z,true,false,,,8,96.77424768518519,true,true,true,STALE_GT_90D,false
L1:T2:I2:S1607,L1:T2:I2,1607,2025-05-21T18:34:55.000Z,19157,2025-05-13T00:00:00.000Z,true,true,true,0,10,8.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S1303,L1:T2:I2,1303,2025-05-21T18:34:55.000Z,14932,2025-04-26T00:00:00.000Z,true,true,true,0,7,25.774247685185184,false,false,false,COVERED,false
L1:T2:I2:S1985,L1:T2:I2,1985,2025-05-21T18:34:55.000Z,24500,2025-05-15T00:00:00.000Z,true,true,false,28,7,6.774247685185185,false,false,false,COVERED,false
L1:T2:I2:S2636,L1:T2:I2,2636,2025-05-21T18:34:55.000Z,180,2025-02-05T00:00:00.000Z,true,false,,,5,105.77424768518519,true,true,true,STALE_GT_90D,false
L1:T2:I2:S84,L1:T2:I2,84,2025-05-21T18:34:55.000Z,28412,2025-03-01T00:00:00.000Z,true,true,false,2,3,81.77424768518519,true,true,false,COVERED,false
L1:T2:I2:S613,L1:T2:I2,613,2025-05-21T18:34:55.000Z,13375,2025-05-16T00:00:00.000Z,true,true,true,0,4,5.774247685185185,false,false,false,COVERED,false
L1:T2:I2:S2180,L1:T2:I2,2180,2025-05-21T18:34:55.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I2:S1225,L1:T2:I2,1225,2025-05-21T18:34:55.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I2:S679,L1:T2:I2,679,2025-05-21T18:34:55.000Z,28391,2025-04-28T00:00:00.000Z,true,true,true,0,4,23.774247685185184,false,false,false,COVERED,false
L1:T2:I2:S376,L1:T2:I2,376,2025-05-21T18:34:55.000Z,11446,2025-03-17T00:00:00.000Z,true,true,false,180,5,65.77424768518519,true,true,false,COVERED,false
L1:T2:I2:S1544,L1:T2:I2,1544,2025-05-21T18:34:55.000Z,24588,2025-05-11T00:00:00.000Z,true,true,true,0,6,10.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S1395,L1:T2:I2,1395,2025-05-21T18:34:55.000Z,21168,2025-05-13T00:00:00.000Z,true,true,true,0,5,8.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S2651,L1:T2:I2,2651,2025-05-21T18:34:55.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I2:S879,L1:T2:I2,879,2025-05-21T18:34:55.000Z,24948,2025-04-14T00:00:00.000Z,true,true,true,0,6,37.77424768518519,true,false,false,COVERED,false
L1:T2:I2:S1639,L1:T2:I2,1639,2025-05-21T18:34:55.000Z,26349,2025-05-17T00:00:00.000Z,true,true,true,0,8,4.774247685185185,false,false,false,COVERED,false
L1:T2:I2:S2915,L1:T2:I2,2915,2025-05-21T18:34:55.000Z,28299,2025-05-08T00:00:00.000Z,true,true,false,30,7,13.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S153,L1:T2:I2,153,2025-05-21T18:34:55.000Z,11390,2025-04-02T00:00:00.000Z,true,true,true,0,2,49.77424768518519,true,false,false,COVERED,false
L1:T2:I2:S1610,L1:T2:I2,1610,2025-05-21T18:34:55.000Z,6557,2025-04-09T00:00:00.000Z,true,true,true,0,12,42.77424768518519,true,false,false,COVERED,false
L1:T2:I2:S1592,L1:T2:I2,1592,2025-05-21T18:34:55.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I2:S1337,L1:T2:I2,1337,2025-05-21T18:34:55.000Z,850,2025-05-12T00:00:00.000Z,true,true,true,0,6,9.774247685185186,false,false,false,COVERED,false
L1:T2:I2:S2501,L1:T2:I2,2501,2025-05-21T18:34:55.000Z,12006,2025-05-20T00:00:00.000Z,true,true,true,0,9,1.7742476851851852,false,false,false,COVERED,false
L1:T2:I2:S2199,L1:T2:I2,2199,2025-05-21T18:34:55.000Z,24534,2025-02-16T00:00:00.000Z,true,false,,,8,94.77424768518519,true,true,true,STALE_GT_90D,false
L1:T2:I4:S2032,L1:T2:I4,2032,2025-05-22T12:04:52.000Z,7168,2025-02-14T00:00:00.000Z,true,false,,,3,97.50337962962963,true,true,true,STALE_GT_90D,false
L1:T2:I4:S2363,L1:T2:I4,2363,2025-05-22T12:04:52.000Z,6072,2025-05-07T00:00:00.000Z,true,true,false,19,6,15.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S868,L1:T2:I4,868,2025-05-22T12:04:52.000Z,20489,2025-04-01T00:00:00.000Z,true,true,false,32,9,51.50337962962963,true,false,false,COVERED,false
L1:T2:I4:S698,L1:T2:I4,698,2025-05-22T12:04:52.000Z,10312,2025-02-14T00:00:00.000Z,true,false,,,8,97.50337962962963,true,true,true,STALE_GT_90D,false
L1:T2:I4:S1607,L1:T2:I4,1607,2025-05-22T12:04:52.000Z,19157,2025-05-13T00:00:00.000Z,true,true,true,0,10,9.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S1303,L1:T2:I4,1303,2025-05-22T12:04:52.000Z,14932,2025-04-26T00:00:00.000Z,true,true,true,0,7,26.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S1985,L1:T2:I4,1985,2025-05-22T12:04:52.000Z,24500,2025-05-15T00:00:00.000Z,true,true,false,28,7,7.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S2636,L1:T2:I4,2636,2025-05-22T12:04:52.000Z,180,2025-02-05T00:00:00.000Z,true,false,,,5,106.50337962962963,true,true,true,STALE_GT_90D,false
L1:T2:I4:S84,L1:T2:I4,84,2025-05-22T12:04:52.000Z,28412,2025-03-01T00:00:00.000Z,true,true,false,2,3,82.50337962962963,true,true,false,COVERED,false
L1:T2:I4:S613,L1:T2:I4,613,2025-05-22T12:04:52.000Z,13375,2025-05-16T00:00:00.000Z,true,true,true,0,4,6.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S2180,L1:T2:I4,2180,2025-05-22T12:04:52.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I4:S1225,L1:T2:I4,1225,2025-05-22T12:04:52.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I4:S679,L1:T2:I4,679,2025-05-22T12:04:52.000Z,28391,2025-04-28T00:00:00.000Z,true,true,true,0,4,24.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S376,L1:T2:I4,376,2025-05-22T12:04:52.000Z,11446,2025-03-17T00:00:00.000Z,true,true,false,180,5,66.50337962962963,true,true,false,COVERED,false
L1:T2:I4:S1544,L1:T2:I4,1544,2025-05-22T12:04:52.000Z,24588,2025-05-11T00:00:00.000Z,true,true,true,0,6,11.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S1395,L1:T2:I4,1395,2025-05-22T12:04:52.000Z,21168,2025-05-13T00:00:00.000Z,true,true,true,0,5,9.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S2651,L1:T2:I4,2651,2025-05-22T12:04:52.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I4:S879,L1:T2:I4,879,2025-05-22T12:04:52.000Z,24948,2025-04-14T00:00:00.000Z,true,true,true,0,6,38.50337962962963,true,false,false,COVERED,false
L1:T2:I4:S1639,L1:T2:I4,1639,2025-05-22T12:04:52.000Z,26349,2025-05-17T00:00:00.000Z,true,true,true,0,8,5.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S2915,L1:T2:I4,2915,2025-05-22T12:04:52.000Z,28299,2025-05-08T00:00:00.000Z,true,true,false,30,7,14.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S153,L1:T2:I4,153,2025-05-22T12:04:52.000Z,11390,2025-04-02T00:00:00.000Z,true,true,true,0,2,50.50337962962963,true,false,false,COVERED,false
L1:T2:I4:S1610,L1:T2:I4,1610,2025-05-22T12:04:52.000Z,6557,2025-04-09T00:00:00.000Z,true,true,true,0,12,43.50337962962963,true,false,false,COVERED,false
L1:T2:I4:S1592,L1:T2:I4,1592,2025-05-22T12:04:52.000Z,,,false,false,,,,,false,false,false,NO_SNAPSHOT,false
L1:T2:I4:S1337,L1:T2:I4,1337,2025-05-22T12:04:52.000Z,850,2025-05-12T00:00:00.000Z,true,true,true,0,6,10.50337962962963,false,false,false,COVERED,false
L1:T2:I4:S2501,L1:T2:I4,2501,2025-05-22T12:04:52.000Z,12006,2025-05-20T00:00:00.000Z,true,true,true,0,9,2.5033796296296296,false,false,false,COVERED,false
L1:T2:I4:S1761,L1:T2:I4,1761,2025-05-22T12:04:52.000Z,23666,2025-04-20T00:00:00.000Z,true,true,false,147,5,32.50337962962963,true,false,false,COVERED,false
L2:T0:S1605,L2:T0,1605,2026-02-25T00:00:00.000Z,4204,2026-01-31T00:00:00.000Z,true,true,false,121,8,25,false,false,false,COVERED,false
L2:T0:S756,L2:T0,756,2026-02-25T00:00:00.000Z,19929,2026-02-22T00:00:00.000Z,true,true,false,61,8,3,false,false,false,COVERED,false
L2:T0:S1957,L2:T0,1957,2026-02-25T00:00:00.000Z,15482,2026-02-13T00:00:00.000Z,true,true,true,0,3,12,false,false,false,COVERED,false
L2:T0:S2008,L2:T0,2008,2026-02-25T00:00:00.000Z,25041,2025-12-08T00:00:00.000Z,true,true,true,0,5,79,true,true,false,COVERED,false
L2:T0:S2454,L2:T0,2454,2026-02-25T00:00:00.000Z,12793,2025-12-24T00:00:00.000Z,true,true,false,16,10,63,true,true,false,COVERED,false
L2:T0:S97,L2:T0,97,2026-02-25T00:00:00.000Z,26369,2026-02-08T00:00:00.000Z,true,true,true,0,6,17,false,false,false,COVERED,false
L2:T0:S1769,L2:T0,1769,2026-02-25T00:00:00.000Z,1609,2025-12-01T00:00:00.000Z,true,true,false,59,8,86,true,true,false,COVERED,false
L2:T0:S1914,L2:T0,1914,2026-02-25T00:00:00.000Z,25449,2026-02-21T00:00:00.000Z,true,true,true,0,3,4,false,false,false,COVERED,false
L2:T0:S2198,L2:T0,2198,2026-02-25T00:00:00.000Z,19424,2026-02-05T00:00:00.000Z,true,true,false,13,6,20,false,false,false,COVERED,false
L2:T0:S1884,L2:T0,1884,2026-02-25T00:00:00.000Z,19451,2025-12-30T00:00:00.000Z,true,true,false,70,2,57,true,false,false,COVERED,false
L2:T0:S1397,L2:T0,1397,2026-02-25T00:00:00.000Z,9333,2026-02-18T00:00:00.000Z,true,true,true,0,2,7,false,false,false,COVERED,false
L2:T0:S2983,L2:T0,2983,2026-02-25T00:00:00.000Z,9118,2026-02-09T00:00:00.000Z,true,true,true,0,5,16,false,false,false,COVERED,false
L2:T0:S1645,L2:T0,1645,2026-02-25T00:00:00.000Z,14819,2026-01-17T00:00:00.000Z,true,true,false,48,6,39,true,false,false,COVERED,false
L2:T0:S2280,L2:T0,2280,2026-02-25T00:00:00.000Z,16420,2025-12-19T00:00:00.000Z,true,true,true,0,3,68,true,true,false,COVERED,false
L2:T0:S1894,L2:T0,1894,2026-02-25T00:00:00.000Z,10934,2026-02-25T00:00:00.000Z,true,true,false,9,4,0,false,false,false,COVERED,false
L2:T0:S1236,L2:T0,1236,2026-02-25T00:00:00.000Z,22219,2025-12-15T00:00:00.000Z,true,true,true,0,5,72,true,true,false,COVERED,false
L2:T0:S1269,L2:T0,1269,2026-02-25T00:00:00.000Z,10514,2026-02-14T00:00:00.000Z,true,true,true,0,7,11,false,false,false,COVERED,false
L2:T0:S1586,L2:T0,1586,2026-02-25T00:00:00.000Z,13115,2026-02-20T00:00:00.000Z,true,true,false,30,3,5,false,false,false,COVERED,false
L2:T0:S1329,L2:T0,1329,2026-02-25T00:00:00.000Z,13540,2026-02-03T00:00:00.000Z,true,true,true,0,5,22,false,false,false,COVERED,false
L2:T0:S1808,L2:T0,1808,2026-02-25T00:00:00.000Z,3634,2025-12-19T00:00:00.000Z,true,true,true,0,2,68,true,true,false,COVERED,false
L2:T0:S1348,L2:T0,1348,2026-02-25T00:00:00.000Z,3311,2026-02-24T00:00:00.000Z,true,true,true,0,6,1,false,false,false,COVERED,false
L2:T0:S2027,L2:T0,2027,2026-02-25T00:00:00.000Z,29472,2026-02-22T00:00:00.000Z,true,true,false,41,7,3,false,false,false,COVERED,false
L2:T0:S1277,L2:T0,1277,2026-02-25T00:00:00.000Z,15564,2025-11-20T00:00:00.000Z,true,false,,,8,97,true,true,true,STALE_GT_90D,false
L2:T0:S1623,L2:T0,1623,2026-02-25T00:00:00.000Z,28939,2026-02-10T00:00:00.000Z,true,true,true,0,4,15,false,false,false,COVERED,false
L2:T0:S943,L2:T0,943,2026-02-25T00:00:00.000Z,24613,2026-02-21T00:00:00.000Z,true,true,true,0,5,4,false,false,false,COVERED,false
L2:T0:S1999,L2:T0,1999,2026-02-25T00:00:00.000Z,20038,2026-01-11T00:00:00.000Z,true,true,false,52,4,45,true,false,false,COVERED,false
L2:T0:S32,L2:T0,32,2026-02-25T00:00:00.000Z,29144,2025-12-08T00:00:00.000Z,true,true,true,0,3,79,true,true,false,COVERED,false
L2:T0:S128,L2:T0,128,2026-02-25T00:00:00.000Z,19195,2026-02-20T00:00:00.000Z,true,true,true,0,3,5,false,false,false,COVERED,false
L2:T0:S1640,L2:T0,1640,2026-02-25T00:00:00.000Z,28067,2026-02-10T00:00:00.000Z,true,true,false,19,5,15,false,false,false,COVERED,false
L2:T0:S2303,L2:T0,2303,2026-02-25T00:00:00.000Z,14815,2026-01-14T00:00:00.000Z,true,true,true,0,6,42,true,false,false,COVERED,false
L2:T0:S456,L2:T0,456,2026-02-25T00:00:00.000Z,29206,2026-01-29T00:00:00.000Z,true,true,true,0,7,27,false,false,false,COVERED,false
L2:T0:S991,L2:T0,991,2026-02-25T00:00:00.000Z,4015,2026-02-20T00:00:00.000Z,true,true,true,0,5,5,false,false,false,COVERED,false
L2:T0:S1045,L2:T0,1045,2026-02-25T00:00:00.000Z,16472,2026-02-09T00:00:00.000Z,true,true,false,15,2,16,false,false,false,COVERED,false
L2:T0:S2950,L2:T0,2950,2026-02-25T00:00:00.000Z,10433,2026-02-13T00:00:00.000Z,true,true,false,41,3,12,false,false,false,COVERED,false
