lead_id,first_inquiry_id,score_time,primary_partition,F1_role,F2_role,F3_role,F4_role
79,333,2025-05-18T08:22:05.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
80,335,2025-06-05T19:33:42.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
81,338,2025-03-20T15:32:54.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
82,344,2026-03-25T14:51:18.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
83,345,2025-10-21T18:58:41.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
84,347,2026-02-24T17:41:43.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
85,352,2025-09-06T20:45:39.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
86,356,2025-05-04T16:22:15.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
87,360,2025-09-06T14:17:38.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
88,362,2025-01-24T16:25:40.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
89,368,2025-07-28T11:24:27.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
90,373,2026-03-12T13:30:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
91,375,2025-06-23T07:53:29.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
92,381,2026-06-15T16:24:28.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
93,383,2026-01-23T09:48:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
94,386,2025-05-27T10:39:14.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
95,391,2025-11-20T07:58:24.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
96,399,2025-06-16T15:20:45.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
97,404,2026-05-15T13:17:04.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
98,412,2025-02-23T08:54:21.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
99,413,2025-09-30T12:13:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
100,418,2025-06-30T18:16:36.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
101,421,2025-10-26T12:39:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
102,422,2025-02-04T09:10:57.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
103,427,2025-07-26T18:18:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
104,430,2025-02-01T15:08:16.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
105,437,2025-05-25T14:22:58.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
106,442,2026-04-06T18:18:30.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
107,445,2025-08-29T08:17:25.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
108,450,2025-05-28T18:31:41.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
109,455,2025-02-03T12:14:05.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
110,456,2025-06-18T13:11:50.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
111,460,2025-05-10T13:33:05.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
112,468,2026-06-24T12:36:00.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
113,469,2026-05-30T08:33:43.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
114,471,2025-01-28T17:19:09.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
115,472,2025-09-07T20:20:43.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
116,481,2025-09-12T14:00:10.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
117,483,2025-01-31T09:06:29.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
118,487,2025-05-30T18:21:01.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
119,492,2025-01-28T12:49:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
120,497,2026-01-28T18:57:16.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
121,500,2026-06-19T16:46:29.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
122,504,2025-01-29T19:27:45.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
123,515,2026-03-05T08:01:41.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
124,516,2026-03-10T09:04:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
125,518,2025-06-04T16:09:33.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
126,520,2025-12-19T08:21:49.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
127,523,2025-07-08T11:55:16.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
128,533,2026-07-02T08:15:19.000000,POST_HOLDOUT_AUDIT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
129,536,2026-02-21T15:06:35.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
130,538,2025-05-24T18:23:44.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
131,544,2025-12-19T09:54:38.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
132,549,2026-05-19T17:52:00.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
133,555,2026-01-01T14:19:08.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
134,558,2025-12-29T13:31:14.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
135,567,2025-07-26T18:25:42.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
136,572,2025-12-10T19:39:51.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
137,577,2026-04-08T09:07:58.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
138,584,2025-02-17T16:28:15.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
139,586,2026-02-04T20:17:40.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
140,588,2025-05-02T09:44:07.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
141,592,2026-02-01T12:34:07.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
142,601,2025-10-10T15:47:41.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
143,606,2025-04-23T15:50:54.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
144,614,2026-07-01T15:22:29.000000,POST_HOLDOUT_AUDIT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
145,616,2025-06-23T20:41:01.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
146,624,2026-03-28T14:12:36.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
147,626,2025-07-19T10:37:05.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
148,630,2025-03-19T12:27:03.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
149,636,2025-06-20T11:47:24.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
150,644,2026-06-13T17:24:37.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
151,650,2025-06-12T18:11:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
152,653,2026-03-31T11:50:39.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
153,667,2026-01-04T14:08:15.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
154,672,2025-08-30T11:54:07.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
155,675,2026-06-02T13:39:00.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
156,676,2025-11-26T09:02:28.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
157,682,2025-10-31T08:22:53.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
158,693,2026-01-25T20:39:35.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
159,696,2025-12-05T13:33:57.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
160,697,2025-10-16T15:58:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
161,700,2026-06-20T08:07:50.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
162,704,2026-06-29T15:03:40.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
163,707,2025-09-06T12:47:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
164,711,2025-01-05T17:49:32.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
165,720,2026-01-07T14:53:48.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
166,724,2026-04-17T16:13:47.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
167,729,2026-03-31T15:50:10.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
168,730,2025-11-23T09:23:14.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
169,737,2025-09-05T18:27:31.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
170,740,2026-05-15T10:38:34.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
171,745,2025-06-19T09:10:26.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
172,747,2026-05-01T12:54:17.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
173,754,2025-11-01T10:38:53.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
174,755,2025-10-25T18:08:18.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
175,761,2026-02-21T08:18:55.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
176,764,2025-11-19T11:15:02.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
177,766,2026-04-23T11:11:46.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
178,770,2026-04-22T19:02:16.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
179,774,2025-12-31T17:16:12.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
180,778,2025-07-18T19:13:32.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
181,782,2025-12-19T08:24:30.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
182,787,2026-06-22T16:15:07.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
183,790,2026-05-13T18:11:41.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
184,792,2026-05-01T10:38:01.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
185,797,2025-10-18T08:57:47.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
186,804,2026-06-09T11:45:01.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
187,809,2025-09-16T18:15:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
188,816,2026-02-11T19:47:17.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
189,818,2025-04-24T16:09:11.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
190,824,2025-06-12T13:15:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
191,829,2025-04-20T20:49:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
192,834,2025-07-27T11:07:28.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
193,837,2025-07-31T16:56:11.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
194,841,2025-05-20T12:19:15.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
195,847,2025-01-17T18:22:38.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
196,850,2025-07-19T15:00:29.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
197,853,2025-12-18T19:55:06.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
198,859,2026-04-12T20:21:35.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
199,864,2026-04-27T13:45:24.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
200,866,2025-07-31T18:29:14.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
201,868,2025-12-25T16:36:34.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
202,877,2025-02-19T12:42:27.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
203,879,2026-06-22T07:13:28.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
204,883,2025-10-04T13:22:00.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
205,884,2026-05-21T11:29:41.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
206,891,2025-09-04T15:52:59.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
207,893,2025-12-03T09:16:31.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
208,894,2025-10-14T18:07:12.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
209,903,2025-03-13T15:33:01.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
210,907,2025-06-16T09:05:56.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
211,911,2025-04-28T08:18:32.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
212,914,2026-01-17T19:14:01.000000,DEVELOPMENT,NOT_USED,NOT_USED,VALIDATION,TRAIN
213,920,2025-07-16T20:06:44.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
214,924,2026-04-20T14:11:40.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
215,925,2026-04-15T18:12:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
216,933,2025-10-14T17:23:19.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
217,934,2025-08-17T09:12:36.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
218,940,2025-08-14T10:36:00.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
219,946,2026-07-01T09:57:06.000000,POST_HOLDOUT_AUDIT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
220,950,2025-12-15T18:08:18.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
221,951,2026-07-04T13:17:56.000000,POST_HOLDOUT_AUDIT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
222,960,2025-02-11T12:23:26.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
223,961,2026-04-13T20:24:00.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
224,963,2026-03-08T20:00:22.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
225,967,2025-12-07T11:53:52.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
226,969,2025-03-14T16:11:44.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
227,971,2026-04-12T09:11:19.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
228,973,2025-10-14T17:18:16.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
229,978,2026-06-10T10:06:12.000000,PROCEDURAL_HOLDOUT,NOT_USED,NOT_USED,NOT_USED,NOT_USED
230,987,2025-02-06T08:36:47.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
231,995,2026-04-11T16:02:04.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
232,997,2025-06-27T08:51:03.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
233,999,2025-12-22T16:09:13.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
234,1002,2025-09-12T16:45:15.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
235,1009,2025-09-23T12:35:33.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
236,1016,2025-02-10T17:30:30.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
237,1019,2025-07-25T10:42:13.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
238,1031,2025-01-27T09:30:23.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
239,1035,2025-09-02T12:00:09.000000,DEVELOPMENT,VALIDATION,TRAIN,TRAIN,TRAIN
240,1048,2026-05-04T07:31:18.000000,CALIBRATION,NOT_USED,NOT_USED,NOT_USED,NOT_USED
241,1049,2025-04-07T14:07:02.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
242,1054,2025-02-07T19:38:32.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
243,1058,2025-05-27T16:33:51.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
244,1063,2025-07-10T19:31:50.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
245,1064,2026-03-02T07:50:33.000000,DEVELOPMENT,NOT_USED,NOT_USED,NOT_USED,VALIDATION
246,1070,2025-03-14T16:38:04.000000,DEVELOPMENT,TRAIN,TRAIN,TRAIN,TRAIN
247,1076,2025-12-16T15:29:53.000000,DEVELOPMENT,NOT_USED,VALIDATION,TRAIN,TRAIN
