lead_id,lead_created_at,score_inquiry_id,score_time,first_broker_response,first_broker_response_hours,inquiry_count,last_inquiry_at,a_eventual_first_scheduled_visit,a_mature_7,a_mature_14,a_mature_30,primary_t1_eligible,primary_t1_label,b30_status,b30_label,b30_positive_inquiry_id,b30_positive_response_event_at,b30_ambiguous_untimed_scheduled_count,b30_timed_scheduled_count,c30_status_maturity14,c30_label_maturity14,c30_positive_inquiry_id,c30_positive_inquiry_at,c30_mature_7,c30_mature_14,c30_mature_30
38,2025-01-12T00:00:00.000000,171,2025-01-15T16:44:54.000000,accepted,2,7,2026-01-20T18:32:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
39,2025-10-04T00:00:00.000000,176,2025-10-09T12:46:34.000000,scheduled_visit,24.6,1,2025-10-09T12:46:34.000000,1,true,true,true,true,1,LABELED,1,176,2025-10-10T13:22:34.000Z,0,1,LABELED,1,176,2025-10-09T12:46:34.000000,true,true,true
40,2026-06-10T00:00:00.000000,178,2026-06-10T07:12:49.000000,accepted,32.6,2,2026-06-21T14:51:59.000000,0,true,true,true,true,0,LABELED,0,,,0,0,CENSORED,,,,false,false,false
41,2025-06-06T00:00:00.000000,183,2025-06-09T07:42:23.000000,accepted,6,7,2026-03-20T12:26:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
42,2026-06-01T00:00:00.000000,186,2026-06-02T07:32:32.000000,scheduled_visit,23.1,4,2026-06-06T15:52:28.000000,1,true,true,true,true,1,LABELED,1,186,2026-06-03T06:38:32.000Z,0,2,CENSORED,,,,true,false,false
43,2025-09-23T00:00:00.000000,191,2025-10-01T07:13:54.000000,accepted,30.6,5,2026-04-05T14:13:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
44,2026-03-25T00:00:00.000000,195,2026-03-30T09:04:12.000000,no_response,43.7,3,2026-05-06T15:58:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
45,2026-06-09T00:00:00.000000,198,2026-06-13T08:44:32.000000,rejected,4.4,2,2026-06-14T12:21:57.000000,0,true,true,true,true,0,LABELED,0,,,0,0,CENSORED,,,,false,false,false
46,2026-04-06T00:00:00.000000,202,2026-04-10T18:16:10.000000,accepted,10.1,4,2026-06-12T13:36:00.000000,0,true,true,true,true,0,LABELED,1,200,2026-04-20T02:02:59.000Z,0,1,LABELED,1,200,2026-04-19T10:26:59.000000,true,true,true
47,2026-02-18T00:00:00.000000,207,2026-02-21T14:54:51.000000,scheduled_visit,0.6,5,2026-03-03T10:24:11.000000,1,true,true,true,true,1,LABELED,1,207,2026-02-21T15:30:51.000Z,0,1,LABELED,1,207,2026-02-21T14:54:51.000000,true,true,true
48,2026-05-16T00:00:00.000000,214,2026-05-16T17:07:23.000000,no_response,0.5,6,2026-05-28T08:57:44.000000,0,true,true,true,true,0,LABELED,1,209,2026-05-19T17:20:47.000Z,0,2,LABELED,1,209,2026-05-19T15:56:47.000000,true,true,false
49,2025-02-01T00:00:00.000000,218,2025-02-11T19:47:46.000000,accepted,0.7,8,2026-05-11T07:52:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
50,2025-06-06T00:00:00.000000,226,2025-06-11T17:31:37.000000,scheduled_visit,23,4,2026-01-28T07:57:00.000000,1,true,true,true,true,1,LABELED,1,226,2025-06-12T16:31:37.000Z,0,1,LABELED,1,226,2025-06-11T17:31:37.000000,true,true,true
51,2026-06-18T00:00:00.000000,231,2026-06-18T17:31:26.000000,scheduled_visit,2.9,5,2026-06-30T18:10:34.000000,1,true,true,false,true,1,CENSORED,,,,0,0,CENSORED,,,,false,false,false
52,2025-07-25T00:00:00.000000,234,2025-08-05T08:27:08.000000,no_response,12.9,3,2026-03-02T20:39:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
53,2026-01-29T00:00:00.000000,235,2026-02-11T18:45:21.000000,accepted,29.7,1,2026-02-11T18:45:21.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
54,2025-06-26T00:00:00.000000,238,2025-06-27T20:02:49.000000,rejected,6.9,3,2025-07-08T13:51:12.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
55,2025-05-18T00:00:00.000000,239,2025-05-22T07:32:53.000000,no_response,2.2,1,2025-05-22T07:32:53.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
56,2025-02-13T00:00:00.000000,240,2025-02-17T13:28:29.000000,accepted,6.5,4,2026-06-06T20:34:00.000000,0,true,true,true,true,0,LABELED,0,,,0,2,LABELED,0,,,true,true,true
57,2026-06-09T00:00:00.000000,245,2026-06-09T13:50:31.000000,accepted,,6,2026-06-17T13:27:39.000000,0,true,true,true,true,0,LABELED,0,,,0,0,CENSORED,,,,false,false,false
58,2025-02-07T00:00:00.000000,251,2025-05-19T13:07:00.000000,scheduled_visit,2.6,2,2026-02-27T15:43:00.000000,1,true,true,true,true,1,LABELED,1,251,2025-05-19T15:43:00.000Z,0,1,LABELED,1,251,2025-05-19T13:07:00.000000,true,true,true
59,2025-09-29T00:00:00.000000,252,2025-10-09T07:48:30.000000,accepted,4.4,1,2025-10-09T07:48:30.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
60,2025-05-02T00:00:00.000000,254,2025-05-04T17:05:46.000000,scheduled_visit,22.1,4,2025-06-12T10:16:00.000000,1,true,true,true,true,1,LABELED,1,254,2025-05-05T15:11:46.000Z,0,1,LABELED,1,254,2025-05-04T17:05:46.000000,true,true,true
61,2025-10-24T00:00:00.000000,257,2025-10-25T15:06:53.000000,accepted,6.6,4,2026-05-22T19:31:00.000000,0,true,true,true,true,0,LABELED,1,258,2025-10-28T17:22:43.000Z,0,2,LABELED,1,258,2025-10-28T09:58:43.000000,true,true,true
62,2025-12-01T00:00:00.000000,261,2025-12-02T11:31:56.000000,accepted,14.4,1,2025-12-02T11:31:56.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
63,2025-05-16T00:00:00.000000,263,2025-05-18T14:46:07.000000,rejected,9.8,3,2026-03-02T10:27:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
64,2025-05-22T00:00:00.000000,266,2025-08-12T11:15:00.000000,scheduled_visit,9.8,2,2026-06-18T16:32:00.000000,1,true,true,true,true,1,LABELED,1,266,2025-08-12T21:03:00.000Z,0,1,LABELED,1,266,2025-08-12T11:15:00.000000,true,true,true
65,2026-06-28T00:00:00.000000,267,2026-06-29T11:04:39.000000,scheduled_visit,6.2,2,2026-07-10T13:36:46.000000,1,true,true,false,true,1,CENSORED,,,,0,0,CENSORED,,,,false,false,false
66,2025-09-25T00:00:00.000000,273,2025-09-25T09:02:04.000000,scheduled_visit,26.5,5,2026-06-11T16:05:00.000000,1,true,true,true,true,1,LABELED,1,273,2025-09-26T11:32:04.000Z,0,2,LABELED,1,273,2025-09-25T09:02:04.000000,true,true,true
67,2025-06-16T00:00:00.000000,274,2025-12-26T15:05:00.000000,scheduled_visit,1.8,3,2026-04-09T13:45:00.000000,1,true,true,true,true,1,LABELED,1,274,2025-12-26T16:53:00.000Z,0,1,LABELED,1,274,2025-12-26T15:05:00.000000,true,true,true
68,2025-10-04T00:00:00.000000,281,2025-10-04T18:55:09.000000,no_response,36.7,5,2025-10-16T07:54:30.000000,0,true,true,true,true,0,LABELED,1,280,2025-10-09T16:24:33.000Z,0,1,LABELED,1,280,2025-10-09T13:36:33.000000,true,true,true
69,2025-12-17T00:00:00.000000,284,2025-12-20T13:49:59.000000,scheduled_visit,5.8,4,2025-12-23T14:24:35.000000,1,true,true,true,true,1,LABELED,1,284,2025-12-20T19:37:59.000Z,0,2,LABELED,1,284,2025-12-20T13:49:59.000000,true,true,true
70,2025-02-13T00:00:00.000000,286,2026-05-18T15:35:00.000000,rejected,20.8,2,2026-05-22T07:27:00.000000,0,true,true,true,true,0,AMBIGUOUS,,,,1,0,LABELED,1,287,2026-05-22T07:27:00.000000,true,true,false
71,2025-11-14T00:00:00.000000,289,2025-11-17T17:28:07.000000,no_response,3.9,4,2026-04-17T07:58:00.000000,0,true,true,true,true,0,LABELED,1,288,2025-11-22T18:27:56.000Z,0,1,LABELED,1,288,2025-11-22T10:33:56.000000,true,true,true
72,2025-10-04T00:00:00.000000,294,2025-10-06T17:53:13.000000,rejected,3.6,6,2026-05-25T17:52:00.000000,0,true,true,true,true,0,AMBIGUOUS,,,,1,0,LABELED,1,295,2025-10-10T12:38:38.000000,true,true,true
73,2026-01-25T00:00:00.000000,299,2026-01-27T14:42:52.000000,scheduled_visit,2.9,5,2026-03-18T11:21:00.000000,1,true,true,true,true,1,LABELED,1,299,2026-01-27T17:36:52.000Z,0,3,LABELED,1,299,2026-01-27T14:42:52.000000,true,true,true
74,2026-03-31T00:00:00.000000,303,2026-04-10T17:15:37.000000,accepted,3,1,2026-04-10T17:15:37.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
75,2025-02-10T00:00:00.000000,308,2025-02-13T11:32:07.000000,no_response,,8,2026-06-10T16:23:00.000000,0,true,true,true,true,0,LABELED,1,304,2025-02-20T11:54:22.000Z,0,4,LABELED,1,304,2025-02-19T20:18:22.000000,true,true,true
76,2025-01-19T00:00:00.000000,317,2025-01-21T09:57:15.000000,accepted,2,6,2026-06-01T16:50:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
77,2025-09-29T00:00:00.000000,318,2025-09-30T17:05:05.000000,accepted,3.3,3,2026-06-02T13:22:00.000000,0,true,true,true,true,0,LABELED,1,320,2025-10-09T22:03:55.000Z,0,1,LABELED,1,320,2025-10-09T13:57:55.000000,true,true,true
78,2025-11-05T00:00:00.000000,323,2025-11-16T13:09:27.000000,scheduled_visit,22.4,7,2026-05-29T13:23:00.000000,1,true,true,true,true,1,LABELED,1,322,2025-11-17T02:09:35.000Z,0,4,LABELED,1,323,2025-11-16T13:09:27.000000,true,true,true
79,2025-05-06T00:00:00.000000,333,2025-05-18T08:22:05.000000,accepted,6.5,6,2026-01-21T20:16:00.000000,0,true,true,true,true,0,LABELED,1,331,2025-05-20T05:01:14.000Z,0,2,LABELED,1,331,2025-05-19T12:37:14.000000,true,true,true
80,2025-05-24T00:00:00.000000,335,2025-06-05T19:33:42.000000,accepted,3.3,3,2026-03-15T07:30:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
81,2025-03-08T00:00:00.000000,338,2025-03-20T15:32:54.000000,no_response,0.5,2,2026-02-21T14:17:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
82,2026-03-19T00:00:00.000000,344,2026-03-25T14:51:18.000000,scheduled_visit,2.9,6,2026-04-21T16:49:00.000000,1,true,true,true,true,1,LABELED,1,344,2026-03-25T17:45:18.000Z,0,1,LABELED,1,344,2026-03-25T14:51:18.000000,true,true,true
83,2025-10-14T00:00:00.000000,345,2025-10-21T18:58:41.000000,accepted,,2,2026-03-19T09:02:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
84,2026-02-23T00:00:00.000000,347,2026-02-24T17:41:43.000000,scheduled_visit,32,3,2026-03-05T15:27:10.000000,1,true,true,true,true,1,LABELED,1,347,2026-02-26T01:41:43.000Z,0,1,LABELED,1,347,2026-02-24T17:41:43.000000,true,true,true
85,2025-09-05T00:00:00.000000,352,2025-09-06T20:45:39.000000,scheduled_visit,8.8,6,2026-06-07T14:00:00.000000,1,true,true,true,true,1,LABELED,1,352,2025-09-07T05:33:39.000Z,1,1,LABELED,1,352,2025-09-06T20:45:39.000000,true,true,true
86,2025-04-25T00:00:00.000000,356,2025-05-04T16:22:15.000000,rejected,46.4,1,2025-05-04T16:22:15.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
87,2025-09-06T00:00:00.000000,360,2025-09-06T14:17:38.000000,accepted,32.7,5,2026-04-29T14:20:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
88,2025-01-16T00:00:00.000000,362,2025-01-24T16:25:40.000000,no_response,,6,2026-05-10T08:13:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
89,2025-07-27T00:00:00.000000,368,2025-07-28T11:24:27.000000,no_response,5.3,5,2026-04-29T09:48:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
90,2026-02-24T00:00:00.000000,373,2026-03-12T13:30:00.000000,scheduled_visit,,1,2026-03-12T13:30:00.000000,1,true,true,true,true,1,AMBIGUOUS,,,,1,0,LABELED,1,373,2026-03-12T13:30:00.000000,true,true,true
91,2025-06-20T00:00:00.000000,375,2025-06-23T07:53:29.000000,accepted,1.3,3,2025-11-17T13:20:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
92,2026-06-14T00:00:00.000000,381,2026-06-15T16:24:28.000000,accepted,26.4,6,2026-06-24T07:48:49.000000,0,true,true,false,true,0,CENSORED,,,,0,0,CENSORED,,,,false,false,false
93,2025-01-16T00:00:00.000000,383,2026-01-23T09:48:00.000000,scheduled_visit,1.8,1,2026-01-23T09:48:00.000000,1,true,true,true,true,1,LABELED,1,383,2026-01-23T11:36:00.000Z,0,1,LABELED,1,383,2026-01-23T09:48:00.000000,true,true,true
94,2025-05-25T00:00:00.000000,386,2025-05-27T10:39:14.000000,accepted,6.8,5,2026-02-16T17:32:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
95,2025-11-20T00:00:00.000000,391,2025-11-20T07:58:24.000000,accepted,,8,2026-06-15T19:41:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
96,2025-06-10T00:00:00.000000,399,2025-06-16T15:20:45.000000,scheduled_visit,,7,2026-04-06T15:44:00.000000,1,true,true,true,true,1,AMBIGUOUS,,,,1,1,LABELED,1,399,2025-06-16T15:20:45.000000,true,true,true
97,2026-05-13T00:00:00.000000,404,2026-05-15T13:17:04.000000,rejected,3.9,2,2026-05-24T11:53:28.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,false
98,2025-02-12T00:00:00.000000,412,2025-02-23T08:54:21.000000,rejected,0.6,7,2025-09-02T09:52:00.000000,0,true,true,true,true,0,LABELED,1,410,2025-02-25T13:31:34.000Z,0,4,LABELED,1,410,2025-02-24T10:01:34.000000,true,true,true
99,2025-09-25T00:00:00.000000,413,2025-09-30T12:13:00.000000,accepted,,1,2025-09-30T12:13:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
100,2025-06-27T00:00:00.000000,418,2025-06-30T18:16:36.000000,rejected,5.3,7,2026-03-23T18:52:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
101,2025-06-10T00:00:00.000000,421,2025-10-26T12:39:00.000000,no_response,,1,2025-10-26T12:39:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
102,2025-02-01T00:00:00.000000,422,2025-02-04T09:10:57.000000,rejected,,4,2026-01-08T18:19:00.000000,0,true,true,true,true,0,LABELED,0,,,0,1,LABELED,0,,,true,true,true
103,2025-06-18T00:00:00.000000,427,2025-07-26T18:18:00.000000,accepted,,2,2026-02-15T11:23:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
104,2025-01-24T00:00:00.000000,430,2025-02-01T15:08:16.000000,accepted,1.3,7,2026-05-12T11:04:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
105,2025-05-23T00:00:00.000000,437,2025-05-25T14:22:58.000000,no_response,4.3,4,2026-06-08T08:41:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
106,2026-04-02T00:00:00.000000,442,2026-04-06T18:18:30.000000,accepted,,4,2026-04-13T19:14:44.000000,0,true,true,true,true,0,LABELED,1,439,2026-04-12T09:34:14.000Z,0,1,LABELED,1,439,2026-04-12T07:52:14.000000,true,true,true
107,2025-08-28T00:00:00.000000,445,2025-08-29T08:17:25.000000,accepted,,4,2025-10-21T14:03:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
108,2025-05-25T00:00:00.000000,450,2025-05-28T18:31:41.000000,no_response,17.5,7,2026-04-30T17:07:00.000000,0,true,true,true,true,0,LABELED,1,453,2025-05-28T22:49:40.000Z,0,2,LABELED,1,453,2025-05-28T18:55:40.000000,true,true,true
109,2025-01-30T00:00:00.000000,455,2025-02-03T12:14:05.000000,accepted,18,2,2025-04-23T09:48:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
110,2025-06-12T00:00:00.000000,456,2025-06-18T13:11:50.000000,accepted,20.2,4,2026-06-30T15:19:00.000000,0,true,true,true,true,0,LABELED,1,457,2025-06-24T22:33:55.000Z,0,1,LABELED,1,457,2025-06-24T18:09:55.000000,true,true,true
111,2025-05-09T00:00:00.000000,460,2025-05-10T13:33:05.000000,accepted,6.3,8,2026-05-05T14:07:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
112,2025-09-08T00:00:00.000000,468,2026-06-24T12:36:00.000000,accepted,4.3,1,2026-06-24T12:36:00.000000,0,true,true,false,true,0,CENSORED,,,,0,0,CENSORED,,,,false,false,false
113,2026-05-30T00:00:00.000000,469,2026-05-30T08:33:43.000000,rejected,,1,2026-05-30T08:33:43.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,false
114,2025-01-26T00:00:00.000000,471,2025-01-28T17:19:09.000000,accepted,0.5,2,2026-05-08T10:02:00.000000,0,true,true,true,true,0,LABELED,0,,,0,0,LABELED,0,,,true,true,true
115,2025-09-06T00:00:00.000000,472,2025-09-07T20:20:43.000000,rejected,5.6,5,2025-09-19T11:55:00.000000,0,true,true,true,true,0,LABELED,1,476,2025-09-11T04:14:47.000Z,0,1,LABELED,1,476,2025-09-10T14:44:47.000000,true,true,true
116,2025-09-12T00:00:00.000000,481,2025-09-12T14:00:10.000000,rejected,8.4,5,2026-06-26T20:46:00.000000,0,true,true,true,true,0,LABELED,1,479,2025-09-23T15:50:40.000Z,0,2,LABELED,1,479,2025-09-23T11:32:40.000000,true,true,true
