spot_id,sector_name,type_name,modality,title,description,natural_light,security_type,parking_spaces,building_status,amenities,rule_positive,rule_issue_types,human_actionable_issue,human_claim_labels_json,human_notes,reviewer,reviewed_at
372,Retail,Single,both,Single de 20 m² en andares-puerta-hierro,Ubicación estratégica cerca de centros comerciales. Espacio listo para ocupar con acabados de primera.,False,basic,0,needs_renovation,"[""meeting_rooms""]",1,"[""readiness""]",,,,,
376,Office,Single,sale,"Single Office en americana-chapultepec, Guadalajara",Amplio espacio con buena iluminación natural. Cuenta con todos los servicios y estacionamiento.,False,basic,3,good,[],1,"[""natural_light""]",,,,,
397,Industrial,Single,rent,Single de 5358 m² en lomas-verdes-satelite,Perfecto para negocio en crecimiento. Zona de alta plusvalía y demanda comercial. Espacio listo para ocupar con acabados de primera.,False,cctv,108,needs_renovation,"[""lounge"",""loading_dock""]",1,"[""readiness""]",,,,,
399,Land,Single,rent,"Single Land en centro-leon, León",Amplio espacio con buena iluminación natural.,True,none,1,fair,"[""loading_dock"",""cafeteria"",""storage""]",0,[],,,,,
434,Industrial,Subspace,rent,"Subspace 17786 m², andares-puerta-hierro",Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,True,basic,360,good,[],0,[],,,,,
469,Office,Single,both,"Single Office en juriquilla-juncos, Querétaro",Zona de alta plusvalía y demanda comercial.,True,none,38,good,[],0,[],,,,,
471,Land,Subspace,rent,"Subspace en Land - centro-leon, León",Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales.,True,basic,5,fair,"[""cafeteria"",""kitchen"",""security_booth""]",0,[],,,,,
485,Office,Single,rent,"Single Office en andares-puerta-hierro, Zapopan",Amplio espacio con buena iluminación natural. Cuenta con todos los servicios y estacionamiento.,False,cctv,6,good,"[""kitchen"",""parking""]",1,"[""natural_light""]",,,,,
506,Retail,Single,rent,"Single Retail en polanco, Miguel Hidalgo",Amplio espacio con buena iluminación natural.,True,basic,1,good,[],0,[],,,,,
508,Land,Single,both,"Single Land en zona-rio-aguacaliente, Tijuana",Fácil acceso a transporte público y avenidas principales.,True,cctv,1,fair,"[""security_booth"",""storage""]",0,[],,,,,
510,Industrial,Single,rent,"Industrial Single - centro-chihuahua, Chihuahua",Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso.,False,basic,146,needs_renovation,[],1,"[""readiness""]",,,,,
514,Industrial,Single,rent,"Industrial Single - vasconcelos-calzada, San Pedro Garza García",Excelente ubicación con acceso a vías principales. Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,False,basic,57,good,"[""security_booth"",""lounge"",""cafeteria"",""storage""]",1,"[""natural_light""]",,,,,
526,Land,Single,sale,"Land Single - juriquilla-juncos, Querétaro",Cuenta con todos los servicios y estacionamiento.,True,cctv,0,good,[],1,"[""parking""]",,,,,
541,Land,Subspace,rent,"Subspace en Land - centenario-colosio, Hermosillo",Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,True,cctv,3,good,[],0,[],,,,,
543,Land,Subspace,sale,"Land compartido en roma-condesa, Cuauhtémoc",Excelente ubicación con acceso a vías principales.,True,cctv,1,fair,[],0,[],,,,,
561,Retail,Subspace,both,"Subspace en Retail - zona-rio-aguacaliente, Tijuana",Amplio espacio con buena iluminación natural.,False,none,6,new,[],1,"[""natural_light""]",,,,,
563,Land,Subspace,both,"Subspace en Land - centro-leon, León",Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso.,False,none,1,good,"[""meeting_rooms"",""reception"",""security_booth""]",1,"[""natural_light"",""security""]",,,,,
578,Industrial,Single,sale,Single de 200 m² en andares-puerta-hierro,Espacio versátil adaptable a diferentes giros. Excelente ubicación con acceso a vías principales.,False,basic,4,good,[],0,[],,,,,
615,Office,Single,rent,"Single Office en juriquilla-juncos, Querétaro",Perfecto para negocio en crecimiento. Espacio listo para ocupar con acabados de primera. Ubicación estratégica cerca de centros comerciales.,True,cctv,22,new,[],0,[],,,,,
617,Land,Single,both,"Land Single - juriquilla-juncos, Querétaro",Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento. Espacio listo para ocupar con acabados de primera.,True,cctv,0,new,[],1,"[""parking""]",,,,,
650,Retail,Subspace,rent,"Subspace en Retail - americana-chapultepec, Guadalajara",Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,True,basic,0,fair,[],1,"[""parking""]",,,,,
652,Retail,Single,rent,"Retail Single - paseo-montejo, Mérida",Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,False,basic,12,new,[],0,[],,,,,
662,Land,Single,rent,"Single Land en andares-puerta-hierro, Zapopan",Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,False,cctv,1,new,[],1,"[""natural_light""]",,,,,
687,Land,Single,sale,Single de 13501 m² en andares-puerta-hierro,Cuenta con todos los servicios y estacionamiento. Fácil acceso a transporte público y avenidas principales.,True,basic,4,good,"[""kitchen"",""loading_dock"",""parking""]",0,[],,,,,
707,Office,Single,both,"Single Office en vasconcelos-calzada, San Pedro Garza García",Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural.,False,cctv,7,new,"[""conference_room"",""parking"",""cafeteria"",""gym""]",1,"[""natural_light""]",,,,,
722,Retail,Single,rent,"Single Retail en angelopolis-lomas, Puebla",Seguridad 24/7 y control de acceso. Excelente ubicación con acceso a vías principales.,True,full,10,fair,[],0,[],,,,,
724,Office,Single,sale,"Single Office en metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera.,True,basic,8,needs_renovation,"[""rooftop"",""loading_dock"",""security_booth""]",1,"[""readiness""]",,,,,
759,Office,Subspace,sale,"Office compartido en del-valle-narvarte, Benito Juárez",Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.,False,cctv,16,new,[],0,[],,,,,
761,Land,Single,sale,"Land Single - lomas-carranza, San Luis Potosí",Recién remodelado con acabados modernos.,True,basic,1,good,[],0,[],,,,,
765,Land,Subspace,rent,"Subspace 7160 m², del-valle-narvarte",Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos.,False,full,3,needs_renovation,"[""kitchen""]",1,"[""readiness""]",,,,,
794,Office,Single,rent,"Office Single - centenario-colosio, Hermosillo",Recién remodelado con acabados modernos. Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso.,True,full,3,fair,[],0,[],,,,,
810,Office,Single,sale,"Office Single - lomas-verdes-satelite, Naucalpan de Juárez",Espacio listo para ocupar con acabados de primera. Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,True,none,2,needs_renovation,"[""gym"",""parking""]",1,"[""readiness""]",,,,,
831,Land,Subspace,sale,"Subspace 1529 m², macroplaza",Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento.,True,cctv,5,good,"[""lounge"",""rooftop""]",0,[],,,,,
835,Land,Single,sale,Single de 3661 m² en vasconcelos-calzada,Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución.,False,cctv,0,fair,"[""gym"",""security_booth"",""conference_room"",""storage""]",1,"[""parking""]",,,,,
866,Land,Single,sale,Single de 5123 m² en centro-queretaro,Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento.,True,none,5,needs_renovation,"[""security_booth"",""lounge"",""storage"",""reception""]",0,[],,,,,
870,Industrial,Single,sale,Single de 200 m² en juriquilla-juncos,Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,True,cctv,7,needs_renovation,[],1,"[""readiness""]",,,,,
880,Industrial,Subspace,both,"Industrial compartido en zona-rio-aguacaliente, Tijuana",Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos.,True,full,18,needs_renovation,"[""cafeteria"",""meeting_rooms"",""storage""]",1,"[""readiness""]",,,,,
903,Industrial,Subspace,rent,"Industrial compartido en macroplaza, Monterrey",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento.,True,basic,203,new,[],0,[],,,,,
938,Industrial,Single,both,"Single Industrial en americana-chapultepec, Guadalajara",Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,False,basic,50,good,"[""lounge"",""meeting_rooms"",""storage""]",0,[],,,,,
940,Retail,Single,rent,"Retail Single - roma-condesa, Cuauhtémoc",Zona de alta plusvalía y demanda comercial. Espacio listo para ocupar con acabados de primera. Ideal para oficinas corporativas o centro de distribución.,False,basic,1,good,"[""kitchen"",""rooftop"",""meeting_rooms"",""storage""]",0,[],,,,,
942,Industrial,Subspace,rent,"Subspace 1572 m², roma-condesa",Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.,False,basic,31,good,[],1,"[""natural_light""]",,,,,
975,Retail,Single,rent,"Single Retail en americana-chapultepec, Guadalajara",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos.,True,basic,2,fair,"[""meeting_rooms"",""conference_room""]",0,[],,,,,
981,Industrial,Single,sale,"Single Industrial en vasconcelos-calzada, San Pedro Garza García",Recién remodelado con acabados modernos.,False,cctv,113,needs_renovation,"[""lounge"",""loading_dock"",""storage"",""security_booth""]",1,"[""readiness""]",,,,,
1010,Retail,Single,both,"Retail Single - del-valle-narvarte, Benito Juárez",Excelente ubicación con acceso a vías principales.,True,full,1,good,"[""meeting_rooms"",""storage"",""cafeteria""]",0,[],,,,,
1047,Land,Single,both,"Land Single - del-valle-narvarte, Benito Juárez",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,True,basic,2,new,"[""meeting_rooms"",""parking"",""cafeteria""]",0,[],,,,,
1057,Industrial,Single,rent,"Industrial Single - metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera. Ideal para oficinas corporativas o centro de distribución.,True,none,7,needs_renovation,[],1,"[""readiness""]",,,,,
1082,Office,Single,both,Single de 4606 m² en metepec-toluca,Ubicación estratégica cerca de centros comerciales. Recién remodelado con acabados modernos. Perfecto para negocio en crecimiento.,True,none,230,new,"[""loading_dock"",""storage"",""reception"",""cafeteria""]",0,[],,,,,
1084,Land,Single,rent,Single de 8337 m² en centro-queretaro,Zona de alta plusvalía y demanda comercial.,True,cctv,1,new,"[""cafeteria"",""lounge"",""rooftop""]",0,[],,,,,
1096,Office,Single,both,"Office Single - centro-queretaro, Querétaro",Perfecto para negocio en crecimiento. Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural.,False,basic,25,fair,"[""cafeteria"",""conference_room"",""reception""]",1,"[""natural_light""]",,,,,
1119,Office,Single,rent,"Single Office en roma-condesa, Cuauhtémoc",Cuenta con todos los servicios y estacionamiento.,True,basic,8,new,"[""meeting_rooms"",""cafeteria"",""conference_room"",""security_booth""]",0,[],,,,,
1121,Industrial,Subspace,rent,"Subspace en Industrial - vasconcelos-calzada, San Pedro Garza García",Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,False,none,411,good,"[""reception"",""lounge"",""loading_dock""]",1,"[""security""]",,,,,
1123,Retail,Single,rent,"Single Retail en andares-puerta-hierro, Zapopan",Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.,False,basic,12,fair,"[""storage"",""gym"",""lounge""]",1,"[""natural_light""]",,,,,
1129,Industrial,Subspace,both,"Subspace en Industrial - paseo-montejo, Mérida",Amplio espacio con buena iluminación natural. Ubicación estratégica cerca de centros comerciales.,False,basic,8,needs_renovation,"[""cafeteria""]",1,"[""natural_light""]",,,,,
1156,Land,Single,both,"Land Single - americana-chapultepec, Guadalajara",Ubicación estratégica cerca de centros comerciales. Espacio listo para ocupar con acabados de primera. Zona de alta plusvalía y demanda comercial.,False,basic,1,new,[],0,[],,,,,
1160,Office,Subspace,sale,"Office compartido en roma-condesa, Cuauhtémoc",Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural. Fácil acceso a transporte público y avenidas principales.,False,cctv,52,fair,[],1,"[""natural_light""]",,,,,
1170,Industrial,Subspace,sale,"Industrial compartido en centro-chihuahua, Chihuahua",Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso.,True,none,69,good,"[""storage"",""parking"",""conference_room""]",1,"[""security""]",,,,,
1191,Office,Single,both,"Single Office en juriquilla-juncos, Querétaro",Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento. Amplio espacio con buena iluminación natural.,True,full,77,fair,"[""loading_dock"",""kitchen"",""meeting_rooms"",""parking""]",0,[],,,,,
1199,Land,Single,sale,"Land Single - polanco, Miguel Hidalgo",Espacio listo para ocupar con acabados de primera. Perfecto para negocio en crecimiento.,True,cctv,0,needs_renovation,"[""rooftop"",""cafeteria""]",1,"[""readiness""]",,,,,
1228,Industrial,Single,sale,"Industrial Single - centro-queretaro, Querétaro",Ubicación estratégica cerca de centros comerciales.,False,cctv,136,good,[],0,[],,,,,
1242,Office,Single,sale,"Office Single - centro-chihuahua, Chihuahua",Ubicación estratégica cerca de centros comerciales. Recién remodelado con acabados modernos.,True,none,188,needs_renovation,"[""loading_dock"",""gym""]",1,"[""readiness""]",,,,,
1263,Office,Single,sale,"Office Single - centro-queretaro, Querétaro",Espacio listo para ocupar con acabados de primera. Excelente ubicación con acceso a vías principales.,False,cctv,17,new,"[""lounge""]",0,[],,,,,
1265,Land,Subspace,rent,"Subspace en Land - paseo-montejo, Mérida",Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,True,cctv,3,fair,"[""conference_room""]",0,[],,,,,
1267,Retail,Subspace,sale,"Subspace 69 m², roma-condesa",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Amplio espacio con buena iluminación natural.,False,full,3,good,"[""gym"",""lounge""]",1,"[""natural_light""]",,,,,
1277,Industrial,Single,both,"Industrial Single - macroplaza, Monterrey",Seguridad 24/7 y control de acceso. Amplio espacio con buena iluminación natural.,False,cctv,85,fair,"[""lounge""]",1,"[""natural_light""]",,,,,
1300,Industrial,Subspace,rent,"Subspace 1480 m², angelopolis-lomas",Ideal para oficinas corporativas o centro de distribución.,True,basic,31,fair,"[""kitchen"",""conference_room"",""loading_dock""]",0,[],,,,,
1335,Retail,Single,rent,Single de 154 m² en americana-chapultepec,Seguridad 24/7 y control de acceso.,False,cctv,10,new,[],0,[],,,,,
1339,Retail,Subspace,rent,"Subspace en Retail - centro-queretaro, Querétaro",Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.,False,cctv,3,needs_renovation,"[""loading_dock""]",1,"[""readiness""]",,,,,
1347,Industrial,Single,rent,"Industrial Single - metepec-toluca, Toluca",Amplio espacio con buena iluminación natural. Fácil acceso a transporte público y avenidas principales.,False,full,146,needs_renovation,"[""security_booth"",""cafeteria""]",1,"[""natural_light""]",,,,,
1372,Office,Single,both,"Office Single - centro-leon, León",Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera.,False,cctv,7,good,"[""storage"",""meeting_rooms"",""loading_dock"",""cafeteria""]",0,[],,,,,
1407,Office,Single,sale,"Single Office en lomas-carranza, San Luis Potosí",Cuenta con todos los servicios y estacionamiento. Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,True,basic,2,fair,"[""parking"",""gym"",""conference_room"",""security_booth""]",0,[],,,,,
1409,Land,Subspace,sale,"Land compartido en centro-leon, León",Ideal para oficinas corporativas o centro de distribución. Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,True,cctv,2,fair,[],0,[],,,,,
1413,Industrial,Single,sale,"Industrial Single - centro-queretaro, Querétaro",Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural.,False,basic,48,needs_renovation,[],1,"[""natural_light""]",,,,,
1427,Land,Subspace,both,"Land compartido en macroplaza, Monterrey",Cuenta con todos los servicios y estacionamiento. Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,False,full,0,good,"[""lounge""]",1,"[""parking""]",,,,,
1444,Land,Subspace,both,"Subspace en Land - polanco, Miguel Hidalgo",Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Fácil acceso a transporte público y avenidas principales.,True,full,3,fair,[],0,[],,,,,
1479,Retail,Single,rent,"Single Retail en centro-chihuahua, Chihuahua",Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Zona de alta plusvalía y demanda comercial.,True,basic,1,needs_renovation,[],1,"[""readiness""]",,,,,
1483,Office,Single,both,"Office Single - roma-condesa, Cuauhtémoc",Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros.,False,none,21,needs_renovation,"[""lounge"",""parking"",""conference_room"",""storage""]",1,"[""readiness"",""security""]",,,,,
1516,Office,Single,rent,Single de 342 m² en lomas-carranza,Fácil acceso a transporte público y avenidas principales. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,True,cctv,20,new,[],0,[],,,,,
1518,Retail,Subspace,both,"Subspace 53 m², americana-chapultepec",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,True,basic,7,needs_renovation,"[""cafeteria"",""security_booth""]",1,"[""readiness""]",,,,,
1551,Office,Single,rent,"Office Single - lomas-verdes-satelite, Naucalpan de Juárez",Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento. Zona de alta plusvalía y demanda comercial.,False,none,3,new,"[""loading_dock"",""security_booth"",""meeting_rooms""]",0,[],,,,,
1553,Industrial,Subspace,sale,"Industrial compartido en vasconcelos-calzada, San Pedro Garza García",Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso. Cuenta con todos los servicios y estacionamiento.,True,full,16,fair,"[""gym"",""rooftop""]",0,[],,,,,
1571,Retail,Single,both,Single de 178 m² en macroplaza,Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos.,True,none,8,good,"[""kitchen""]",1,"[""security""]",,,,,
1588,Retail,Single,sale,"Single Retail en roma-condesa, Cuauhtémoc",Zona de alta plusvalía y demanda comercial. Perfecto para negocio en crecimiento.,True,none,1,new,[],0,[],,,,,
1590,Industrial,Subspace,both,"Industrial compartido en centro-chihuahua, Chihuahua",Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Perfecto para negocio en crecimiento.,True,basic,76,good,[],0,[],,,,,
1623,Industrial,Single,rent,"Industrial Single - macroplaza, Monterrey",Cuenta con todos los servicios y estacionamiento.,True,basic,70,good,[],0,[],,,,,
1625,Land,Subspace,both,"Land compartido en centro-queretaro, Querétaro",Cuenta con todos los servicios y estacionamiento. Zona de alta plusvalía y demanda comercial.,False,basic,2,good,"[""cafeteria"",""security_booth""]",0,[],,,,,
1660,Retail,Single,both,Single de 73 m² en andares-puerta-hierro,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso.,True,cctv,2,new,[],0,[],,,,,
1695,Industrial,Subspace,rent,"Subspace en Industrial - angelopolis-lomas, Puebla",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,False,basic,21,new,"[""gym"",""loading_dock""]",1,"[""natural_light""]",,,,,
1697,Land,Single,sale,"Land Single - lomas-verdes-satelite, Naucalpan de Juárez",Cuenta con todos los servicios y estacionamiento.,False,none,0,fair,[],1,"[""parking""]",,,,,
1732,Industrial,Subspace,sale,"Industrial compartido en centro-leon, León",Amplio espacio con buena iluminación natural. Ubicación estratégica cerca de centros comerciales. Perfecto para negocio en crecimiento.,True,basic,135,new,[],0,[],,,,,
1734,Land,Single,both,"Single Land en roma-condesa, Cuauhtémoc",Recién remodelado con acabados modernos.,False,none,1,good,"[""meeting_rooms""]",0,[],,,,,
1769,Industrial,Single,both,"Industrial Single - macroplaza, Monterrey",Ubicación estratégica cerca de centros comerciales.,True,basic,16,good,"[""security_booth""]",0,[],,,,,
1804,Office,Single,rent,"Office Single - juriquilla-juncos, Querétaro",Perfecto para negocio en crecimiento.,False,basic,9,fair,"[""parking"",""security_booth"",""cafeteria""]",0,[],,,,,
1806,Industrial,Subspace,rent,"Subspace 1677 m², angelopolis-lomas",Espacio listo para ocupar con acabados de primera.,False,basic,34,fair,[],0,[],,,,,
1808,Industrial,Subspace,both,"Subspace 6427 m², macroplaza",Ideal para oficinas corporativas o centro de distribución. Amplio espacio con buena iluminación natural.,False,basic,129,fair,[],1,"[""natural_light""]",,,,,
1816,Industrial,Single,rent,Single de 20612 m² en roma-condesa,Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento. Cuenta con todos los servicios y estacionamiento.,False,none,413,good,"[""conference_room"",""gym"",""parking""]",1,"[""security""]",,,,,
1820,Office,Subspace,rent,"Subspace en Office - andares-puerta-hierro, Zapopan",Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural.,False,full,78,good,"[""storage"",""rooftop"",""conference_room""]",1,"[""natural_light""]",,,,,
1841,Retail,Single,rent,"Single Retail en centro-queretaro, Querétaro",Seguridad 24/7 y control de acceso.,True,basic,11,fair,[],0,[],,,,,
1876,Land,Single,rent,"Single Land en vasconcelos-calzada, San Pedro Garza García",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso.,False,full,3,good,"[""security_booth""]",0,[],,,,,
