fold,row_id,lead_id,inquiry_id,spot_id,stage,score_time,target_30d,pooled_catboost_pit_full,selected_p85,error_type,search_sector,search_modality,user_type,availability_state
3,11593,1443,6590.0,108.0,T2_engaged,2026-03-01 11:42:55,0,0.5475829393394819,1,FP,Industrial,rent,broker,available_now
3,7032,2678,12172.0,1522.0,T1_first_inquiry,2026-03-14 13:53:23,0,0.5475451095995753,1,FP,Retail,rent,investor,available_now
4,17200,4598,20809.0,2971.0,T2_engaged,2026-03-29 20:19:31,0,0.5469188190464513,1,FP,Industrial,sale,broker,known_unavailable
4,13680,2571,11690.0,2545.0,T2_engaged,2026-04-21 08:25:03,0,0.5461649938661093,1,FP,Office,rent,broker,available_now
3,17780,4948,22350.0,1270.0,T2_engaged,2026-02-25 10:35:59,0,0.5461145110593235,1,FP,Industrial,rent,investor,known_unavailable
1,12893,2153,9746.0,832.0,T2_engaged,2025-11-10 08:28:16,0,0.5458652000379773,1,FP,Retail,rent,investor,known_unavailable
4,14777,3179,14444.0,2667.0,T2_engaged,2026-05-06 19:43:06,0,0.5457710788143386,1,FP,Retail,both,broker,known_unavailable
1,15406,3559,16161.0,1420.0,T2_engaged,2025-11-06 15:18:19,0,0.5448660355334299,1,FP,Office,rent,tenant_direct,known_unavailable
1,11479,1376,6288.0,275.0,T2_engaged,2026-04-30 16:46:00,1,0.1526022519184397,0,FN,Retail,sale,broker,available_now
1,16917,4438,20102.0,620.0,T2_engaged,2026-06-05 14:56:00,1,0.15973620342819653,0,FN,Retail,rent,broker,known_unavailable
1,17061,4514,20460.0,1021.0,T2_engaged,2026-05-16 12:05:00,1,0.1734094296755495,0,FN,Land,sale,broker,available_now
1,9552,289,1250.0,44.0,T2_engaged,2026-04-23 07:56:00,1,0.1738443585997342,0,FN,Retail,sale,tenant_direct,known_unavailable
1,15180,3401,15482.0,1836.0,T2_engaged,2026-04-26 18:38:00,1,0.1765005990927857,0,FN,Retail,rent,broker,known_unavailable
1,11540,1412,6449.0,807.0,T2_engaged,2025-12-27 15:37:00,1,0.17987568351082137,0,FN,Retail,sale,developer,available_now
1,12891,2150,9735.0,178.0,T2_engaged,2026-04-29 18:51:00,1,0.1804481342342279,0,FN,Industrial,sale,broker,known_unavailable
1,13106,2257,10230.0,2880.0,T2_engaged,2026-05-18 16:12:00,1,0.18187081114308595,0,FN,Office,sale,investor,available_now
1,15456,3602,16328.0,1952.0,T2_engaged,2026-05-04 16:35:00,1,0.18296451959043417,0,FN,Office,sale,broker,available_now
1,10676,918,4123.0,1604.0,T2_engaged,2026-05-18 12:21:00,1,0.18353909717466127,0,FN,Industrial,rent,broker,available_now
1,16455,4173,18934.0,604.0,T2_engaged,2026-06-09 09:33:00,1,0.18519579346234782,0,FN,Office,sale,developer,known_unavailable
1,10545,840,3813.0,2641.0,T2_engaged,2026-05-02 17:31:00,1,0.1860881578200328,0,FN,Retail,both,tenant_direct,available_now
1,9848,440,1940.0,2058.0,T2_engaged,2026-04-28 10:13:00,1,0.18612102447081275,0,FN,Retail,rent,tenant_direct,known_unavailable
1,13112,2258,10237.0,2641.0,T2_engaged,2026-05-02 12:09:00,1,0.186485787518156,0,FN,Office,rent,investor,available_now
1,9930,479,2116.0,1204.0,T2_engaged,2026-03-29 14:13:00,1,0.18803961071232392,0,FN,Industrial,rent,tenant_direct,available_now
1,13903,2680,12185.0,342.0,T2_engaged,2025-12-30 16:52:00,1,0.18973890493053175,0,FN,Office,sale,broker,available_now
1,11599,1445,6598.0,2902.0,T2_engaged,2026-06-13 09:25:00,1,0.1904361486059742,0,FN,Industrial,sale,broker,available_now
1,16733,4321,19619.0,606.0,T2_engaged,2026-01-08 13:20:00,1,0.19064296410435821,0,FN,Industrial,rent,investor,available_now
1,16916,4438,20100.0,995.0,T2_engaged,2026-05-06 20:03:00,1,0.19182325954425183,0,FN,Retail,rent,broker,available_now
1,17366,4683,21194.0,695.0,T2_engaged,2025-12-11 10:22:00,1,0.19206160273186793,0,FN,Retail,rent,investor,available_now
1,13107,2257,10231.0,2095.0,T2_engaged,2026-06-01 10:49:00,1,0.192174246929141,0,FN,Office,sale,investor,known_unavailable
1,17133,4562,20660.0,2425.0,T2_engaged,2026-04-15 13:55:00,1,0.1926608720961873,0,FN,Retail,rent,broker,known_unavailable
1,17839,4982,22484.0,330.0,T2_engaged,2026-04-23 16:03:00,1,0.19336345128384208,0,FN,Office,sale,broker,available_now
1,17649,4874,22002.0,2710.0,T2_engaged,2025-12-28 10:59:00,1,0.19380951633258728,0,FN,Industrial,rent,tenant_direct,available_now
1,11598,1445,6596.0,432.0,T2_engaged,2026-05-25 19:52:00,1,0.19396591921106737,0,FN,Industrial,sale,broker,available_now
4,10404,750,3412.0,855.0,T2_engaged,2026-05-24 19:54:00,1,0.19441225045262092,0,FN,Office,sale,investor,available_now
1,17838,4982,22487.0,2606.0,T2_engaged,2026-04-21 17:06:00,1,0.19560518984657868,0,FN,Office,sale,broker,available_now
4,15781,3796,17252.0,2110.0,T2_engaged,2026-06-12 16:18:00,1,0.19726892050255873,0,FN,Land,sale,tenant_direct,available_now
1,10918,1045,4717.0,235.0,T2_engaged,2026-01-17 09:24:00,1,0.19739154947350618,0,FN,Retail,sale,broker,available_now
1,9178,36,163.0,624.0,T2_engaged,2026-04-19 14:14:00,1,0.19787543194280346,0,FN,Industrial,rent,broker,available_now
1,9020,4889,22067.0,2589.0,T1_first_inquiry,2026-03-24 18:18:00,1,0.19845414784882884,0,FN,Office,rent,tenant_direct,available_now
1,17484,4758,21497.0,437.0,T2_engaged,2026-02-16 18:20:00,1,0.19927657709493804,0,FN,Office,rent,developer,available_now
1,17329,4663,21092.0,1018.0,T2_engaged,2026-02-28 07:16:00,1,0.2005167846666588,0,FN,Office,rent,tenant_direct,known_unavailable
1,12434,1927,8679.0,2993.0,T2_engaged,2026-02-21 20:45:00,1,0.20057950106837563,0,FN,Land,rent,tenant_direct,available_now
2,12222,1809,8160.0,834.0,T2_engaged,2026-03-16 08:24:00,1,0.20166051481492733,0,FN,Retail,sale,tenant_direct,available_now
1,10145,596,2700.0,80.0,T2_engaged,2026-03-11 09:52:00,1,0.20254140421128689,0,FN,Industrial,sale,broker,available_now
1,13629,2544,11562.0,2938.0,T2_engaged,2025-12-14 15:39:42,1,0.20314688423678898,0,FN,Office,rent,broker,available_now
1,10565,853,3857.0,2520.0,T2_engaged,2026-01-06 20:15:00,1,0.20456675840980462,0,FN,Retail,sale,investor,known_unavailable
1,14701,3121,14177.0,1221.0,T2_engaged,2026-04-05 11:08:00,1,0.20514562872839268,0,FN,Retail,both,broker,available_now
2,12085,1717,7816.0,2395.0,T2_engaged,2026-02-06 10:50:55,1,0.20539184071397118,0,FN,Office,rent,broker,known_unavailable
1,14761,3164,14362.0,2388.0,T2_engaged,2026-01-10 17:57:00,1,0.20553124005926096,0,FN,Retail,sale,tenant_direct,available_now
2,15267,3450,15694.0,845.0,T2_engaged,2026-05-28 18:47:00,1,0.20665305910665202,0,FN,Office,sale,investor,available_now
3,11117,1172,5290.0,278.0,T2_engaged,2026-05-31 09:58:00,1,0.20686748616037567,0,FN,Industrial,both,tenant_direct,known_unavailable
1,17019,4486,20343.0,1010.0,T2_engaged,2025-12-22 12:44:00,1,0.2072252873204973,0,FN,Land,rent,broker,available_now
1,11106,1164,5262.0,1858.0,T2_engaged,2025-11-19 09:52:07,1,0.20730505945729502,0,FN,Industrial,rent,broker,available_now
1,10292,695,3145.0,996.0,T2_engaged,2026-04-01 10:29:00,1,0.20745600435037018,0,FN,Land,sale,investor,known_unavailable
1,15505,3632,16467.0,2133.0,T2_engaged,2026-06-02 18:15:00,1,0.207660704842436,0,FN,Retail,sale,developer,available_now
1,13630,2544,11567.0,2499.0,T2_engaged,2025-12-14 19:11:24,1,0.20844802032815407,0,FN,Office,rent,broker,known_unavailable
1,10661,906,4072.0,1391.0,T2_engaged,2026-02-15 19:34:00,1,0.2097204782766915,0,FN,Industrial,rent,tenant_direct,known_unavailable
3,12073,1714,7799.0,1618.0,T2_engaged,2026-02-09 10:51:22,1,0.20976564401295195,0,FN,Office,rent,investor,available_now
