spot_id,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities
46,true,1,4,full,15,6,3.2,5,new,ceramic,"[""parking"", ""cafeteria"", ""lounge"", ""gym""]"
47,false,14,5,cctv,0,6,0.0,2,new,concrete,[]
48,true,5,0,cctv,0,7,0.0,1,fair,,[]
49,true,10,0,none,0,3,3.4,4,fair,ceramic,"[""lounge""]"
50,false,20,,basic,0,1,2.9,6,needs_renovation,polished_concrete,[]
51,false,9,,full,2,0,3.7,1,new,polished_concrete,"[""parking"", ""kitchen"", ""security_booth""]"
52,true,2,0,cctv,15,9,0.0,1,needs_renovation,ceramic,"[""lounge"", ""conference_room""]"
53,false,15,0,none,0,1,,4,needs_renovation,concrete,[]
54,true,15,0,full,0,1,6.5,10,good,concrete,[]
55,true,5,0,cctv,0,1,3.7,17,good,concrete,"[""loading_dock"", ""storage"", ""gym"", ""kitchen""]"
56,true,14,0,basic,0,0,4.4,4,good,ceramic,[]
57,true,0,0,basic,0,12,7.8,114,fair,polished_concrete,[]
58,false,29,0,full,0,6,,53,good,concrete,"[""conference_room"", ""kitchen"", ""security_booth""]"
59,true,40,0,full,0,1,2.7,6,good,,[]
60,true,1,0,cctv,0,1,2.4,12,new,polished_concrete,"[""kitchen""]"
61,true,0,0,cctv,1,0,4.2,4,good,polished_concrete,[]
62,true,10,4,cctv,1,1,3.0,5,new,,"[""meeting_rooms"", ""rooftop"", ""reception""]"
63,true,0,,basic,27,24,,128,new,ceramic,[]
64,true,14,0,cctv,4,10,1.5,196,fair,polished_concrete,[]
65,true,0,0,basic,1,2,3.7,5,fair,concrete,"[""rooftop"", ""kitchen"", ""conference_room""]"
66,true,0,0,basic,0,11,7.5,104,new,carpet,"[""parking"", ""lounge"", ""meeting_rooms""]"
67,false,6,0,basic,0,1,4.2,5,fair,concrete,[]
68,true,6,0,cctv,0,0,3.4,26,fair,ceramic,"[""kitchen"", ""lounge"", ""security_booth"", ""conference_room""]"
69,true,0,0,none,0,16,0.0,1,fair,concrete,[]
70,true,6,0,none,0,0,3.5,5,good,wood,[]
71,false,0,0,basic,0,7,6.8,56,needs_renovation,wood,"[""rooftop"", ""loading_dock"", ""parking"", ""cafeteria""]"
72,false,0,0,basic,1,2,4.2,6,good,polished_concrete,"[""rooftop"", ""kitchen"", ""cafeteria"", ""gym""]"
73,true,0,3,full,0,1,,9,new,ceramic,"[""loading_dock""]"
74,true,3,0,basic,0,2,3.1,3,new,ceramic,"[""reception"", ""rooftop"", ""gym"", ""loading_dock""]"
75,true,1,0,cctv,1,7,8.0,52,fair,carpet,"[""gym""]"
76,false,1,0,basic,3,8,0.0,3,new,concrete,"[""lounge"", ""gym"", ""kitchen""]"
77,false,11,,cctv,1,5,7.6,51,good,polished_concrete,"[""parking"", ""meeting_rooms"", ""loading_dock""]"
78,true,8,0,cctv,0,1,,8,new,wood,"[""parking""]"
79,true,0,3,cctv,8,6,,26,good,concrete,"[""reception"", ""kitchen"", ""storage""]"
80,false,0,7,full,0,7,8.3,66,needs_renovation,concrete,"[""rooftop""]"
81,true,0,,basic,0,6,9.7,60,good,concrete,[]
82,true,5,,none,0,2,1.8,2,good,,"[""storage"", ""parking""]"
83,false,19,3,cctv,3,1,,9,good,concrete,"[""meeting_rooms"", ""reception"", ""conference_room""]"
84,true,1,,full,1,1,2.8,12,good,carpet,"[""reception"", ""meeting_rooms"", ""rooftop"", ""kitchen""]"
85,true,34,1,basic,4,9,0.0,0,fair,wood,[]
86,false,0,4,none,1,1,2.4,4,good,polished_concrete,"[""reception""]"
87,false,5,0,basic,0,8,5.9,75,fair,concrete,"[""parking""]"
88,true,0,0,cctv,3,1,,8,fair,ceramic,[]
89,false,8,0,none,0,2,7.8,31,fair,ceramic,[]
90,false,11,,full,14,7,3.4,56,fair,,[]
91,true,8,0,full,21,10,8.2,24,fair,concrete,"[""conference_room""]"
92,true,0,0,cctv,7,7,3.2,115,fair,ceramic,"[""rooftop"", ""parking""]"
93,true,0,,basic,3,13,6.6,120,good,polished_concrete,"[""lounge"", ""reception"", ""kitchen""]"
94,true,2,,cctv,9,10,12.2,56,new,concrete,"[""conference_room"", ""kitchen"", ""lounge"", ""cafeteria""]"
95,true,38,16,none,0,1,5.3,1,good,concrete,"[""meeting_rooms"", ""loading_dock"", ""parking""]"
96,true,0,0,cctv,0,2,8.7,14,good,concrete,[]
97,true,2,,basic,0,6,9.2,73,fair,concrete,"[""gym"", ""storage"", ""cafeteria""]"
98,true,5,,full,0,1,3.9,7,new,ceramic,[]
99,true,3,0,basic,0,0,2.7,6,new,polished_concrete,[]
100,false,30,4,none,0,1,2.3,22,good,concrete,[]
101,true,7,0,basic,0,1,1.8,10,good,,"[""gym"", ""parking"", ""storage""]"
102,false,0,0,cctv,0,5,0.0,3,fair,wood,"[""cafeteria"", ""reception"", ""loading_dock""]"
103,true,12,0,full,0,0,3.6,7,new,concrete,[]
104,false,0,0,basic,0,1,3.4,8,needs_renovation,polished_concrete,"[""conference_room"", ""storage"", ""cafeteria"", ""gym""]"
105,true,25,0,basic,0,3,2.7,26,fair,wood,[]
106,false,1,1,cctv,6,2,2.3,12,fair,ceramic,"[""kitchen""]"
107,false,27,0,cctv,0,2,3.1,11,good,polished_concrete,"[""security_booth"", ""kitchen""]"
108,false,8,0,basic,0,19,8.5,184,good,ceramic,"[""reception""]"
109,false,4,0,basic,0,2,4.3,0,needs_renovation,ceramic,[]
110,false,3,0,cctv,18,43,10.8,381,good,carpet,"[""meeting_rooms"", ""conference_room"", ""security_booth"", ""rooftop""]"
111,true,1,0,none,0,0,,11,fair,polished_concrete,[]
112,false,7,,cctv,0,0,3.5,3,good,ceramic,[]
113,true,12,,none,0,2,3.7,3,good,wood,"[""rooftop"", ""kitchen""]"
114,false,0,0,none,3,4,6.3,24,good,ceramic,"[""security_booth"", ""parking"", ""meeting_rooms"", ""gym""]"
115,true,0,0,basic,0,44,9.6,431,good,concrete,[]
116,false,0,19,basic,4,2,3.7,5,fair,polished_concrete,"[""kitchen"", ""storage"", ""conference_room"", ""lounge""]"
117,true,22,,basic,0,2,7.6,24,good,carpet,"[""reception"", ""kitchen""]"
118,true,0,,none,0,7,0.0,2,new,polished_concrete,"[""cafeteria"", ""rooftop"", ""parking""]"
119,true,4,,basic,0,31,10.8,308,fair,ceramic,[]
120,true,15,0,none,29,28,7.6,186,new,polished_concrete,"[""conference_room"", ""rooftop""]"
121,false,3,0,cctv,1,1,3.0,14,good,ceramic,[]
122,true,0,0,none,0,1,,1,good,concrete,"[""cafeteria"", ""gym""]"
123,true,0,0,basic,11,4,6.0,7,good,wood,[]
124,true,3,0,full,1,0,5.6,2,good,concrete,[]
125,true,12,0,basic,0,0,0.0,1,new,wood,[]
126,true,11,,none,1,0,5.5,2,new,concrete,"[""parking""]"
127,false,0,4,full,0,0,8.4,7,good,concrete,"[""meeting_rooms"", ""storage""]"
128,true,0,,cctv,0,7,,80,fair,ceramic,"[""storage"", ""rooftop"", ""reception"", ""meeting_rooms""]"
129,true,0,0,full,2,1,4.4,1,needs_renovation,concrete,[]
130,false,0,20,basic,0,17,6.2,163,fair,concrete,"[""storage"", ""reception"", ""conference_room""]"
131,true,0,,cctv,4,7,6.4,61,good,concrete,"[""lounge"", ""cafeteria"", ""loading_dock""]"
132,true,1,2,cctv,16,8,3.5,10,fair,,"[""kitchen"", ""rooftop""]"
133,true,0,0,full,0,0,4.2,11,good,polished_concrete,"[""conference_room""]"
134,true,0,0,cctv,7,6,,34,fair,ceramic,[]
135,false,9,,basic,0,0,2.8,11,good,polished_concrete,"[""rooftop"", ""storage""]"
136,true,37,0,cctv,2,2,3.1,1,good,ceramic,[]
137,true,2,2,none,0,1,2.5,13,good,polished_concrete,[]
138,true,0,0,none,0,5,3.3,62,good,carpet,[]
139,false,14,0,basic,30,11,,6,new,ceramic,[]
140,true,0,0,basic,0,2,3.8,24,fair,carpet,[]
141,false,1,0,basic,0,1,3.0,5,good,polished_concrete,[]
142,true,10,0,cctv,6,14,7.2,121,good,concrete,"[""meeting_rooms""]"
143,true,8,0,cctv,2,2,4.8,4,good,ceramic,"[""conference_room"", ""lounge"", ""cafeteria""]"
144,true,2,0,cctv,0,3,3.4,8,new,polished_concrete,[]
145,true,8,0,none,17,6,,5,fair,concrete,[]
146,false,5,3,cctv,0,3,4.8,7,fair,ceramic,"[""kitchen""]"
147,true,8,,basic,25,9,6.5,17,needs_renovation,polished_concrete,[]
148,true,0,0,cctv,0,14,0.0,1,good,carpet,[]
149,true,0,0,full,3,3,3.0,42,fair,polished_concrete,"[""loading_dock""]"
150,true,0,0,basic,1,1,4.0,2,good,polished_concrete,[]
151,true,7,0,cctv,1,1,,28,new,ceramic,[]
152,false,1,0,none,0,20,6.4,190,fair,polished_concrete,"[""gym"", ""storage"", ""rooftop"", ""reception""]"
153,true,8,0,cctv,5,1,2.5,5,good,polished_concrete,"[""gym"", ""storage"", ""meeting_rooms""]"
154,true,0,13,cctv,0,2,4.9,4,needs_renovation,,"[""gym""]"
155,true,5,0,basic,1,0,1.5,7,new,polished_concrete,"[""gym"", ""reception"", ""rooftop"", ""meeting_rooms""]"
156,true,7,0,none,0,10,0.0,2,new,concrete,"[""security_booth"", ""loading_dock""]"
157,true,22,1,cctv,0,4,0.0,3,fair,concrete,"[""parking""]"
158,false,0,0,full,0,6,2.8,32,fair,carpet,[]
159,false,14,1,none,4,3,7.3,25,new,concrete,[]
160,true,18,0,cctv,0,2,3.7,2,fair,concrete,"[""rooftop"", ""gym"", ""meeting_rooms"", ""security_booth""]"
161,true,5,0,cctv,0,9,8.4,87,fair,concrete,[]
162,false,5,0,cctv,0,1,2.8,0,good,concrete,[]
163,false,2,,none,0,6,5.0,49,new,polished_concrete,[]
164,false,0,0,basic,0,1,3.7,15,new,ceramic,[]
165,true,0,0,full,2,28,0.0,2,fair,carpet,[]
166,true,10,3,basic,10,5,3.4,15,new,polished_concrete,"[""cafeteria"", ""lounge""]"
167,true,4,0,cctv,18,9,10.0,38,fair,concrete,"[""gym""]"
168,true,2,2,basic,0,6,8.7,49,fair,concrete,"[""security_booth"", ""storage"", ""cafeteria"", ""rooftop""]"
169,true,7,0,basic,0,2,3.2,22,fair,polished_concrete,[]
170,true,0,4,basic,2,6,0.0,0,good,concrete,[]
171,false,0,0,cctv,6,2,4.4,7,good,concrete,"[""reception""]"
172,true,37,2,cctv,0,0,2.1,1,good,ceramic,[]
173,true,18,,cctv,0,4,7.4,49,good,ceramic,"[""cafeteria""]"
174,false,0,0,basic,0,1,,52,fair,ceramic,"[""storage"", ""loading_dock"", ""rooftop""]"
175,true,4,0,cctv,0,4,5.9,39,good,concrete,[]
176,true,0,0,none,4,2,,11,good,,[]
177,true,19,2,cctv,3,64,12.8,637,fair,wood,"[""loading_dock"", ""rooftop"", ""gym""]"
178,true,0,0,none,3,3,11.4,28,good,wood,[]
179,false,0,0,basic,0,6,7.9,48,needs_renovation,concrete,[]
180,false,0,0,cctv,0,2,4.4,9,fair,ceramic,"[""rooftop"", ""security_booth""]"
181,true,28,0,cctv,3,2,3.7,6,good,polished_concrete,"[""lounge"", ""loading_dock""]"
182,false,0,0,none,8,15,8.6,115,good,polished_concrete,"[""parking"", ""meeting_rooms""]"
183,true,4,,cctv,27,22,8.7,104,needs_renovation,ceramic,[]
184,false,16,0,basic,2,5,2.7,101,good,concrete,[]
185,true,0,10,basic,5,19,0.0,3,good,,"[""gym""]"
186,true,0,0,full,10,3,4.7,8,good,polished_concrete,"[""cafeteria"", ""loading_dock""]"
187,true,0,3,basic,1,0,5.0,11,fair,concrete,"[""gym"", ""rooftop"", ""loading_dock"", ""parking""]"
188,true,5,,none,8,2,3.8,4,good,,[]
189,false,5,0,full,0,10,9.1,108,good,concrete,"[""reception""]"
190,true,2,0,cctv,0,21,2.3,503,good,concrete,[]
191,true,12,0,basic,6,54,8.6,530,good,concrete,[]
192,true,3,0,cctv,0,1,4.2,32,good,polished_concrete,[]
193,true,5,0,basic,1,9,8.2,86,good,wood,"[""gym"", ""rooftop"", ""cafeteria"", ""conference_room""]"
194,true,0,0,none,0,1,8.4,24,good,carpet,"[""kitchen"", ""lounge""]"
195,true,10,,basic,0,6,0.0,0,good,polished_concrete,"[""conference_room"", ""gym"", ""lounge""]"
196,true,18,2,basic,0,10,3.2,229,fair,carpet,"[""lounge""]"
197,true,0,0,basic,8,7,8.9,45,fair,wood,"[""rooftop""]"
198,false,8,0,basic,4,3,1.5,18,good,,[]
199,true,0,1,basic,0,2,0.0,1,new,concrete,[]
200,true,0,0,none,0,0,3.4,17,fair,concrete,"[""cafeteria""]"
201,true,2,,cctv,0,10,9.7,109,fair,,[]
202,false,5,,full,2,3,4.7,27,good,concrete,"[""loading_dock""]"
203,true,1,0,none,3,2,7.6,14,fair,carpet,[]
204,false,0,0,full,1,3,,28,good,concrete,"[""rooftop"", ""security_booth""]"
205,true,11,,none,5,4,4.8,13,good,concrete,"[""gym"", ""loading_dock"", ""reception"", ""meeting_rooms""]"
206,false,5,5,basic,0,1,3.8,24,fair,concrete,"[""security_booth""]"
207,true,6,0,basic,0,1,3.0,5,new,concrete,[]
208,false,2,,cctv,21,7,3.5,5,fair,,"[""loading_dock"", ""reception"", ""lounge"", ""security_booth""]"
209,true,15,2,cctv,0,1,3.2,1,needs_renovation,ceramic,[]
210,false,5,0,basic,0,20,,208,fair,carpet,"[""storage"", ""conference_room""]"
211,false,31,0,cctv,0,6,0.0,3,good,carpet,"[""loading_dock"", ""kitchen""]"
212,true,1,0,none,3,3,3.6,4,good,ceramic,"[""reception"", ""parking""]"
213,true,0,0,cctv,0,0,,9,new,polished_concrete,"[""gym"", ""reception"", ""conference_room"", ""security_booth""]"
214,true,0,,basic,0,2,8.6,24,fair,concrete,"[""lounge"", ""cafeteria"", ""kitchen""]"
215,true,21,0,basic,7,6,3.4,67,new,wood,"[""reception"", ""cafeteria""]"
216,false,0,0,none,3,2,2.7,37,good,wood,"[""rooftop"", ""security_booth"", ""conference_room""]"
217,false,0,,basic,0,9,7.0,74,fair,,"[""reception"", ""kitchen"", ""gym""]"
218,true,7,0,cctv,0,3,2.6,72,needs_renovation,concrete,"[""rooftop""]"
219,true,5,0,basic,18,17,0.0,1,good,concrete,[]
220,true,0,0,basic,0,6,,3,good,ceramic,"[""storage"", ""conference_room"", ""parking""]"
221,true,15,0,basic,0,3,3.3,7,good,,"[""gym"", ""parking"", ""lounge"", ""reception""]"
222,false,18,0,basic,0,5,5.0,37,good,ceramic,[]
223,false,0,19,cctv,14,6,7.4,10,fair,wood,[]
224,false,1,0,basic,20,8,,22,good,polished_concrete,"[""storage"", ""cafeteria""]"
225,false,0,3,basic,0,4,0.0,1,good,ceramic,"[""rooftop"", ""lounge"", ""conference_room"", ""meeting_rooms""]"
226,true,3,11,basic,0,0,6.5,9,new,concrete,"[""security_booth"", ""meeting_rooms"", ""storage"", ""kitchen""]"
227,true,14,4,cctv,9,37,0.0,4,good,concrete,"[""cafeteria"", ""gym"", ""reception""]"
228,true,28,0,basic,26,9,5.1,9,fair,carpet,[]
229,false,0,0,cctv,0,0,2.3,4,fair,ceramic,"[""kitchen""]"
230,false,0,5,basic,0,2,3.1,2,new,concrete,"[""parking"", ""lounge"", ""meeting_rooms""]"
231,true,0,,basic,0,2,,3,good,carpet,"[""cafeteria"", ""lounge"", ""rooftop""]"
232,true,0,1,basic,0,1,0.0,2,needs_renovation,,[]
233,true,3,,cctv,6,5,2.9,7,good,concrete,"[""storage""]"
234,true,5,0,cctv,0,1,2.7,32,fair,polished_concrete,"[""conference_room"", ""meeting_rooms"", ""lounge""]"
235,false,0,0,none,0,1,3.4,6,new,ceramic,"[""lounge"", ""meeting_rooms"", ""storage""]"
236,true,2,0,full,9,3,3.4,3,fair,concrete,[]
237,true,5,0,basic,0,4,0.0,0,good,concrete,[]
238,true,11,0,cctv,7,2,3.1,16,needs_renovation,concrete,"[""rooftop"", ""loading_dock""]"
239,true,0,0,basic,2,8,0.0,1,good,concrete,"[""gym"", ""security_booth"", ""conference_room"", ""parking""]"
240,true,0,0,basic,7,17,0.0,2,fair,concrete,"[""security_booth"", ""rooftop""]"
241,true,0,,full,0,7,8.1,62,fair,concrete,"[""meeting_rooms"", ""cafeteria"", ""conference_room""]"
242,true,28,0,basic,0,1,6.7,18,good,ceramic,[]
243,true,0,0,full,1,4,0.0,1,fair,concrete,[]
244,true,9,0,cctv,5,3,3.9,8,fair,concrete,"[""parking""]"
245,true,9,0,none,0,0,2.6,4,new,concrete,"[""lounge"", ""cafeteria"", ""conference_room""]"
246,true,0,0,basic,0,1,2.5,14,new,ceramic,"[""cafeteria"", ""conference_room""]"
247,true,0,4,cctv,29,28,,176,good,ceramic,"[""cafeteria"", ""conference_room""]"
248,true,0,0,full,0,34,,3,good,wood,[]
249,true,8,0,basic,12,5,6.6,12,good,concrete,[]
250,false,2,0,basic,0,3,4.2,3,new,,"[""gym"", ""security_booth""]"
251,true,0,0,full,0,0,3.3,4,fair,concrete,[]
252,false,7,0,basic,4,2,4.5,10,good,ceramic,"[""kitchen"", ""security_booth""]"
253,false,15,1,basic,12,6,,16,fair,,"[""parking"", ""storage"", ""security_booth"", ""loading_dock""]"
254,true,0,0,basic,3,27,8.1,244,good,ceramic,[]
255,false,5,0,cctv,0,1,4.6,1,good,carpet,[]
256,true,0,0,full,1,6,8.4,36,good,concrete,[]
257,true,0,0,basic,0,4,9.7,36,good,,[]
258,true,3,0,none,0,17,0.0,0,good,concrete,[]
259,true,5,5,basic,0,8,9.5,86,fair,concrete,"[""storage"", ""loading_dock""]"
260,true,7,1,full,0,0,2.8,2,good,carpet,"[""lounge""]"
261,true,5,,none,9,3,0.0,3,good,polished_concrete,"[""cafeteria"", ""conference_room"", ""loading_dock"", ""rooftop""]"
262,true,8,15,basic,0,0,2.7,9,good,concrete,[]
263,true,5,3,basic,20,8,2.9,3,fair,ceramic,[]
264,true,0,5,full,0,0,3.5,7,fair,carpet,"[""parking"", ""conference_room"", ""rooftop"", ""loading_dock""]"
265,true,0,0,basic,1,0,6.6,8,new,ceramic,"[""gym"", ""parking"", ""security_booth"", ""storage""]"
266,false,2,0,cctv,3,3,8.2,17,good,wood,[]
267,true,37,,cctv,3,2,4.1,1,fair,concrete,[]
268,true,0,,basic,3,8,0.0,2,good,wood,"[""meeting_rooms"", ""cafeteria""]"
269,true,0,0,cctv,27,14,3.9,95,good,polished_concrete,"[""kitchen""]"
270,false,10,0,basic,0,1,3.8,3,good,concrete,"[""loading_dock"", ""storage"", ""conference_room"", ""cafeteria""]"
271,true,0,0,full,3,11,8.1,103,good,polished_concrete,"[""reception"", ""storage"", ""conference_room"", ""parking""]"
272,true,38,,cctv,3,2,0.0,0,good,polished_concrete,"[""kitchen"", ""reception""]"
273,false,8,0,full,0,55,0.0,1,new,ceramic,"[""lounge"", ""reception"", ""parking"", ""loading_dock""]"
274,true,27,15,cctv,0,5,,43,good,ceramic,"[""lounge"", ""parking""]"
275,true,0,0,cctv,2,1,4.8,8,good,carpet,"[""loading_dock""]"
276,true,5,2,basic,2,4,0.0,0,fair,ceramic,[]
277,false,0,,full,0,3,2.8,6,good,concrete,[]
278,true,0,0,full,1,34,9.9,341,needs_renovation,carpet,"[""loading_dock"", ""parking"", ""kitchen"", ""security_booth""]"
279,true,0,0,cctv,1,4,0.0,0,fair,polished_concrete,"[""parking"", ""storage"", ""cafeteria""]"
280,true,0,,cctv,1,5,0.0,2,good,polished_concrete,"[""meeting_rooms"", ""storage""]"
281,true,6,0,none,11,10,7.3,63,good,polished_concrete,"[""gym""]"
282,false,13,0,basic,0,6,7.2,59,new,,"[""meeting_rooms"", ""loading_dock"", ""security_booth""]"
283,true,1,0,basic,0,7,,2,good,polished_concrete,[]
284,true,0,2,none,5,2,3.0,9,good,ceramic,"[""storage"", ""rooftop""]"
285,true,0,0,full,20,11,2.9,46,fair,polished_concrete,"[""gym""]"
286,true,0,0,basic,13,16,,115,new,,[]
287,true,0,,none,0,2,2.9,6,needs_renovation,polished_concrete,[]
288,false,5,0,none,0,12,0.0,0,needs_renovation,concrete,[]
289,true,17,2,cctv,0,13,9.8,127,needs_renovation,,"[""lounge""]"
290,true,2,10,full,0,0,,12,fair,polished_concrete,"[""kitchen"", ""storage""]"
291,true,12,5,none,1,1,4.4,0,needs_renovation,concrete,"[""reception""]"
292,true,7,0,cctv,6,3,3.9,24,good,ceramic,[]
293,false,9,0,cctv,0,0,10.7,12,good,ceramic,"[""kitchen""]"
294,false,29,0,basic,0,119,0.0,4,fair,concrete,"[""rooftop"", ""storage""]"
295,true,0,0,basic,0,5,8.9,45,new,ceramic,[]
296,true,2,,cctv,0,2,3.0,31,fair,concrete,[]
297,true,0,0,none,16,6,,5,good,ceramic,"[""loading_dock"", ""reception"", ""rooftop""]"
298,true,3,0,basic,5,14,8.9,117,good,wood,"[""cafeteria""]"
299,true,0,3,basic,3,1,4.0,1,fair,concrete,"[""security_booth"", ""reception"", ""lounge""]"
300,false,19,,basic,0,7,,70,new,,[]
301,false,0,0,basic,0,1,6.2,18,good,wood,"[""cafeteria"", ""lounge"", ""reception""]"
302,true,20,0,full,15,5,2.6,15,good,carpet,[]
303,true,1,0,none,0,2,4.4,51,good,polished_concrete,"[""cafeteria""]"
304,true,1,,basic,1,1,3.6,31,fair,concrete,"[""rooftop""]"
305,false,0,0,basic,0,19,0.0,3,new,ceramic,"[""loading_dock""]"
306,false,0,13,basic,0,11,,3,good,polished_concrete,"[""security_booth"", ""rooftop"", ""gym""]"
307,true,22,,none,0,5,,1,good,concrete,[]
308,true,4,0,basic,3,148,,2,good,ceramic,"[""rooftop"", ""storage"", ""cafeteria"", ""security_booth""]"
309,false,3,5,full,0,3,3.9,4,new,concrete,[]
310,false,40,0,cctv,0,26,10.8,255,fair,concrete,[]
311,true,0,0,basic,2,1,3.0,21,fair,polished_concrete,[]
312,true,3,,cctv,0,9,,6,good,carpet,"[""lounge"", ""parking""]"
313,true,0,0,basic,0,5,2.2,29,new,ceramic,"[""conference_room""]"
314,false,0,0,cctv,0,8,6.6,75,new,polished_concrete,"[""storage""]"
315,true,0,0,basic,7,12,0.0,2,fair,concrete,"[""parking"", ""kitchen""]"
316,true,4,0,basic,0,0,3.4,7,good,wood,[]
317,true,7,,basic,0,1,4.4,2,fair,ceramic,[]
318,false,5,0,full,0,1,9.2,20,new,ceramic,"[""conference_room"", ""loading_dock"", ""lounge"", ""reception""]"
319,false,7,,basic,0,12,6.2,103,fair,carpet,"[""reception"", ""conference_room"", ""rooftop""]"
320,false,3,0,basic,0,2,,3,good,concrete,[]
321,false,2,2,basic,12,18,0.0,3,good,concrete,"[""gym"", ""security_booth""]"
322,true,10,0,basic,10,4,9.3,16,good,concrete,"[""storage"", ""conference_room"", ""loading_dock""]"
323,true,0,0,cctv,4,4,,5,good,carpet,[]
324,false,0,9,cctv,16,6,3.5,1,fair,ceramic,[]
325,true,2,0,cctv,13,50,7.2,441,new,carpet,"[""loading_dock"", ""conference_room"", ""cafeteria""]"
326,true,5,2,basic,6,2,,5,fair,carpet,"[""storage"", ""reception""]"
327,true,11,,full,28,11,,2,new,polished_concrete,"[""meeting_rooms"", ""cafeteria""]"
328,true,3,1,basic,0,27,7.2,251,good,concrete,"[""lounge""]"
329,true,0,0,cctv,0,4,3.4,43,good,concrete,"[""kitchen"", ""cafeteria"", ""conference_room""]"
330,false,0,,basic,3,5,2.6,3,good,ceramic,[]
331,true,2,0,cctv,0,0,4.6,5,fair,concrete,"[""cafeteria"", ""parking"", ""meeting_rooms""]"
332,true,0,0,basic,0,4,3.8,61,fair,,"[""lounge"", ""reception"", ""kitchen""]"
333,false,39,0,basic,0,0,2.6,8,needs_renovation,ceramic,"[""loading_dock"", ""storage"", ""meeting_rooms"", ""gym""]"
334,true,11,0,cctv,2,20,0.0,4,new,polished_concrete,"[""meeting_rooms""]"
