state,municipality,corridor,sector,month,similar_available_spots,avg_price_sqm_mxn,recent_occupancy_rate,absorption_velocity_days,recent_inquiry_volume
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2024-12-01,7,44.91,0.535,127.6,349
Puebla,Puebla,angelopolis-lomas,Industrial,2024-08-01,7,131.16,0.856,209.2,235
Querétaro,Querétaro,juriquilla-juncos,Industrial,2026-01-01,15,157.27,0.943,100.3,459
Guanajuato,León,centro-leon,Industrial,2025-11-01,15,134.95,0.826,202.5,101
Chihuahua,Chihuahua,centro-chihuahua,Office,2024-01-01,20,340.8,0.808,129.5,431
Guanajuato,León,centro-leon,Office,2024-11-01,25,385.81,0.812,165.2,481
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2024-12-01,14,140.31,0.826,133.5,420
Sonora,Hermosillo,centenario-colosio,Retail,2024-02-01,18,306.21,0.808,84.5,426
Sonora,Hermosillo,centenario-colosio,Industrial,2024-01-01,22,122.45,0.935,131.7,231
Baja California,Tijuana,zona-rio-aguacaliente,Land,2024-09-01,18,49.93,0.615,163.3,317
Querétaro,Querétaro,centro-queretaro,Office,2025-06-01,13,395.93,0.832,154.5,465
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2025-03-01,18,175.33,0.835,216.6,213
Chihuahua,Chihuahua,centro-chihuahua,Land,2025-05-01,25,37.65,0.636,289.1,215
Guanajuato,León,centro-leon,Land,2025-02-01,10,39.93,0.65,272.6,186
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2026-01-01,19,390.91,0.751,144.0,92
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2025-09-01,11,139.31,0.906,172.6,214
Nuevo León,Monterrey,macroplaza,Retail,2025-05-01,20,308.79,0.822,88.1,297
Sonora,Hermosillo,centenario-colosio,Retail,2025-07-01,12,277.37,0.79,85.2,243
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2025-09-01,9,45.59,0.553,251.1,155
CDMX,Benito Juárez,del-valle-narvarte,Office,2024-07-01,23,319.18,0.85,69.9,291
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,2025-02-01,17,314.15,0.878,112.8,401
Querétaro,Querétaro,centro-queretaro,Office,2025-01-01,9,394.1,0.798,80.7,108
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2025-11-01,18,155.85,0.899,225.2,469
CDMX,Miguel Hidalgo,polanco,Industrial,2024-06-01,10,145.33,0.869,165.3,60
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2024-09-01,22,48.57,0.532,156.8,306
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2024-12-01,17,49.04,0.564,273.7,242
Sonora,Hermosillo,centenario-colosio,Office,2025-09-01,19,330.93,0.877,105.1,219
Sonora,Hermosillo,centenario-colosio,Industrial,2024-10-01,14,132.16,0.881,158.8,105
Jalisco,Zapopan,andares-puerta-hierro,Office,2025-01-01,8,308.15,0.86,174.4,158
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2024-07-01,12,297.29,0.815,143.6,427
Baja California,Tijuana,zona-rio-aguacaliente,Land,2025-06-01,21,45.95,0.642,360.5,156
Querétaro,Querétaro,centro-queretaro,Industrial,2026-03-01,7,162.35,0.9,221.5,175
CDMX,Benito Juárez,del-valle-narvarte,Retail,2024-03-01,16,271.25,0.794,91.4,145
Yucatán,Mérida,paseo-montejo,Retail,2024-11-01,11,288.94,0.837,79.2,220
Estado de México,Toluca,metepec-toluca,Retail,2025-11-01,17,215.7,0.823,135.3,497
CDMX,Miguel Hidalgo,polanco,Land,2025-09-01,10,60.31,0.508,188.9,54
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2025-09-01,15,154.43,0.907,171.4,434
CDMX,Benito Juárez,del-valle-narvarte,Office,2024-10-01,20,364.36,0.769,114.4,283
Nuevo León,Monterrey,macroplaza,Office,2024-09-01,23,330.76,0.83,159.5,219
CDMX,Miguel Hidalgo,polanco,Retail,2025-08-01,24,253.55,0.784,131.3,279
CDMX,Miguel Hidalgo,polanco,Office,2026-01-01,23,393.59,0.774,161.5,106
Sonora,Hermosillo,centenario-colosio,Retail,2025-01-01,13,301.94,0.842,49.6,151
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2025-07-01,26,406.68,0.816,90.0,267
Nuevo León,Monterrey,macroplaza,Land,2025-05-01,23,36.3,0.57,223.1,256
Yucatán,Mérida,paseo-montejo,Office,2024-09-01,11,334.28,0.866,173.6,471
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2025-10-01,8,147.07,0.81,151.2,267
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2025-05-01,10,48.71,0.605,201.1,62
Estado de México,Toluca,metepec-toluca,Land,2024-05-01,15,46.06,0.539,266.3,103
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2026-05-01,13,131.67,0.945,184.1,132
Nuevo León,Monterrey,macroplaza,Land,2025-07-01,11,40.29,0.573,345.3,165
Querétaro,Querétaro,centro-queretaro,Land,2024-06-01,21,46.7,0.668,137.6,194
Puebla,Puebla,angelopolis-lomas,Land,2024-09-01,19,54.87,0.57,323.6,363
Nuevo León,Monterrey,macroplaza,Industrial,2025-10-01,9,132.81,0.927,116.9,424
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2025-02-01,14,130.7,0.945,180.5,236
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2025-10-01,11,52.92,0.672,256.1,390
CDMX,Cuauhtémoc,roma-condesa,Office,2024-12-01,18,368.66,0.811,117.5,348
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2025-09-01,8,47.51,0.529,242.4,50
CDMX,Benito Juárez,del-valle-narvarte,Retail,2025-01-01,18,250.29,0.808,110.3,144
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2026-05-01,16,309.55,0.824,107.5,400
Jalisco,Guadalajara,americana-chapultepec,Industrial,2024-06-01,25,119.67,0.866,97.0,266
Puebla,Puebla,angelopolis-lomas,Retail,2025-07-01,15,338.45,0.755,90.0,416
Guanajuato,León,centro-leon,Retail,2025-07-01,19,255.68,0.773,101.6,278
Jalisco,Zapopan,andares-puerta-hierro,Retail,2025-10-01,20,310.6,0.804,143.9,259
Querétaro,Querétaro,juriquilla-juncos,Industrial,2024-08-01,11,140.6,0.909,199.8,209
CDMX,Cuauhtémoc,roma-condesa,Land,2025-01-01,20,39.84,0.622,324.2,79
Sonora,Hermosillo,centenario-colosio,Industrial,2024-11-01,21,126.81,0.835,110.9,252
Sonora,Hermosillo,centenario-colosio,Industrial,2025-02-01,15,141.02,0.877,119.2,414
Estado de México,Toluca,metepec-toluca,Office,2026-04-01,13,321.12,0.861,129.4,322
Querétaro,Querétaro,centro-queretaro,Industrial,2025-10-01,12,150.79,0.862,232.3,80
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,2025-11-01,19,271.1,0.819,47.8,227
CDMX,Miguel Hidalgo,polanco,Office,2024-07-01,11,362.26,0.873,87.9,240
Nuevo León,Monterrey,macroplaza,Industrial,2025-02-01,21,132.86,0.94,137.8,216
CDMX,Benito Juárez,del-valle-narvarte,Office,2024-11-01,25,355.5,0.843,170.7,208
Chihuahua,Chihuahua,centro-chihuahua,Land,2025-03-01,13,41.36,0.612,303.9,194
Chihuahua,Chihuahua,centro-chihuahua,Office,2026-01-01,23,380.47,0.758,88.6,433
Baja California,Tijuana,zona-rio-aguacaliente,Office,2024-09-01,13,354.18,0.788,73.0,198
Puebla,Puebla,angelopolis-lomas,Office,2026-02-01,11,420.74,0.812,97.6,276
Chihuahua,Chihuahua,centro-chihuahua,Retail,2025-01-01,25,337.95,0.777,94.9,408
Yucatán,Mérida,paseo-montejo,Industrial,2025-11-01,9,130.01,0.818,179.5,179
Jalisco,Guadalajara,americana-chapultepec,Land,2024-10-01,10,42.2,0.595,204.3,470
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2024-09-01,20,119.61,0.809,160.9,457
Estado de México,Toluca,metepec-toluca,Office,2025-02-01,22,288.69,0.893,167.6,477
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2026-03-01,14,49.11,0.697,305.6,314
Sonora,Hermosillo,centenario-colosio,Retail,2025-05-01,14,339.21,0.718,111.1,85
Jalisco,Zapopan,andares-puerta-hierro,Retail,2024-01-01,8,313.84,0.742,78.0,231
Puebla,Puebla,angelopolis-lomas,Retail,2025-01-01,17,326.33,0.81,100.9,387
CDMX,Cuauhtémoc,roma-condesa,Retail,2024-04-01,9,278.91,0.721,149.1,251
CDMX,Miguel Hidalgo,polanco,Retail,2024-03-01,13,250.91,0.83,140.1,436
Querétaro,Querétaro,centro-queretaro,Office,2024-03-01,22,404.48,0.858,86.0,310
Nuevo León,Monterrey,macroplaza,Retail,2026-03-01,15,299.92,0.762,114.9,185
Jalisco,Guadalajara,americana-chapultepec,Office,2025-07-01,19,339.78,0.882,170.3,145
Puebla,Puebla,angelopolis-lomas,Retail,2026-01-01,10,353.31,0.707,124.8,413
Querétaro,Querétaro,juriquilla-juncos,Land,2024-04-01,13,52.02,0.539,170.2,450
Estado de México,Toluca,metepec-toluca,Land,2024-03-01,13,45.98,0.616,333.8,64
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2025-04-01,10,132.83,0.911,170.3,373
Estado de México,Toluca,metepec-toluca,Retail,2026-02-01,8,230.25,0.786,91.5,405
CDMX,Miguel Hidalgo,polanco,Land,2024-04-01,18,64.83,0.597,161.1,62
Baja California,Tijuana,zona-rio-aguacaliente,Office,2024-03-01,11,347.94,0.815,73.8,250
Jalisco,Guadalajara,americana-chapultepec,Retail,2024-08-01,19,258.27,0.763,66.0,51
Guanajuato,León,centro-leon,Retail,2025-04-01,20,303.91,0.717,123.4,203
CDMX,Cuauhtémoc,roma-condesa,Industrial,2024-10-01,11,138.72,0.882,178.3,171
Yucatán,Mérida,paseo-montejo,Office,2024-10-01,18,401.5,0.897,167.7,333
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2025-03-01,25,149.24,0.844,190.7,100
CDMX,Cuauhtémoc,roma-condesa,Land,2024-02-01,12,34.79,0.62,212.3,159
CDMX,Cuauhtémoc,roma-condesa,Office,2024-05-01,25,341.34,0.771,139.6,338
Querétaro,Querétaro,centro-queretaro,Industrial,2024-01-01,8,176.89,0.847,90.8,53
Jalisco,Guadalajara,americana-chapultepec,Retail,2026-06-01,12,249.1,0.813,145.9,491
Querétaro,Querétaro,juriquilla-juncos,Office,2024-03-01,17,397.5,0.778,150.3,416
Puebla,Puebla,angelopolis-lomas,Office,2025-08-01,15,352.52,0.888,138.6,174
Guanajuato,León,centro-leon,Retail,2024-05-01,9,265.01,0.746,70.7,463
Querétaro,Querétaro,juriquilla-juncos,Land,2026-01-01,20,49.74,0.526,327.8,83
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2024-10-01,7,241.83,0.722,108.0,337
Jalisco,Zapopan,andares-puerta-hierro,Retail,2024-03-01,11,332.92,0.806,92.3,105
CDMX,Miguel Hidalgo,polanco,Industrial,2025-06-01,13,166.83,0.827,207.1,497
Estado de México,Toluca,metepec-toluca,Office,2024-02-01,20,276.94,0.772,110.1,425
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2024-01-01,23,156.14,0.811,174.5,452
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2025-01-01,8,109.05,0.839,152.5,414
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2026-04-01,20,51.38,0.605,243.3,91
Querétaro,Querétaro,centro-queretaro,Land,2024-05-01,9,46.1,0.602,148.8,126
Estado de México,Toluca,metepec-toluca,Land,2025-07-01,8,43.69,0.699,269.6,380
CDMX,Cuauhtémoc,roma-condesa,Retail,2026-05-01,20,295.55,0.847,100.9,486
CDMX,Miguel Hidalgo,polanco,Land,2024-10-01,13,55.08,0.628,137.3,82
Querétaro,Querétaro,centro-queretaro,Industrial,2024-04-01,21,169.24,0.944,115.9,227
Guanajuato,León,centro-leon,Land,2024-04-01,19,46.38,0.519,324.1,190
Jalisco,Zapopan,andares-puerta-hierro,Office,2026-05-01,20,313.77,0.766,133.8,261
Nuevo León,Monterrey,macroplaza,Land,2024-07-01,10,34.16,0.62,211.5,327
Querétaro,Querétaro,juriquilla-juncos,Office,2025-09-01,25,402.7,0.856,177.3,267
Yucatán,Mérida,paseo-montejo,Retail,2025-06-01,12,257.01,0.839,146.6,82
CDMX,Miguel Hidalgo,polanco,Industrial,2026-04-01,17,155.75,0.854,103.8,136
CDMX,Benito Juárez,del-valle-narvarte,Office,2025-03-01,19,344.34,0.834,150.2,246
Guanajuato,León,centro-leon,Land,2025-06-01,25,47.44,0.573,320.9,156
Yucatán,Mérida,paseo-montejo,Industrial,2024-01-01,14,127.28,0.9,173.1,284
Estado de México,Toluca,metepec-toluca,Office,2025-06-01,17,343.47,0.827,100.4,335
CDMX,Cuauhtémoc,roma-condesa,Land,2024-12-01,27,40.58,0.527,334.7,142
CDMX,Cuauhtémoc,roma-condesa,Land,2025-03-01,15,35.08,0.507,195.6,481
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2026-02-01,18,124.97,0.854,178.2,276
Puebla,Puebla,angelopolis-lomas,Industrial,2025-02-01,11,144.22,0.856,173.3,52
CDMX,Miguel Hidalgo,polanco,Retail,2025-11-01,9,247.02,0.703,122.6,215
Querétaro,Querétaro,juriquilla-juncos,Retail,2025-10-01,9,336.5,0.828,68.7,331
Querétaro,Querétaro,centro-queretaro,Land,2025-04-01,7,50.0,0.537,120.2,132
Sonora,Hermosillo,centenario-colosio,Retail,2025-10-01,19,297.64,0.846,136.1,415
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2025-11-01,16,137.12,0.872,152.0,418
Chihuahua,Chihuahua,centro-chihuahua,Land,2026-03-01,14,43.84,0.645,346.0,375
Puebla,Puebla,angelopolis-lomas,Retail,2025-10-01,6,292.13,0.721,64.9,330
Nuevo León,Monterrey,macroplaza,Office,2025-07-01,23,379.15,0.753,99.8,120
Jalisco,Guadalajara,americana-chapultepec,Office,2024-10-01,8,307.98,0.877,100.7,97
Puebla,Puebla,angelopolis-lomas,Industrial,2025-03-01,11,124.45,0.936,180.1,394
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2026-01-01,14,45.53,0.585,180.5,427
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2024-08-01,9,213.67,0.723,68.0,387
Puebla,Puebla,angelopolis-lomas,Office,2026-06-01,9,349.8,0.894,118.8,122
Querétaro,Querétaro,centro-queretaro,Industrial,2025-01-01,16,152.55,0.89,108.8,268
Querétaro,Querétaro,juriquilla-juncos,Industrial,2025-07-01,23,172.38,0.909,202.8,467
