inquiry_id,lead_id,spot_id,inquiry_at,channel,message_length,requested_area_sqm,requested_budget_mxn_rent_monthly,requested_budget_mxn_sale_total,urgency_days,asked_visit,broker_response,broker_response_hours
80,18,493,2025-02-20T18:36:20.000000,web,274,1515.4,22070.97,,260,false,accepted,19.2
81,19,2294,2026-02-25T11:34:00.000000,web,411,324.3,,4340172.95,79,false,accepted,9.3
82,19,2964,2026-01-01T11:49:00.000000,phone,172,1550.3,,5396882.78,242,false,rejected,4.6
83,19,388,2025-08-29T10:18:00.000000,web,50,352.2,,5601302.22,68,false,scheduled_visit,4.9
84,20,382,2026-05-10T11:45:00.000000,phone,533,412.4,,24552552.56,10,false,accepted,8.4
85,20,1917,2026-06-07T15:06:00.000000,web,378,348.2,,22317877.09,,false,accepted,6.0
86,20,2595,2026-03-08T08:14:49.000000,app,115,453.2,,26733888.83,7,false,no_response,14.4
87,20,1036,2026-03-11T20:49:00.000000,email,51,239.5,,25577966.67,11,false,scheduled_visit,6.8
88,20,316,2026-03-08T19:37:36.000000,whatsapp,309,438.0,,19393129.79,289,false,no_response,32.1
89,20,172,2026-02-27T13:22:53.000000,phone,337,150.0,,19725864.39,82,false,accepted,29.4
90,20,1881,2026-03-07T07:22:29.000000,app,192,206.0,,20443565.19,,true,scheduled_visit,1.7
91,20,2037,2026-03-10T09:18:11.000000,whatsapp,297,445.6,,22012762.84,18,false,scheduled_visit,6.8
92,21,2164,2026-05-05T15:06:48.000000,web,165,1067.9,7502.28,1139796.82,12,false,scheduled_visit,0.8
93,21,2475,2026-05-08T17:02:00.000000,web,194,557.8,6434.79,1282017.61,72,false,scheduled_visit,13.1
94,21,662,2026-04-29T19:08:22.000000,email,152,1780.9,7541.62,1173793.27,122,false,no_response,9.6
95,22,1762,2026-01-29T13:01:00.000000,web,127,3551.3,16202.94,2655337.09,90,true,no_response,
96,22,125,2026-01-01T19:33:17.000000,whatsapp,318,332.1,12743.79,3165536.86,41,true,no_response,6.2
97,22,881,2026-01-09T19:14:22.000000,email,378,132.5,17210.34,3268234.04,85,false,accepted,12.1
98,23,1353,2025-12-10T19:31:00.000000,email,90,6041.0,70642.56,,110,true,rejected,6.2
99,23,1448,2025-11-22T09:47:00.000000,email,188,174.0,90111.75,,21,false,accepted,
100,23,629,2025-04-08T20:31:23.000000,app,181,6454.7,97484.15,,83,false,rejected,
101,23,1544,2025-04-04T17:12:20.000000,app,207,3293.0,71362.47,,58,false,accepted,3.6
102,23,745,2026-01-29T08:21:00.000000,whatsapp,161,4765.9,83698.34,,26,false,accepted,0.7
103,23,645,2025-10-05T14:10:00.000000,app,323,131.0,91171.27,,64,true,scheduled_visit,
104,23,2913,2025-04-04T07:42:07.000000,whatsapp,128,609.0,97484.15,,115,false,accepted,21.9
105,24,1754,2025-11-10T14:01:40.000000,web,350,183.0,140117.43,,59,false,accepted,10.0
106,24,1064,2025-11-05T13:18:06.000000,whatsapp,430,168.0,116423.46,,38,false,accepted,3.3
107,24,1134,2025-11-12T09:25:25.000000,app,110,471.4,106166.53,,,false,accepted,21.3
108,25,1856,2026-05-14T20:48:46.000000,web,108,521.0,235894.54,28478843.85,26,false,accepted,7.0
109,25,1702,2026-05-24T11:32:24.000000,app,230,677.7,189193.83,26218170.15,,false,scheduled_visit,20.5
110,25,1821,2026-05-18T09:32:24.000000,web,111,974.5,235894.54,33951011.32,,false,scheduled_visit,
111,25,971,2026-05-26T12:25:47.000000,whatsapp,443,539.0,234146.48,24616027.74,135,false,scheduled_visit,8.1
112,25,2243,2026-05-24T10:59:56.000000,whatsapp,129,729.9,233621.87,29223493.94,192,false,no_response,0.9
113,26,20,2026-02-18T20:42:16.000000,whatsapp,168,81.0,88709.59,,265,false,accepted,12.0
114,26,1080,2026-02-13T17:17:05.000000,whatsapp,169,98.9,84815.16,,66,true,scheduled_visit,5.8
115,26,2797,2026-02-19T16:01:43.000000,web,212,94.4,88709.59,,,false,no_response,10.4
116,27,2025,2026-06-16T10:21:00.000000,email,277,150.0,133748.71,,4,false,accepted,26.8
117,27,208,2025-08-21T14:05:00.000000,web,172,305.9,109103.48,,50,false,rejected,14.7
118,28,2522,2025-07-02T16:53:07.000000,app,208,171.5,111686.05,,58,true,no_response,1.8
119,28,1072,2025-11-22T18:16:00.000000,app,73,1236.2,119739.04,,28,false,accepted,8.5
120,28,530,2025-07-04T20:14:23.000000,email,178,150.0,137484.27,,,false,rejected,
121,28,246,2025-07-04T15:17:11.000000,web,138,367.1,128031.26,,15,false,accepted,6.9
122,28,2599,2025-10-01T11:40:00.000000,whatsapp,311,392.5,135469.78,,,true,accepted,71.6
123,28,902,2025-07-02T14:16:48.000000,whatsapp,133,2854.8,121985.85,,20,true,accepted,0.5
124,29,1463,2026-02-06T08:59:16.000000,whatsapp,180,148.0,,15634616.3,,false,rejected,3.2
125,30,1134,2026-01-30T18:11:33.000000,phone,300,515.0,133446.03,,348,true,scheduled_visit,5.3
126,30,1418,2026-01-31T20:46:26.000000,app,194,4689.9,140676.51,,25,false,accepted,8.3
127,30,979,2026-02-10T13:14:46.000000,web,272,410.1,125663.25,,166,true,accepted,14.1
128,30,160,2026-02-11T15:31:34.000000,email,94,105.0,133386.08,,,false,scheduled_visit,2.4
129,30,940,2026-02-05T18:04:45.000000,web,377,100.0,115982.31,,,true,rejected,1.3
130,30,303,2026-02-09T11:07:51.000000,web,271,426.0,138995.19,,36,false,accepted,11.2
131,30,1492,2026-02-04T15:18:48.000000,whatsapp,349,331.5,121148.76,,,true,scheduled_visit,1.1
132,30,1463,2026-02-04T16:15:26.000000,app,173,148.0,98598.82,,79,true,scheduled_visit,5.9
133,31,1910,2025-07-05T20:10:34.000000,app,245,8106.2,43601.39,,296,true,scheduled_visit,2.9
134,31,308,2025-06-28T09:54:26.000000,web,115,21819.5,45328.4,,,false,no_response,8.0
135,31,170,2025-08-04T07:14:00.000000,app,319,906.3,36564.52,,22,false,accepted,2.3
136,31,2765,2025-07-01T14:32:39.000000,web,272,721.7,42019.83,,,true,accepted,4.4
137,31,2541,2025-07-06T10:34:37.000000,whatsapp,217,1161.8,40944.44,,50,false,scheduled_visit,0.7
138,31,2165,2025-07-03T16:24:32.000000,web,37,215.1,40406.36,,129,false,accepted,4.0
139,32,1615,2026-05-26T20:54:53.000000,web,71,142.1,,7265939.24,73,false,no_response,9.5
140,32,2563,2026-06-01T19:12:23.000000,web,173,142.0,,5742563.61,,false,accepted,36.0
141,32,90,2026-05-30T12:30:49.000000,email,65,319.6,,5100175.76,259,false,rejected,27.3
142,32,713,2026-05-30T14:11:01.000000,app,333,277.5,,6629141.04,,true,accepted,11.3
143,32,474,2026-05-30T18:36:13.000000,app,202,870.9,,5916716.0,,true,accepted,0.5
144,32,1380,2026-05-19T18:39:43.000000,web,155,158.1,,7265939.24,336,false,accepted,22.3
145,32,1468,2026-05-27T20:34:42.000000,app,196,137.1,,7265939.24,,false,rejected,10.9
146,33,1788,2026-03-20T14:22:36.000000,whatsapp,122,511.2,,12436136.73,,false,accepted,
147,33,2212,2026-03-27T17:35:49.000000,web,427,1521.8,,12436136.73,35,true,rejected,
148,33,2565,2026-03-31T20:15:47.000000,web,196,413.2,,9544799.02,,true,accepted,
149,33,875,2026-03-24T15:54:33.000000,web,166,520.3,,9543865.74,,false,no_response,2.8
150,33,923,2026-03-23T20:08:45.000000,web,226,107.0,,12436136.73,103,true,accepted,4.9
151,33,1953,2026-03-23T12:15:23.000000,email,86,525.6,,11587420.9,185,false,scheduled_visit,17.7
152,33,1190,2026-03-28T14:32:07.000000,email,382,873.5,,10312396.28,345,false,accepted,13.9
153,33,980,2026-03-21T08:35:48.000000,app,188,180.0,,12436136.73,274,false,accepted,7.4
154,34,2076,2026-02-27T07:43:00.000000,app,430,1205.4,31428.02,,50,false,no_response,30.1
155,35,171,2025-04-04T10:30:43.000000,whatsapp,154,677.6,,25009084.4,,false,accepted,3.7
156,35,1867,2025-04-12T11:41:40.000000,web,200,636.0,,29462153.41,13,true,no_response,2.9
157,35,1803,2026-01-24T19:18:00.000000,email,128,571.9,,21604557.86,31,false,accepted,24.6
158,35,1915,2025-04-05T08:44:48.000000,web,182,260.5,,25948192.08,88,false,scheduled_visit,1.7
159,35,303,2025-04-12T15:12:00.000000,web,142,711.0,,27328187.5,28,false,accepted,3.3
160,35,358,2025-09-16T11:24:00.000000,app,287,503.6,,29462153.41,,false,no_response,1.7
161,35,2301,2025-06-30T14:32:00.000000,email,175,494.0,,29462153.41,11,false,rejected,
162,35,15,2025-04-09T14:24:46.000000,app,118,298.5,,29462153.41,185,false,accepted,0.8
163,36,624,2026-04-19T14:14:00.000000,whatsapp,72,474.7,29557.94,,43,false,scheduled_visit,11.4
164,36,1624,2025-11-26T09:28:24.000000,email,216,1978.2,24047.69,,306,false,accepted,
165,36,18,2025-11-15T17:40:22.000000,email,223,171.8,27453.91,,9,false,accepted,
166,36,1729,2026-06-04T15:06:00.000000,app,99,1175.5,27166.38,,,true,accepted,5.5
167,36,111,2025-11-19T12:46:57.000000,web,161,188.4,22856.41,,,false,accepted,1.8
168,37,2970,2025-12-24T17:40:04.000000,app,153,1670.8,30188.93,,129,false,accepted,
169,38,1022,2025-01-17T20:07:00.000000,email,777,507.2,58843.94,,32,false,rejected,4.8
170,38,1916,2025-07-17T10:11:00.000000,app,248,3884.8,44827.19,,83,false,accepted,20.6
171,38,659,2025-01-15T16:44:54.000000,phone,121,266.5,55656.86,,60,false,accepted,2.0
172,38,168,2025-03-05T20:11:00.000000,web,324,733.9,57063.54,,,false,no_response,18.2
173,38,702,2026-01-20T18:32:00.000000,whatsapp,272,2662.0,43729.37,,,true,accepted,4.7
174,38,1056,2025-01-15T20:07:20.000000,web,170,409.3,58843.94,,42,false,accepted,10.4
175,38,2847,2025-09-02T20:29:00.000000,email,351,364.2,51792.53,,61,false,scheduled_visit,7.9
176,39,2607,2025-10-09T12:46:34.000000,web,465,347.5,122710.42,,337,false,scheduled_visit,24.6
177,40,1829,2026-06-21T14:51:59.000000,whatsapp,143,340.4,110682.06,,,false,accepted,1.4
178,40,2540,2026-06-10T07:12:49.000000,phone,395,912.2,100811.37,,,false,accepted,32.6
179,41,1991,2025-11-08T07:22:00.000000,phone,188,316.8,97184.6,15181845.0,4,true,scheduled_visit,8.4
180,41,1648,2026-03-20T12:26:00.000000,email,333,290.0,80179.06,15406285.18,114,false,no_response,7.2
181,41,2240,2025-06-10T14:09:37.000000,web,206,314.8,75492.22,15406285.18,20,false,rejected,7.6
182,41,2437,2025-06-10T13:08:42.000000,web,209,278.0,82869.3,12367314.09,59,false,rejected,2.1
183,41,602,2025-06-09T07:42:23.000000,web,209,1300.6,76567.02,12507169.13,89,false,accepted,6.0
184,41,2614,2025-10-20T19:15:00.000000,app,135,439.2,96722.18,12958122.94,81,false,accepted,0.7
185,41,261,2026-03-10T15:38:00.000000,web,115,297.0,97184.6,15404703.92,168,false,accepted,2.1
186,42,1230,2026-06-02T07:32:32.000000,web,385,404.8,101705.76,,,false,scheduled_visit,23.1
187,42,2965,2026-06-03T20:08:24.000000,web,159,446.3,82817.23,,6,false,scheduled_visit,8.2
188,42,569,2026-06-06T15:52:28.000000,app,362,279.0,101705.76,,75,false,rejected,3.4
189,42,581,2026-06-06T14:02:22.000000,email,271,997.2,101705.76,,,false,accepted,31.0
190,43,2267,2025-10-01T12:36:49.000000,email,230,804.8,113719.06,24711273.6,,false,no_response,
191,43,210,2025-10-01T07:13:54.000000,web,119,3074.1,161663.52,17996660.0,,false,accepted,30.6
192,43,1027,2025-10-04T07:12:37.000000,email,247,213.0,136480.63,18133574.54,194,true,accepted,26.0
193,43,2274,2026-03-19T13:16:00.000000,app,379,861.4,161663.52,22134893.85,,true,accepted,2.4
194,43,1912,2026-04-05T14:13:00.000000,email,165,18985.6,119196.18,21945969.11,,false,no_response,
195,44,698,2026-03-30T09:04:12.000000,whatsapp,304,623.8,49460.16,,21,false,no_response,43.7
196,44,537,2026-05-06T15:58:00.000000,app,179,128.3,49533.6,,344,true,accepted,12.0
197,44,1646,2026-04-06T08:19:43.000000,whatsapp,61,353.7,47336.38,,336,false,accepted,9.4
198,45,2033,2026-06-13T08:44:32.000000,whatsapp,211,286.9,73874.26,,150,false,rejected,4.4
199,45,2481,2026-06-14T12:21:57.000000,whatsapp,75,937.0,57728.88,,44,true,no_response,3.9
200,46,723,2026-04-19T10:26:59.000000,whatsapp,104,1732.3,,6584891.46,80,false,scheduled_visit,15.6
201,46,2110,2026-06-12T13:36:00.000000,whatsapp,182,857.6,,6034408.11,43,false,no_response,1.4
202,46,68,2026-04-10T18:16:10.000000,whatsapp,111,729.8,,5486081.81,219,false,accepted,10.1
203,46,1372,2026-04-14T15:20:36.000000,app,295,571.5,,7494054.47,,false,accepted,0.6
204,47,2001,2026-02-26T09:46:51.000000,web,103,937.8,89267.51,12371786.04,56,false,rejected,17.7
205,47,2424,2026-03-03T10:24:11.000000,app,158,490.3,108929.03,12643629.11,125,false,accepted,13.1
206,47,353,2026-02-24T19:53:31.000000,email,229,768.6,107112.79,12627031.75,27,false,accepted,3.3
207,47,1434,2026-02-21T14:54:51.000000,whatsapp,231,726.6,102601.9,16463876.76,284,true,scheduled_visit,0.6
208,47,1225,2026-02-26T10:20:33.000000,web,302,695.5,115658.97,13659066.04,59,false,rejected,10.5
209,48,1794,2026-05-19T15:56:47.000000,web,193,1066.6,1337128.4,,24,true,scheduled_visit,1.4
210,48,2927,2026-05-21T15:30:48.000000,whatsapp,335,1048.4,1762745.15,,63,false,accepted,5.8
211,48,2378,2026-05-20T17:10:34.000000,phone,148,382.5,1588991.45,,33,true,scheduled_visit,12.6
212,48,2833,2026-05-28T08:57:44.000000,app,277,1111.5,1620520.45,,69,true,accepted,14.0
213,48,855,2026-05-26T11:44:11.000000,whatsapp,208,1134.8,1488919.18,,65,true,accepted,5.9
214,48,2596,2026-05-16T17:07:23.000000,whatsapp,126,979.5,1762745.15,,146,false,no_response,0.5
215,49,2465,2025-11-04T14:09:00.000000,web,123,198.0,132053.18,,,false,accepted,3.4
216,49,1336,2025-12-15T11:20:00.000000,whatsapp,302,100.0,128924.49,,83,true,rejected,4.1
217,49,2922,2025-07-30T14:59:00.000000,whatsapp,129,337.2,115846.63,,82,true,accepted,5.5
218,49,684,2025-02-11T19:47:46.000000,web,195,152.5,132963.96,,315,false,accepted,0.7
219,49,95,2026-05-11T07:52:00.000000,email,60,100.0,111318.09,,131,false,accepted,1.6
220,49,1336,2025-12-15T13:41:00.000000,app,191,100.0,98750.52,,,false,rejected,6.9
221,49,145,2025-02-13T15:51:13.000000,web,182,454.3,126463.21,,88,true,accepted,6.6
222,49,814,2025-11-08T17:31:00.000000,app,561,150.0,115864.66,,28,false,accepted,6.0
223,50,769,2025-10-08T11:31:00.000000,web,96,181.6,,1095391.75,51,false,rejected,19.1
224,50,2247,2025-06-17T11:19:07.000000,web,164,296.4,,840201.3,,false,no_response,41.8
225,50,2148,2026-01-28T07:57:00.000000,phone,255,5214.8,,1002699.72,13,false,no_response,
226,50,2508,2025-06-11T17:31:37.000000,web,159,2801.1,,1195346.63,174,false,scheduled_visit,23.0
227,51,1355,2026-06-30T18:10:34.000000,app,62,179.7,40715.19,,31,false,accepted,4.5
228,51,352,2026-06-29T19:05:32.000000,web,153,172.6,43213.39,,,false,accepted,13.5
229,51,2993,2026-06-24T09:06:35.000000,web,240,121.5,47252.35,,,false,rejected,31.7
230,51,267,2026-06-24T16:02:40.000000,whatsapp,203,108.5,47252.35,,,false,no_response,1.7
231,51,360,2026-06-18T17:31:26.000000,whatsapp,214,208.0,36201.34,,52,false,scheduled_visit,2.9
232,52,584,2025-12-31T20:28:00.000000,web,121,352.7,,12844451.36,86,false,accepted,0.8
233,52,820,2026-03-02T20:39:00.000000,app,406,100.0,,11289399.26,75,false,accepted,2.7
234,52,1384,2025-08-05T08:27:08.000000,app,191,150.0,,13562832.41,331,false,no_response,12.9
235,53,1671,2026-02-11T18:45:21.000000,web,230,762.8,193892.67,39670284.88,240,false,accepted,29.7
236,54,1061,2025-07-08T13:51:12.000000,whatsapp,311,322.5,67096.15,,45,false,accepted,4.7
237,54,2120,2025-07-04T18:54:11.000000,whatsapp,169,299.8,74377.71,,,false,accepted,8.7
238,54,1843,2025-06-27T20:02:49.000000,web,190,373.5,68249.92,,73,false,rejected,6.9
239,55,1498,2025-05-22T07:32:53.000000,app,160,470.0,15308.51,2745530.67,17,true,no_response,2.2
240,56,158,2025-02-17T13:28:29.000000,web,586,584.9,27003.9,,28,false,accepted,6.5
241,56,1427,2025-09-12T15:06:00.000000,whatsapp,97,9836.9,33333.08,,214,false,scheduled_visit,26.4
242,56,1048,2026-06-06T20:34:00.000000,app,131,922.1,32245.95,,9,true,scheduled_visit,3.2
243,56,468,2025-12-01T11:19:00.000000,app,370,2450.6,33333.08,,147,false,no_response,9.9
244,57,1576,2026-06-11T12:25:05.000000,phone,267,340.5,131005.96,15108298.69,32,true,no_response,
245,57,1015,2026-06-09T13:50:31.000000,whatsapp,331,326.0,131803.76,20017785.87,220,false,accepted,
246,57,672,2026-06-14T14:35:31.000000,whatsapp,226,497.1,118279.63,15374025.89,218,false,no_response,7.8
247,57,950,2026-06-11T09:26:35.000000,web,172,363.1,93857.56,20017785.87,178,false,accepted,18.5
248,57,2258,2026-06-16T14:02:57.000000,app,270,100.0,97976.33,19095235.13,145,false,no_response,0.5
249,57,2764,2026-06-17T13:27:39.000000,web,301,100.0,98463.21,15180881.89,,false,no_response,
250,58,2732,2026-02-27T15:43:00.000000,app,168,2986.5,85389.96,13133678.02,249,false,scheduled_visit,
251,58,392,2025-05-19T13:07:00.000000,app,104,226.0,92300.82,10671193.68,24,true,scheduled_visit,2.6
252,59,644,2025-10-09T07:48:30.000000,email,227,8373.7,,1205178.21,,false,accepted,4.4
253,60,2798,2025-05-13T11:36:26.000000,whatsapp,143,1333.9,114753.31,20772726.55,2,false,accepted,1.4
254,60,870,2025-05-04T17:05:46.000000,web,150,719.1,97807.55,18541918.05,25,true,scheduled_visit,22.1
255,60,2317,2025-05-05T18:42:06.000000,web,188,512.5,120936.8,17493641.7,274,true,accepted,13.5
256,60,1456,2025-06-12T10:16:00.000000,web,308,776.7,119125.86,15661453.66,,true,rejected,25.5
257,61,1638,2025-10-25T15:06:53.000000,web,841,150.0,277771.99,52058648.0,9,false,accepted,6.6
258,61,2597,2025-10-28T09:58:43.000000,web,136,3144.6,270897.7,52475922.73,18,false,scheduled_visit,7.4
259,61,1042,2026-03-08T09:54:00.000000,whatsapp,197,788.0,233590.51,57180120.84,244,false,accepted,
260,61,28,2026-05-22T19:31:00.000000,app,235,738.0,239814.29,52937100.57,,false,scheduled_visit,20.1
261,62,1014,2025-12-02T11:31:56.000000,web,97,1418.7,8178.55,,,false,accepted,14.4
262,63,1152,2026-03-02T10:27:00.000000,whatsapp,190,2408.9,367297.15,,79,false,scheduled_visit,7.6
263,63,2830,2025-05-18T14:46:07.000000,whatsapp,232,172.5,396548.3,,58,false,rejected,9.8
264,63,1933,2025-05-20T07:24:42.000000,web,162,287.4,297568.8,,,false,accepted,5.1
265,64,424,2026-06-18T16:32:00.000000,email,365,711.3,94607.97,,12,false,no_response,
266,64,655,2025-08-12T11:15:00.000000,email,287,748.1,84848.54,,2,true,scheduled_visit,9.8
267,65,1103,2026-06-29T11:04:39.000000,web,536,174.7,56338.27,,,false,scheduled_visit,6.2
268,65,1124,2026-07-10T13:36:46.000000,phone,345,161.5,54176.91,,122,false,scheduled_visit,55.4
