lead_id,user_type,company_size,industry,search_sector,search_modality,target_area_sqm,min_budget_mxn_rent_monthly,max_budget_mxn_rent_monthly,min_budget_mxn_sale_total,max_budget_mxn_sale_total,preferred_state,preferred_municipality,preferred_corridor,source,prior_searches,prior_inquiries,has_converted_before,lead_score_internal,created_at
51,broker,small,technology,Retail,rent,179.1,40549.62,47252.35,,,Guanajuato,León,centro-leon,referral,1,0,false,0.3535,2026-06-18T00:00:00.000000
52,broker,medium,technology,Retail,sale,316.4,,,13072394.9,14813230.86,Baja California,Tijuana,zona-rio-aguacaliente,event,3,0,false,0.3409,2025-07-25T00:00:00.000000
53,investor,medium,logistics,Office,both,666.7,170145.0,240495.64,30626099.59,40859393.38,Guanajuato,León,centro-leon,paid,8,6,false,0.8259,2026-01-29T00:00:00.000000
54,tenant_direct,small,retail,Retail,rent,326.4,,82486.77,,,Yucatán,Mérida,paseo-montejo,organic,18,0,false,0.7586,2025-06-26T00:00:00.000000
55,tenant_direct,large,healthcare,Land,both,309.2,13349.23,15346.07,2402861.64,2745530.67,Yucatán,Mérida,paseo-montejo,organic,48,8,false,0.1343,2025-05-18T00:00:00.000000
56,investor,medium,technology,Land,rent,516.2,,33333.08,,,Estado de México,Toluca,metepec-toluca,email,58,5,false,0.1581,2025-02-13T00:00:00.000000
57,tenant_direct,,technology,Retail,both,398.1,89818.17,133570.05,16167270.21,20017785.87,San Luis Potosí,San Luis Potosí,lomas-carranza,organic,8,39,false,0.2738,2026-06-09T00:00:00.000000
58,tenant_direct,medium,retail,Retail,both,286.4,74756.06,92300.82,13456090.14,15045055.75,Puebla,Puebla,angelopolis-lomas,social,0,0,false,0.5438,2025-02-07T00:00:00.000000
59,broker,large,financial,Land,sale,193.0,,,1414398.48,1592559.94,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,0,0,false,0.6032,2025-09-29T00:00:00.000000
60,broker,small,other,Industrial,both,760.0,96035.05,120936.8,17286309.32,21083643.41,Jalisco,Zapopan,andares-puerta-hierro,organic,8,2,false,0.5762,2025-05-02T00:00:00.000000
61,tenant_direct,small,healthcare,Office,both,815.9,250166.28,277771.99,45029929.56,63633314.16,Querétaro,Querétaro,centro-queretaro,email,1,0,false,0.8218,2025-10-24T00:00:00.000000
62,tenant_direct,small,manufacturing,Land,rent,185.6,7066.49,8178.55,,,Sonora,Hermosillo,centenario-colosio,event,2,27,true,0.56,2025-12-01T00:00:00.000000
63,tenant_direct,medium,healthcare,Office,rent,294.1,85701.98,396548.3,,,Yucatán,Mérida,paseo-montejo,organic,1,5,false,0.9032,2025-05-16T00:00:00.000000
64,investor,small,technology,Industrial,rent,624.1,71311.61,102381.22,,,Jalisco,Zapopan,andares-puerta-hierro,organic,29,2,false,1.0,2025-05-22T00:00:00.000000
65,tenant_direct,enterprise,manufacturing,Office,rent,175.4,54060.09,67581.61,,,Puebla,Puebla,angelopolis-lomas,paid,0,0,false,0.7063,2026-06-28T00:00:00.000000
66,tenant_direct,medium,other,Retail,sale,504.8,,,20713572.51,28171127.44,CDMX,Cuauhtémoc,roma-condesa,paid,6,0,false,0.626,2025-09-25T00:00:00.000000
67,tenant_direct,large,retail,Retail,rent,310.3,76811.88,104060.95,,,Jalisco,Zapopan,andares-puerta-hierro,referral,4,2,false,0.882,2025-06-16T00:00:00.000000
68,broker,medium,,Retail,sale,165.9,,,6613768.04,7862079.82,Baja California,Tijuana,zona-rio-aguacaliente,organic,7,0,false,0.5587,2025-10-04T00:00:00.000000
69,broker,medium,retail,Industrial,rent,1362.9,158220.08,230628.21,,,Estado de México,Toluca,metepec-toluca,email,0,10,false,0.9373,2025-12-17T00:00:00.000000
70,tenant_direct,medium,technology,Office,rent,307.1,82788.55,99192.4,,,Jalisco,Zapopan,andares-puerta-hierro,organic,10,0,false,0.7483,2025-02-13T00:00:00.000000
71,broker,medium,manufacturing,Industrial,rent,564.6,71985.68,86029.84,,,CDMX,Benito Juárez,del-valle-narvarte,organic,0,5,false,0.9512,2025-11-14T00:00:00.000000
72,tenant_direct,medium,other,Land,both,177.4,6719.31,8458.39,1209475.26,5879569.48,CDMX,Miguel Hidalgo,polanco,referral,0,0,false,0.6057,2025-10-04T00:00:00.000000
73,investor,medium,retail,Industrial,rent,1163.4,133582.96,152682.44,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,0,1,false,0.2327,2026-01-25T00:00:00.000000
74,broker,medium,healthcare,Retail,rent,1536.0,323431.02,358767.55,,,CDMX,Miguel Hidalgo,polanco,paid,10,4,false,0.8557,2026-03-31T00:00:00.000000
75,broker,enterprise,technology,Retail,rent,135.7,31076.66,45550.52,,,Querétaro,Querétaro,juriquilla-juncos,referral,10,1,false,0.1789,2025-02-10T00:00:00.000000
76,broker,small,financial,Retail,both,347.8,78708.47,113768.63,14167524.35,19273189.53,San Luis Potosí,San Luis Potosí,lomas-carranza,paid,0,0,false,0.8605,2025-01-19T00:00:00.000000
77,broker,medium,manufacturing,Retail,rent,993.5,241097.12,353575.73,,,CDMX,Miguel Hidalgo,polanco,referral,2,7,false,0.961,2025-09-29T00:00:00.000000
78,tenant_direct,small,technology,Retail,sale,280.8,,,11834437.22,14589763.92,Sonora,Hermosillo,centenario-colosio,organic,0,85,true,0.2808,2025-11-05T00:00:00.000000
79,tenant_direct,medium,financial,Retail,rent,520.7,139973.97,154700.34,,,Puebla,Puebla,angelopolis-lomas,email,5,0,false,0.8852,2025-05-06T00:00:00.000000
80,investor,large,financial,Industrial,rent,119.7,14535.56,21647.45,,,Estado de México,Toluca,metepec-toluca,paid,0,3,false,0.9883,2025-05-24T00:00:00.000000
81,tenant_direct,small,manufacturing,Office,sale,224.3,,,,12300526.3,Jalisco,Guadalajara,americana-chapultepec,referral,1,3,false,0.5089,2025-03-08T00:00:00.000000
82,tenant_direct,medium,retail,Office,sale,483.9,,,26273778.16,38170514.89,Estado de México,Toluca,metepec-toluca,organic,0,0,false,0.8262,2026-03-19T00:00:00.000000
83,investor,medium,technology,Office,sale,257.9,,,11547540.28,16783823.37,Yucatán,Mérida,paseo-montejo,paid,0,12,false,0.6811,2025-10-14T00:00:00.000000
84,broker,small,other,Retail,rent,303.0,78846.57,347698.53,,,Yucatán,Mérida,paseo-montejo,social,0,92,true,0.3615,2026-02-23T00:00:00.000000
85,broker,enterprise,logistics,Office,both,134.5,36759.79,50312.1,6616762.56,9583241.6,Jalisco,Zapopan,andares-puerta-hierro,paid,2,93,true,0.5784,2025-09-05T00:00:00.000000
86,broker,medium,healthcare,Retail,sale,618.5,,,23791242.7,26899986.5,CDMX,Cuauhtémoc,roma-condesa,social,10,0,false,0.9435,2025-04-25T00:00:00.000000
87,tenant_direct,large,,Industrial,both,152.2,20441.13,30139.9,3679404.27,4233027.12,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,organic,0,0,false,0.6834,2025-09-06T00:00:00.000000
88,tenant_direct,medium,healthcare,Retail,rent,1153.9,276618.85,392428.63,,,Guanajuato,León,centro-leon,event,0,7,false,0.716,2025-01-16T00:00:00.000000
89,broker,enterprise,technology,Industrial,rent,241.6,31557.62,46022.16,,,CDMX,Benito Juárez,del-valle-narvarte,organic,3,55,false,0.8373,2025-07-27T00:00:00.000000
90,tenant_direct,medium,manufacturing,Office,rent,685.7,188181.26,249716.79,,,Querétaro,Querétaro,,organic,4,106,true,0.8058,2026-02-24T00:00:00.000000
91,broker,medium,logistics,Office,sale,639.8,,,31936334.04,41093901.89,Guanajuato,León,centro-leon,paid,39,0,false,0.2939,2025-06-20T00:00:00.000000
92,tenant_direct,large,technology,Retail,sale,195.3,,,8145608.67,8984221.5,Puebla,Puebla,angelopolis-lomas,organic,0,58,true,0.8775,2026-06-14T00:00:00.000000
93,tenant_direct,medium,technology,Industrial,rent,260.4,30226.57,39974.37,,,CDMX,Miguel Hidalgo,polanco,referral,8,0,false,0.6211,2025-01-16T00:00:00.000000
94,tenant_direct,medium,logistics,Retail,rent,283.0,72908.36,81838.52,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,organic,0,3,false,0.967,2025-05-25T00:00:00.000000
95,broker,enterprise,healthcare,Retail,rent,296.8,62885.03,83659.26,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,paid,0,13,false,0.5177,2025-11-20T00:00:00.000000
96,tenant_direct,medium,logistics,Land,rent,156.7,6253.47,7922.93,,,Baja California,Tijuana,zona-rio-aguacaliente,social,2,0,false,0.3571,2025-06-10T00:00:00.000000
97,tenant_direct,large,technology,Retail,both,568.4,128411.52,160235.59,23114074.03,33525638.36,Nuevo León,San Pedro Garza García,vasconcelos-calzada,paid,0,10,false,0.0625,2026-05-13T00:00:00.000000
98,broker,large,,Retail,rent,240.5,58544.98,81364.88,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,referral,0,2,false,0.7528,2025-02-12T00:00:00.000000
99,broker,large,technology,Retail,rent,360.3,80316.98,116784.41,,,CDMX,Miguel Hidalgo,polanco,referral,4,3,false,0.7927,2025-09-25T00:00:00.000000
100,developer,enterprise,,Industrial,rent,792.4,91493.31,107857.44,,,Puebla,Puebla,angelopolis-lomas,social,4,0,false,0.8952,2025-06-27T00:00:00.000000
101,investor,medium,other,Retail,rent,583.7,141259.02,200299.41,,,Guanajuato,León,centro-leon,paid,3,0,false,0.8857,2025-06-10T00:00:00.000000
102,tenant_direct,medium,financial,Office,both,252.2,74888.2,87457.28,13479876.56,18938428.7,Puebla,Puebla,angelopolis-lomas,referral,5,13,false,0.5277,2025-02-01T00:00:00.000000
103,broker,small,other,Retail,rent,811.9,216585.0,288183.34,,,Puebla,Puebla,angelopolis-lomas,organic,1,49,false,1.0,2025-06-18T00:00:00.000000
104,developer,large,healthcare,Industrial,both,623.5,70016.37,100773.33,12602947.47,16122280.43,Sonora,Hermosillo,,organic,1,53,false,0.8429,2025-01-24T00:00:00.000000
105,investor,large,logistics,Office,sale,237.7,,,11926486.91,14005825.01,Sonora,Hermosillo,centenario-colosio,referral,0,62,false,0.1635,2025-05-23T00:00:00.000000
106,tenant_direct,medium,retail,Retail,sale,272.0,,,11304703.62,16658928.97,Jalisco,Zapopan,andares-puerta-hierro,paid,0,9,false,0.4089,2026-04-02T00:00:00.000000
107,tenant_direct,small,retail,Office,rent,789.2,226820.57,323798.23,,,Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,social,3,13,false,0.642,2025-08-28T00:00:00.000000
108,broker,medium,other,Industrial,sale,675.2,,,14096512.06,20102559.17,San Luis Potosí,San Luis Potosí,lomas-carranza,event,7,1,false,0.0391,2025-05-25T00:00:00.000000
109,broker,medium,healthcare,Office,sale,135.7,,,6150104.92,6824775.47,Puebla,Puebla,angelopolis-lomas,referral,3,0,false,0.2804,2025-01-30T00:00:00.000000
110,investor,large,retail,Retail,rent,192.5,47515.76,59579.52,,,Chihuahua,Chihuahua,centro-chihuahua,referral,2,0,false,0.5505,2025-06-12T00:00:00.000000
111,tenant_direct,small,retail,Industrial,both,636.7,67536.43,95260.12,12156557.26,15717908.3,Querétaro,Querétaro,juriquilla-juncos,social,49,0,false,1.0,2025-05-09T00:00:00.000000
112,broker,large,retail,Office,rent,170.9,42393.44,46882.37,,,Chihuahua,Chihuahua,centro-chihuahua,referral,4,0,false,0.9238,2025-09-08T00:00:00.000000
113,broker,large,retail,Land,rent,687.7,30152.02,40714.46,,,CDMX,Benito Juárez,del-valle-narvarte,paid,0,0,false,0.0409,2026-05-30T00:00:00.000000
114,tenant_direct,enterprise,healthcare,Land,rent,1523.5,66582.78,84284.28,,,Guanajuato,León,centro-leon,paid,0,1,false,0.6999,2025-01-26T00:00:00.000000
115,broker,small,technology,Industrial,sale,507.7,,,11137377.98,14257495.92,Querétaro,Querétaro,centro-queretaro,organic,7,0,false,0.0779,2025-09-06T00:00:00.000000
116,investor,enterprise,retail,Office,rent,204.0,50235.04,63665.2,,,CDMX,Benito Juárez,del-valle-narvarte,organic,0,2,false,0.9203,2025-09-12T00:00:00.000000
117,investor,large,,Industrial,rent,442.0,50964.41,60044.0,,,Estado de México,Toluca,metepec-toluca,referral,2,119,false,0.6229,2025-01-26T00:00:00.000000
118,tenant_direct,large,manufacturing,Land,rent,808.3,31089.94,38532.32,,,Estado de México,Toluca,metepec-toluca,paid,1,3,false,0.2041,2025-05-22T00:00:00.000000
119,tenant_direct,small,manufacturing,Office,rent,418.6,123669.7,178631.0,,,CDMX,Cuauhtémoc,roma-condesa,organic,57,0,false,1.0,2025-01-07T00:00:00.000000
120,tenant_direct,medium,retail,Office,rent,548.7,165618.22,690700.04,,,San Luis Potosí,San Luis Potosí,lomas-carranza,organic,0,9,true,0.2266,2026-01-23T00:00:00.000000
121,tenant_direct,large,technology,Office,both,222.5,60033.9,77498.07,10806101.62,16061863.21,Chihuahua,Chihuahua,centro-chihuahua,organic,9,0,false,0.3395,2026-06-19T00:00:00.000000
122,tenant_direct,medium,retail,Retail,rent,234.7,55223.78,76342.51,,,Sonora,Hermosillo,centenario-colosio,social,2,0,false,0.1895,2025-01-29T00:00:00.000000
123,broker,medium,technology,Industrial,both,738.4,82512.48,96827.73,14852246.31,19715274.41,Chihuahua,Chihuahua,centro-chihuahua,email,0,0,false,0.3912,2026-03-03T00:00:00.000000
124,tenant_direct,medium,technology,Retail,sale,236.6,,,10804191.32,15316407.15,Baja California,Tijuana,zona-rio-aguacaliente,email,10,1,false,0.2293,2025-10-17T00:00:00.000000
125,broker,medium,technology,Office,sale,63.3,,,3071167.53,4048454.43,San Luis Potosí,San Luis Potosí,lomas-carranza,social,41,82,true,1.0,2025-05-25T00:00:00.000000
126,tenant_direct,small,retail,Retail,both,314.8,79422.35,87729.99,14296023.5,17218702.34,Estado de México,Toluca,metepec-toluca,organic,5,0,true,0.5103,2025-12-13T00:00:00.000000
127,broker,medium,technology,Retail,rent,487.0,122923.72,142503.83,,,Estado de México,Toluca,metepec-toluca,organic,34,12,true,0.7902,2025-06-30T00:00:00.000000
128,broker,small,other,Industrial,sale,822.0,,,16229514.0,20088460.96,Sonora,Hermosillo,centenario-colosio,referral,0,0,false,0.3173,2026-06-29T00:00:00.000000
129,broker,enterprise,technology,Industrial,rent,1242.4,163457.22,238753.34,,,Nuevo León,San Pedro Garza García,vasconcelos-calzada,paid,42,5,false,0.2469,2026-02-17T00:00:00.000000
130,tenant_direct,enterprise,retail,Office,rent,414.4,125445.97,152304.65,,,Puebla,Puebla,angelopolis-lomas,paid,0,3,false,0.5072,2025-05-21T00:00:00.000000
131,broker,,healthcare,Retail,rent,620.5,152006.02,190471.13,,,Guanajuato,León,centro-leon,organic,16,196,false,0.6562,2025-12-17T00:00:00.000000
132,investor,small,technology,Industrial,sale,425.0,,,8230721.82,10804385.88,Jalisco,Guadalajara,americana-chapultepec,email,0,91,true,0.617,2026-05-18T00:00:00.000000
133,tenant_direct,small,manufacturing,Retail,both,500.8,110203.28,156704.09,19836590.25,26289034.76,Jalisco,Zapopan,andares-puerta-hierro,referral,32,2,false,0.5436,2025-12-26T00:00:00.000000
134,broker,medium,healthcare,Office,rent,342.3,86084.71,384971.43,,,Yucatán,Mérida,paseo-montejo,paid,4,0,false,0.138,2025-12-27T00:00:00.000000
135,tenant_direct,enterprise,manufacturing,Retail,sale,512.4,,,21933377.24,30684386.28,Querétaro,Querétaro,juriquilla-juncos,email,3,3,false,0.5104,2025-07-23T00:00:00.000000
136,broker,medium,retail,Retail,rent,233.7,52791.21,78610.0,,,Jalisco,Guadalajara,americana-chapultepec,paid,4,4,false,0.6583,2025-12-08T00:00:00.000000
137,developer,small,financial,Industrial,rent,1571.8,204208.13,231813.73,,,Guanajuato,León,centro-leon,social,0,0,false,0.0098,2026-04-03T00:00:00.000000
138,tenant_direct,small,logistics,Industrial,rent,72.6,8576.23,10203.38,,,Nuevo León,Monterrey,macroplaza,paid,53,5,false,0.6821,2025-02-10T00:00:00.000000
139,investor,small,retail,Retail,sale,583.4,,,24899021.27,27594707.78,Nuevo León,Monterrey,macroplaza,social,10,0,false,0.9979,2026-01-22T00:00:00.000000
140,broker,large,technology,Office,rent,488.8,151309.65,168662.07,,,Puebla,Puebla,angelopolis-lomas,social,12,0,false,0.2139,2025-04-29T00:00:00.000000
141,tenant_direct,large,technology,Retail,rent,506.9,124032.0,150526.3,,,Nuevo León,San Pedro Garza García,,referral,42,4,false,0.3823,2026-02-01T00:00:00.000000
142,tenant_direct,medium,healthcare,Land,rent,169.9,6605.39,9497.3,,,San Luis Potosí,San Luis Potosí,lomas-carranza,referral,7,0,false,0.4974,2025-10-08T00:00:00.000000
143,investor,,retail,Industrial,sale,119.9,,,2903684.29,4182814.45,Querétaro,Querétaro,centro-queretaro,social,44,0,false,0.6415,2025-04-18T00:00:00.000000
144,tenant_direct,enterprise,technology,Office,both,597.8,165824.27,224904.57,29848368.98,42221414.4,Chihuahua,Chihuahua,centro-chihuahua,paid,2,173,false,0.6573,2026-06-30T00:00:00.000000
145,tenant_direct,medium,manufacturing,Office,rent,1002.7,286347.71,385080.32,,,Baja California,Tijuana,zona-rio-aguacaliente,paid,35,0,false,0.1251,2025-06-16T00:00:00.000000
146,broker,large,other,Industrial,sale,455.8,,,9555833.3,11776784.23,Sonora,Hermosillo,centenario-colosio,referral,8,0,false,0.7452,2026-03-26T00:00:00.000000
147,broker,enterprise,technology,Land,sale,687.9,,,5162396.76,6725317.63,Yucatán,Mérida,paseo-montejo,organic,0,0,false,0.589,2025-07-17T00:00:00.000000
148,tenant_direct,medium,,Land,rent,282.9,12095.44,17491.41,,,Guanajuato,León,centro-leon,referral,1,0,false,0.9209,2025-03-18T00:00:00.000000
149,tenant_direct,enterprise,,Office,rent,493.0,142474.03,202058.67,,,Querétaro,Querétaro,juriquilla-juncos,event,0,65,true,0.3319,2025-06-16T00:00:00.000000
150,broker,medium,logistics,Land,both,924.6,34656.59,44813.65,6238186.89,43973123.85,Querétaro,Querétaro,juriquilla-juncos,organic,2,0,false,0.9739,2026-06-13T00:00:00.000000
151,investor,large,manufacturing,Industrial,rent,313.2,41735.05,58905.15,,,Estado de México,Toluca,metepec-toluca,organic,0,0,false,0.2847,2025-04-21T00:00:00.000000
152,investor,small,healthcare,Land,rent,899.0,36063.45,50566.0,,,Estado de México,Toluca,metepec-toluca,organic,22,8,false,1.0,2026-03-29T00:00:00.000000
153,broker,medium,technology,Retail,both,123.7,32099.08,41160.82,5777833.64,8359020.42,CDMX,Benito Juárez,del-valle-narvarte,referral,0,10,false,0.2072,2026-01-02T00:00:00.000000
154,tenant_direct,small,retail,Industrial,both,253.7,26704.44,32943.78,4806798.61,7140921.22,Yucatán,Mérida,paseo-montejo,organic,32,4,false,0.3389,2025-08-25T00:00:00.000000
