spot_id,broker_id,sector_name,type_name,state,municipality,settlement,corridor,region,lat,lon,title,description,area_sqm,price_sqm_mxn_rent,price_sqm_mxn_sale,price_total_mxn_rent,price_total_mxn_sale,maintenance_cost_mxn,modality,days_on_market,total_inquiries,total_views,is_active,created_at
19,208,Industrial,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.710125,-100.442365,Single de 739 m² en juriquilla-juncos,Espacio versátil adaptable a diferentes giros.,739.4,,18672.77,,13806646.14,,sale,292,12,165,true,2026-02-16T00:00:00.000000
20,148,Retail,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.524688,-117.024213,"Single Retail en zona-rio-aguacaliente, Tijuana",Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.,135.3,264.25,38304.05,35753.03,5182537.97,3481.11,both,18,3,87,true,2024-02-01T00:00:00.000000
21,120,Land,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.514938,-117.038391,Single de 504 m² en zona-rio-aguacaliente,Seguridad 24/7 y control de acceso. Amplio espacio con buena iluminación natural.,504.7,51.39,7523.44,25936.53,3797080.17,2202.18,both,209,5,64,false,2025-05-01T00:00:00.000000
22,298,Retail,Subspace,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.669449,-103.39033,"Subspace en Retail - americana-chapultepec, Guadalajara",Zona de alta plusvalía y demanda comercial.,57.8,279.37,,16147.59,,1614.8,rent,24,4,86,true,2025-12-08T00:00:00.000000
23,128,Retail,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.70064,-103.414612,"Retail Single - andares-puerta-hierro, Zapopan",Ubicación estratégica cerca de centros comerciales.,403.3,155.5,24496.95,62713.15,9879619.94,6922.25,both,342,8,222,true,2025-07-05T00:00:00.000000
24,25,Office,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.517261,-117.035746,"Single Office en zona-rio-aguacaliente, Tijuana",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso.,97.5,354.42,,34555.95,,3240.32,rent,76,7,150,false,2024-07-25T00:00:00.000000
25,104,Industrial,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.702497,-100.455907,"Single Industrial en juriquilla-juncos, Querétaro",Perfecto para negocio en crecimiento. Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,1427.3,483.76,100685.18,690470.65,143707957.41,73182.02,both,639,21,411,true,2024-04-14T00:00:00.000000
26,287,Land,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.246916,-99.61443,"Single Land en metepec-toluca, Toluca",Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,48859.6,56.33,,2752261.27,,138693.7,rent,1,1,15,true,2025-03-27T00:00:00.000000
27,232,Land,Single,Puebla,Puebla,Angelópolis,angelopolis-lomas,centro-oriente,19.029424,-98.229171,"Land Single - angelopolis-lomas, Puebla",Recién remodelado con acabados modernos. Amplio espacio con buena iluminación natural.,7897.7,17.11,3085.95,135129.65,24371907.31,14950.21,both,255,10,294,true,2024-09-29T00:00:00.000000
28,34,Office,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.121062,-101.683013,"Office Single - centro-leon, León",Seguridad 24/7 y control de acceso. Amplio espacio con buena iluminación natural. Ubicación estratégica cerca de centros comerciales.,852.2,,48870.55,,41647482.71,,sale,200,10,108,true,2026-05-22T00:00:00.000000
29,128,Industrial,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.64085,-106.097224,Single de 10892 m² en centro-chihuahua,Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos.,10892.6,113.18,,1232824.47,,149934.12,rent,60,5,57,true,2026-03-16T00:00:00.000000
30,162,Industrial,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.678505,-103.372989,"Single Industrial en americana-chapultepec, Guadalajara",Espacio listo para ocupar con acabados de primera.,2460.2,168.67,28746.68,414961.93,70722582.14,53255.71,both,4,2,27,false,2024-04-10T00:00:00.000000
31,27,Industrial,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.068734,-110.961718,"Industrial Single - centenario-colosio, Hermosillo",Perfecto para negocio en crecimiento. Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,7799.6,,53336.77,,416005471.29,,sale,41,3,42,false,2024-03-30T00:00:00.000000
32,236,Industrial,Subspace,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.677744,-100.332067,"Industrial compartido en macroplaza, Monterrey",Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,2490.7,,20947.2,,52173191.04,,sale,238,13,389,true,2025-09-19T00:00:00.000000
33,155,Industrial,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.638873,-106.098468,"Single Industrial en centro-chihuahua, Chihuahua",Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,2316.7,143.42,30050.59,332261.11,69618201.85,36627.44,both,660,32,626,true,2024-07-05T00:00:00.000000
34,178,Office,Subspace,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.509312,-99.271334,"Office compartido en lomas-verdes-satelite, Naucalpan de Juárez",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Perfecto para negocio en crecimiento.,339.0,,86414.32,,29294454.48,,sale,17,1,29,true,2025-08-28T00:00:00.000000
35,64,Industrial,Single,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.403641,-99.157019,"Single Industrial en roma-condesa, Cuauhtémoc",Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,7815.5,179.97,,1406555.53,,144264.09,rent,91,7,164,true,2025-01-10T00:00:00.000000
36,190,Office,Single,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.415778,-99.161125,"Office Single - roma-condesa, Cuauhtémoc",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,159.8,398.55,65513.05,63688.29,10468985.39,9251.28,both,168,15,407,true,2024-07-24T00:00:00.000000
37,55,Office,Subspace,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.135049,-100.973296,"Subspace 499 m², lomas-carranza",Zona de alta plusvalía y demanda comercial.,499.3,324.82,,162182.63,,11792.9,rent,33,4,101,true,2025-01-22T00:00:00.000000
38,208,Land,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.381679,-99.1614,"Land Single - del-valle-narvarte, Benito Juárez",Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,1443.7,,2969.2,,4286634.04,,sale,370,11,265,true,2026-01-27T00:00:00.000000
39,134,Industrial,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.265224,-99.596296,Single de 4192 m² en metepec-toluca,Fácil acceso a transporte público y avenidas principales.,4192.7,127.38,27348.58,534066.13,114664391.37,63685.9,both,231,5,148,true,2025-02-04T00:00:00.000000
40,194,Land,Subspace,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.508175,-99.272567,"Land compartido en lomas-verdes-satelite, Naucalpan de Juárez",Espacio versátil adaptable a diferentes giros.,446.0,,14126.54,,6300436.84,,sale,329,10,151,true,2024-05-05T00:00:00.000000
41,131,Industrial,Subspace,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.656736,-100.346254,"Industrial compartido en vasconcelos-calzada, San Pedro Garza García",Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,3331.6,166.87,,555944.09,,30214.45,rent,84,12,232,true,2025-07-06T00:00:00.000000
42,146,Retail,Single,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.153711,-101.002017,"Retail Single - lomas-carranza, San Luis Potosí",Fácil acceso a transporte público y avenidas principales.,20.0,,33742.64,,674852.8,,sale,168,5,147,true,2025-02-08T00:00:00.000000
43,294,Industrial,Subspace,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.708594,-103.399316,"Subspace 8360 m², andares-puerta-hierro",Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento.,8360.8,94.0,15624.81,785915.2,130635911.45,88186.61,both,168,6,65,true,2025-06-09T00:00:00.000000
44,96,Retail,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.260072,-99.602117,"Single Retail en metepec-toluca, Toluca",Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento.,76.7,199.98,37432.21,15338.47,2871050.51,1852.69,both,21,3,66,false,2026-04-23T00:00:00.000000
45,230,Office,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.382835,-99.165477,"Office Single - del-valle-narvarte, Benito Juárez",Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento.,160.3,471.8,74609.4,75629.54,11959886.82,8343.87,both,9,5,86,true,2025-08-03T00:00:00.000000
46,249,Retail,Single,Querétaro,Querétaro,Centro Histórico,centro-queretaro,bajío,20.594576,-100.37745,"Single Retail en centro-queretaro, Querétaro",Fácil acceso a transporte público y avenidas principales.,130.6,220.66,,28818.2,,3756.6,rent,35,4,71,true,2026-05-27T00:00:00.000000
47,89,Land,Subspace,Querétaro,Querétaro,Centro Histórico,centro-queretaro,bajío,20.585552,-100.407763,"Subspace 2680 m², centro-queretaro",Ideal para oficinas corporativas o centro de distribución.,2680.4,84.93,,227646.37,,22963.93,rent,4,4,65,true,2024-05-05T00:00:00.000000
48,172,Land,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.065439,-110.963264,"Single Land en centenario-colosio, Hermosillo",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,2624.7,19.39,,50892.93,,3329.17,rent,59,1,26,true,2026-01-28T00:00:00.000000
49,294,Retail,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.396988,-99.162171,Single de 77 m² en del-valle-narvarte,Zona de alta plusvalía y demanda comercial.,77.9,123.31,21221.1,9605.85,1653123.69,638.03,both,4,1,20,true,2024-03-18T00:00:00.000000
50,259,Retail,Subspace,Puebla,Puebla,Angelópolis,angelopolis-lomas,centro-oriente,19.042621,-98.239146,"Retail compartido en angelopolis-lomas, Puebla",Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,23.7,467.44,75583.92,11078.33,1791338.9,932.52,both,89,3,81,true,2025-08-04T00:00:00.000000
51,115,Office,Subspace,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.678158,-103.368758,"Office compartido en americana-chapultepec, Guadalajara",Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,30.0,313.65,,9409.5,,750.48,rent,141,5,131,true,2024-11-23T00:00:00.000000
52,209,Land,Subspace,Querétaro,Querétaro,Centro Histórico,centro-queretaro,bajío,20.586821,-100.391198,"Subspace 2320 m², centro-queretaro",Amplio espacio con buena iluminación natural.,2320.7,,6494.27,,15071252.39,,sale,62,1,23,true,2026-04-02T00:00:00.000000
53,142,Office,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.496761,-117.050213,"Single Office en zona-rio-aguacaliente, Tijuana",Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,91.2,249.12,,22719.74,,2903.7,rent,159,12,133,true,2025-04-26T00:00:00.000000
54,251,Industrial,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.667047,-103.379502,Single de 341 m² en americana-chapultepec,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,341.0,,16222.49,,5531869.09,,sale,183,8,186,true,2025-08-08T00:00:00.000000
55,246,Office,Single,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.653706,-100.31585,"Single Office en macroplaza, Monterrey",Ideal para oficinas corporativas o centro de distribución. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,319.3,539.01,,172105.89,,17885.33,rent,97,5,86,true,2024-11-27T00:00:00.000000
56,219,Retail,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.448857,-99.181541,Single de 65 m² en polanco,Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales.,65.9,,50160.79,,3305596.06,,sale,59,8,212,true,2026-04-17T00:00:00.000000
57,73,Industrial,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.72019,-103.414486,Single de 5746 m² en andares-puerta-hierro,Recién remodelado con acabados modernos.,5746.5,173.5,,997017.75,,144467.82,rent,96,4,105,true,2024-05-16T00:00:00.000000
58,200,Industrial,Single,Querétaro,Querétaro,Centro Histórico,centro-queretaro,bajío,20.576138,-100.387626,"Industrial Single - centro-queretaro, Querétaro",Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,2649.1,117.9,,312328.89,,20407.47,rent,33,5,81,true,2024-03-30T00:00:00.000000
59,192,Office,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.507516,-117.039344,"Office Single - zona-rio-aguacaliente, Tijuana",Recién remodelado con acabados modernos.,125.3,253.36,,31746.01,,2259.43,rent,16,7,134,true,2025-10-22T00:00:00.000000
60,13,Office,Subspace,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.719766,-103.408573,"Office compartido en andares-puerta-hierro, Zapopan",Seguridad 24/7 y control de acceso. Excelente ubicación con acceso a vías principales.,201.6,237.45,39943.65,47869.92,8052639.84,3137.67,both,10,6,139,true,2025-06-01T00:00:00.000000
61,54,Retail,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.671104,-100.346374,"Retail Single - vasconcelos-calzada, San Pedro Garza García",Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales.,20.0,231.92,46406.26,4638.4,928125.2,667.22,both,19,3,68,true,2024-12-13T00:00:00.000000
62,259,Retail,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.524558,-117.028897,"Single Retail en zona-rio-aguacaliente, Tijuana",Fácil acceso a transporte público y avenidas principales. Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural.,51.2,211.74,,10841.09,,777.09,rent,18,2,33,true,2024-03-07T00:00:00.000000
63,295,Industrial,Subspace,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.502196,-99.277544,"Subspace en Industrial - lomas-verdes-satelite, Naucalpan de Juárez",Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,6381.9,200.74,,1281102.61,,127431.18,rent,222,16,299,false,2025-07-09T00:00:00.000000
64,184,Office,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.260209,-99.617976,"Office Single - metepec-toluca, Toluca",Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,3928.6,201.94,,793341.48,,46715.47,rent,30,2,40,true,2026-02-02T00:00:00.000000
65,263,Office,Single,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.677651,-100.295851,Single de 64 m² en macroplaza,Perfecto para negocio en crecimiento. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,64.9,333.83,70353.07,21665.57,4565914.24,2440.63,both,25,3,42,true,2025-10-11T00:00:00.000000
66,269,Industrial,Subspace,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.418609,-99.161401,"Subspace en Industrial - roma-condesa, Cuauhtémoc",Amplio espacio con buena iluminación natural. Cuenta con todos los servicios y estacionamiento.,5165.1,94.0,,485519.4,,64141.89,rent,15,9,221,true,2024-09-26T00:00:00.000000
67,40,Retail,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.128369,-101.701954,"Single Retail en centro-leon, León",Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales.,55.8,229.78,,12821.72,,1716.85,rent,8,4,101,false,2024-07-24T00:00:00.000000
68,272,Office,Subspace,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.665113,-100.365904,"Office compartido en vasconcelos-calzada, San Pedro Garza García",Fácil acceso a transporte público y avenidas principales.,438.5,432.33,79436.21,189576.7,34832778.09,22570.97,both,12,4,73,true,2026-04-04T00:00:00.000000
69,210,Land,Single,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.505167,-99.259637,"Land Single - lomas-verdes-satelite, Naucalpan de Juárez",Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,6106.4,44.51,,271795.86,,34538.22,rent,309,8,115,true,2025-04-09T00:00:00.000000
70,148,Office,Single,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.685845,-100.298453,"Single Office en macroplaza, Monterrey",Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,30.0,459.34,,13780.2,,900.34,rent,10,5,84,true,2025-04-25T00:00:00.000000
71,193,Industrial,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.13146,-101.683802,"Single Industrial en centro-leon, León",Ubicación estratégica cerca de centros comerciales. Espacio versátil adaptable a diferentes giros.,2819.4,103.08,20358.82,290623.75,57399657.11,25388.15,both,1,1,18,false,2025-05-31T00:00:00.000000
72,14,Retail,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.433425,-99.212034,Single de 125 m² en polanco,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,125.9,381.4,,48018.26,,4559.75,rent,27,3,74,true,2024-11-27T00:00:00.000000
73,242,Office,Single,Sonora,Hermosillo,Centenario,centenario-colosio,noroeste,29.052276,-110.958014,"Office Single - centenario-colosio, Hermosillo",Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,169.4,401.9,,68081.86,,8999.27,rent,129,11,230,true,2025-10-19T00:00:00.000000
74,40,Office,Subspace,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.150778,-100.986487,"Subspace en Office - lomas-carranza, San Luis Potosí",Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,30.0,301.62,50651.01,9048.6,1519530.3,981.17,both,42,2,45,true,2025-04-19T00:00:00.000000
75,164,Industrial,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.665256,-100.358393,"Single Industrial en vasconcelos-calzada, San Pedro Garza García",Ubicación estratégica cerca de centros comerciales.,2566.7,182.86,26692.66,469346.76,68512050.42,57955.66,both,11,1,15,true,2025-10-11T00:00:00.000000
76,52,Land,Single,Estado de México,Naucalpan de Juárez,Lomas Verdes,lomas-verdes-satelite,centro,19.504288,-99.254162,Single de 3329 m² en lomas-verdes-satelite,Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,3329.0,57.1,9211.58,190085.9,30665349.82,19531.13,both,229,8,180,true,2024-03-24T00:00:00.000000
77,140,Industrial,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.43748,-99.1868,"Industrial Single - polanco, Miguel Hidalgo",Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,2514.7,283.44,58712.62,712766.57,147644625.51,94299.24,both,5,3,34,true,2025-12-16T00:00:00.000000
78,9,Retail,Subspace,San Luis Potosí,San Luis Potosí,Lomas,lomas-carranza,centro-norte,22.160457,-100.962356,"Retail compartido en lomas-carranza, San Luis Potosí",Ideal para oficinas corporativas o centro de distribución.,222.0,,44024.21,,9773374.62,,sale,17,4,109,true,2026-05-02T00:00:00.000000
79,166,Industrial,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.985092,-89.626922,"Single Industrial en paseo-montejo, Mérida",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,1289.1,,18332.49,,23632412.86,,sale,223,13,177,true,2026-04-16T00:00:00.000000
80,73,Industrial,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.671968,-103.37062,"Single Industrial en americana-chapultepec, Guadalajara",Ubicación estratégica cerca de centros comerciales.,3170.7,,40385.59,,128050590.21,,sale,113,7,146,true,2026-03-11T00:00:00.000000
81,176,Industrial,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.613475,-106.089016,"Single Industrial en centro-chihuahua, Chihuahua",Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,2982.8,197.48,35852.56,589043.34,106941015.97,56419.09,both,22,7,169,false,2025-10-16T00:00:00.000000
82,102,Retail,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.978819,-89.616397,"Retail Single - paseo-montejo, Mérida",Fácil acceso a transporte público y avenidas principales.,20.0,,38550.7,,771014.0,,sale,5,5,103,true,2024-05-11T00:00:00.000000
