scope;feature;tipo;transformacion;disponible_en_T1;importancia_o_coeficiente;direccion;distribucion;significado;riesgo_leakage;riesgo_causal;source_path
CHALLENGER_ONLY;target_area_sqm;Numérica raw;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Área objetivo del lead;Unidades y actualización;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;min_budget_mxn_rent_monthly;Numérica raw;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto mínimo renta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;max_budget_mxn_rent_monthly;Numérica raw;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto máximo renta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;min_budget_mxn_sale_total;Numérica raw;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto mínimo venta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;max_budget_mxn_sale_total;Numérica raw;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto máximo venta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;channel;Categórica raw T1;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Mature app 1253 tasa .215483, email 736 .195652, phone 260 .176923, web 1424 .212781, whatsapp 1225 .194286;Canal de primera inquiry;Policy feedback del canal;Canal no causa conversión sin experimento;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py|codexway/outputs/tables/target_rate_by_segment.csv
CHALLENGER_ONLY;asked_visit;Categórica raw T1;Imputación most frequent más one-hot;Si;NO LOCALIZADO EN LOS ARTEFACTOS;No dominó;True 1213/4898 con 258 positivos y tasa 0.212696. False 3685 con 743 y 0.201628;Petición explícita en primera inquiry;Policy feedback pero no leakage si timestamp T1;No atribuir causalidad;codexway/outputs/metrics/t1_model_metrics.json|codexway/outputs/abt/abt_t1_first_inquiry.parquet
CHALLENGER_ONLY;message_length;Numérica raw T1;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Longitud del mensaje;Sólo primera inquiry;Proxy de esfuerzo no causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;requested_area_sqm;Numérica raw T1;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Área pedida;Unidades y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;requested_budget_mxn_rent_monthly;Numérica raw T1;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto pedido renta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;requested_budget_mxn_sale_total;Numérica raw T1;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Presupuesto pedido venta;Moneda y missingness;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;urgency_days;Numérica raw T1;Imputación mediana más StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Horizonte declarado;Sólo valor conocido en T1;Declaración no efecto causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;days_from_lead_creation;Numérica derivada;T1 menos lead_created_at luego StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Tiempo hasta primera inquiry;Bajo con timestamps válidos;Timing refleja procesos;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;area_request_to_target_ratio;Numérica derivada;requested area dividido target area luego StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Consistencia de área;Denominador cero pasa a NA;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;rent_request_to_lead_budget_ratio;Numérica derivada;requested rent dividido max rent budget luego StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Consistencia presupuesto renta;Moneda missing y cero;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
CHALLENGER_ONLY;sale_request_to_lead_budget_ratio;Numérica derivada;requested sale dividido max sale budget luego StandardScaler;Si;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Consistencia presupuesto venta;Moneda missing y cero;No causal;codexway/src/spot2_codexway/features.py|codexway/src/spot2_codexway/modeling.py
