Modelo;Features;Split;N;Prevalencia;ROC_AUC;PR_AUC;Brier;LogLoss;Lift_5;Lift_10;Lift_20;Calibracion;Estabilidad_temporal;Seleccionado;Autoridad;Comparable_con_final;Fuente;Notas
Assessment Logistic B;Lead más inquiry profile;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.500023;0.212102;0.170260;0.529051;0.831929;0.977506;0.981056;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment Logistic C;Lead inquiry y match;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.494225;0.213572;0.170887;0.531009;0.829298;0.993994;0.959998;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment Logistic D with asked_visit;Incluye asked_visit;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.494225;0.213572;0.170887;0.531009;0.829298;0.993994;0.959998;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment Logistic D without asked_visit;Excluye asked_visit;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.496208;0.213749;0.170715;0.530474;1.022953;1.073208;0.941736;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment Logistic E;Incluye Availability;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.493684;0.219428;0.171213;0.532735;1.120214;1.015550;1.013984;No;3 de 4 folds Lift10 sobre 1;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;No desplegable
Assessment CatBoost A;Lead only;Development macro clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.497395;0.209667;0.168889;0.524045;0.796585;0.803085;0.937353;No;Development;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality/metrics/development_macro_metrics.csv;Complementario
Assessment R3 static no availability;Match estático;Recovery development clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.509586;0.213816;0.165499;NO LOCALIZADO EN LOS ARTEFACTOS;0.784527;1.016458;1.024320;No;2 de 4 folds sobre 1;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality_recovery/MODEL_COMPARISON.csv;Signal only
Assessment R4 match core;Match core;Recovery development clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.512646;0.220383;0.164989;NO LOCALIZADO EN LOS ARTEFACTOS;0.897577;1.037367;1.083498;No;3 de 4 folds sobre 1;Valid;AssessmentSol1;No;AssessmentSol1/models/lead_quality_recovery/MODEL_COMPARISON.csv;Complementario
Assessment R4 interaction;Match plus interacción;Recovery development clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.516908;0.221772;0.164887;NO LOCALIZADO EN LOS ARTEFACTOS;0.895897;1.038840;1.102511;No;3 de 4 folds sobre 1;No;AssessmentSol1;No;AssessmentSol1/models/lead_quality_recovery/MODEL_COMPARISON.csv;Rechazo por complejidad
Assessment R4 drop sector final;Match core sin sector;Recovery development clean-room;NO LOCALIZADO EN LOS ARTEFACTOS;0.208333;0.513371;0.218606;0.164983;NO LOCALIZADO EN LOS ARTEFACTOS;0.859333;1.075356;1.114625;No;4 de 4 folds sobre 1;Clean-room champion;AssessmentSol1;No;AssessmentSol1/models/lead_quality_recovery/MODEL_COMPARISON.csv;No sustituye codexway
Historical validation hybrid;Arquitectura elegida por stage;Historical model3 validation macro;2723;0.476384;0.564785;0.529517;0.244366;0.682125;NO LOCALIZADO EN LOS ARTEFACTOS;1.173284;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado por componente;Validación histórica;Ganador histórico;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical pooled CatBoost;Pooled stage features;Historical model3 validation macro;2723;0.476384;0.564175;0.524248;0.243783;0.680769;NO LOCALIZADO EN LOS ARTEFACTOS;1.136296;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical Random Forest specialist;Specialist stage features;Historical model3 validation macro;2723;0.476384;0.556059;0.517476;0.245199;0.683751;NO LOCALIZADO EN LOS ARTEFACTOS;1.116447;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical CatBoost specialist;Specialist stage features;Historical model3 validation macro;2723;0.476384;0.534538;0.512975;0.246074;0.685221;NO LOCALIZADO EN LOS ARTEFACTOS;1.214854;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical LightGBM specialist;Specialist stage features;Historical model3 validation macro;2723;0.476384;0.548083;0.511396;0.247854;0.689432;NO LOCALIZADO EN LOS ARTEFACTOS;1.110558;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical multihead;Multi-task network;Historical model3 validation macro;2723;0.476384;0.532998;0.508312;0.248902;0.691181;NO LOCALIZADO EN LOS ARTEFACTOS;1.117821;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical separate logistic;Logistic por stage;Historical model3 validation macro;2723;0.476384;0.503240;0.498655;0.281120;0.768392;NO LOCALIZADO EN LOS ARTEFACTOS;1.101102;NO LOCALIZADO EN LOS ARTEFACTOS;No localizada;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical pooled neural net;Pooled network;Historical model3 validation macro;2723;0.476384;0.526569;0.496788;0.249391;0.692041;NO LOCALIZADO EN LOS ARTEFACTOS;1.078912;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
Historical ExtraTrees specialist;Specialist stage features;Historical model3 validation macro;2723;0.476384;0.512406;0.494206;0.250165;0.694050;NO LOCALIZADO EN LOS ARTEFACTOS;1.101730;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Validación histórica;No;experimentos;No;experimentos/modelo_3/benchmark_specialists/results/model_ranking.csv;Contrato distinto
OOF specialist CatBoost;Specialist stage features;Historical rolling OOF macro;7980;0.413002;0.582032;0.471962;0.234627;0.661113;NO LOCALIZADO EN LOS ARTEFACTOS;1.231279;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;Ganador histórico;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF Random Forest specialist;Specialist stage features;Historical rolling OOF macro;7980;0.413002;0.571117;0.469850;0.236296;0.664929;NO LOCALIZADO EN LOS ARTEFACTOS;1.228812;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF validation hybrid;Arquitectura elegida por stage;Historical rolling OOF macro;7980;0.413002;0.573395;0.467867;0.236120;0.664229;NO LOCALIZADO EN LOS ARTEFACTOS;1.198777;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF pooled CatBoost;Pooled stage features;Historical rolling OOF macro;7980;0.413002;0.572127;0.466513;0.237198;0.666906;NO LOCALIZADO EN LOS ARTEFACTOS;1.186675;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF LightGBM specialist;Specialist stage features;Historical rolling OOF macro;7980;0.413002;0.558863;0.459514;0.238675;0.669937;NO LOCALIZADO EN LOS ARTEFACTOS;1.219203;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF multihead;Multi-task network;Historical rolling OOF macro;7980;0.413002;0.549793;0.449827;0.238639;0.669821;NO LOCALIZADO EN LOS ARTEFACTOS;1.132354;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF ExtraTrees specialist;Specialist stage features;Historical rolling OOF macro;7980;0.413002;0.543377;0.446717;0.239277;0.671382;NO LOCALIZADO EN LOS ARTEFACTOS;1.134689;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF pooled neural net;Pooled network;Historical rolling OOF macro;7980;0.413002;0.548310;0.445419;0.238634;0.669823;NO LOCALIZADO EN LOS ARTEFACTOS;1.128021;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
OOF separate logistic;Logistic por stage;Historical rolling OOF macro;7980;0.413002;0.499421;0.414674;0.261970;0.728027;NO LOCALIZADO EN LOS ARTEFACTOS;0.993816;NO LOCALIZADO EN LOS ARTEFACTOS;No localizada;Rolling OOF;No;experimentos;No;experimentos/modelo_3/architecture_cv/results/oof_model_ranking.csv;Contrato distinto
Trajectory hybrid;Trayectoria según stage;Historical trajectory OOF macro;7980;0.413002;0.584927;0.476426;0.234450;0.660770;NO LOCALIZADO EN LOS ARTEFACTOS;1.210014;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;Ganador histórico;experimentos;No;experimentos/modelo_3/trajectory_cv/results/trajectory_model_ranking.csv;T2 y contrato distinto
Trajectory pooled CatBoost;Pooled plus trajectory;Historical trajectory OOF macro;7980;0.413002;0.581108;0.475213;0.234992;0.661841;NO LOCALIZADO EN LOS ARTEFACTOS;1.237107;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/trajectory_cv/results/trajectory_model_ranking.csv;T2 y contrato distinto
Trajectory specialist CatBoost;Specialist plus trajectory;Historical trajectory OOF macro;7980;0.413002;0.580759;0.470481;0.235139;0.662265;NO LOCALIZADO EN LOS ARTEFACTOS;1.226264;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/trajectory_cv/results/trajectory_model_ranking.csv;T2 y contrato distinto
Trajectory Random Forest;Specialist plus trajectory;Historical trajectory OOF macro;7980;0.413002;0.574899;0.467758;0.236082;0.664268;NO LOCALIZADO EN LOS ARTEFACTOS;1.179955;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/trajectory_cv/results/trajectory_model_ranking.csv;T2 y contrato distinto
Trajectory multihead;Multi-task plus trajectory;Historical trajectory OOF macro;7980;0.413002;0.557465;0.454897;0.238020;0.668337;NO LOCALIZADO EN LOS ARTEFACTOS;1.142328;NO LOCALIZADO EN LOS ARTEFACTOS;Calibrado;Rolling OOF;No;experimentos;No;experimentos/modelo_3/trajectory_cv/results/trajectory_model_ranking.csv;T2 y contrato distinto
Clustering global baseline;Sin clusters;Clustering v2 test;4516;0.207706;0.500000;0.207706;0.164728;0.511416;NO LOCALIZADO EN LOS ARTEFACTOS;1.000000;NO LOCALIZADO EN LOS ARTEFACTOS;No;Test histórico;No;experimentos;No;experimentos/profile_clustering_v2/results/model_metrics.csv;Resultado negativo útil
Clustering E001 balanced profiles;Perfiles agregados;Clustering v2 test;4516;0.207706;0.512880;0.212289;0.165865;0.515115;NO LOCALIZADO EN LOS ARTEFACTOS;1.033200;NO LOCALIZADO EN LOS ARTEFACTOS;No;Test histórico;No;experimentos;No;experimentos/profile_clustering_v2/results/model_metrics.csv;Mejora pequeña
Clustering E002 lead facets;Facetas de lead;Clustering v2 test;4516;0.207706;0.496338;0.205399;0.167638;0.520823;NO LOCALIZADO EN LOS ARTEFACTOS;1.001245;NO LOCALIZADO EN LOS ARTEFACTOS;No;Test histórico;No;experimentos;No;experimentos/profile_clustering_v2/results/model_metrics.csv;Delta AP negativo con CI cruzando 0
Clustering E003 inquiry intent;Intent clusters;Clustering v2 test;4516;0.207706;0.501717;0.205999;0.167637;0.521066;NO LOCALIZADO EN LOS ARTEFACTOS;0.947988;NO LOCALIZADO EN LOS ARTEFACTOS;No;Test histórico;No;experimentos;No;experimentos/profile_clustering_v2/results/model_metrics.csv;Resultado negativo
XGBoost o sklearn GradientBoosting;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;NO LOCALIZADO EN LOS ARTEFACTOS;Sin evidencia de evaluación;No;artefactos;No;experimentos/README.md;LightGBM sí existió y está reportado por separado
